id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017571742,401757174,Air Force,Mountain West,UConn,FBS Independents,1,False,1,64,64,"{'minutes': 15, 'seconds': 0}",1,74,74,"{'minutes': 13, 'seconds': 8}","{'minutes': 1, 'seconds': 52}",3,1,PUNT,False,0,0,0,0
4017571743,401757174,UConn,FBS Independents,Air Force,Mountain West,2,True,1,60,40,"{'minutes': 13, 'seconds': 8}",1,100,0,"{'minutes': 10, 'seconds': 29}","{'minutes': 2, 'seconds': 39}",7,40,TD,True,0,0,6,0
4017571745,401757174,Air Force,Mountain West,UConn,FBS Independents,3,True,1,75,75,"{'minutes': 10, 'seconds': 29}",1,0,0,"{'minutes': 4, 'seconds': 48}","{'minutes': 5, 'seconds': 41}",10,75,TD,False,0,6,7,6
4017571747,401757174,UConn,FBS Independents,Air Force,Mountain West,4,False,1,35,65,"{'minutes': 4, 'seconds': 41}",1,44,56,"{'minutes': 4, 'seconds': 30}","{'minutes': 0, 'seconds': 11}",1,0,INT,True,6,7,6,7
4017571748,401757174,Air Force,Mountain West,UConn,FBS Independents,5,False,1,44,44,"{'minutes': 4, 'seconds': 30}",1,35,35,"{'minutes': 2, 'seconds': 42}","{'minutes': 1, 'seconds': 48}",4,9,DOWNS,False,7,6,7,6
4017571749,401757174,UConn,FBS Independents,Air Force,Mountain West,6,False,1,35,65,"{'minutes': 2, 'seconds': 42}",1,40,60,"{'minutes': 1, 'seconds': 50}","{'minutes': 0, 'seconds': 52}",3,5,PUNT,True,6,7,6,7
40175717410,401757174,Air Force,Mountain West,UConn,FBS Independents,7,False,1,93,93,"{'minutes': 1, 'seconds': 50}",2,2,2,"{'minutes': 5, 'seconds': 0}","{'minutes': 11, 'seconds': 50}",19,90,DOWNS,False,7,6,7,6
40175717411,401757174,UConn,FBS Independents,Air Force,Mountain West,8,False,2,2,98,"{'minutes': 5, 'seconds': 0}",2,5,95,"{'minutes': 4, 'seconds': 5}","{'minutes': 0, 'seconds': 55}",3,3,PUNT,True,6,7,6,7
40175717412,401757174,Air Force,Mountain West,UConn,FBS Independents,9,False,2,49,49,"{'minutes': 4, 'seconds': 5}",2,36,36,"{'minutes': 1, 'seconds': 43}","{'minutes': 2, 'seconds': 22}",6,7,MISSED FG,False,7,6,7,6
40175717413,401757174,UConn,FBS Independents,Air Force,Mountain West,10,True,2,36,64,"{'minutes': 1, 'seconds': 43}",2,71,29,"{'minutes': 0, 'seconds': 28}","{'minutes': 1, 'seconds': 15}",7,35,FG,True,6,7,9,7
40175717415,401757174,Air Force,Mountain West,UConn,FBS Independents,11,False,2,75,75,"{'minutes': 0, 'seconds': 28}",2,62,62,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 28}",3,15,END OF HALF,False,7,9,7,9
40175717417,401757174,UConn,FBS Independents,Air Force,Mountain West,12,True,3,21,79,"{'minutes': 14, 'seconds': 56}",3,100,0,"{'minutes': 11, 'seconds': 18}","{'minutes': 3, 'seconds': 38}",6,79,TD,True,9,7,16,7
40175717419,401757174,Air Force,Mountain West,UConn,FBS Independents,13,True,3,75,75,"{'minutes': 11, 'seconds': 18}",3,19,19,"{'minutes': 5, 'seconds': 17}","{'minutes': 6, 'seconds': 1}",11,56,FG,False,7,16,10,16
40175717421,401757174,UConn,FBS Independents,Air Force,Mountain West,14,True,3,35,65,"{'minutes': 5, 'seconds': 6}",4,91,9,"{'minutes': 14, 'seconds': 16}","{'minutes': 5, 'seconds': 50}",12,56,FG,True,16,10,19,10
40175717423,401757174,Air Force,Mountain West,UConn,FBS Independents,15,False,4,75,75,"{'minutes': 14, 'seconds': 15}",4,62,62,"{'minutes': 11, 'seconds': 52}","{'minutes': 2, 'seconds': 23}",6,13,PUNT,False,10,19,10,19
40175717424,401757174,UConn,FBS Independents,Air Force,Mountain West,16,True,4,16,84,"{'minutes': 11, 'seconds': 52}",4,100,0,"{'minutes': 5, 'seconds': 28}","{'minutes': 6, 'seconds': 24}",10,84,TD,True,19,10,26,10
40175717426,401757174,Air Force,Mountain West,UConn,FBS Independents,17,True,4,64,64,"{'minutes': 5, 'seconds': 23}",4,3,3,"{'minutes': 2, 'seconds': 29}","{'minutes': 2, 'seconds': 54}",9,75,TD,False,10,26,16,26
40175717428,401757174,UConn,FBS Independents,Air Force,Mountain West,18,False,4,58,42,"{'minutes': 2, 'seconds': 29}",4,78,22,"{'minutes': 0, 'seconds': 33}","{'minutes': 2, 'seconds': 29}",6,20,END OF GAME,True,26,16,26,16
4017603591,401760359,Air Force,Mountain West,Bucknell,Patriot,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,46,54,"{'minutes': 12, 'seconds': 32}","{'minutes': 2, 'seconds': 28}",5,21,PUNT,True,0,0,0,0
4017603592,401760359,Bucknell,Patriot,Air Force,Mountain West,2,False,1,89,89,"{'minutes': 12, 'seconds': 32}",1,56,56,"{'minutes': 9, 'seconds': 9}","{'minutes': 3, 'seconds': 23}",7,33,PUNT,False,0,0,0,0
4017603593,401760359,Air Force,Mountain West,Bucknell,Patriot,3,True,1,20,80,"{'minutes': 9, 'seconds': 9}",1,100,0,"{'minutes': 6, 'seconds': 22}","{'minutes': 2, 'seconds': 47}",6,80,TD,True,0,0,7,0
4017603594,401760359,Bucknell,Patriot,Air Force,Mountain West,4,False,1,78,78,"{'minutes': 6, 'seconds': 16}",1,76,76,"{'minutes': 4, 'seconds': 53}","{'minutes': 1, 'seconds': 23}",3,2,PUNT,False,0,7,0,7
4017603595,401760359,Air Force,Mountain West,Bucknell,Patriot,5,True,1,39,61,"{'minutes': 4, 'seconds': 53}",1,100,0,"{'minutes': 2, 'seconds': 28}","{'minutes': 2, 'seconds': 25}",5,61,TD,True,7,0,14,0
4017603596,401760359,Bucknell,Patriot,Air Force,Mountain West,6,True,1,75,75,"{'minutes': 2, 'seconds': 28}",2,0,0,"{'minutes': 12, 'seconds': 54}","{'minutes': 4, 'seconds': 34}",11,75,TD,False,0,14,7,14
4017603597,401760359,Air Force,Mountain West,Bucknell,Patriot,7,True,2,25,75,"{'minutes': 12, 'seconds': 54}",2,100,0,"{'minutes': 7, 'seconds': 14}","{'minutes': 5, 'seconds': 40}",11,75,TD,True,14,7,21,7
4017603598,401760359,Bucknell,Patriot,Air Force,Mountain West,8,False,2,75,75,"{'minutes': 7, 'seconds': 14}",2,52,52,"{'minutes': 4, 'seconds': 50}","{'minutes': 2, 'seconds': 24}",5,23,INT,False,7,21,7,21
4017603599,401760359,Air Force,Mountain West,Bucknell,Patriot,9,True,2,38,62,"{'minutes': 4, 'seconds': 50}",2,100,0,"{'minutes': 4, 'seconds': 41}","{'minutes': 0, 'seconds': 9}",1,62,TD,True,21,7,28,7
40176035910,401760359,Bucknell,Patriot,Air Force,Mountain West,10,False,2,75,75,"{'minutes': 4, 'seconds': 41}",2,68,68,"{'minutes': 3, 'seconds': 9}","{'minutes': 1, 'seconds': 32}",3,7,PUNT,False,7,28,7,28
40176035911,401760359,Air Force,Mountain West,Bucknell,Patriot,11,False,2,28,72,"{'minutes': 3, 'seconds': 9}",2,75,25,"{'minutes': 0, 'seconds': 15}","{'minutes': 2, 'seconds': 54}",13,47,MISSED FG,True,28,7,28,7
40176035912,401760359,Bucknell,Patriot,Air Force,Mountain West,12,False,2,75,75,"{'minutes': 0, 'seconds': 15}",2,55,55,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 15}",3,20,END OF HALF,False,7,28,7,28
40176035913,401760359,Bucknell,Patriot,Air Force,Mountain West,13,True,3,75,75,"{'minutes': 15, 'seconds': 0}",3,66,66,"{'minutes': 13, 'seconds': 4}","{'minutes': 1, 'seconds': 56}",4,9,FUMBLE TD,False,7,28,7,35
40176035914,401760359,Bucknell,Patriot,Air Force,Mountain West,14,False,3,75,75,"{'minutes': 13, 'seconds': 4}",3,80,80,"{'minutes': 11, 'seconds': 40}","{'minutes': 1, 'seconds': 24}",3,-5,PUNT,False,7,35,7,35
40176035915,401760359,Air Force,Mountain West,Bucknell,Patriot,15,True,3,92,8,"{'minutes': 11, 'seconds': 40}",3,100,0,"{'minutes': 11, 'seconds': 34}","{'minutes': 0, 'seconds': 6}",1,8,TD,True,35,7,42,7
40176035916,401760359,Bucknell,Patriot,Air Force,Mountain West,16,True,3,75,75,"{'minutes': 11, 'seconds': 34}",3,20,20,"{'minutes': 5, 'seconds': 49}","{'minutes': 5, 'seconds': 45}",12,55,FG,False,7,42,10,42
40176035917,401760359,Air Force,Mountain West,Bucknell,Patriot,17,True,3,25,75,"{'minutes': 5, 'seconds': 49}",4,100,0,"{'minutes': 6, 'seconds': 24}","{'minutes': 14, 'seconds': 25}",17,75,TD,True,42,10,49,10
40176035918,401760359,Bucknell,Patriot,Air Force,Mountain West,18,True,4,75,75,"{'minutes': 6, 'seconds': 24}",4,22,22,"{'minutes': 0, 'seconds': 44}","{'minutes': 5, 'seconds': 40}",13,53,FG,False,10,49,13,49
40176035919,401760359,Air Force,Mountain West,Bucknell,Patriot,19,False,4,25,75,"{'minutes': 0, 'seconds': 44}",4,22,78,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 44}",2,-3,END OF GAME,True,49,13,49,13
4017603682,401760368,Air Force,Mountain West,Utah State,Mountain West,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,71,71,"{'minutes': 12, 'seconds': 30}","{'minutes': 2, 'seconds': 33}",5,4,FUMBLE,False,0,0,0,0
4017603683,401760368,Utah State,Mountain West,Air Force,Mountain West,2,True,1,73,27,"{'minutes': 12, 'seconds': 27}",1,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 23}",5,27,TD,True,0,0,7,0
4017603685,401760368,Air Force,Mountain West,Utah State,Mountain West,3,False,1,75,75,"{'minutes': 10, 'seconds': 4}",1,63,63,"{'minutes': 7, 'seconds': 39}","{'minutes': 2, 'seconds': 36}",6,12,PUNT,False,0,7,0,7
4017603686,401760368,Utah State,Mountain West,Air Force,Mountain West,4,False,1,3,97,"{'minutes': 7, 'seconds': 27}",1,8,92,"{'minutes': 5, 'seconds': 27}","{'minutes': 2, 'seconds': 4}",3,5,PUNT,True,7,0,7,0
4017603687,401760368,Air Force,Mountain West,Utah State,Mountain West,5,True,1,53,53,"{'minutes': 5, 'seconds': 25}",2,14,14,"{'minutes': 14, 'seconds': 46}","{'minutes': 5, 'seconds': 38}",12,39,FG,False,0,7,3,7
4017603689,401760368,Utah State,Mountain West,Air Force,Mountain West,6,True,2,12,88,"{'minutes': 14, 'seconds': 44}",2,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 44}",6,88,TD,True,7,3,14,6
40176036811,401760368,Air Force,Mountain West,Utah State,Mountain West,7,True,2,75,75,"{'minutes': 13, 'seconds': 3}",2,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 3, 'seconds': 59}",8,75,TD,False,3,7,10,14
40176036813,401760368,Utah State,Mountain West,Air Force,Mountain West,8,False,2,25,75,"{'minutes': 9, 'seconds': 4}",2,29,71,"{'minutes': 6, 'seconds': 41}","{'minutes': 2, 'seconds': 29}",4,4,PUNT,True,14,10,14,10
40176036814,401760368,Air Force,Mountain West,Utah State,Mountain West,9,False,2,72,72,"{'minutes': 6, 'seconds': 34}",2,61,61,"{'minutes': 3, 'seconds': 40}","{'minutes': 3, 'seconds': 1}",6,11,INT,False,10,14,10,14
40176036815,401760368,Utah State,Mountain West,Air Force,Mountain West,10,False,2,26,74,"{'minutes': 3, 'seconds': 33}",2,58,42,"{'minutes': 1, 'seconds': 39}","{'minutes': 2, 'seconds': 0}",7,32,PUNT,True,14,10,14,10
40176036816,401760368,Air Force,Mountain West,Utah State,Mountain West,11,False,2,86,86,"{'minutes': 1, 'seconds': 34}",2,60,60,"{'minutes': 0, 'seconds': 24}","{'minutes': 1, 'seconds': 21}",4,26,PUNT,False,10,14,10,14
40176036817,401760368,Utah State,Mountain West,Air Force,Mountain West,12,False,2,1,99,"{'minutes': 0, 'seconds': 10}",2,5,95,"{'minutes': 0, 'seconds': 4}","{'minutes': 0, 'seconds': 13}",3,4,END OF HALF,True,14,10,14,10
40176036819,401760368,Utah State,Mountain West,Air Force,Mountain West,13,True,3,25,75,"{'minutes': 15, 'seconds': 0}",3,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 24}",7,75,TD,True,14,10,21,10
