id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017528101,401752810,Nebraska,Big Ten,Akron,Mid-American,1,True,1,23,77,"{'minutes': 14, 'seconds': 56}",1,100,0,"{'minutes': 12, 'seconds': 17}","{'minutes': 2, 'seconds': 39}",7,77,TD,True,0,0,7,0
4017528102,401752810,Akron,Mid-American,Nebraska,Big Ten,2,False,1,77,77,"{'minutes': 12, 'seconds': 12}",1,50,50,"{'minutes': 8, 'seconds': 46}","{'minutes': 3, 'seconds': 26}",5,27,PUNT,False,0,7,0,7
4017528103,401752810,Nebraska,Big Ten,Akron,Mid-American,3,False,1,33,67,"{'minutes': 8, 'seconds': 46}",1,99,1,"{'minutes': 6, 'seconds': 9}","{'minutes': 2, 'seconds': 37}",6,66,FUMBLE,True,7,0,7,0
4017528104,401752810,Akron,Mid-American,Nebraska,Big Ten,4,True,1,98,98,"{'minutes': 6, 'seconds': 9}",1,100,100,"{'minutes': 4, 'seconds': 44}","{'minutes': 1, 'seconds': 25}",3,-2,SF,False,0,7,0,9
4017528105,401752810,Nebraska,Big Ten,Akron,Mid-American,5,False,1,36,64,"{'minutes': 4, 'seconds': 41}",1,99,1,"{'minutes': 0, 'seconds': 49}","{'minutes': 3, 'seconds': 52}",9,63,DOWNS,True,9,0,9,0
4017528106,401752810,Akron,Mid-American,Nebraska,Big Ten,6,False,1,99,99,"{'minutes': 0, 'seconds': 49}",2,97,97,"{'minutes': 14, 'seconds': 46}","{'minutes': 1, 'seconds': 3}",3,2,PUNT,False,0,9,0,9
4017528107,401752810,Nebraska,Big Ten,Akron,Mid-American,7,True,2,79,21,"{'minutes': 14, 'seconds': 46}",2,83,17,"{'minutes': 13, 'seconds': 56}","{'minutes': 0, 'seconds': 50}",4,4,FG,True,9,0,12,0
4017528108,401752810,Akron,Mid-American,Nebraska,Big Ten,8,False,2,75,75,"{'minutes': 13, 'seconds': 56}",2,72,72,"{'minutes': 12, 'seconds': 1}","{'minutes': 1, 'seconds': 55}",3,3,PUNT,False,0,12,0,12
4017528109,401752810,Nebraska,Big Ten,Akron,Mid-American,9,True,2,41,59,"{'minutes': 12, 'seconds': 1}",2,100,0,"{'minutes': 8, 'seconds': 17}","{'minutes': 3, 'seconds': 44}",8,59,TD,True,12,0,19,0
40175281010,401752810,Akron,Mid-American,Nebraska,Big Ten,10,False,2,75,75,"{'minutes': 8, 'seconds': 17}",2,53,53,"{'minutes': 5, 'seconds': 46}","{'minutes': 2, 'seconds': 31}",6,22,PUNT,False,0,19,0,19
40175281011,401752810,Nebraska,Big Ten,Akron,Mid-American,11,True,2,11,89,"{'minutes': 5, 'seconds': 46}",2,100,0,"{'minutes': 2, 'seconds': 8}","{'minutes': 3, 'seconds': 38}",7,89,TD,True,19,0,26,0
40175281012,401752810,Akron,Mid-American,Nebraska,Big Ten,12,False,2,75,75,"{'minutes': 2, 'seconds': 8}",2,80,80,"{'minutes': 1, 'seconds': 41}","{'minutes': 0, 'seconds': 27}",3,-5,PUNT,False,0,26,0,26
