id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017529401,401752940,Oregon State,Pac-12,App State,Sun Belt,1,False,1,75,75,"{'minutes': 14, 'seconds': 55}",1,68,68,"{'minutes': 13, 'seconds': 15}","{'minutes': 1, 'seconds': 40}",3,7,PUNT,False,0,0,0,0
4017529402,401752940,App State,Sun Belt,Oregon State,Pac-12,2,True,1,14,86,"{'minutes': 13, 'seconds': 15}",1,69,31,"{'minutes': 8, 'seconds': 21}","{'minutes': 4, 'seconds': 54}",10,55,FG,True,0,0,3,0
4017529403,401752940,App State,Sun Belt,Oregon State,Pac-12,3,True,1,82,18,"{'minutes': 8, 'seconds': 13}",1,100,0,"{'minutes': 6, 'seconds': 49}","{'minutes': 1, 'seconds': 24}",4,18,TD,True,3,0,10,0
4017529404,401752940,Oregon State,Pac-12,App State,Sun Belt,4,False,1,75,75,"{'minutes': 6, 'seconds': 49}",1,63,63,"{'minutes': 5, 'seconds': 4}","{'minutes': 1, 'seconds': 45}",5,12,PUNT,False,0,10,0,10
4017529405,401752940,App State,Sun Belt,Oregon State,Pac-12,5,True,1,25,75,"{'minutes': 5, 'seconds': 4}",1,100,0,"{'minutes': 3, 'seconds': 38}","{'minutes': 1, 'seconds': 26}",3,75,TD,True,10,0,17,0
4017529406,401752940,Oregon State,Pac-12,App State,Sun Belt,6,False,1,75,75,"{'minutes': 3, 'seconds': 36}",2,11,11,"{'minutes': 11, 'seconds': 39}","{'minutes': 6, 'seconds': 57}",12,64,MISSED FG,False,0,17,0,17
4017529407,401752940,App State,Sun Belt,Oregon State,Pac-12,7,False,2,20,80,"{'minutes': 11, 'seconds': 39}",2,26,74,"{'minutes': 10, 'seconds': 16}","{'minutes': 1, 'seconds': 23}",3,6,PUNT,True,17,0,17,0
4017529408,401752940,Oregon State,Pac-12,App State,Sun Belt,8,True,2,67,67,"{'minutes': 10, 'seconds': 16}",2,0,0,"{'minutes': 9, 'seconds': 32}","{'minutes': 0, 'seconds': 44}",2,67,TD,False,0,17,7,17
4017529409,401752940,App State,Sun Belt,Oregon State,Pac-12,9,False,2,24,76,"{'minutes': 9, 'seconds': 24}",2,49,51,"{'minutes': 7, 'seconds': 58}","{'minutes': 1, 'seconds': 26}",5,25,PUNT,True,17,7,17,7
40175294010,401752940,Oregon State,Pac-12,App State,Sun Belt,10,True,2,93,93,"{'minutes': 7, 'seconds': 58}",2,0,0,"{'minutes': 4, 'seconds': 10}","{'minutes': 3, 'seconds': 48}",8,93,TD,False,7,17,14,17
