id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017526661,401752666,Arkansas,SEC,Alabama A&M,SWAC,1,True,1,27,73,"{'minutes': 14, 'seconds': 54}",1,100,0,"{'minutes': 10, 'seconds': 3}","{'minutes': 4, 'seconds': 51}",9,73,TD,True,0,0,7,0
4017526662,401752666,Alabama A&M,SWAC,Arkansas,SEC,2,True,1,75,75,"{'minutes': 10, 'seconds': 3}",1,0,0,"{'minutes': 6, 'seconds': 28}","{'minutes': 3, 'seconds': 35}",7,75,TD,False,0,7,7,7
4017526663,401752666,Arkansas,SEC,Alabama A&M,SWAC,3,True,1,32,68,"{'minutes': 6, 'seconds': 22}",1,65,35,"{'minutes': 3, 'seconds': 37}","{'minutes': 2, 'seconds': 45}",6,33,FG,True,7,7,10,7
4017526664,401752666,Alabama A&M,SWAC,Arkansas,SEC,4,False,1,75,75,"{'minutes': 3, 'seconds': 37}",1,72,72,"{'minutes': 1, 'seconds': 36}","{'minutes': 2, 'seconds': 1}",3,3,PUNT,False,7,10,7,10
4017526665,401752666,Arkansas,SEC,Alabama A&M,SWAC,5,True,1,25,75,"{'minutes': 1, 'seconds': 36}",2,100,0,"{'minutes': 13, 'seconds': 41}","{'minutes': 2, 'seconds': 55}",9,75,TD,True,10,7,17,7
4017526666,401752666,Alabama A&M,SWAC,Arkansas,SEC,6,False,2,75,75,"{'minutes': 13, 'seconds': 41}",2,38,38,"{'minutes': 9, 'seconds': 30}","{'minutes': 4, 'seconds': 11}",7,37,PUNT,False,7,17,7,17
4017526667,401752666,Arkansas,SEC,Alabama A&M,SWAC,7,False,2,20,80,"{'minutes': 9, 'seconds': 30}",2,48,52,"{'minutes': 5, 'seconds': 30}","{'minutes': 4, 'seconds': 0}",8,28,PUNT,True,17,7,17,7
4017526668,401752666,Alabama A&M,SWAC,Arkansas,SEC,8,False,2,90,90,"{'minutes': 5, 'seconds': 30}",2,75,75,"{'minutes': 4, 'seconds': 32}","{'minutes': 0, 'seconds': 58}",5,15,PUNT,False,7,17,7,17
4017526669,401752666,Arkansas,SEC,Alabama A&M,SWAC,9,True,2,35,65,"{'minutes': 4, 'seconds': 32}",2,100,0,"{'minutes': 2, 'seconds': 12}","{'minutes': 2, 'seconds': 20}",6,65,TD,True,17,7,24,7
40175266610,401752666,Alabama A&M,SWAC,Arkansas,SEC,10,False,2,81,81,"{'minutes': 2, 'seconds': 5}",2,77,77,"{'minutes': 1, 'seconds': 5}","{'minutes': 1, 'seconds': 0}",3,4,PUNT,False,7,24,7,24
40175266611,401752666,Arkansas,SEC,Alabama A&M,SWAC,11,True,2,41,59,"{'minutes': 1, 'seconds': 5}",2,100,0,"{'minutes': 0, 'seconds': 6}","{'minutes': 0, 'seconds': 59}",6,59,TD,True,24,7,31,7
40175266612,401752666,Arkansas,SEC,Alabama A&M,SWAC,12,False,2,33,67,"{'minutes': 0, 'seconds': 4}",2,31,69,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 4}",1,-2,END OF HALF,True,31,7,31,7
40175266613,401752666,Alabama A&M,SWAC,Arkansas,SEC,13,False,3,79,79,"{'minutes': 14, 'seconds': 54}",3,75,75,"{'minutes': 14, 'seconds': 15}","{'minutes': 0, 'seconds': 39}",3,4,PUNT,False,7,31,7,31
40175266614,401752666,Arkansas,SEC,Alabama A&M,SWAC,14,True,3,34,66,"{'minutes': 14, 'seconds': 15}",3,100,0,"{'minutes': 11, 'seconds': 7}","{'minutes': 3, 'seconds': 8}",6,66,TD,True,31,7,38,7
40175266615,401752666,Alabama A&M,SWAC,Arkansas,SEC,15,False,3,75,75,"{'minutes': 11, 'seconds': 7}",3,72,72,"{'minutes': 9, 'seconds': 1}","{'minutes': 2, 'seconds': 6}",4,3,PUNT,False,7,38,7,38
40175266616,401752666,Arkansas,SEC,Alabama A&M,SWAC,16,True,3,35,65,"{'minutes': 9, 'seconds': 1}",3,100,0,"{'minutes': 2, 'seconds': 53}","{'minutes': 6, 'seconds': 8}",12,65,TD,True,38,7,45,7
40175266617,401752666,Alabama A&M,SWAC,Arkansas,SEC,17,False,3,75,75,"{'minutes': 2, 'seconds': 53}",4,39,39,"{'minutes': 14, 'seconds': 45}","{'minutes': 3, 'seconds': 8}",8,36,FUMBLE,False,7,45,7,45
40175266618,401752666,Arkansas,SEC,Alabama A&M,SWAC,18,True,4,39,61,"{'minutes': 14, 'seconds': 45}",4,100,0,"{'minutes': 13, 'seconds': 51}","{'minutes': 0, 'seconds': 54}",3,61,TD,True,45,7,52,7
40175266619,401752666,Alabama A&M,SWAC,Arkansas,SEC,19,False,4,75,75,"{'minutes': 13, 'seconds': 51}",4,55,55,"{'minutes': 12, 'seconds': 19}","{'minutes': 1, 'seconds': 32}",5,20,PUNT,False,7,52,7,52
40175266620,401752666,Arkansas,SEC,Alabama A&M,SWAC,20,False,4,11,89,"{'minutes': 12, 'seconds': 19}",4,40,60,"{'minutes': 9, 'seconds': 53}","{'minutes': 2, 'seconds': 26}",5,29,PUNT,True,52,7,52,7
40175266621,401752666,Alabama A&M,SWAC,Arkansas,SEC,21,False,4,80,80,"{'minutes': 9, 'seconds': 53}",4,84,84,"{'minutes': 7, 'seconds': 36}","{'minutes': 2, 'seconds': 17}",3,-4,PUNT,False,7,52,7,52
40175266622,401752666,Arkansas,SEC,Alabama A&M,SWAC,22,False,4,42,58,"{'minutes': 7, 'seconds': 36}",4,43,57,"{'minutes': 6, 'seconds': 13}","{'minutes': 1, 'seconds': 23}",3,1,PUNT,True,52,7,52,7
