id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017568821,401756882,Kansas State,Big 12,Army,American Athletic,1,True,1,51,49,"{'minutes': 15, 'seconds': 0}",1,84,16,"{'minutes': 11, 'seconds': 21}","{'minutes': 3, 'seconds': 31}",8,33,FG,True,0,0,3,0
4017568822,401756882,Army,American Athletic,Kansas State,Big 12,2,False,1,75,75,"{'minutes': 11, 'seconds': 21}",1,62,62,"{'minutes': 7, 'seconds': 29}","{'minutes': 3, 'seconds': 52}",6,13,PUNT,False,0,3,0,3
4017568823,401756882,Kansas State,Big 12,Army,American Athletic,3,False,1,15,85,"{'minutes': 7, 'seconds': 29}",1,50,50,"{'minutes': 4, 'seconds': 29}","{'minutes': 3, 'seconds': 0}",6,35,PUNT,True,3,0,3,0
4017568824,401756882,Army,American Athletic,Kansas State,Big 12,4,False,1,80,80,"{'minutes': 4, 'seconds': 29}",2,52,52,"{'minutes': 14, 'seconds': 20}","{'minutes': 5, 'seconds': 9}",10,28,DOWNS,False,0,3,0,3
4017568825,401756882,Kansas State,Big 12,Army,American Athletic,5,True,2,52,48,"{'minutes': 14, 'seconds': 20}",2,100,0,"{'minutes': 11, 'seconds': 47}","{'minutes': 2, 'seconds': 33}",6,47,TD,True,3,0,10,0
4017568826,401756882,Army,American Athletic,Kansas State,Big 12,6,False,2,75,75,"{'minutes': 11, 'seconds': 47}",2,61,61,"{'minutes': 9, 'seconds': 28}","{'minutes': 2, 'seconds': 19}",4,14,PUNT,False,0,10,0,10
4017568827,401756882,Kansas State,Big 12,Army,American Athletic,7,True,2,12,88,"{'minutes': 9, 'seconds': 28}",2,80,20,"{'minutes': 2, 'seconds': 25}","{'minutes': 7, 'seconds': 3}",12,68,FG,True,10,0,13,0
4017568828,401756882,Army,American Athletic,Kansas State,Big 12,8,True,2,75,75,"{'minutes': 2, 'seconds': 25}",2,65,65,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 25}",16,75,END OF HALF,False,0,13,7,13
4017568829,401756882,Army,American Athletic,Kansas State,Big 12,9,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,71,71,"{'minutes': 13, 'seconds': 3}","{'minutes': 1, 'seconds': 57}",3,4,PUNT,False,7,13,7,13
40175688210,401756882,Kansas State,Big 12,Army,American Athletic,10,False,3,31,69,"{'minutes': 13, 'seconds': 3}",3,53,47,"{'minutes': 11, 'seconds': 18}","{'minutes': 1, 'seconds': 45}",4,22,PUNT,True,13,7,13,7
40175688211,401756882,Army,American Athletic,Kansas State,Big 12,11,True,3,89,89,"{'minutes': 11, 'seconds': 18}",3,3,3,"{'minutes': 3, 'seconds': 20}","{'minutes': 7, 'seconds': 58}",14,89,TD,False,7,13,14,13
40175688212,401756882,Kansas State,Big 12,Army,American Athletic,12,True,3,100,0,"{'minutes': 3, 'seconds': 20}",3,100,0,"{'minutes': 3, 'seconds': 8}","{'minutes': 0, 'seconds': 12}",0,0,TD,True,21,14,21,14
40175688213,401756882,Army,American Athletic,Kansas State,Big 12,13,True,3,75,75,"{'minutes': 3, 'seconds': 8}",4,18,18,"{'minutes': 10, 'seconds': 46}","{'minutes': 7, 'seconds': 22}",13,57,FG,False,14,21,17,21
40175688214,401756882,Army,American Athletic,Kansas State,Big 12,14,True,4,56,56,"{'minutes': 10, 'seconds': 46}",4,0,0,"{'minutes': 2, 'seconds': 52}","{'minutes': 7, 'seconds': 54}",14,56,TD,False,17,21,24,21
40175688215,401756882,Kansas State,Big 12,Army,American Athletic,15,False,4,25,75,"{'minutes': 2, 'seconds': 52}",4,51,49,"{'minutes': 1, 'seconds': 35}","{'minutes': 1, 'seconds': 17}",9,26,INT,True,21,24,21,24
40175688216,401756882,Army,American Athletic,Kansas State,Big 12,16,False,4,46,46,"{'minutes': 1, 'seconds': 35}",4,60,60,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 35}",3,-14,END OF GAME,False,24,21,24,21
4017604012,401760401,Army,American Athletic,Air Force,Mountain West,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,71,71,"{'minutes': 13, 'seconds': 35}","{'minutes': 1, 'seconds': 25}",3,4,PUNT,False,0,0,0,0
4017604013,401760401,Air Force,Mountain West,Army,American Athletic,2,False,1,24,76,"{'minutes': 13, 'seconds': 28}",1,52,48,"{'minutes': 10, 'seconds': 27}","{'minutes': 3, 'seconds': 8}",6,28,PUNT,True,0,0,0,0
4017604014,401760401,Army,American Athletic,Air Force,Mountain West,3,False,1,80,80,"{'minutes': 10, 'seconds': 19}",1,77,77,"{'minutes': 8, 'seconds': 43}","{'minutes': 1, 'seconds': 44}",3,3,PUNT,False,0,0,0,0
4017604015,401760401,Air Force,Mountain West,Army,American Athletic,4,True,1,29,71,"{'minutes': 8, 'seconds': 36}",1,65,35,"{'minutes': 2, 'seconds': 25}","{'minutes': 6, 'seconds': 18}",11,36,FG,True,0,0,3,0
4017604017,401760401,Army,American Athletic,Air Force,Mountain West,5,True,1,75,75,"{'minutes': 2, 'seconds': 25}",1,3,3,"{'minutes': 0, 'seconds': 5}","{'minutes': 2, 'seconds': 20}",4,75,TD,False,0,3,7,3
4017604019,401760401,Air Force,Mountain West,Army,American Athletic,6,False,1,25,75,"{'minutes': 0, 'seconds': 5}",2,51,49,"{'minutes': 11, 'seconds': 52}","{'minutes': 3, 'seconds': 13}",7,26,PUNT,True,3,7,3,7
40176040110,401760401,Army,American Athletic,Air Force,Mountain West,7,False,2,85,85,"{'minutes': 11, 'seconds': 45}",2,43,43,"{'minutes': 4, 'seconds': 57}","{'minutes': 6, 'seconds': 55}",10,42,PUNT,False,7,3,7,3
40176040111,401760401,Air Force,Mountain West,Army,American Athletic,8,False,2,2,98,"{'minutes': 4, 'seconds': 49}",2,14,86,"{'minutes': 2, 'seconds': 23}","{'minutes': 2, 'seconds': 34}",5,12,INT,True,3,7,3,7
40176040112,401760401,Army,American Athletic,Air Force,Mountain West,9,True,2,41,41,"{'minutes': 2, 'seconds': 16}",2,27,27,"{'minutes': 0, 'seconds': 35}","{'minutes': 1, 'seconds': 48}",7,14,FG,False,7,3,10,3
40176040114,401760401,Air Force,Mountain West,Army,American Athletic,10,False,2,25,75,"{'minutes': 0, 'seconds': 35}",2,77,23,"{'minutes': 0, 'seconds': 1}","{'minutes': 0, 'seconds': 34}",7,52,MISSED FG,True,3,10,3,10
40176040115,401760401,Army,American Athletic,Air Force,Mountain West,11,False,2,77,77,"{'minutes': 0, 'seconds': 1}",2,78,78,"{'minutes': 0, 'seconds': 1}","{'minutes': 0, 'seconds': 1}",1,-1,END OF HALF,False,10,3,10,3
40176040117,401760401,Air Force,Mountain West,Army,American Athletic,12,False,3,25,75,"{'minutes': 15, 'seconds': 0}",3,82,18,"{'minutes': 8, 'seconds': 30}","{'minutes': 6, 'seconds': 30}",11,57,INT,True,3,10,3,10
