id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017526671,401752667,Baylor,Big 12,Auburn,SEC,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,81,19,"{'minutes': 10, 'seconds': 36}","{'minutes': 4, 'seconds': 24}",13,56,FG,True,0,0,3,0
4017526672,401752667,Auburn,SEC,Baylor,Big 12,2,False,1,75,75,"{'minutes': 10, 'seconds': 36}",1,75,75,"{'minutes': 9, 'seconds': 14}","{'minutes': 1, 'seconds': 22}",3,0,PUNT,False,0,3,0,3
4017526673,401752667,Baylor,Big 12,Auburn,SEC,3,False,1,35,65,"{'minutes': 9, 'seconds': 14}",1,97,3,"{'minutes': 6, 'seconds': 27}","{'minutes': 2, 'seconds': 47}",6,62,DOWNS,True,3,0,3,0
4017526674,401752667,Auburn,SEC,Baylor,Big 12,4,True,1,96,96,"{'minutes': 6, 'seconds': 27}",1,0,0,"{'minutes': 0, 'seconds': 34}","{'minutes': 5, 'seconds': 53}",12,96,TD,False,0,3,7,3
4017526675,401752667,Baylor,Big 12,Auburn,SEC,5,False,1,35,65,"{'minutes': 0, 'seconds': 28}",2,33,67,"{'minutes': 14, 'seconds': 14}","{'minutes': 1, 'seconds': 14}",3,-2,PUNT,True,3,7,3,7
4017526676,401752667,Auburn,SEC,Baylor,Big 12,6,True,2,65,65,"{'minutes': 14, 'seconds': 14}",2,0,0,"{'minutes': 10, 'seconds': 29}","{'minutes': 3, 'seconds': 45}",7,65,TD,False,7,3,14,3
4017526677,401752667,Baylor,Big 12,Auburn,SEC,7,False,2,25,75,"{'minutes': 10, 'seconds': 29}",2,44,56,"{'minutes': 8, 'seconds': 43}","{'minutes': 1, 'seconds': 46}",5,19,DOWNS,True,3,14,3,14
4017526678,401752667,Auburn,SEC,Baylor,Big 12,8,True,2,44,44,"{'minutes': 8, 'seconds': 43}",2,3,3,"{'minutes': 5, 'seconds': 45}","{'minutes': 2, 'seconds': 58}",7,41,FG,False,14,3,17,3
4017526679,401752667,Baylor,Big 12,Auburn,SEC,9,True,2,25,75,"{'minutes': 5, 'seconds': 45}",2,100,0,"{'minutes': 3, 'seconds': 21}","{'minutes': 2, 'seconds': 24}",8,75,TD,True,3,17,10,17
40175266710,401752667,Auburn,SEC,Baylor,Big 12,10,False,2,75,75,"{'minutes': 3, 'seconds': 21}",2,59,59,"{'minutes': 0, 'seconds': 38}","{'minutes': 2, 'seconds': 43}",9,16,PUNT,False,17,10,17,10
40175266711,401752667,Baylor,Big 12,Auburn,SEC,11,False,2,35,65,"{'minutes': 0, 'seconds': 38}",2,70,30,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 38}",6,35,END OF HALF,True,10,17,10,17
40175266712,401752667,Auburn,SEC,Baylor,Big 12,12,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,49,49,"{'minutes': 11, 'seconds': 23}","{'minutes': 3, 'seconds': 37}",7,26,PUNT,False,17,10,17,10
40175266713,401752667,Baylor,Big 12,Auburn,SEC,13,False,3,10,90,"{'minutes': 11, 'seconds': 23}",3,28,72,"{'minutes': 9, 'seconds': 52}","{'minutes': 1, 'seconds': 31}",4,18,PUNT,True,10,17,10,17
40175266714,401752667,Auburn,SEC,Baylor,Big 12,14,True,3,71,71,"{'minutes': 9, 'seconds': 52}",3,0,0,"{'minutes': 5, 'seconds': 40}","{'minutes': 4, 'seconds': 12}",9,71,TD,False,17,10,24,10
40175266715,401752667,Baylor,Big 12,Auburn,SEC,15,True,3,25,75,"{'minutes': 5, 'seconds': 40}",3,100,0,"{'minutes': 0, 'seconds': 58}","{'minutes': 4, 'seconds': 42}",10,75,TD,True,10,24,17,31
40175266716,401752667,Baylor,Big 12,Auburn,SEC,16,True,3,21,79,"{'minutes': 0, 'seconds': 37}",4,100,0,"{'minutes': 11, 'seconds': 48}","{'minutes': 3, 'seconds': 49}",9,79,TD,True,17,31,24,38
40175266717,401752667,Auburn,SEC,Baylor,Big 12,17,True,4,75,75,"{'minutes': 11, 'seconds': 48}",4,0,0,"{'minutes': 4, 'seconds': 32}","{'minutes': 7, 'seconds': 16}",12,75,TD,False,31,24,38,24
40175266718,401752667,Baylor,Big 12,Auburn,SEC,18,False,4,25,75,"{'minutes': 4, 'seconds': 32}",4,89,11,"{'minutes': 1, 'seconds': 17}","{'minutes': 3, 'seconds': 15}",9,64,DOWNS,True,24,38,24,38
