id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017545261,401754526,Stanford,ACC,BYU,Big 12,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,71,71,"{'minutes': 13, 'seconds': 26}","{'minutes': 1, 'seconds': 34}",3,4,PUNT,False,0,0,0,0
4017545262,401754526,BYU,Big 12,Stanford,ACC,2,False,1,30,70,"{'minutes': 13, 'seconds': 26}",1,60,40,"{'minutes': 8, 'seconds': 13}","{'minutes': 5, 'seconds': 13}",11,30,DOWNS,True,0,0,0,0
4017545263,401754526,Stanford,ACC,BYU,Big 12,3,False,1,60,60,"{'minutes': 8, 'seconds': 13}",1,40,40,"{'minutes': 6, 'seconds': 41}","{'minutes': 1, 'seconds': 32}",4,20,PUNT,False,0,0,0,0
4017545264,401754526,BYU,Big 12,Stanford,ACC,4,True,1,15,85,"{'minutes': 6, 'seconds': 41}",1,100,0,"{'minutes': 3, 'seconds': 25}","{'minutes': 3, 'seconds': 16}",6,85,TD,True,0,0,6,0
4017545265,401754526,Stanford,ACC,BYU,Big 12,5,False,1,75,75,"{'minutes': 3, 'seconds': 25}",1,68,68,"{'minutes': 1, 'seconds': 59}","{'minutes': 1, 'seconds': 26}",3,7,INT,False,0,6,0,6
4017545266,401754526,BYU,Big 12,Stanford,ACC,6,True,1,82,18,"{'minutes': 1, 'seconds': 59}",2,83,17,"{'minutes': 14, 'seconds': 56}","{'minutes': 2, 'seconds': 3}",4,1,FG,True,6,0,9,0
4017545267,401754526,Stanford,ACC,BYU,Big 12,7,False,2,82,82,"{'minutes': 14, 'seconds': 56}",2,84,84,"{'minutes': 12, 'seconds': 51}","{'minutes': 2, 'seconds': 5}",3,-13,FUMBLE,False,0,9,0,9
4017545268,401754526,BYU,Big 12,Stanford,ACC,8,True,2,95,5,"{'minutes': 12, 'seconds': 51}",2,88,12,"{'minutes': 10, 'seconds': 52}","{'minutes': 1, 'seconds': 59}",5,-7,FG,True,9,0,12,0
4017545269,401754526,Stanford,ACC,BYU,Big 12,9,False,2,75,75,"{'minutes': 10, 'seconds': 52}",2,84,84,"{'minutes': 9, 'seconds': 17}","{'minutes': 1, 'seconds': 35}",3,-9,PUNT,False,0,12,0,12
40175452610,401754526,BYU,Big 12,Stanford,ACC,10,False,2,50,50,"{'minutes': 9, 'seconds': 17}",2,55,45,"{'minutes': 5, 'seconds': 59}","{'minutes': 3, 'seconds': 18}",6,5,PUNT,True,12,0,12,0
40175452611,401754526,Stanford,ACC,BYU,Big 12,11,True,2,97,97,"{'minutes': 5, 'seconds': 59}",2,99,99,"{'minutes': 5, 'seconds': 14}","{'minutes': 0, 'seconds': 45}",2,-3,SF,False,0,12,0,14
40175452612,401754526,BYU,Big 12,Stanford,ACC,12,False,2,50,50,"{'minutes': 5, 'seconds': 14}",2,39,61,"{'minutes': 2, 'seconds': 3}","{'minutes': 3, 'seconds': 11}",4,-11,PUNT,True,14,0,14,0
40175452613,401754526,Stanford,ACC,BYU,Big 12,13,False,2,87,87,"{'minutes': 2, 'seconds': 3}",2,73,73,"{'minutes': 1, 'seconds': 10}","{'minutes': 0, 'seconds': 53}",6,14,FUMBLE,False,0,14,0,14
40175452614,401754526,BYU,Big 12,Stanford,ACC,14,False,2,27,73,"{'minutes': 1, 'seconds': 10}",2,54,46,"{'minutes': 0, 'seconds': 15}","{'minutes': 0, 'seconds': 55}",6,27,PUNT,True,14,0,14,0
40175452615,401754526,Stanford,ACC,BYU,Big 12,15,False,2,95,95,"{'minutes': 0, 'seconds': 15}",2,96,96,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 15}",1,-1,END OF HALF,False,0,14,0,14
40175452616,401754526,BYU,Big 12,Stanford,ACC,16,True,3,25,75,"{'minutes': 15, 'seconds': 0}",3,97,3,"{'minutes': 8, 'seconds': 56}","{'minutes': 6, 'seconds': 4}",13,72,FG,True,14,0,17,0
40175452617,401754526,Stanford,ACC,BYU,Big 12,17,False,3,75,75,"{'minutes': 8, 'seconds': 56}",3,66,66,"{'minutes': 5, 'seconds': 57}","{'minutes': 2, 'seconds': 59}",5,9,PUNT,False,0,17,0,17
40175452618,401754526,BYU,Big 12,Stanford,ACC,18,True,3,57,43,"{'minutes': 5, 'seconds': 57}",3,100,0,"{'minutes': 3, 'seconds': 36}","{'minutes': 2, 'seconds': 21}",5,43,TD,True,17,0,24,0
40175452619,401754526,Stanford,ACC,BYU,Big 12,19,True,3,75,75,"{'minutes': 3, 'seconds': 36}",4,8,8,"{'minutes': 10, 'seconds': 31}","{'minutes': 8, 'seconds': 5}",15,67,FG,False,0,24,3,24
40175452620,401754526,BYU,Big 12,Stanford,ACC,20,True,4,25,75,"{'minutes': 10, 'seconds': 31}",4,94,6,"{'minutes': 6, 'seconds': 33}","{'minutes': 3, 'seconds': 58}",8,69,FG,True,24,3,27,3
40175452621,401754526,Stanford,ACC,BYU,Big 12,21,False,4,78,78,"{'minutes': 6, 'seconds': 33}",4,27,27,"{'minutes': 2, 'seconds': 38}","{'minutes': 3, 'seconds': 55}",12,51,INT,False,3,27,3,27
40175452622,401754526,BYU,Big 12,Stanford,ACC,22,False,4,38,62,"{'minutes': 2, 'seconds': 38}",4,51,49,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 38}",4,13,END OF GAME,True,27,3,27,3
4017568511,401756851,Portland State,Big Sky,BYU,Big 12,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,48,48,"{'minutes': 11, 'seconds': 59}","{'minutes': 3, 'seconds': 1}",5,27,PUNT,False,0,0,0,0
4017568512,401756851,BYU,Big 12,Portland State,Big Sky,2,False,1,11,89,"{'minutes': 11, 'seconds': 59}",1,32,68,"{'minutes': 9, 'seconds': 54}","{'minutes': 2, 'seconds': 5}",5,21,PUNT,True,0,0,0,0
4017568513,401756851,Portland State,Big Sky,BYU,Big 12,3,False,1,80,80,"{'minutes': 9, 'seconds': 54}",1,60,60,"{'minutes': 6, 'seconds': 37}","{'minutes': 3, 'seconds': 17}",6,20,PUNT,False,0,0,0,0
4017568514,401756851,Portland State,Big Sky,BYU,Big 12,4,True,1,37,37,"{'minutes': 6, 'seconds': 37}",1,39,39,"{'minutes': 3, 'seconds': 58}","{'minutes': 2, 'seconds': 39}",4,-2,MISSED FG TD,False,0,0,0,7
4017568515,401756851,Portland State,Big Sky,BYU,Big 12,5,False,1,75,75,"{'minutes': 3, 'seconds': 58}",1,74,74,"{'minutes': 2, 'seconds': 23}","{'minutes': 1, 'seconds': 35}",3,1,PUNT,False,0,7,0,7
4017568516,401756851,BYU,Big 12,Portland State,Big Sky,6,True,1,44,56,"{'minutes': 2, 'seconds': 23}",1,100,0,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 23}",4,56,TD,True,7,0,14,0
4017568517,401756851,Portland State,Big Sky,BYU,Big 12,7,False,2,75,75,"{'minutes': 15, 'seconds': 0}",2,68,68,"{'minutes': 12, 'seconds': 47}","{'minutes': 2, 'seconds': 13}",3,7,PUNT,False,0,14,0,14
4017568518,401756851,BYU,Big 12,Portland State,Big Sky,8,True,2,52,48,"{'minutes': 12, 'seconds': 47}",2,100,0,"{'minutes': 9, 'seconds': 52}","{'minutes': 2, 'seconds': 55}",7,48,TD,True,14,0,21,0
4017568519,401756851,Portland State,Big Sky,BYU,Big 12,9,False,2,83,83,"{'minutes': 9, 'seconds': 48}",2,81,81,"{'minutes': 8, 'seconds': 46}","{'minutes': 1, 'seconds': 2}",3,2,PUNT,False,0,21,0,21
40175685110,401756851,BYU,Big 12,Portland State,Big Sky,10,True,2,16,84,"{'minutes': 8, 'seconds': 46}",2,100,0,"{'minutes': 6, 'seconds': 53}","{'minutes': 1, 'seconds': 53}",4,84,TD,True,21,0,28,0
40175685111,401756851,Portland State,Big Sky,BYU,Big 12,11,False,2,80,80,"{'minutes': 6, 'seconds': 49}",2,94,94,"{'minutes': 6, 'seconds': 40}","{'minutes': 0, 'seconds': 9}",1,-14,FUMBLE,False,0,28,0,28
40175685112,401756851,BYU,Big 12,Portland State,Big Sky,12,True,2,94,6,"{'minutes': 6, 'seconds': 40}",2,100,0,"{'minutes': 6, 'seconds': 15}","{'minutes': 0, 'seconds': 25}",2,6,TD,True,28,0,35,0
40175685113,401756851,Portland State,Big Sky,BYU,Big 12,13,False,2,75,75,"{'minutes': 6, 'seconds': 15}",2,61,61,"{'minutes': 4, 'seconds': 59}","{'minutes': 1, 'seconds': 16}",3,14,PUNT,False,0,35,0,35
40175685114,401756851,BYU,Big 12,Portland State,Big Sky,14,True,2,9,91,"{'minutes': 4, 'seconds': 59}",2,100,0,"{'minutes': 3, 'seconds': 35}","{'minutes': 1, 'seconds': 24}",4,91,TD,True,35,0,42,0
40175685115,401756851,Portland State,Big Sky,BYU,Big 12,15,False,2,75,75,"{'minutes': 3, 'seconds': 35}",2,79,79,"{'minutes': 1, 'seconds': 54}","{'minutes': 1, 'seconds': 41}",3,-4,PUNT,False,0,42,0,42
40175685116,401756851,BYU,Big 12,Portland State,Big Sky,16,True,2,42,58,"{'minutes': 1, 'seconds': 54}",2,100,0,"{'minutes': 0, 'seconds': 49}","{'minutes': 1, 'seconds': 5}",4,58,TD,True,42,0,49,0
