id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017526831,401752683,Ball State,Mid-American,Auburn,SEC,1,False,1,75,75,"{'minutes': 14, 'seconds': 53}",1,70,70,"{'minutes': 13, 'seconds': 17}","{'minutes': 1, 'seconds': 36}",3,5,PUNT,False,0,0,0,0
4017526832,401752683,Auburn,SEC,Ball State,Mid-American,2,False,1,23,77,"{'minutes': 13, 'seconds': 17}",1,35,65,"{'minutes': 8, 'seconds': 59}","{'minutes': 4, 'seconds': 18}",8,12,PUNT,True,0,0,0,0
4017526833,401752683,Ball State,Mid-American,Auburn,SEC,3,False,1,80,80,"{'minutes': 8, 'seconds': 59}",1,75,75,"{'minutes': 4, 'seconds': 57}","{'minutes': 4, 'seconds': 2}",6,5,PUNT,False,0,0,0,0
4017526834,401752683,Auburn,SEC,Ball State,Mid-American,4,True,1,45,55,"{'minutes': 4, 'seconds': 57}",1,100,0,"{'minutes': 4, 'seconds': 15}","{'minutes': 0, 'seconds': 42}",2,55,TD,True,0,0,7,0
4017526835,401752683,Ball State,Mid-American,Auburn,SEC,5,False,1,78,78,"{'minutes': 4, 'seconds': 10}",1,80,80,"{'minutes': 1, 'seconds': 55}","{'minutes': 2, 'seconds': 15}",3,-2,PUNT,False,0,7,0,7
4017526836,401752683,Auburn,SEC,Ball State,Mid-American,6,True,1,50,50,"{'minutes': 1, 'seconds': 55}",1,100,0,"{'minutes': 0, 'seconds': 44}","{'minutes': 1, 'seconds': 11}",3,50,TD,True,7,0,14,0
4017526837,401752683,Ball State,Mid-American,Auburn,SEC,7,False,1,88,88,"{'minutes': 0, 'seconds': 37}",2,35,35,"{'minutes': 10, 'seconds': 4}","{'minutes': 5, 'seconds': 33}",10,53,FUMBLE,False,0,14,0,14
4017526838,401752683,Auburn,SEC,Ball State,Mid-American,8,False,2,35,65,"{'minutes': 10, 'seconds': 4}",2,67,33,"{'minutes': 5, 'seconds': 22}","{'minutes': 4, 'seconds': 42}",10,32,MISSED FG,True,14,0,14,0
4017526839,401752683,Ball State,Mid-American,Auburn,SEC,9,False,2,67,67,"{'minutes': 5, 'seconds': 22}",2,73,73,"{'minutes': 3, 'seconds': 51}","{'minutes': 1, 'seconds': 31}",3,-6,PUNT,False,0,14,0,14
40175268310,401752683,Auburn,SEC,Ball State,Mid-American,10,True,2,33,67,"{'minutes': 3, 'seconds': 51}",2,100,0,"{'minutes': 0, 'seconds': 37}","{'minutes': 3, 'seconds': 14}",9,67,TD,True,14,0,21,0
40175268311,401752683,Ball State,Mid-American,Auburn,SEC,11,False,2,75,75,"{'minutes': 0, 'seconds': 37}",2,81,81,"{'minutes': 0, 'seconds': 15}","{'minutes': 0, 'seconds': 22}",3,-6,PUNT,False,0,21,0,21
40175268312,401752683,Auburn,SEC,Ball State,Mid-American,12,False,2,14,86,"{'minutes': 0, 'seconds': 15}",2,13,87,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 15}",1,-1,END OF HALF,True,21,0,21,0
40175268313,401752683,Auburn,SEC,Ball State,Mid-American,13,False,3,26,74,"{'minutes': 14, 'seconds': 54}",3,50,50,"{'minutes': 11, 'seconds': 42}","{'minutes': 3, 'seconds': 12}",6,24,PUNT,True,21,0,21,0
40175268314,401752683,Ball State,Mid-American,Auburn,SEC,14,False,3,70,70,"{'minutes': 11, 'seconds': 42}",3,70,70,"{'minutes': 9, 'seconds': 12}","{'minutes': 2, 'seconds': 30}",3,0,PUNT,False,0,21,0,21
40175268315,401752683,Auburn,SEC,Ball State,Mid-American,15,True,3,21,79,"{'minutes': 9, 'seconds': 12}",3,100,0,"{'minutes': 7, 'seconds': 32}","{'minutes': 1, 'seconds': 40}",4,79,TD,True,21,0,28,0
40175268316,401752683,Ball State,Mid-American,Auburn,SEC,16,False,3,75,75,"{'minutes': 7, 'seconds': 32}",3,79,79,"{'minutes': 5, 'seconds': 43}","{'minutes': 1, 'seconds': 49}",3,-4,PUNT,False,0,28,0,28
40175268317,401752683,Auburn,SEC,Ball State,Mid-American,17,False,3,20,80,"{'minutes': 5, 'seconds': 43}",3,23,77,"{'minutes': 4, 'seconds': 54}","{'minutes': 0, 'seconds': 49}",2,3,FUMBLE,True,28,0,28,0
40175268318,401752683,Ball State,Mid-American,Auburn,SEC,18,True,3,23,23,"{'minutes': 4, 'seconds': 54}",3,4,4,"{'minutes': 1, 'seconds': 4}","{'minutes': 3, 'seconds': 50}",7,19,FG,False,0,28,3,28
40175268319,401752683,Auburn,SEC,Ball State,Mid-American,19,True,3,28,72,"{'minutes': 0, 'seconds': 58}",4,100,0,"{'minutes': 12, 'seconds': 22}","{'minutes': 3, 'seconds': 36}",9,72,TD,True,28,3,35,3
