id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017571651,401757165,Notre Dame,FBS Independents,Boise State,Mountain West,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,98,2,"{'minutes': 10, 'seconds': 7}","{'minutes': 4, 'seconds': 53}",10,73,DOWNS,True,0,0,0,0
4017571652,401757165,Boise State,Mountain West,Notre Dame,FBS Independents,2,False,1,98,98,"{'minutes': 10, 'seconds': 7}",1,86,86,"{'minutes': 7, 'seconds': 12}","{'minutes': 2, 'seconds': 55}",5,12,PUNT,False,0,0,0,0
4017571653,401757165,Notre Dame,FBS Independents,Boise State,Mountain West,3,True,1,31,69,"{'minutes': 7, 'seconds': 12}",1,100,0,"{'minutes': 4, 'seconds': 47}","{'minutes': 2, 'seconds': 25}",6,69,TD,True,0,0,6,0
4017571654,401757165,Boise State,Mountain West,Notre Dame,FBS Independents,4,False,1,75,75,"{'minutes': 4, 'seconds': 47}",1,66,66,"{'minutes': 0, 'seconds': 3}","{'minutes': 4, 'seconds': 44}",7,9,PUNT,False,0,6,0,6
4017571655,401757165,Notre Dame,FBS Independents,Boise State,Mountain West,5,False,1,42,58,"{'minutes': 0, 'seconds': 3}",2,41,59,"{'minutes': 13, 'seconds': 9}","{'minutes': 1, 'seconds': 54}",3,-1,PUNT,True,6,0,6,0
4017571656,401757165,Boise State,Mountain West,Notre Dame,FBS Independents,6,False,2,85,85,"{'minutes': 13, 'seconds': 9}",2,80,80,"{'minutes': 11, 'seconds': 36}","{'minutes': 1, 'seconds': 33}",3,5,PUNT,False,0,6,0,6
4017571657,401757165,Notre Dame,FBS Independents,Boise State,Mountain West,7,False,2,42,58,"{'minutes': 11, 'seconds': 36}",2,72,28,"{'minutes': 9, 'seconds': 27}","{'minutes': 2, 'seconds': 9}",5,30,DOWNS,True,6,0,6,0
4017571658,401757165,Boise State,Mountain West,Notre Dame,FBS Independents,8,True,2,72,72,"{'minutes': 9, 'seconds': 27}",2,0,0,"{'minutes': 4, 'seconds': 3}","{'minutes': 5, 'seconds': 24}",10,72,TD,False,0,6,7,6
4017571659,401757165,Notre Dame,FBS Independents,Boise State,Mountain West,9,True,2,25,75,"{'minutes': 4, 'seconds': 3}",2,100,0,"{'minutes': 0, 'seconds': 48}","{'minutes': 3, 'seconds': 15}",9,75,TD,True,6,7,14,7
40175716510,401757165,Boise State,Mountain West,Notre Dame,FBS Independents,10,False,2,75,75,"{'minutes': 0, 'seconds': 48}",2,31,31,"{'minutes': 0, 'seconds': 8}","{'minutes': 0, 'seconds': 40}",5,44,INT,False,7,14,7,14
40175716511,401757165,Notre Dame,FBS Independents,Boise State,Mountain West,11,False,2,25,75,"{'minutes': 0, 'seconds': 8}",2,24,76,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 8}",1,-1,END OF HALF,True,14,7,14,7
40175716512,401757165,Boise State,Mountain West,Notre Dame,FBS Independents,12,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,41,41,"{'minutes': 10, 'seconds': 20}","{'minutes': 4, 'seconds': 40}",8,34,PUNT,False,7,14,7,14
40175716513,401757165,Notre Dame,FBS Independents,Boise State,Mountain West,13,True,3,21,79,"{'minutes': 10, 'seconds': 20}",3,100,0,"{'minutes': 5, 'seconds': 49}","{'minutes': 4, 'seconds': 31}",10,79,TD,True,14,7,21,7
40175716514,401757165,Boise State,Mountain West,Notre Dame,FBS Independents,14,False,3,75,75,"{'minutes': 5, 'seconds': 49}",3,52,52,"{'minutes': 1, 'seconds': 40}","{'minutes': 4, 'seconds': 9}",7,23,INT,False,7,21,7,21
40175716515,401757165,Notre Dame,FBS Independents,Boise State,Mountain West,15,False,3,37,63,"{'minutes': 1, 'seconds': 40}",4,55,45,"{'minutes': 14, 'seconds': 16}","{'minutes': 2, 'seconds': 24}",3,18,PUNT,True,21,7,21,7
40175716516,401757165,Boise State,Mountain West,Notre Dame,FBS Independents,16,False,4,80,80,"{'minutes': 14, 'seconds': 16}",4,48,48,"{'minutes': 8, 'seconds': 37}","{'minutes': 5, 'seconds': 39}",9,32,DOWNS,False,7,21,7,21
40175716517,401757165,Notre Dame,FBS Independents,Boise State,Mountain West,17,True,4,48,52,"{'minutes': 8, 'seconds': 37}",4,100,0,"{'minutes': 7, 'seconds': 54}","{'minutes': 0, 'seconds': 43}",2,52,TD,True,21,7,28,7
40175716518,401757165,Boise State,Mountain West,Notre Dame,FBS Independents,18,False,4,75,75,"{'minutes': 7, 'seconds': 54}",4,34,34,"{'minutes': 4, 'seconds': 26}","{'minutes': 3, 'seconds': 28}",10,41,INT,False,7,28,7,28
40175716519,401757165,Notre Dame,FBS Independents,Boise State,Mountain West,19,False,4,27,73,"{'minutes': 4, 'seconds': 26}",4,23,77,"{'minutes': 3, 'seconds': 57}","{'minutes': 0, 'seconds': 29}",3,-4,PUNT,True,28,7,28,7
40175716520,401757165,Boise State,Mountain West,Notre Dame,FBS Independents,20,False,4,67,67,"{'minutes': 3, 'seconds': 57}",4,35,35,"{'minutes': 1, 'seconds': 23}","{'minutes': 2, 'seconds': 34}",7,32,INT,False,7,28,7,28
40175716521,401757165,Notre Dame,FBS Independents,Boise State,Mountain West,21,False,4,25,75,"{'minutes': 1, 'seconds': 23}",4,23,77,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 23}",2,-2,END OF GAME,True,28,7,28,7
4017603631,401760363,Boise State,Mountain West,Eastern Washington,Big Sky,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 13, 'seconds': 50}","{'minutes': 1, 'seconds': 10}",3,75,TD,True,0,0,6,0
4017603632,401760363,Eastern Washington,Big Sky,Boise State,Mountain West,2,False,1,75,75,"{'minutes': 13, 'seconds': 50}",1,59,59,"{'minutes': 12, 'seconds': 4}","{'minutes': 1, 'seconds': 46}",4,16,FUMBLE,False,0,6,0,6
4017603633,401760363,Boise State,Mountain West,Eastern Washington,Big Sky,3,True,1,59,41,"{'minutes': 12, 'seconds': 4}",1,100,0,"{'minutes': 10, 'seconds': 1}","{'minutes': 2, 'seconds': 3}",6,41,TD,True,6,0,13,0
4017603634,401760363,Eastern Washington,Big Sky,Boise State,Mountain West,4,False,1,75,75,"{'minutes': 10, 'seconds': 1}",1,66,66,"{'minutes': 7, 'seconds': 20}","{'minutes': 2, 'seconds': 41}",6,9,PUNT,False,0,13,0,13
4017603635,401760363,Boise State,Mountain West,Eastern Washington,Big Sky,5,False,1,4,96,"{'minutes': 7, 'seconds': 20}",1,13,87,"{'minutes': 6, 'seconds': 7}","{'minutes': 1, 'seconds': 13}",3,9,PUNT,True,13,0,13,0
4017603636,401760363,Eastern Washington,Big Sky,Boise State,Mountain West,6,False,1,61,61,"{'minutes': 6, 'seconds': 7}",1,40,40,"{'minutes': 2, 'seconds': 57}","{'minutes': 3, 'seconds': 10}",7,21,DOWNS,False,0,13,0,13
4017603637,401760363,Boise State,Mountain West,Eastern Washington,Big Sky,7,True,1,40,60,"{'minutes': 2, 'seconds': 57}",1,100,0,"{'minutes': 2, 'seconds': 49}","{'minutes': 0, 'seconds': 8}",1,60,TD,True,20,0,20,0
4017603638,401760363,Eastern Washington,Big Sky,Boise State,Mountain West,8,False,1,75,75,"{'minutes': 2, 'seconds': 49}",1,71,71,"{'minutes': 1, 'seconds': 31}","{'minutes': 1, 'seconds': 18}",3,4,PUNT,False,0,20,0,20
4017603639,401760363,Boise State,Mountain West,Eastern Washington,Big Sky,9,False,1,36,64,"{'minutes': 1, 'seconds': 31}",2,72,28,"{'minutes': 13, 'seconds': 36}","{'minutes': 2, 'seconds': 55}",8,36,MISSED FG,True,20,0,20,0
40176036310,401760363,Eastern Washington,Big Sky,Boise State,Mountain West,10,True,2,72,72,"{'minutes': 13, 'seconds': 36}",2,0,0,"{'minutes': 8, 'seconds': 53}","{'minutes': 4, 'seconds': 43}",10,72,TD,False,0,20,7,20
40176036311,401760363,Boise State,Mountain West,Eastern Washington,Big Sky,11,True,2,20,80,"{'minutes': 8, 'seconds': 45}",2,100,0,"{'minutes': 6, 'seconds': 26}","{'minutes': 2, 'seconds': 19}",5,80,TD,True,20,7,27,7
40176036312,401760363,Eastern Washington,Big Sky,Boise State,Mountain West,12,False,2,75,75,"{'minutes': 6, 'seconds': 26}",2,74,74,"{'minutes': 4, 'seconds': 47}","{'minutes': 1, 'seconds': 39}",3,1,PUNT,False,7,27,7,27
40176036313,401760363,Boise State,Mountain West,Eastern Washington,Big Sky,13,False,2,38,62,"{'minutes': 4, 'seconds': 47}",2,37,63,"{'minutes': 3, 'seconds': 6}","{'minutes': 1, 'seconds': 41}",3,-1,PUNT,True,27,7,27,7
40176036314,401760363,Eastern Washington,Big Sky,Boise State,Mountain West,14,False,2,96,96,"{'minutes': 3, 'seconds': 6}",2,89,89,"{'minutes': 1, 'seconds': 43}","{'minutes': 1, 'seconds': 23}",3,7,PUNT,False,7,27,7,27
40176036315,401760363,Boise State,Mountain West,Eastern Washington,Big Sky,15,True,2,52,48,"{'minutes': 1, 'seconds': 43}",2,83,17,"{'minutes': 0, 'seconds': 50}","{'minutes': 0, 'seconds': 53}",5,31,FG,True,27,7,30,7
40176036316,401760363,Eastern Washington,Big Sky,Boise State,Mountain West,16,False,2,75,75,"{'minutes': 0, 'seconds': 50}",2,86,86,"{'minutes': 0, 'seconds': 12}","{'minutes': 0, 'seconds': 38}",3,-11,PUNT,False,7,30,7,30
40176036317,401760363,Boise State,Mountain West,Eastern Washington,Big Sky,17,False,2,36,64,"{'minutes': 0, 'seconds': 12}",2,35,65,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 12}",1,-1,END OF HALF,True,30,7,30,7
40176036318,401760363,Eastern Washington,Big Sky,Boise State,Mountain West,18,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,35,35,"{'minutes': 9, 'seconds': 48}","{'minutes': 5, 'seconds': 12}",10,40,DOWNS,False,7,30,7,30
40176036319,401760363,Boise State,Mountain West,Eastern Washington,Big Sky,19,True,3,35,65,"{'minutes': 9, 'seconds': 48}",3,100,0,"{'minutes': 4, 'seconds': 55}","{'minutes': 4, 'seconds': 53}",9,65,TD,True,30,7,37,7
40176036320,401760363,Eastern Washington,Big Sky,Boise State,Mountain West,20,False,3,75,75,"{'minutes': 4, 'seconds': 55}",3,54,54,"{'minutes': 2, 'seconds': 58}","{'minutes': 1, 'seconds': 57}",4,21,PUNT,False,7,37,7,37
