id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017528161,401752816,Boston College,ACC,Michigan State,Big Ten,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,75,75,"{'minutes': 13, 'seconds': 38}","{'minutes': 1, 'seconds': 22}",3,0,PUNT,False,0,0,0,0
4017528162,401752816,Boston College,ACC,Michigan State,Big Ten,2,False,1,39,39,"{'minutes': 13, 'seconds': 38}",1,0,0,"{'minutes': 11, 'seconds': 16}","{'minutes': 2, 'seconds': 22}",4,39,FUMBLE,False,0,0,0,0
4017528163,401752816,Michigan State,Big Ten,Boston College,ACC,3,True,1,20,80,"{'minutes': 11, 'seconds': 16}",1,100,0,"{'minutes': 5, 'seconds': 23}","{'minutes': 5, 'seconds': 53}",11,80,TD,True,0,0,7,0
4017528164,401752816,Boston College,ACC,Michigan State,Big Ten,4,False,1,75,75,"{'minutes': 5, 'seconds': 23}",1,52,52,"{'minutes': 2, 'seconds': 29}","{'minutes': 2, 'seconds': 54}",5,23,PUNT,False,0,0,0,7
4017528166,401752816,Boston College,ACC,Michigan State,Big Ten,5,True,1,88,88,"{'minutes': 0, 'seconds': 53}",2,0,0,"{'minutes': 12, 'seconds': 50}","{'minutes': 3, 'seconds': 3}",6,88,TD,False,0,7,7,7
4017528165,401752816,Michigan State,Big Ten,Boston College,ACC,6,False,1,19,81,"{'minutes': 2, 'seconds': 29}",1,28,72,"{'minutes': 0, 'seconds': 53}","{'minutes': 1, 'seconds': 36}",3,9,PUNT,True,7,0,7,0
4017528167,401752816,Michigan State,Big Ten,Boston College,ACC,7,False,2,40,60,"{'minutes': 12, 'seconds': 41}",2,49,51,"{'minutes': 10, 'seconds': 57}","{'minutes': 1, 'seconds': 44}",4,9,DOWNS,True,7,0,7,7
4017528168,401752816,Boston College,ACC,Michigan State,Big Ten,8,True,2,49,49,"{'minutes': 10, 'seconds': 57}",2,0,0,"{'minutes': 7, 'seconds': 45}","{'minutes': 3, 'seconds': 12}",8,49,TD,False,0,7,14,7
40175281613,401752816,Boston College,ACC,Michigan State,Big Ten,9,True,3,75,75,"{'minutes': 12, 'seconds': 46}",3,19,19,"{'minutes': 7, 'seconds': 0}","{'minutes': 5, 'seconds': 46}",10,56,FG,False,14,7,24,21
40175281615,401752816,Boston College,ACC,Michigan State,Big Ten,10,False,3,75,75,"{'minutes': 2, 'seconds': 17}",3,70,70,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 17}",3,5,PUNT,False,14,14,24,24
40175281617,401752816,Boston College,ACC,Michigan State,Big Ten,11,False,4,99,99,"{'minutes': 11, 'seconds': 24}",4,81,81,"{'minutes': 10, 'seconds': 34}","{'minutes': 0, 'seconds': 50}",4,18,PUNT,False,21,14,24,24
40175281612,401752816,Michigan State,Big Ten,Boston College,ACC,12,True,3,25,75,"{'minutes': 15, 'seconds': 0}",3,100,0,"{'minutes': 12, 'seconds': 50}","{'minutes': 2, 'seconds': 10}",4,75,TD,True,14,21,21,21
40175281614,401752816,Michigan State,Big Ten,Boston College,ACC,13,True,3,27,73,"{'minutes': 6, 'seconds': 55}",3,68,32,"{'minutes': 2, 'seconds': 17}","{'minutes': 4, 'seconds': 38}",9,41,FG,True,21,24,24,24
40175281623,401752816,Boston College,ACC,Michigan State,Big Ten,14,True,5,25,25,"{'minutes': 0, 'seconds': 0}",5,0,0,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 0}",4,25,TD,False,14,21,34,34
40175281625,401752816,Michigan State,Big Ten,Boston College,ACC,15,True,6,75,25,"{'minutes': 0, 'seconds': 0}",6,100,0,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 0}",3,25,TD,True,24,24,42,40
40175281616,401752816,Michigan State,Big Ten,Boston College,ACC,16,False,4,24,76,"{'minutes': 15, 'seconds': 0}",4,44,56,"{'minutes': 11, 'seconds': 24}","{'minutes': 3, 'seconds': 36}",5,20,PUNT,True,24,24,24,24
40175281622,401752816,Michigan State,Big Ten,Boston College,ACC,17,True,5,75,25,"{'minutes': 0, 'seconds': 0}",5,100,0,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 0}",5,25,TD,True,19,14,34,27
40175281624,401752816,Boston College,ACC,Michigan State,Big Ten,18,True,6,25,25,"{'minutes': 0, 'seconds': 0}",6,0,0,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 0}",2,25,TD,False,40,34,40,34
40175281634,401752816,Michigan State,Big Ten,Boston College,ACC,19,False,5,75,25,"{'minutes': 0, 'seconds': 0}",5,0,100,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 0}",5,20,DOWNS,True,27,27,34,27
40175281635,401752816,Boston College,ACC,Michigan State,Big Ten,20,False,5,25,25,"{'minutes': 0, 'seconds': 0}",5,6,6,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 0}",5,29,DOWNS,False,27,34,34,34
4017545182,401754518,Boston College,ACC,Fordham,Patriot,1,True,1,29,71,"{'minutes': 14, 'seconds': 55}",1,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 6, 'seconds': 24}",13,71,TD,True,0,0,7,0
4017545184,401754518,Fordham,Patriot,Boston College,ACC,2,True,1,64,64,"{'minutes': 8, 'seconds': 21}",1,29,29,"{'minutes': 6, 'seconds': 4}","{'minutes': 2, 'seconds': 17}",8,35,FG,False,0,7,3,7
4017545186,401754518,Boston College,ACC,Fordham,Patriot,3,True,1,16,84,"{'minutes': 5, 'seconds': 58}",1,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 39}",6,84,TD,True,7,3,14,3
4017545188,401754518,Fordham,Patriot,Boston College,ACC,4,False,1,85,85,"{'minutes': 3, 'seconds': 10}",1,82,82,"{'minutes': 2, 'seconds': 38}","{'minutes': 0, 'seconds': 43}",3,3,PUNT,False,3,14,3,14
4017545189,401754518,Boston College,ACC,Fordham,Patriot,5,False,1,23,77,"{'minutes': 2, 'seconds': 26}",1,30,70,"{'minutes': 1, 'seconds': 8}","{'minutes': 1, 'seconds': 28}",3,7,PUNT,True,14,3,14,3
40175451810,401754518,Fordham,Patriot,Boston College,ACC,6,False,1,73,73,"{'minutes': 0, 'seconds': 59}",2,72,72,"{'minutes': 14, 'seconds': 11}","{'minutes': 1, 'seconds': 58}",3,1,PUNT,False,3,14,3,14
40175451811,401754518,Boston College,ACC,Fordham,Patriot,7,False,2,37,63,"{'minutes': 14, 'seconds': 1}",2,37,63,"{'minutes': 13, 'seconds': 47}","{'minutes': 0, 'seconds': 24}",3,0,PUNT,True,14,3,14,3
40175451812,401754518,Fordham,Patriot,Boston College,ACC,8,False,2,80,80,"{'minutes': 13, 'seconds': 37}",2,72,72,"{'minutes': 12, 'seconds': 2}","{'minutes': 1, 'seconds': 45}",3,8,PUNT,False,3,14,3,14
40175451813,401754518,Boston College,ACC,Fordham,Patriot,9,False,2,25,75,"{'minutes': 11, 'seconds': 52}",2,45,55,"{'minutes': 8, 'seconds': 40}","{'minutes': 3, 'seconds': 19}",7,20,PUNT,True,14,3,14,3
40175451814,401754518,Fordham,Patriot,Boston College,ACC,10,False,2,81,81,"{'minutes': 8, 'seconds': 33}",2,69,69,"{'minutes': 5, 'seconds': 31}","{'minutes': 3, 'seconds': 13}",6,12,PUNT,False,3,14,3,14
40175451815,401754518,Boston College,ACC,Fordham,Patriot,11,False,2,32,68,"{'minutes': 4, 'seconds': 45}",2,27,73,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 59}",3,-5,Uncategorized,True,14,3,14,3
40175451816,401754518,Fordham,Patriot,Boston College,ACC,12,False,2,73,73,"{'minutes': 3, 'seconds': 18}",2,61,61,"{'minutes': 1, 'seconds': 53}","{'minutes': 1, 'seconds': 37}",5,12,PUNT,False,3,14,3,14
40175451817,401754518,Boston College,ACC,Fordham,Patriot,13,True,2,18,82,"{'minutes': 1, 'seconds': 44}",2,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 18}",10,82,TD,True,14,3,21,3
