id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017546421,401754642,Bowling Green,Mid-American,Louisville,ACC,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,65,65,"{'minutes': 13, 'seconds': 2}","{'minutes': 1, 'seconds': 58}",4,10,PUNT,False,0,0,0,0
4017546422,401754642,Louisville,ACC,Bowling Green,Mid-American,2,False,1,23,77,"{'minutes': 13, 'seconds': 2}",1,32,68,"{'minutes': 11, 'seconds': 42}","{'minutes': 1, 'seconds': 20}",3,9,PUNT,True,0,0,0,0
4017546423,401754642,Bowling Green,Mid-American,Louisville,ACC,3,False,1,93,93,"{'minutes': 11, 'seconds': 42}",1,67,67,"{'minutes': 8, 'seconds': 51}","{'minutes': 2, 'seconds': 51}",5,26,PUNT,False,0,0,0,0
4017546424,401754642,Bowling Green,Mid-American,Louisville,ACC,4,True,1,38,38,"{'minutes': 8, 'seconds': 51}",1,30,30,"{'minutes': 6, 'seconds': 44}","{'minutes': 2, 'seconds': 7}",4,8,FG,False,0,0,3,0
4017546425,401754642,Louisville,ACC,Bowling Green,Mid-American,5,True,1,40,60,"{'minutes': 6, 'seconds': 35}",1,100,0,"{'minutes': 2, 'seconds': 3}","{'minutes': 4, 'seconds': 32}",7,60,TD,True,0,3,7,3
4017546426,401754642,Bowling Green,Mid-American,Louisville,ACC,6,False,1,75,75,"{'minutes': 2, 'seconds': 3}",2,39,39,"{'minutes': 14, 'seconds': 47}","{'minutes': 2, 'seconds': 16}",5,36,INT,False,3,7,3,7
4017546427,401754642,Louisville,ACC,Bowling Green,Mid-American,7,True,2,21,79,"{'minutes': 14, 'seconds': 47}",2,100,0,"{'minutes': 10, 'seconds': 50}","{'minutes': 3, 'seconds': 57}",8,80,TD,True,7,3,14,3
4017546428,401754642,Bowling Green,Mid-American,Louisville,ACC,8,True,2,75,75,"{'minutes': 10, 'seconds': 27}",2,79,79,"{'minutes': 8, 'seconds': 13}","{'minutes': 2, 'seconds': 14}",3,-4,PUNT RETURN TD,False,3,14,3,21
4017546429,401754642,Bowling Green,Mid-American,Louisville,ACC,9,False,2,75,75,"{'minutes': 8, 'seconds': 13}",2,58,58,"{'minutes': 5, 'seconds': 22}","{'minutes': 2, 'seconds': 51}",6,17,PUNT,False,3,21,3,21
40175464210,401754642,Louisville,ACC,Bowling Green,Mid-American,10,False,2,20,80,"{'minutes': 5, 'seconds': 22}",2,24,76,"{'minutes': 3, 'seconds': 33}","{'minutes': 1, 'seconds': 49}",3,4,PUNT,True,21,3,21,3
