id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527931,401752793,Buffalo,Mid-American,Minnesota,Big Ten,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,77,77,"{'minutes': 12, 'seconds': 57}","{'minutes': 2, 'seconds': 3}",3,-2,PUNT,False,0,0,0,0
4017527932,401752793,Minnesota,Big Ten,Buffalo,Mid-American,2,False,1,35,65,"{'minutes': 12, 'seconds': 57}",1,54,46,"{'minutes': 9, 'seconds': 57}","{'minutes': 3, 'seconds': 0}",5,19,PUNT,True,0,0,0,0
4017527933,401752793,Buffalo,Mid-American,Minnesota,Big Ten,3,False,1,99,99,"{'minutes': 9, 'seconds': 57}",1,93,93,"{'minutes': 8, 'seconds': 56}","{'minutes': 1, 'seconds': 1}",3,6,PUNT,False,0,0,0,0
4017527934,401752793,Minnesota,Big Ten,Buffalo,Mid-American,4,False,1,54,46,"{'minutes': 8, 'seconds': 56}",1,89,11,"{'minutes': 4, 'seconds': 49}","{'minutes': 4, 'seconds': 7}",8,35,DOWNS,True,0,0,0,0
4017527935,401752793,Buffalo,Mid-American,Minnesota,Big Ten,5,False,1,89,89,"{'minutes': 4, 'seconds': 49}",1,94,94,"{'minutes': 3, 'seconds': 15}","{'minutes': 1, 'seconds': 34}",3,-5,PUNT,False,0,0,0,0
4017527936,401752793,Minnesota,Big Ten,Buffalo,Mid-American,6,True,1,50,50,"{'minutes': 3, 'seconds': 15}",2,100,0,"{'minutes': 13, 'seconds': 53}","{'minutes': 4, 'seconds': 22}",7,50,TD,True,0,0,7,0
4017527937,401752793,Buffalo,Mid-American,Minnesota,Big Ten,7,False,2,75,75,"{'minutes': 13, 'seconds': 53}",2,57,57,"{'minutes': 12, 'seconds': 25}","{'minutes': 1, 'seconds': 28}",4,18,PUNT,False,0,7,0,7
4017527938,401752793,Minnesota,Big Ten,Buffalo,Mid-American,8,False,2,19,81,"{'minutes': 12, 'seconds': 25}",2,79,21,"{'minutes': 9, 'seconds': 48}","{'minutes': 2, 'seconds': 37}",6,60,INT,True,7,0,7,0
4017527939,401752793,Buffalo,Mid-American,Minnesota,Big Ten,9,True,2,23,23,"{'minutes': 9, 'seconds': 48}",2,18,18,"{'minutes': 7, 'seconds': 56}","{'minutes': 1, 'seconds': 52}",4,5,FG,False,0,7,3,7
40175279310,401752793,Minnesota,Big Ten,Buffalo,Mid-American,10,False,2,25,75,"{'minutes': 7, 'seconds': 56}",2,29,71,"{'minutes': 6, 'seconds': 5}","{'minutes': 1, 'seconds': 51}",4,4,PUNT,True,7,3,7,3
40175279311,401752793,Buffalo,Mid-American,Minnesota,Big Ten,11,False,2,79,79,"{'minutes': 6, 'seconds': 5}",2,30,30,"{'minutes': 1, 'seconds': 17}","{'minutes': 4, 'seconds': 48}",11,49,MISSED FG,False,3,7,3,7
40175279312,401752793,Minnesota,Big Ten,Buffalo,Mid-American,12,True,2,30,70,"{'minutes': 1, 'seconds': 17}",2,80,20,"{'minutes': 0, 'seconds': 2}","{'minutes': 1, 'seconds': 15}",11,50,FG,True,7,3,10,3
40175279313,401752793,Minnesota,Big Ten,Buffalo,Mid-American,13,True,3,30,70,"{'minutes': 14, 'seconds': 57}",3,89,11,"{'minutes': 11, 'seconds': 39}","{'minutes': 3, 'seconds': 18}",8,59,FG,True,10,3,13,3
40175279314,401752793,Buffalo,Mid-American,Minnesota,Big Ten,14,True,3,75,75,"{'minutes': 11, 'seconds': 39}",3,0,0,"{'minutes': 6, 'seconds': 48}","{'minutes': 4, 'seconds': 51}",9,75,TD,False,3,13,10,13
40175279315,401752793,Minnesota,Big Ten,Buffalo,Mid-American,15,False,3,25,75,"{'minutes': 6, 'seconds': 48}",3,52,48,"{'minutes': 4, 'seconds': 32}","{'minutes': 2, 'seconds': 16}",5,27,PUNT,True,13,10,13,10
40175279316,401752793,Buffalo,Mid-American,Minnesota,Big Ten,16,False,3,87,87,"{'minutes': 4, 'seconds': 32}",3,86,86,"{'minutes': 2, 'seconds': 16}","{'minutes': 2, 'seconds': 16}",3,1,PUNT,False,10,13,10,13
