id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017528402,401752840,California,ACC,Minnesota,Big Ten,1,False,1,25,75,"{'minutes': 14, 'seconds': 55}",1,47,53,"{'minutes': 13, 'seconds': 40}","{'minutes': 1, 'seconds': 28}",5,22,PUNT,True,0,0,0,0
4017528403,401752840,Minnesota,Big Ten,California,ACC,2,False,1,80,80,"{'minutes': 13, 'seconds': 20}",1,57,57,"{'minutes': 11, 'seconds': 6}","{'minutes': 2, 'seconds': 30}",5,23,PUNT,False,0,0,0,0
4017528404,401752840,California,ACC,Minnesota,Big Ten,3,False,1,9,91,"{'minutes': 11, 'seconds': 2}",1,45,55,"{'minutes': 7, 'seconds': 39}","{'minutes': 3, 'seconds': 29}",7,36,PUNT,True,0,0,0,0
4017528405,401752840,Minnesota,Big Ten,California,ACC,4,False,1,97,97,"{'minutes': 7, 'seconds': 33}",1,90,90,"{'minutes': 5, 'seconds': 24}","{'minutes': 2, 'seconds': 17}",3,7,PUNT,False,0,0,0,0
4017528406,401752840,California,ACC,Minnesota,Big Ten,5,True,1,38,62,"{'minutes': 5, 'seconds': 18}",1,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 22}",7,62,TD,True,0,0,7,0
4017528408,401752840,Minnesota,Big Ten,California,ACC,6,False,1,67,67,"{'minutes': 2, 'seconds': 48}",1,79,79,"{'minutes': 1, 'seconds': 55}","{'minutes': 0, 'seconds': 56}",4,-12,PUNT,False,0,7,0,7
4017528409,401752840,California,ACC,Minnesota,Big Ten,7,False,1,44,56,"{'minutes': 1, 'seconds': 52}",2,56,44,"{'minutes': 14, 'seconds': 17}","{'minutes': 2, 'seconds': 50}",6,12,PUNT,True,7,0,7,0
40175284010,401752840,Minnesota,Big Ten,California,ACC,8,False,2,98,98,"{'minutes': 14, 'seconds': 2}",2,163,163,"{'minutes': 0, 'seconds': 0}","{'minutes': 4, 'seconds': 27}",7,65,Uncategorized,False,0,7,0,7
40175284011,401752840,California,ACC,Minnesota,Big Ten,9,False,2,10,90,"{'minutes': 9, 'seconds': 36}",2,69,31,"{'minutes': 7, 'seconds': 21}","{'minutes': 2, 'seconds': 18}",5,59,DOWNS,True,7,0,7,0
40175284012,401752840,Minnesota,Big Ten,California,ACC,10,True,2,69,69,"{'minutes': 7, 'seconds': 17}",2,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 6, 'seconds': 34}",16,69,TD,False,0,7,7,7
40175284014,401752840,California,ACC,Minnesota,Big Ten,11,True,2,25,75,"{'minutes': 0, 'seconds': 43}",2,73,27,"{'minutes': 0, 'seconds': 5}","{'minutes': 0, 'seconds': 43}",6,48,FG,True,7,7,10,7
40175284016,401752840,Minnesota,Big Ten,California,ACC,12,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,51,51,"{'minutes': 11, 'seconds': 37}","{'minutes': 3, 'seconds': 28}",7,24,INT,False,7,10,7,13
40175284017,401752840,California,ACC,Minnesota,Big Ten,13,False,3,37,63,"{'minutes': 11, 'seconds': 32}",3,21,79,"{'minutes': 10, 'seconds': 28}","{'minutes': 1, 'seconds': 4}",3,-16,PUNT,True,13,7,13,7
40175284018,401752840,Minnesota,Big Ten,California,ACC,14,True,3,64,64,"{'minutes': 10, 'seconds': 25}",3,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 5, 'seconds': 52}",10,64,TD,False,7,10,14,13
40175284020,401752840,California,ACC,Minnesota,Big Ten,15,True,3,25,75,"{'minutes': 4, 'seconds': 36}",3,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 4, 'seconds': 16}",10,75,TD,True,10,14,17,14
40175284022,401752840,Minnesota,Big Ten,California,ACC,16,False,3,79,79,"{'minutes': 0, 'seconds': 15}",4,33,33,"{'minutes': 9, 'seconds': 42}","{'minutes': 5, 'seconds': 37}",12,46,MISSED FG,False,14,17,14,17
40175284023,401752840,California,ACC,Minnesota,Big Ten,17,False,4,33,67,"{'minutes': 9, 'seconds': 33}",4,47,53,"{'minutes': 8, 'seconds': 10}","{'minutes': 1, 'seconds': 36}",6,14,PUNT,True,14,14,17,14
40175284024,401752840,California,ACC,Minnesota,Big Ten,18,True,4,92,8,"{'minutes': 8, 'seconds': 2}",4,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 7}",3,8,TD,True,14,14,24,14
40175284026,401752840,Minnesota,Big Ten,California,ACC,19,False,4,75,75,"{'minutes': 6, 'seconds': 55}",4,48,48,"{'minutes': 5, 'seconds': 46}","{'minutes': 1, 'seconds': 15}",5,27,DOWNS,False,14,24,14,24
40175284027,401752840,California,ACC,Minnesota,Big Ten,20,True,4,48,52,"{'minutes': 5, 'seconds': 32}",4,80,20,"{'minutes': 1, 'seconds': 15}","{'minutes': 4, 'seconds': 30}",10,32,FG,True,24,14,27,14
40175284029,401752840,Minnesota,Big Ten,California,ACC,21,False,4,64,64,"{'minutes': 1, 'seconds': 6}",4,73,73,"{'minutes': 0, 'seconds': 27}","{'minutes': 0, 'seconds': 45}",5,5,DOWNS,False,14,27,14,30
40175284030,401752840,California,ACC,Minnesota,Big Ten,22,False,4,59,41,"{'minutes': 0, 'seconds': 19}",4,59,41,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 21}",1,0,Uncategorized,True,27,14,27,14
4017529361,401752936,California,ACC,Oregon State,Pac-12,1,True,1,73,73,"{'minutes': 15, 'seconds': 0}",1,0,0,"{'minutes': 11, 'seconds': 23}","{'minutes': 3, 'seconds': 37}",8,73,TD,False,0,0,7,0
4017529362,401752936,Oregon State,Pac-12,California,ACC,2,False,1,25,75,"{'minutes': 11, 'seconds': 23}",1,19,81,"{'minutes': 11, 'seconds': 23}","{'minutes': 0, 'seconds': 0}",3,0,DOWNS,True,0,7,0,7
4017529363,401752936,Oregon State,Pac-12,California,ACC,3,True,1,77,23,"{'minutes': 10, 'seconds': 22}",1,32,68,"{'minutes': 7, 'seconds': 56}","{'minutes': 2, 'seconds': 26}",6,66,DOWNS TD,True,0,7,0,14
4017529364,401752936,Oregon State,Pac-12,California,ACC,4,False,1,25,75,"{'minutes': 7, 'seconds': 56}",1,32,68,"{'minutes': 7, 'seconds': 56}","{'minutes': 0, 'seconds': 0}",5,0,DOWNS,True,0,14,0,14
4017529365,401752936,Oregon State,Pac-12,California,ACC,5,False,1,62,38,"{'minutes': 5, 'seconds': 4}",1,32,68,"{'minutes': 7, 'seconds': 56}","{'minutes': 0, 'seconds': 0}",6,0,DOWNS,True,0,14,0,14
4017529366,401752936,California,ACC,Oregon State,Pac-12,6,False,1,38,38,"{'minutes': 2, 'seconds': 18}",1,0,0,"{'minutes': 7, 'seconds': 56}","{'minutes': 0, 'seconds': 0}",3,0,TD,False,14,0,14,0
4017529367,401752936,Oregon State,Pac-12,California,ACC,7,False,1,70,30,"{'minutes': 0, 'seconds': 0}",2,68,32,"{'minutes': 12, 'seconds': 25}","{'minutes': 2, 'seconds': 35}",5,4,PUNT,True,0,14,0,14
4017529368,401752936,Oregon State,Pac-12,California,ACC,8,True,2,22,78,"{'minutes': 12, 'seconds': 25}",2,65,35,"{'minutes': 9, 'seconds': 29}","{'minutes': 2, 'seconds': 56}",6,43,FG,True,0,14,3,14
4017529369,401752936,California,ACC,Oregon State,Pac-12,9,False,2,74,74,"{'minutes': 9, 'seconds': 29}",2,50,50,"{'minutes': 5, 'seconds': 52}","{'minutes': 3, 'seconds': 37}",7,24,PUNT,False,14,3,14,3
40175293610,401752936,Oregon State,Pac-12,California,ACC,10,False,2,10,90,"{'minutes': 5, 'seconds': 52}",2,26,74,"{'minutes': 3, 'seconds': 34}","{'minutes': 2, 'seconds': 18}",5,16,PUNT,True,3,14,3,14
