id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017528391,401752839,Michigan,Big Ten,Central Michigan,Mid-American,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 10, 'seconds': 56}","{'minutes': 4, 'seconds': 4}",10,75,TD,True,0,0,7,0
4017528392,401752839,Central Michigan,Mid-American,Michigan,Big Ten,2,False,1,75,75,"{'minutes': 10, 'seconds': 56}",1,83,83,"{'minutes': 9, 'seconds': 59}","{'minutes': 0, 'seconds': 57}",3,-8,PUNT,False,0,7,0,7
4017528393,401752839,Michigan,Big Ten,Central Michigan,Mid-American,3,True,1,41,59,"{'minutes': 9, 'seconds': 59}",1,100,0,"{'minutes': 7, 'seconds': 21}","{'minutes': 2, 'seconds': 38}",6,59,TD,True,7,0,14,0
4017528394,401752839,Central Michigan,Mid-American,Michigan,Big Ten,4,False,1,75,75,"{'minutes': 7, 'seconds': 21}",1,69,69,"{'minutes': 5, 'seconds': 8}","{'minutes': 2, 'seconds': 13}",3,6,PUNT,False,0,14,0,14
4017528395,401752839,Michigan,Big Ten,Central Michigan,Mid-American,5,False,1,37,63,"{'minutes': 5, 'seconds': 8}",1,71,29,"{'minutes': 3, 'seconds': 8}","{'minutes': 2, 'seconds': 0}",7,34,MISSED FG,True,14,0,14,0
4017528396,401752839,Central Michigan,Mid-American,Michigan,Big Ten,6,False,1,71,71,"{'minutes': 3, 'seconds': 8}",2,64,64,"{'minutes': 14, 'seconds': 13}","{'minutes': 3, 'seconds': 55}",6,7,PUNT,False,0,14,0,14
4017528397,401752839,Michigan,Big Ten,Central Michigan,Mid-American,7,True,2,23,77,"{'minutes': 14, 'seconds': 13}",2,100,0,"{'minutes': 12, 'seconds': 9}","{'minutes': 2, 'seconds': 4}",4,77,TD,True,14,0,21,0
4017528398,401752839,Central Michigan,Mid-American,Michigan,Big Ten,8,False,2,75,75,"{'minutes': 12, 'seconds': 9}",2,66,66,"{'minutes': 10, 'seconds': 11}","{'minutes': 1, 'seconds': 58}",4,9,DOWNS,False,0,21,0,21
4017528399,401752839,Michigan,Big Ten,Central Michigan,Mid-American,9,True,2,66,34,"{'minutes': 10, 'seconds': 11}",2,100,0,"{'minutes': 9, 'seconds': 23}","{'minutes': 0, 'seconds': 48}",2,34,TD,True,21,0,28,0
40175283910,401752839,Central Michigan,Mid-American,Michigan,Big Ten,10,False,2,75,75,"{'minutes': 9, 'seconds': 23}",2,80,80,"{'minutes': 7, 'seconds': 51}","{'minutes': 1, 'seconds': 32}",3,-5,PUNT,False,0,28,0,28
40175283911,401752839,Michigan,Big Ten,Central Michigan,Mid-American,11,False,2,43,57,"{'minutes': 7, 'seconds': 51}",2,43,57,"{'minutes': 7, 'seconds': 43}","{'minutes': 0, 'seconds': 8}",1,0,INT,True,28,0,28,0
40175283912,401752839,Central Michigan,Mid-American,Michigan,Big Ten,12,True,2,85,85,"{'minutes': 7, 'seconds': 43}",2,4,4,"{'minutes': 1, 'seconds': 51}","{'minutes': 5, 'seconds': 52}",14,81,FG,False,0,28,3,28
40175283913,401752839,Michigan,Big Ten,Central Michigan,Mid-American,13,True,2,21,79,"{'minutes': 1, 'seconds': 45}",2,100,0,"{'minutes': 0, 'seconds': 9}","{'minutes': 1, 'seconds': 36}",11,79,TD,True,28,3,35,3
40175283914,401752839,Central Michigan,Mid-American,Michigan,Big Ten,14,False,2,75,75,"{'minutes': 0, 'seconds': 9}",2,76,76,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 9}",1,-1,END OF HALF,False,3,35,3,35
40175283915,401752839,Central Michigan,Mid-American,Michigan,Big Ten,15,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,67,67,"{'minutes': 12, 'seconds': 56}","{'minutes': 2, 'seconds': 4}",3,8,PUNT,False,3,35,3,35
