id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527762,401752776,Georgia,SEC,Charlotte,American Athletic,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,37,63,"{'minutes': 13, 'seconds': 1}","{'minutes': 1, 'seconds': 59}",4,12,PUNT,True,0,0,0,0
4017527763,401752776,Charlotte,American Athletic,Georgia,SEC,2,False,1,80,80,"{'minutes': 13, 'seconds': 1}",1,73,73,"{'minutes': 10, 'seconds': 49}","{'minutes': 2, 'seconds': 12}",3,7,PUNT,False,0,0,0,0
4017527764,401752776,Georgia,SEC,Charlotte,American Athletic,3,True,1,40,60,"{'minutes': 10, 'seconds': 49}",1,100,0,"{'minutes': 6, 'seconds': 18}","{'minutes': 4, 'seconds': 31}",9,60,TD,True,0,0,7,0
4017527766,401752776,Charlotte,American Athletic,Georgia,SEC,4,False,1,75,75,"{'minutes': 6, 'seconds': 18}",1,74,74,"{'minutes': 5, 'seconds': 18}","{'minutes': 1, 'seconds': 0}",3,1,PUNT,False,0,7,0,7
4017527767,401752776,Georgia,SEC,Charlotte,American Athletic,5,True,1,40,60,"{'minutes': 5, 'seconds': 18}",1,100,0,"{'minutes': 0, 'seconds': 52}","{'minutes': 4, 'seconds': 26}",9,60,TD,True,7,0,14,0
4017527769,401752776,Charlotte,American Athletic,Georgia,SEC,6,False,1,75,75,"{'minutes': 0, 'seconds': 52}",2,73,73,"{'minutes': 14, 'seconds': 43}","{'minutes': 1, 'seconds': 9}",3,2,PUNT,False,0,14,0,14
40175277610,401752776,Georgia,SEC,Charlotte,American Athletic,7,True,2,60,40,"{'minutes': 14, 'seconds': 43}",2,100,0,"{'minutes': 11, 'seconds': 29}","{'minutes': 3, 'seconds': 14}",6,40,TD,True,14,0,21,0
40175277612,401752776,Charlotte,American Athletic,Georgia,SEC,8,False,2,75,75,"{'minutes': 11, 'seconds': 29}",2,65,65,"{'minutes': 8, 'seconds': 17}","{'minutes': 3, 'seconds': 12}",6,10,INT,False,0,21,0,21
40175277613,401752776,Georgia,SEC,Charlotte,American Athletic,9,True,2,38,62,"{'minutes': 8, 'seconds': 17}",2,100,0,"{'minutes': 3, 'seconds': 27}","{'minutes': 4, 'seconds': 50}",8,62,TD,True,21,0,28,0
40175277615,401752776,Charlotte,American Athletic,Georgia,SEC,10,False,2,75,75,"{'minutes': 3, 'seconds': 27}",2,74,74,"{'minutes': 1, 'seconds': 53}","{'minutes': 1, 'seconds': 34}",3,1,PUNT,False,0,28,0,28
40175277616,401752776,Georgia,SEC,Charlotte,American Athletic,11,False,2,17,83,"{'minutes': 1, 'seconds': 53}",2,34,66,"{'minutes': 0, 'seconds': 38}","{'minutes': 1, 'seconds': 15}",6,17,INT,True,28,0,28,0
40175277617,401752776,Charlotte,American Athletic,Georgia,SEC,12,True,2,37,37,"{'minutes': 0, 'seconds': 38}",2,25,25,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 38}",4,12,FG,False,0,28,3,28
40175277619,401752776,Charlotte,American Athletic,Georgia,SEC,13,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,73,73,"{'minutes': 13, 'seconds': 58}","{'minutes': 1, 'seconds': 2}",3,2,PUNT,False,3,28,3,28
