gameId,driveId,id,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,defenseConference,defenseScore,home,away,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
401752671,4017526711,401752671101849902,1,1,Clemson,ACC,0,LSU,SEC,0,Clemson,LSU,1,"{'minutes': 15, 'seconds': 0}",3.0,3.0,35,65,1,10,0,False,Kickoff,Robert Gunn III kickoff for 65 yds for a touchback,,2025-08-30T23:53:09.000Z
401752671,4017526711,401752671101876801,1,7,LSU,SEC,0,Clemson,ACC,0,Clemson,LSU,1,"{'minutes': 12, 'seconds': 31}",2.0,3.0,40,40,3,11,0,False,Timeout,"Timeout LSU, clock 12:31",,2025-08-30T23:58:06.000Z
401752671,4017526711,401752671101885101,1,9,LSU,SEC,0,Clemson,ACC,0,Clemson,LSU,1,"{'minutes': 11, 'seconds': 48}",2.0,3.0,39,39,4,10,0,False,Punt,Grant Chadwick punt for 39 yds for a touchback,,2025-08-31T00:01:53.000Z
401752671,4017526711,401752671101855001,1,2,LSU,SEC,0,Clemson,ACC,0,Clemson,LSU,1,"{'minutes': 14, 'seconds': 49}",3.0,3.0,75,75,1,10,24,False,Rush,Caden Durham run for 24 yds to the LSU 49 for a 1ST down,2.1543879158283823,2025-08-30T23:54:25.000Z
401752671,4017526711,401752671101857201,1,3,LSU,SEC,0,Clemson,ACC,0,Clemson,LSU,1,"{'minutes': 14, 'seconds': 27}",3.0,3.0,51,51,1,10,4,False,Pass Reception,Garrett Nussmeier pass complete to Bauer Sharp for 4 yds to the CLEM 47,-0.1462695033279216,2025-08-30T23:55:06.000Z
401752671,4017526711,401752671101865701,1,4,LSU,SEC,0,Clemson,ACC,0,Clemson,LSU,1,"{'minutes': 13, 'seconds': 42}",3.0,3.0,47,47,2,6,8,False,Pass Reception,Garrett Nussmeier pass complete to Caden Durham for 8 yds to the CLEM 39 for a 1ST down,0.9291981522893096,2025-08-30T23:55:36.000Z
401752671,4017526711,401752671101869401,1,5,LSU,SEC,0,Clemson,ACC,0,Clemson,LSU,1,"{'minutes': 13, 'seconds': 5}",3.0,3.0,39,39,1,10,0,False,Pass Incompletion,Garrett Nussmeier pass incomplete to Trey'Dez Green,-0.814236079442537,2025-08-30T23:56:03.000Z
401752671,4017526711,401752671101869801,1,6,LSU,SEC,0,Clemson,ACC,0,Clemson,LSU,1,"{'minutes': 13, 'seconds': 1}",3.0,3.0,39,39,2,10,-1,False,Rush,Kaleb Jackson run for a loss of 1 yard to the CLEM 40,-1.2300828701816775,2025-08-30T23:57:59.000Z
401752671,4017526711,401752671101877501,1,8,LSU,SEC,0,Clemson,ACC,0,Clemson,LSU,1,"{'minutes': 12, 'seconds': 24}",2.0,3.0,40,40,3,11,1,False,Rush,Caden Durham run for 1 yd to the CLEM 39,-0.7699888623866453,2025-08-31T00:01:20.000Z
401752671,4017526712,401752671101896901,2,4,Clemson,ACC,0,LSU,SEC,0,Clemson,LSU,1,"{'minutes': 10, 'seconds': 30}",3.0,2.0,10,90,4,20,53,False,Punt,"Jack Smith punt for 43 yds, fair catch by Zavion Thomas at the LSU 47 LSU Penalty, Offensive Holding (10 Yards) to the LSU 37",,2025-08-31T00:04:36.000Z
401752671,4017526712,401752671101885401,2,1,Clemson,ACC,0,LSU,SEC,0,Clemson,LSU,1,"{'minutes': 11, 'seconds': 45}",3.0,2.0,20,80,1,10,0,False,Pass Incompletion,Cade Klubnik pass incomplete to Antonio Williams,-0.5586693796725282,2025-08-31T00:02:36.000Z
401752671,4017526712,401752671101886201,2,2,Clemson,ACC,0,LSU,SEC,0,Clemson,LSU,1,"{'minutes': 11, 'seconds': 37}",3.0,2.0,20,80,2,10,2,False,Rush,Adam Randall run for 2 yds to the CLEM 22,-0.17173991087276086,2025-08-31T00:03:11.000Z
401752671,4017526712,401752671101889101,2,3,Clemson,ACC,0,LSU,SEC,0,Clemson,LSU,1,"{'minutes': 11, 'seconds': 8}",3.0,2.0,22,78,3,8,-12,False,Sack,Cade Klubnik sacked by PJ Woodland for a loss of 12 yards to the CLEM 10,-0.2791360020414233,2025-08-31T00:03:45.000Z
401752671,40175267121,401752671104986501,21,3,Clemson,ACC,10,LSU,SEC,17,Clemson,LSU,4,"{'minutes': 1, 'seconds': 34}",1.0,2.0,62,38,1,10,17,False,Pass Reception,Cade Klubnik pass complete to Tyler Brown for 17 yds to the LSU 21 for a 1ST down,0.462295834789695,2025-08-31T03:13:27.000Z
401752671,40175267121,401752671104985101,21,1,Clemson,ACC,10,LSU,SEC,17,Clemson,LSU,4,"{'minutes': 1, 'seconds': 48}",1.0,2.0,43,57,1,10,0,False,Pass Incompletion,Cade Klubnik pass incomplete to T.J. Moore,-1.15714755134967,2025-08-31T02:32:31.000Z
401752671,40175267121,401752671104985701,21,2,Clemson,ACC,10,LSU,SEC,17,Clemson,LSU,4,"{'minutes': 1, 'seconds': 42}",1.0,2.0,43,57,2,10,19,False,Pass Reception,Cade Klubnik pass complete to T.J. Moore for 19 yds to the LSU 38 for a 1ST down,2.527871600275809,2025-08-31T03:12:47.000Z
401752671,40175267121,401752671104987001,21,4,Clemson,ACC,10,LSU,SEC,17,Clemson,LSU,4,"{'minutes': 1, 'seconds': 29}",1.0,2.0,79,21,1,10,3,False,Pass Reception,Cade Klubnik pass complete to Christian Bentancur for 3 yds to the LSU 18,-0.122124214578021,2025-08-31T03:13:44.000Z
401752671,40175267121,401752671104989101,21,5,Clemson,ACC,10,LSU,SEC,17,Clemson,LSU,4,"{'minutes': 1, 'seconds': 8}",1.0,2.0,82,18,2,7,3,False,Pass Reception,Cade Klubnik pass complete to Adam Randall for 3 yds to the LSU 15,-0.129347469403349,2025-08-31T03:14:14.000Z
401752671,40175267121,401752671104989501,21,6,Clemson,ACC,10,LSU,SEC,17,Clemson,LSU,4,"{'minutes': 1, 'seconds': 4}",1.0,2.0,85,15,3,4,0,False,Pass Incompletion,Cade Klubnik pass incomplete to Bryant Wesco Jr.,-0.470565184220634,2025-08-31T03:14:40.000Z
401752671,40175267121,401752671104994001,21,7,Clemson,ACC,10,LSU,SEC,17,Clemson,LSU,4,"{'minutes': 0, 'seconds': 59}",1.0,2.0,85,15,4,4,0,False,Pass Incompletion,Cade Klubnik pass incomplete,-3.645666318002503,2025-08-31T03:16:34.000Z
401752671,40175267122,401752671104997702,22,3,LSU,SEC,17,Clemson,ACC,10,Clemson,LSU,4,"{'minutes': 0, 'seconds': 0}",2.0,1.0,86,86,0,11,-1,False,End of Game,End of 4th Quarter,,2025-08-31T03:18:37.000Z
401752671,40175267122,401752671104994401,22,1,LSU,SEC,17,Clemson,ACC,10,Clemson,LSU,4,"{'minutes': 0, 'seconds': 55}",2.0,1.0,85,85,1,10,-1,False,Rush,TEAM run for a loss of 1 yard to the LSU 14,-0.4988928281154159,2025-08-31T03:17:37.000Z
401752671,40175267122,401752671104997701,22,2,LSU,SEC,17,Clemson,ACC,10,Clemson,LSU,4,"{'minutes': 0, 'seconds': 22}",2.0,1.0,86,86,2,11,-1,False,Rush,TEAM run for a loss of 1 yard to the LSU 13,-0.1859900345523737,2025-08-31T03:18:01.000Z
401752671,4017526713,401752671101897401,3,1,LSU,SEC,0,Clemson,ACC,0,Clemson,LSU,1,"{'minutes': 10, 'seconds': 25}",2.0,3.0,63,63,1,10,3,False,Pass Reception,Garrett Nussmeier pass complete to Ju'Juan Johnson for 3 yds to the LSU 40,-0.4199785122886155,2025-08-31T00:08:52.000Z
401752671,4017526713,401752671101904801,3,2,LSU,SEC,0,Clemson,ACC,0,Clemson,LSU,1,"{'minutes': 9, 'seconds': 51}",2.0,3.0,60,60,2,7,8,False,Fumble Recovery (Opponent),"Garrett Nussmeier pass complete to Bauer Sharp for 8 yds Bauer Sharp fumbled, forced by Avieon Terrell, recovered by CLEM Ricardo Jones  , return for 24 yds to the LSU 24",-1.5295106941336343,2025-08-31T00:11:35.000Z
401752671,4017526714,401752671101914201,4,4,Clemson,ACC,3,LSU,SEC,0,Clemson,LSU,1,"{'minutes': 8, 'seconds': 57}",3.0,2.0,76,24,4,10,42,True,Field Goal Good,Nolan Hauser 42 yd FG GOOD,,2025-08-31T00:14:31.000Z
401752671,4017526714,401752671101905201,4,1,Clemson,ACC,0,LSU,SEC,0,Clemson,LSU,1,"{'minutes': 9, 'seconds': 47}",3.0,2.0,76,24,1,10,0,False,Pass Incompletion,Cade Klubnik pass incomplete to Antonio Williams,-0.4346450377339437,2025-08-31T00:11:54.000Z
401752671,4017526714,401752671101905701,4,2,Clemson,ACC,0,LSU,SEC,0,Clemson,LSU,1,"{'minutes': 9, 'seconds': 42}",3.0,2.0,76,24,2,10,0,False,Pass Incompletion,Cade Klubnik pass incomplete,-0.5789972760549578,2025-08-31T00:12:59.000Z
401752671,4017526714,401752671101906201,4,3,Clemson,ACC,0,LSU,SEC,0,Clemson,LSU,1,"{'minutes': 9, 'seconds': 37}",3.0,2.0,76,24,3,10,0,False,Rush,Adam Randall run for no gain to the LSU 24,-0.8529890865505045,2025-08-31T00:13:34.000Z
401752671,4017526715,401752671101914202,5,1,Clemson,ACC,3,LSU,SEC,0,Clemson,LSU,1,"{'minutes': 8, 'seconds': 57}",3.0,2.0,35,65,4,10,0,False,Kickoff,Robert Gunn III kickoff for 65 yds for a touchback,,2025-08-31T00:18:14.000Z
401752671,4017526715,401752671101917501,5,3,LSU,SEC,0,Clemson,ACC,3,Clemson,LSU,1,"{'minutes': 8, 'seconds': 24}",2.0,3.0,76,76,2,11,-5,False,Penalty,"LSU Penalty, False Start (Trey'Dez Green) to the LSU 19",,2025-08-31T00:19:40.000Z
401752671,4017526715,401752671101919501,5,4,LSU,SEC,0,Clemson,ACC,3,Clemson,LSU,1,"{'minutes': 8, 'seconds': 4}",2.0,3.0,81,81,2,16,15,False,Penalty,"Nussmeier, Garrett pass incomplete to Green, Trey'Dez, PENALTY CLEMSON pass interference (Woodaz, Wade) 15 yards to the LSU34, NO PLAY, 1ST DOWN LSU.",,2025-08-31T00:20:56.000Z
401752671,4017526715,401752671101926901,5,6,LSU,SEC,0,Clemson,ACC,3,Clemson,LSU,1,"{'minutes': 7, 'seconds': 30}",2.0,3.0,52,52,1,10,-5,False,Penalty,"Durham, Caden rush for 16 yards to the CLEMSON36, PENALTY LSU illegal formation (Brown, Barion) 5 yards to the LSU43, NO PLAY.",,2025-08-31T00:22:35.000Z
401752671,4017526715,401752671101934401,5,7,LSU,SEC,0,Clemson,ACC,3,Clemson,LSU,1,"{'minutes': 6, 'seconds': 55}",1.0,3.0,57,57,1,15,0,False,Timeout,"Timeout LSU, clock 06:55",,2025-08-31T00:22:55.000Z
401752671,4017526715,401752671101947401,5,11,LSU,SEC,0,Clemson,ACC,3,Clemson,LSU,1,"{'minutes': 5, 'seconds': 25}",1.0,3.0,51,51,4,9,0,False,Punt,"Grant Chadwick punt for 36 yds, punt out-of-bounds at the CLEM 15",,2025-08-31T00:27:00.000Z
401752671,4017526715,401752671101914701,5,2,LSU,SEC,0,Clemson,ACC,3,Clemson,LSU,1,"{'minutes': 8, 'seconds': 52}",2.0,3.0,75,75,1,10,-1,False,Rush,Caden Durham run for a loss of 1 yard to the LSU 24,-0.8014893508157099,2025-08-31T00:19:21.000Z
401752671,4017526715,401752671101924301,5,5,LSU,SEC,0,Clemson,ACC,3,Clemson,LSU,1,"{'minutes': 7, 'seconds': 56}",2.0,3.0,66,66,1,10,14,False,Rush,Zavion Thomas run for 14 yds to the LSU 48 for a 1ST down,1.328715101019183,2025-08-31T00:21:31.000Z
401752671,4017526715,401752671101935301,5,8,LSU,SEC,0,Clemson,ACC,3,Clemson,LSU,1,"{'minutes': 6, 'seconds': 46}",1.0,3.0,57,57,1,15,6,False,Rush,Caden Durham run for 6 yds to the LSU 49,0.3092877135972696,2025-08-31T00:24:33.000Z
401752671,4017526715,401752671101938901,5,9,LSU,SEC,0,Clemson,ACC,3,Clemson,LSU,1,"{'minutes': 6, 'seconds': 10}",1.0,3.0,51,51,2,9,0,False,Rush,Caden Durham run for no gain to the LSU 49,-1.0436428452138546,2025-08-31T00:25:22.000Z
401752671,4017526715,401752671101946801,5,10,LSU,SEC,0,Clemson,ACC,3,Clemson,LSU,1,"{'minutes': 5, 'seconds': 31}",1.0,3.0,51,51,3,9,0,False,Pass Incompletion,Garrett Nussmeier pass incomplete to Aaron Anderson,-0.717715482952479,2025-08-31T00:25:51.000Z
401752671,4017526716,401752671101955201,6,2,Clemson,ACC,3,LSU,SEC,0,Clemson,LSU,1,"{'minutes': 4, 'seconds': 47}",2.0,1.0,20,80,2,5,0,False,Timeout,"Timeout Clemson, clock 04:47",,2025-08-31T00:27:50.000Z
401752671,4017526716,401752671101969401,6,6,Clemson,ACC,3,LSU,SEC,0,Clemson,LSU,1,"{'minutes': 3, 'seconds': 5}",2.0,1.0,50,50,2,3,-5,False,Penalty,"Clemson Penalty, False Start (Blake Miller) to the CLEM 45",,2025-08-31T00:30:55.000Z
401752671,4017526716,401752671101986001,6,9,Clemson,ACC,3,LSU,SEC,0,Clemson,LSU,1,"{'minutes': 1, 'seconds': 39}",1.0,1.0,51,49,2,12,0,False,Timeout,"Timeout Clemson, clock 01:39",,2025-08-31T00:32:29.000Z
401752671,4017526716,401752671101995901,6,12,Clemson,ACC,3,LSU,SEC,0,Clemson,LSU,1,"{'minutes': 0, 'seconds': 40}",1.0,1.0,56,44,4,7,0,False,Punt,"Nolan Hauser punt for 28 yds, downed at the LSU 16",,2025-08-31T00:35:51.000Z
401752671,4017526716,401752671101948301,6,1,Clemson,ACC,3,LSU,SEC,0,Clemson,LSU,1,"{'minutes': 5, 'seconds': 16}",3.0,1.0,15,85,1,10,5,False,Rush,T.J. Moore run for 5 yds to the CLEM 20,0.07707751106059126,2025-08-31T00:27:39.000Z
401752671,4017526716,401752671101956301,6,3,Clemson,ACC,3,LSU,SEC,0,Clemson,LSU,1,"{'minutes': 4, 'seconds': 36}",2.0,1.0,20,80,2,5,7,False,Rush,Adam Randall run for 7 yds to the CLEM 27 for a 1ST down,0.6111686045926819,2025-08-31T00:29:11.000Z
401752671,4017526716,401752671101964101,6,4,Clemson,ACC,3,LSU,SEC,0,Clemson,LSU,1,"{'minutes': 3, 'seconds': 58}",2.0,1.0,27,73,1,10,16,False,Pass Reception,Cade Klubnik pass complete to Bryant Wesco Jr. for 16 yds to the CLEM 43 for a 1ST down,1.46739873671061,2025-08-31T00:29:49.000Z
