id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527792,401752779,South Carolina,SEC,Coastal Carolina,Sun Belt,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,97,3,"{'minutes': 14, 'seconds': 46}","{'minutes': 0, 'seconds': 14}",1,75,TD,True,0,0,7,0
4017527794,401752779,Coastal Carolina,Sun Belt,South Carolina,SEC,2,False,1,75,75,"{'minutes': 14, 'seconds': 46}",1,60,60,"{'minutes': 12, 'seconds': 24}","{'minutes': 2, 'seconds': 22}",5,15,PUNT,False,0,7,0,7
4017527795,401752779,South Carolina,SEC,Coastal Carolina,Sun Belt,3,True,1,26,74,"{'minutes': 12, 'seconds': 21}",1,97,3,"{'minutes': 8, 'seconds': 50}","{'minutes': 3, 'seconds': 34}",6,74,TD,True,7,0,13,0
4017527797,401752779,Coastal Carolina,Sun Belt,South Carolina,SEC,4,False,1,75,75,"{'minutes': 8, 'seconds': 50}",1,71,71,"{'minutes': 8, 'seconds': 39}","{'minutes': 0, 'seconds': 11}",1,4,FUMBLE,False,0,13,0,13
4017527798,401752779,South Carolina,SEC,Coastal Carolina,Sun Belt,5,True,1,71,29,"{'minutes': 8, 'seconds': 31}",1,97,3,"{'minutes': 7, 'seconds': 27}","{'minutes': 1, 'seconds': 12}",3,29,TD,True,13,0,20,0
40175277910,401752779,Coastal Carolina,Sun Belt,South Carolina,SEC,6,False,1,75,75,"{'minutes': 7, 'seconds': 27}",1,70,70,"{'minutes': 6, 'seconds': 31}","{'minutes': 0, 'seconds': 56}",3,5,PUNT,False,0,20,0,20
40175277911,401752779,South Carolina,SEC,Coastal Carolina,Sun Belt,7,False,1,5,95,"{'minutes': 6, 'seconds': 25}",1,36,64,"{'minutes': 3, 'seconds': 39}","{'minutes': 2, 'seconds': 52}",5,31,PUNT,True,20,0,20,0
40175277912,401752779,Coastal Carolina,Sun Belt,South Carolina,SEC,8,False,1,71,71,"{'minutes': 3, 'seconds': 33}",2,22,22,"{'minutes': 13, 'seconds': 45}","{'minutes': 4, 'seconds': 54}",12,49,DOWNS,False,0,20,0,20
40175277913,401752779,South Carolina,SEC,Coastal Carolina,Sun Belt,9,True,2,23,77,"{'minutes': 13, 'seconds': 27}",2,97,3,"{'minutes': 9, 'seconds': 14}","{'minutes': 4, 'seconds': 31}",9,77,TD,True,20,0,27,0
40175277915,401752779,Coastal Carolina,Sun Belt,South Carolina,SEC,10,False,2,70,70,"{'minutes': 9, 'seconds': 8}",2,67,67,"{'minutes': 6, 'seconds': 59}","{'minutes': 2, 'seconds': 9}",4,3,PUNT,False,0,27,0,27
40175277916,401752779,South Carolina,SEC,Coastal Carolina,Sun Belt,11,True,2,20,80,"{'minutes': 6, 'seconds': 46}",2,97,3,"{'minutes': 5, 'seconds': 5}","{'minutes': 1, 'seconds': 54}",5,80,TD,True,27,0,34,0
40175277918,401752779,Coastal Carolina,Sun Belt,South Carolina,SEC,12,False,2,75,75,"{'minutes': 5, 'seconds': 5}",2,50,50,"{'minutes': 3, 'seconds': 21}","{'minutes': 1, 'seconds': 44}",5,25,PUNT,False,0,34,0,34
40175277919,401752779,South Carolina,SEC,Coastal Carolina,Sun Belt,13,False,2,9,91,"{'minutes': 3, 'seconds': 16}",2,17,83,"{'minutes': 1, 'seconds': 53}","{'minutes': 1, 'seconds': 28}",3,8,PUNT,True,34,0,34,0
40175277920,401752779,Coastal Carolina,Sun Belt,South Carolina,SEC,14,False,2,61,61,"{'minutes': 1, 'seconds': 47}",2,50,50,"{'minutes': 0, 'seconds': 24}","{'minutes': 1, 'seconds': 29}",9,11,MISSED FG,False,0,34,0,34
40175277921,401752779,South Carolina,SEC,Coastal Carolina,Sun Belt,15,True,2,39,61,"{'minutes': 0, 'seconds': 18}",2,71,29,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 24}",3,32,FG,True,34,0,37,0
40175277923,401752779,Coastal Carolina,Sun Belt,South Carolina,SEC,16,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,17,17,"{'minutes': 8, 'seconds': 17}","{'minutes': 6, 'seconds': 43}",15,58,DOWNS,False,0,37,0,37
40175277924,401752779,South Carolina,SEC,Coastal Carolina,Sun Belt,17,True,3,17,83,"{'minutes': 8, 'seconds': 17}",3,97,3,"{'minutes': 1, 'seconds': 44}","{'minutes': 6, 'seconds': 33}",13,83,TD,True,37,0,44,0
40175277926,401752779,Coastal Carolina,Sun Belt,South Carolina,SEC,18,False,3,75,75,"{'minutes': 1, 'seconds': 44}",4,72,72,"{'minutes': 14, 'seconds': 16}","{'minutes': 2, 'seconds': 28}",5,3,PUNT,False,0,44,0,44
40175277927,401752779,South Carolina,SEC,Coastal Carolina,Sun Belt,19,False,4,44,56,"{'minutes': 14, 'seconds': 11}",4,44,56,"{'minutes': 12, 'seconds': 40}","{'minutes': 1, 'seconds': 36}",4,0,PUNT,True,44,0,44,0
40175277928,401752779,Coastal Carolina,Sun Belt,South Carolina,SEC,20,False,4,77,77,"{'minutes': 12, 'seconds': 22}",4,70,70,"{'minutes': 11, 'seconds': 28}","{'minutes': 1, 'seconds': 12}",3,7,PUNT,False,0,44,0,44
40175277929,401752779,South Carolina,SEC,Coastal Carolina,Sun Belt,21,True,4,26,74,"{'minutes': 11, 'seconds': 18}",4,3,97,"{'minutes': 9, 'seconds': 37}","{'minutes': 1, 'seconds': 51}",3,4,PUNT TD,True,44,0,44,7
40175277931,401752779,South Carolina,SEC,Coastal Carolina,Sun Belt,22,True,4,15,85,"{'minutes': 9, 'seconds': 32}",4,97,3,"{'minutes': 1, 'seconds': 56}","{'minutes': 7, 'seconds': 36}",15,85,TD,True,44,7,51,7
40175277933,401752779,Coastal Carolina,Sun Belt,South Carolina,SEC,23,False,4,75,75,"{'minutes': 1, 'seconds': 56}",4,65,65,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 56}",4,10,END OF GAME,False,7,51,7,51
4017546161,401754616,Virginia,ACC,Coastal Carolina,Sun Belt,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,66,34,"{'minutes': 12, 'seconds': 6}","{'minutes': 2, 'seconds': 54}",8,41,MISSED FG,True,0,0,0,0
4017546162,401754616,Coastal Carolina,Sun Belt,Virginia,ACC,2,False,1,66,66,"{'minutes': 12, 'seconds': 6}",1,62,62,"{'minutes': 11, 'seconds': 1}","{'minutes': 1, 'seconds': 5}",3,4,PUNT,False,0,0,0,0
4017546163,401754616,Virginia,ACC,Coastal Carolina,Sun Belt,3,False,1,28,72,"{'minutes': 11, 'seconds': 1}",1,47,53,"{'minutes': 7, 'seconds': 49}","{'minutes': 3, 'seconds': 12}",6,19,DOWNS,True,0,0,0,0
4017546164,401754616,Coastal Carolina,Sun Belt,Virginia,ACC,4,False,1,47,47,"{'minutes': 7, 'seconds': 49}",1,20,20,"{'minutes': 5, 'seconds': 22}","{'minutes': 2, 'seconds': 27}",7,27,FUMBLE,False,0,0,0,0
4017546165,401754616,Virginia,ACC,Coastal Carolina,Sun Belt,5,False,1,20,80,"{'minutes': 5, 'seconds': 22}",1,33,67,"{'minutes': 3, 'seconds': 4}","{'minutes': 2, 'seconds': 18}",5,13,PUNT,True,0,0,0,0
4017546166,401754616,Coastal Carolina,Sun Belt,Virginia,ACC,6,False,1,90,90,"{'minutes': 3, 'seconds': 4}",1,90,90,"{'minutes': 2, 'seconds': 8}","{'minutes': 0, 'seconds': 56}",3,0,PUNT,False,0,0,0,0
4017546167,401754616,Virginia,ACC,Coastal Carolina,Sun Belt,7,True,1,48,52,"{'minutes': 2, 'seconds': 8}",1,100,0,"{'minutes': 0, 'seconds': 1}","{'minutes': 2, 'seconds': 7}",4,52,TD,True,0,0,7,0
4017546168,401754616,Coastal Carolina,Sun Belt,Virginia,ACC,8,False,1,75,75,"{'minutes': 0, 'seconds': 1}",2,60,60,"{'minutes': 13, 'seconds': 49}","{'minutes': 1, 'seconds': 12}",5,15,PUNT,False,0,7,0,7
4017546169,401754616,Virginia,ACC,Coastal Carolina,Sun Belt,9,True,2,64,36,"{'minutes': 13, 'seconds': 49}",2,100,0,"{'minutes': 11, 'seconds': 22}","{'minutes': 2, 'seconds': 27}",7,36,TD,True,7,0,14,0
40175461610,401754616,Coastal Carolina,Sun Belt,Virginia,ACC,10,False,2,75,75,"{'minutes': 11, 'seconds': 22}",2,70,70,"{'minutes': 10, 'seconds': 20}","{'minutes': 1, 'seconds': 2}",3,5,PUNT,False,0,14,0,14
40175461611,401754616,Virginia,ACC,Coastal Carolina,Sun Belt,11,False,2,11,89,"{'minutes': 10, 'seconds': 20}",2,12,88,"{'minutes': 7, 'seconds': 50}","{'minutes': 2, 'seconds': 30}",3,1,PUNT,True,14,0,14,0
40175461612,401754616,Coastal Carolina,Sun Belt,Virginia,ACC,12,False,2,51,51,"{'minutes': 7, 'seconds': 50}",2,47,47,"{'minutes': 6, 'seconds': 18}","{'minutes': 1, 'seconds': 32}",3,4,PUNT,False,0,14,0,14
40175461613,401754616,Virginia,ACC,Coastal Carolina,Sun Belt,13,True,2,10,90,"{'minutes': 6, 'seconds': 18}",2,100,0,"{'minutes': 3, 'seconds': 27}","{'minutes': 2, 'seconds': 51}",7,90,TD,True,14,0,21,0
40175461614,401754616,Coastal Carolina,Sun Belt,Virginia,ACC,14,False,2,75,75,"{'minutes': 3, 'seconds': 27}",2,41,41,"{'minutes': 1, 'seconds': 34}","{'minutes': 1, 'seconds': 53}",6,34,PUNT,False,0,21,0,21
40175461615,401754616,Virginia,ACC,Coastal Carolina,Sun Belt,15,False,2,20,80,"{'minutes': 1, 'seconds': 34}",2,100,0,"{'minutes': 0, 'seconds': 18}","{'minutes': 1, 'seconds': 16}",8,80,TD,True,21,0,28,0
40175461616,401754616,Coastal Carolina,Sun Belt,Virginia,ACC,16,False,2,75,75,"{'minutes': 0, 'seconds': 18}",2,73,73,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 18}",1,2,END OF HALF,False,0,29,0,29
40175461617,401754616,Coastal Carolina,Sun Belt,Virginia,ACC,17,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,75,75,"{'minutes': 14, 'seconds': 39}","{'minutes': 0, 'seconds': 21}",1,0,INT,False,0,29,0,29
40175461618,401754616,Virginia,ACC,Coastal Carolina,Sun Belt,18,True,3,40,60,"{'minutes': 14, 'seconds': 39}",3,100,0,"{'minutes': 10, 'seconds': 41}","{'minutes': 3, 'seconds': 58}",8,60,TD,True,29,0,35,0
40175461619,401754616,Coastal Carolina,Sun Belt,Virginia,ACC,19,True,3,79,79,"{'minutes': 10, 'seconds': 37}",3,0,0,"{'minutes': 4, 'seconds': 26}","{'minutes': 6, 'seconds': 11}",14,79,TD,False,0,35,7,42
40175461620,401754616,Coastal Carolina,Sun Belt,Virginia,ACC,20,False,3,75,75,"{'minutes': 4, 'seconds': 12}",3,32,32,"{'minutes': 1, 'seconds': 28}","{'minutes': 2, 'seconds': 44}",8,43,DOWNS,False,7,42,7,42
40175461621,401754616,Virginia,ACC,Coastal Carolina,Sun Belt,21,True,3,32,68,"{'minutes': 1, 'seconds': 28}",4,85,15,"{'minutes': 11, 'seconds': 13}","{'minutes': 5, 'seconds': 15}",15,53,FG,True,42,7,45,7
40175461622,401754616,Coastal Carolina,Sun Belt,Virginia,ACC,22,False,4,75,75,"{'minutes': 11, 'seconds': 13}",4,85,85,"{'minutes': 8, 'seconds': 51}","{'minutes': 2, 'seconds': 22}",3,-10,PUNT,False,7,45,7,45
40175461623,401754616,Virginia,ACC,Coastal Carolina,Sun Belt,23,True,4,68,32,"{'minutes': 8, 'seconds': 51}",4,76,24,"{'minutes': 7, 'seconds': 3}","{'minutes': 1, 'seconds': 48}",4,8,FG,True,45,7,48,7
40175461624,401754616,Coastal Carolina,Sun Belt,Virginia,ACC,24,False,4,75,75,"{'minutes': 7, 'seconds': 3}",4,71,71,"{'minutes': 5, 'seconds': 14}","{'minutes': 1, 'seconds': 49}",4,4,PUNT,False,7,48,7,48
40175461625,401754616,Virginia,ACC,Coastal Carolina,Sun Belt,25,False,4,38,62,"{'minutes': 5, 'seconds': 14}",4,40,60,"{'minutes': 4, 'seconds': 23}","{'minutes': 0, 'seconds': 51}",3,2,PUNT,True,48,7,48,7
40175461626,401754616,Coastal Carolina,Sun Belt,Virginia,ACC,26,False,4,95,95,"{'minutes': 4, 'seconds': 23}",4,77,77,"{'minutes': 2, 'seconds': 10}","{'minutes': 2, 'seconds': 13}",5,18,FUMBLE,False,7,48,7,48
40175461627,401754616,Virginia,ACC,Coastal Carolina,Sun Belt,27,False,4,77,23,"{'minutes': 2, 'seconds': 10}",4,71,29,"{'minutes': 0, 'seconds': 18}","{'minutes': 1, 'seconds': 52}",4,-6,DOWNS,True,48,7,48,7
40175461628,401754616,Coastal Carolina,Sun Belt,Virginia,ACC,28,False,4,71,71,"{'minutes': 0, 'seconds': 18}",4,67,67,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 18}",1,4,END OF GAME,False,7,48,7,48
4017615971,401761597,Coastal Carolina,Sun Belt,Charleston Southern,Big South-OVC,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,38,62,"{'minutes': 12, 'seconds': 12}","{'minutes': 2, 'seconds': 48}",6,13,PUNT,True,0,0,0,0
4017615972,401761597,Charleston Southern,Big South-OVC,Coastal Carolina,Sun Belt,2,False,1,99,99,"{'minutes': 12, 'seconds': 12}",1,93,93,"{'minutes': 9, 'seconds': 49}","{'minutes': 2, 'seconds': 23}",4,6,PUNT,False,0,0,0,0
4017615973,401761597,Coastal Carolina,Sun Belt,Charleston Southern,Big South-OVC,3,False,1,11,89,"{'minutes': 9, 'seconds': 49}",1,57,43,"{'minutes': 7, 'seconds': 41}","{'minutes': 2, 'seconds': 8}",5,46,INT,True,0,0,0,0
