id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017543751,401754375,Georgia Tech,ACC,Colorado,Big 12,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,64,64,"{'minutes': 14, 'seconds': 35}","{'minutes': 0, 'seconds': 25}",2,11,FUMBLE,False,0,0,0,0
4017543752,401754375,Colorado,Big 12,Georgia Tech,ACC,2,True,1,64,36,"{'minutes': 14, 'seconds': 35}",1,100,0,"{'minutes': 12, 'seconds': 8}","{'minutes': 2, 'seconds': 27}",5,36,TD,True,0,0,7,0
4017543753,401754375,Georgia Tech,ACC,Colorado,Big 12,3,False,1,75,75,"{'minutes': 12, 'seconds': 8}",1,48,48,"{'minutes': 10, 'seconds': 22}","{'minutes': 1, 'seconds': 46}",4,27,FUMBLE,False,0,7,0,7
4017543754,401754375,Colorado,Big 12,Georgia Tech,ACC,4,False,1,48,52,"{'minutes': 10, 'seconds': 22}",1,48,52,"{'minutes': 9, 'seconds': 55}","{'minutes': 0, 'seconds': 27}",3,0,PUNT,True,7,0,7,0
4017543755,401754375,Georgia Tech,ACC,Colorado,Big 12,5,False,1,83,83,"{'minutes': 9, 'seconds': 55}",1,45,45,"{'minutes': 7, 'seconds': 4}","{'minutes': 2, 'seconds': 51}",6,38,INT,False,0,7,0,7
4017543756,401754375,Colorado,Big 12,Georgia Tech,ACC,6,False,1,34,66,"{'minutes': 7, 'seconds': 4}",1,43,57,"{'minutes': 5, 'seconds': 1}","{'minutes': 2, 'seconds': 3}",3,9,PUNT,True,7,0,7,0
4017543757,401754375,Georgia Tech,ACC,Colorado,Big 12,7,True,1,98,98,"{'minutes': 5, 'seconds': 1}",2,14,14,"{'minutes': 13, 'seconds': 31}","{'minutes': 6, 'seconds': 30}",13,84,FG,False,0,7,3,7
4017543758,401754375,Colorado,Big 12,Georgia Tech,ACC,8,False,2,25,75,"{'minutes': 13, 'seconds': 31}",2,48,52,"{'minutes': 10, 'seconds': 30}","{'minutes': 3, 'seconds': 1}",5,23,PUNT,True,7,3,7,3
4017543759,401754375,Georgia Tech,ACC,Colorado,Big 12,9,True,2,80,80,"{'minutes': 10, 'seconds': 30}",2,0,0,"{'minutes': 4, 'seconds': 33}","{'minutes': 5, 'seconds': 57}",10,80,TD,False,3,7,10,7
40175437510,401754375,Colorado,Big 12,Georgia Tech,ACC,10,True,2,25,75,"{'minutes': 4, 'seconds': 33}",2,76,24,"{'minutes': 1, 'seconds': 39}","{'minutes': 2, 'seconds': 54}",8,51,FG,True,7,10,10,10
40175437511,401754375,Georgia Tech,ACC,Colorado,Big 12,11,True,2,75,75,"{'minutes': 1, 'seconds': 39}",2,26,26,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 39}",9,49,FG,False,10,10,13,10
40175437512,401754375,Colorado,Big 12,Georgia Tech,ACC,12,False,3,25,75,"{'minutes': 15, 'seconds': 0}",3,50,50,"{'minutes': 12, 'seconds': 54}","{'minutes': 2, 'seconds': 6}",4,25,PUNT,True,10,13,10,13
40175437513,401754375,Georgia Tech,ACC,Colorado,Big 12,13,False,3,86,86,"{'minutes': 12, 'seconds': 54}",3,72,72,"{'minutes': 10, 'seconds': 15}","{'minutes': 2, 'seconds': 39}",6,14,PUNT,False,13,10,13,10
40175437514,401754375,Colorado,Big 12,Georgia Tech,ACC,14,True,3,50,50,"{'minutes': 10, 'seconds': 15}",3,89,11,"{'minutes': 6, 'seconds': 0}","{'minutes': 4, 'seconds': 15}",8,39,FG,True,10,13,13,13
40175437515,401754375,Georgia Tech,ACC,Colorado,Big 12,15,True,3,75,75,"{'minutes': 6, 'seconds': 0}",3,0,0,"{'minutes': 0, 'seconds': 14}","{'minutes': 5, 'seconds': 46}",11,75,TD,False,13,13,20,13
40175437516,401754375,Colorado,Big 12,Georgia Tech,ACC,16,True,3,25,75,"{'minutes': 0, 'seconds': 14}",4,100,0,"{'minutes': 8, 'seconds': 25}","{'minutes': 6, 'seconds': 49}",15,75,TD,True,13,20,20,20
40175437517,401754375,Georgia Tech,ACC,Colorado,Big 12,17,False,4,75,75,"{'minutes': 8, 'seconds': 4}",4,56,56,"{'minutes': 5, 'seconds': 19}","{'minutes': 2, 'seconds': 45}",4,19,PUNT,False,20,20,20,20
40175437518,401754375,Colorado,Big 12,Georgia Tech,ACC,18,False,4,11,89,"{'minutes': 5, 'seconds': 19}",4,33,67,"{'minutes': 2, 'seconds': 51}","{'minutes': 2, 'seconds': 28}",5,22,PUNT,True,20,20,20,20
40175437519,401754375,Georgia Tech,ACC,Colorado,Big 12,19,True,4,61,61,"{'minutes': 2, 'seconds': 51}",4,0,0,"{'minutes': 1, 'seconds': 7}","{'minutes': 1, 'seconds': 44}",5,61,TD,False,20,20,27,20
40175437520,401754375,Colorado,Big 12,Georgia Tech,ACC,20,False,4,25,75,"{'minutes': 1, 'seconds': 7}",4,50,50,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 7}",6,25,END OF GAME,True,20,27,20,27
4017568811,401756881,Delaware,Conference USA,Colorado,Big 12,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,50,50,"{'minutes': 11, 'seconds': 39}","{'minutes': 3, 'seconds': 21}",8,25,PUNT,False,0,0,0,0
4017568812,401756881,Colorado,Big 12,Delaware,Conference USA,2,True,1,13,87,"{'minutes': 11, 'seconds': 39}",1,100,0,"{'minutes': 5, 'seconds': 33}","{'minutes': 6, 'seconds': 6}",12,87,TD,True,0,0,7,0
4017568813,401756881,Delaware,Conference USA,Colorado,Big 12,3,False,1,75,75,"{'minutes': 5, 'seconds': 33}",1,47,47,"{'minutes': 2, 'seconds': 2}","{'minutes': 3, 'seconds': 31}",8,28,DOWNS,False,0,7,0,7
4017568814,401756881,Colorado,Big 12,Delaware,Conference USA,4,True,1,47,53,"{'minutes': 2, 'seconds': 2}",2,90,10,"{'minutes': 13, 'seconds': 3}","{'minutes': 3, 'seconds': 59}",12,43,FG,True,7,0,10,0
4017568815,401756881,Delaware,Conference USA,Colorado,Big 12,5,False,2,75,75,"{'minutes': 13, 'seconds': 3}",2,74,74,"{'minutes': 11, 'seconds': 50}","{'minutes': 1, 'seconds': 13}",3,1,PUNT,False,0,10,0,10
4017568816,401756881,Colorado,Big 12,Delaware,Conference USA,6,False,2,30,70,"{'minutes': 11, 'seconds': 50}",2,56,44,"{'minutes': 7, 'seconds': 36}","{'minutes': 4, 'seconds': 14}",8,26,PUNT,True,10,0,10,0
4017568817,401756881,Delaware,Conference USA,Colorado,Big 12,7,False,2,94,94,"{'minutes': 7, 'seconds': 36}",2,65,65,"{'minutes': 5, 'seconds': 1}","{'minutes': 2, 'seconds': 35}",5,29,PUNT,False,0,10,0,10
4017568818,401756881,Colorado,Big 12,Delaware,Conference USA,8,False,2,37,63,"{'minutes': 5, 'seconds': 1}",2,41,59,"{'minutes': 3, 'seconds': 39}","{'minutes': 1, 'seconds': 22}",3,4,PUNT,True,10,0,10,0
4017568819,401756881,Delaware,Conference USA,Colorado,Big 12,9,True,2,80,80,"{'minutes': 3, 'seconds': 39}",2,0,0,"{'minutes': 0, 'seconds': 45}","{'minutes': 2, 'seconds': 54}",7,80,TD,False,0,10,7,10
40175688110,401756881,Colorado,Big 12,Delaware,Conference USA,10,True,2,25,75,"{'minutes': 0, 'seconds': 45}",2,100,0,"{'minutes': 0, 'seconds': 9}","{'minutes': 0, 'seconds': 36}",6,75,TD,True,10,7,17,7
40175688111,401756881,Delaware,Conference USA,Colorado,Big 12,11,False,2,75,75,"{'minutes': 0, 'seconds': 9}",2,76,76,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 9}",1,-1,END OF HALF,False,7,17,7,17
40175688112,401756881,Colorado,Big 12,Delaware,Conference USA,12,True,3,25,75,"{'minutes': 15, 'seconds': 0}",3,100,0,"{'minutes': 13, 'seconds': 46}","{'minutes': 1, 'seconds': 14}",3,75,TD,True,17,7,24,7
40175688113,401756881,Delaware,Conference USA,Colorado,Big 12,13,False,3,75,75,"{'minutes': 13, 'seconds': 46}",3,6,6,"{'minutes': 7, 'seconds': 54}","{'minutes': 5, 'seconds': 52}",11,69,DOWNS,False,7,24,7,24
40175688114,401756881,Colorado,Big 12,Delaware,Conference USA,14,False,3,6,94,"{'minutes': 7, 'seconds': 54}",3,55,45,"{'minutes': 3, 'seconds': 41}","{'minutes': 4, 'seconds': 13}",8,49,PUNT,True,24,7,24,7
40175688115,401756881,Delaware,Conference USA,Colorado,Big 12,15,False,3,99,99,"{'minutes': 3, 'seconds': 41}",3,83,83,"{'minutes': 1, 'seconds': 36}","{'minutes': 2, 'seconds': 5}",4,16,PUNT,False,7,24,7,24
40175688116,401756881,Colorado,Big 12,Delaware,Conference USA,16,True,3,76,24,"{'minutes': 1, 'seconds': 36}",4,100,0,"{'minutes': 14, 'seconds': 13}","{'minutes': 2, 'seconds': 23}",5,24,TD,True,24,7,31,7
40175688117,401756881,Delaware,Conference USA,Colorado,Big 12,17,False,4,75,75,"{'minutes': 14, 'seconds': 13}",4,8,8,"{'minutes': 13, 'seconds': 52}","{'minutes': 0, 'seconds': 21}",2,67,FUMBLE,False,7,31,7,31
40175688118,401756881,Colorado,Big 12,Delaware,Conference USA,18,False,4,8,92,"{'minutes': 13, 'seconds': 52}",4,20,80,"{'minutes': 9, 'seconds': 42}","{'minutes': 4, 'seconds': 10}",6,12,PUNT,True,31,7,31,7
40175688119,401756881,Delaware,Conference USA,Colorado,Big 12,19,False,4,74,74,"{'minutes': 9, 'seconds': 42}",4,46,46,"{'minutes': 8, 'seconds': 21}","{'minutes': 1, 'seconds': 21}",6,28,INT,False,7,31,7,31
40175688120,401756881,Colorado,Big 12,Delaware,Conference USA,20,False,4,35,65,"{'minutes': 8, 'seconds': 21}",4,37,63,"{'minutes': 6, 'seconds': 14}","{'minutes': 2, 'seconds': 7}",3,2,PUNT,True,31,7,31,7
40175688121,401756881,Delaware,Conference USA,Colorado,Big 12,21,False,4,80,80,"{'minutes': 6, 'seconds': 14}",4,11,11,"{'minutes': 2, 'seconds': 33}","{'minutes': 3, 'seconds': 41}",12,69,MISSED FG,False,7,31,7,31
40175688122,401756881,Colorado,Big 12,Delaware,Conference USA,22,False,4,20,80,"{'minutes': 2, 'seconds': 33}",4,27,73,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 33}",5,7,END OF GAME,True,31,7,31,7
4017568931,401756893,Colorado,Big 12,Houston,Big 12,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,47,47,"{'minutes': 10, 'seconds': 39}","{'minutes': 4, 'seconds': 21}",8,28,PUNT,False,0,0,0,0
4017568932,401756893,Houston,Big 12,Colorado,Big 12,2,True,1,3,97,"{'minutes': 10, 'seconds': 39}",1,66,34,"{'minutes': 6, 'seconds': 42}","{'minutes': 3, 'seconds': 57}",10,63,FG,True,0,0,3,0
4017568933,401756893,Colorado,Big 12,Houston,Big 12,3,False,1,69,69,"{'minutes': 6, 'seconds': 34}",1,61,61,"{'minutes': 5, 'seconds': 27}","{'minutes': 1, 'seconds': 7}",3,8,PUNT,False,0,3,0,3
4017568934,401756893,Houston,Big 12,Colorado,Big 12,4,True,1,21,79,"{'minutes': 5, 'seconds': 27}",1,100,0,"{'minutes': 3, 'seconds': 52}","{'minutes': 1, 'seconds': 35}",5,79,TD,True,3,0,10,0
4017568935,401756893,Colorado,Big 12,Houston,Big 12,5,False,1,82,82,"{'minutes': 3, 'seconds': 47}",1,78,78,"{'minutes': 2, 'seconds': 18}","{'minutes': 1, 'seconds': 29}",3,4,PUNT,False,0,10,0,10
4017568936,401756893,Houston,Big 12,Colorado,Big 12,6,True,1,31,69,"{'minutes': 2, 'seconds': 18}",2,75,25,"{'minutes': 14, 'seconds': 13}","{'minutes': 3, 'seconds': 5}",8,44,FG,True,10,0,13,0
