gameId,driveId,id,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,defenseConference,defenseScore,home,away,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
401754375,4017543751,401754375101849903,1,1,Colorado,Big 12,0,Georgia Tech,ACC,0,Colorado,Georgia Tech,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,0,False,Kickoff,Buck Buchanan kickoff for 65 yds for a touchback,,2025-08-30T00:08:04.000Z
401754375,4017543751,401754375101849905,1,2,Colorado,Big 12,0,Georgia Tech,ACC,0,Colorado,Georgia Tech,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,0,False,Kickoff,Buck Buchanan kickoff for 65 yds for a touchback,,2025-08-30T00:08:04.000Z
401754375,4017543751,401754375101854801,1,3,Georgia Tech,ACC,0,Colorado,Big 12,0,Colorado,Georgia Tech,1,"{'minutes': 14, 'seconds': 51}",3,3,75,75,1,10,13,False,Rush,Malik Rutherford run for 13 yds to the GT 38 for a 1ST down,1.124751479041831,2025-08-30T00:08:04.000Z
401754375,4017543751,401754375101856401,1,4,Georgia Tech,ACC,0,Colorado,Big 12,0,Colorado,Georgia Tech,1,"{'minutes': 14, 'seconds': 35}",3,3,62,62,1,10,-2,False,Fumble Recovery (Opponent),"Haynes King run for a loss of 2 yards to the GT 36 Haynes King fumbled, recovered by GT Martavius French",-2.0469963593205094,2025-08-30T00:08:08.000Z
401754375,4017543751,401754375101856402,1,5,Georgia Tech,ACC,0,Colorado,Big 12,0,Colorado,Georgia Tech,1,"{'minutes': 14, 'seconds': 35}",3,3,62,62,1,10,-2,False,Fumble Recovery (Opponent),"Haynes King run for a loss of 2 yards to the GT 36 Haynes King fumbled, recovered by GT Martavius French",-2.0469963593205094,2025-08-30T00:08:08.000Z
401754375,4017543752,401754375101857901,2,1,Colorado,Big 12,0,Georgia Tech,ACC,0,Colorado,Georgia Tech,1,"{'minutes': 14, 'seconds': 20}",3,3,64,36,1,10,4,False,Pass Reception,Kaidon Salter pass complete to Quentin Gibson for 4 yds to the GT 32,-0.0714896390997507,2025-08-30T00:08:39.000Z
401754375,4017543752,401754375101859901,2,2,Colorado,Big 12,0,Georgia Tech,ACC,0,Colorado,Georgia Tech,1,"{'minutes': 14, 'seconds': 0}",3,3,68,32,2,6,16,False,Rush,Micah Welch run for 16 yds to the GT 16 for a 1ST down,0.5135450128211723,2025-08-30T00:09:06.000Z
401754375,4017543752,401754375101866901,2,3,Colorado,Big 12,0,Georgia Tech,ACC,0,Colorado,Georgia Tech,1,"{'minutes': 13, 'seconds': 30}",3,3,84,16,1,10,4,False,Rush,Micah Welch run for 4 yds to the GT 12,-0.0205045498028526,2025-08-30T00:09:41.000Z
401754375,4017543752,401754375101874501,2,4,Colorado,Big 12,0,Georgia Tech,ACC,0,Colorado,Georgia Tech,1,"{'minutes': 12, 'seconds': 54}",3,3,88,12,2,6,4,False,Rush,Micah Welch run for 4 yds to the GT 8,-0.022637018515628,2025-08-30T00:10:26.000Z
401754375,4017543752,401754375101879101,2,5,Colorado,Big 12,7,Georgia Tech,ACC,0,Colorado,Georgia Tech,1,"{'minutes': 12, 'seconds': 8}",3,3,92,8,3,2,8,True,Passing Touchdown,Kaidon Salter pass complete to Dekalon Taylor for 8 yds for a TD (Alejandro Mata KICK),2.611864289610855,2025-08-30T00:11:43.000Z
401754375,4017543753,401754375101879103,3,1,Colorado,Big 12,7,Georgia Tech,ACC,0,Colorado,Georgia Tech,1,"{'minutes': 12, 'seconds': 8}",3,3,35,65,1,10,0,False,Kickoff,Buck Buchanan kickoff for 65 yds for a touchback,,2025-08-30T00:14:20.000Z
401754375,4017543753,401754375101885101,3,2,Georgia Tech,ACC,0,Colorado,Big 12,7,Colorado,Georgia Tech,1,"{'minutes': 11, 'seconds': 48}",3,3,75,75,1,10,2,False,Rush,Haynes King run for 2 yds to the GT 27,-0.45260367932203766,2025-08-30T00:16:11.000Z
401754375,4017543753,401754375101887401,3,3,Georgia Tech,ACC,0,Colorado,Big 12,7,Colorado,Georgia Tech,1,"{'minutes': 11, 'seconds': 25}",3,3,73,73,2,8,12,False,Rush,Jamal Haynes run for 12 yds to the GT 39 for a 1ST down,1.6753427625784931,2025-08-30T00:16:49.000Z
401754375,4017543753,401754375101894601,3,4,Georgia Tech,ACC,0,Colorado,Big 12,7,Colorado,Georgia Tech,1,"{'minutes': 10, 'seconds': 53}",3,3,61,61,1,10,13,False,Pass Reception,Haynes King pass complete to Eric Rivers for 13 yds to the COLO 48 for a 1ST down,1.168782200184909,2025-08-30T00:17:09.000Z
401754375,4017543753,401754375101897701,3,5,Georgia Tech,ACC,0,Colorado,Big 12,7,Colorado,Georgia Tech,1,"{'minutes': 10, 'seconds': 22}",3,3,48,48,1,10,0,False,Fumble Recovery (Opponent),"run for no gain to the COLO 48 fumbled, recovered by GT Martavius French",-3.313766163720043,2025-08-30T00:18:22.000Z
401754375,4017543754,401754375101898101,4,1,Colorado,Big 12,7,Georgia Tech,ACC,0,Colorado,Georgia Tech,1,"{'minutes': 10, 'seconds': 18}",3,3,48,52,1,10,0,False,Pass Incompletion,Kaidon Salter pass incomplete to Dekalon Taylor,-1.1430602484821704,2025-08-30T00:18:59.000Z
401754375,4017543754,401754375101898601,4,2,Colorado,Big 12,7,Georgia Tech,ACC,0,Colorado,Georgia Tech,1,"{'minutes': 10, 'seconds': 13}",3,3,48,52,2,10,0,False,Pass Incompletion,Kaidon Salter pass incomplete to Dre'lon Miller,-0.9850636246407553,2025-08-30T00:19:42.000Z
401754375,4017543754,401754375101899701,4,3,Colorado,Big 12,7,Georgia Tech,ACC,0,Colorado,Georgia Tech,1,"{'minutes': 10, 'seconds': 2}",3,3,48,52,3,10,0,False,Pass Incompletion,Kaidon Salter pass incomplete to Sincere Brown,-0.6418714100938061,2025-08-30T00:20:33.000Z
401754375,4017543754,401754375101904401,4,4,Colorado,Big 12,7,Georgia Tech,ACC,0,Colorado,Georgia Tech,1,"{'minutes': 9, 'seconds': 55}",3,3,48,52,4,10,0,False,Punt,"Damon Greaves punt for 35 yds, fair catch by Eric Rivers at the GT 17",,2025-08-30T00:24:53.000Z
401754375,4017543755,401754375101905101,5,1,Georgia Tech,ACC,0,Colorado,Big 12,7,Colorado,Georgia Tech,1,"{'minutes': 9, 'seconds': 48}",3,3,83,83,1,10,7,False,Rush,Haynes King run for 7 yds to the GT 24,0.4780938115215383,2025-08-30T00:24:54.000Z
401754375,4017543755,401754375101908301,5,2,Georgia Tech,ACC,0,Colorado,Big 12,7,Colorado,Georgia Tech,1,"{'minutes': 9, 'seconds': 16}",3,3,76,76,2,3,10,False,Rush,Haynes King run for 10 yds to the GT 34 for a 1ST down,0.7203193813005049,2025-08-30T00:25:47.000Z
401754375,4017543755,401754375101916001,5,3,Georgia Tech,ACC,0,Colorado,Big 12,7,Colorado,Georgia Tech,1,"{'minutes': 8, 'seconds': 39}",3,3,66,66,1,10,10,False,Pass Reception,Haynes King pass complete to Bailey Stockton for 10 yds to the GT 44 for a 1ST down,0.9665866083503082,2025-08-30T00:26:17.000Z
