id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017528051,401752805,Colorado State,Mountain West,Washington,Big Ten,1,False,1,72,72,"{'minutes': 14, 'seconds': 53}",1,71,71,"{'minutes': 13, 'seconds': 30}","{'minutes': 1, 'seconds': 23}",3,1,PUNT,False,0,0,0,0
4017528052,401752805,Washington,Big Ten,Colorado State,Mountain West,2,True,1,41,59,"{'minutes': 13, 'seconds': 30}",1,100,0,"{'minutes': 11, 'seconds': 8}","{'minutes': 2, 'seconds': 22}",6,59,TD,True,0,0,7,0
4017528053,401752805,Colorado State,Mountain West,Washington,Big Ten,3,True,1,75,75,"{'minutes': 10, 'seconds': 58}",1,0,0,"{'minutes': 6, 'seconds': 47}","{'minutes': 4, 'seconds': 11}",9,75,TD,False,0,7,7,7
4017528054,401752805,Washington,Big Ten,Colorado State,Mountain West,4,False,1,36,64,"{'minutes': 6, 'seconds': 38}",1,64,36,"{'minutes': 1, 'seconds': 9}","{'minutes': 5, 'seconds': 29}",10,28,PUNT,True,7,7,7,7
4017528055,401752805,Colorado State,Mountain West,Washington,Big Ten,5,False,1,80,80,"{'minutes': 1, 'seconds': 9}",2,74,74,"{'minutes': 14, 'seconds': 15}","{'minutes': 1, 'seconds': 54}",3,6,PUNT,False,7,7,7,7
4017528056,401752805,Washington,Big Ten,Colorado State,Mountain West,6,True,2,12,88,"{'minutes': 14, 'seconds': 15}",2,100,0,"{'minutes': 10, 'seconds': 43}","{'minutes': 3, 'seconds': 32}",7,88,TD,True,7,7,14,7
4017528057,401752805,Colorado State,Mountain West,Washington,Big Ten,7,False,2,47,47,"{'minutes': 10, 'seconds': 31}",2,45,45,"{'minutes': 9, 'seconds': 3}","{'minutes': 1, 'seconds': 28}",3,2,PUNT,False,7,14,7,14
4017528058,401752805,Washington,Big Ten,Colorado State,Mountain West,8,False,2,1,99,"{'minutes': 9, 'seconds': 3}",2,50,50,"{'minutes': 5, 'seconds': 0}","{'minutes': 4, 'seconds': 3}",8,49,PUNT,True,14,7,14,7
4017528059,401752805,Colorado State,Mountain West,Washington,Big Ten,9,False,2,92,92,"{'minutes': 5, 'seconds': 0}",2,90,90,"{'minutes': 3, 'seconds': 29}","{'minutes': 1, 'seconds': 31}",3,2,PUNT,False,7,14,7,14
40175280510,401752805,Washington,Big Ten,Colorado State,Mountain West,10,False,2,41,59,"{'minutes': 3, 'seconds': 29}",2,66,34,"{'minutes': 1, 'seconds': 39}","{'minutes': 1, 'seconds': 50}",6,25,FUMBLE,True,14,7,14,7
