id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017546062,401754606,Delaware,Conference USA,Wake Forest,ACC,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,58,58,"{'minutes': 13, 'seconds': 6}","{'minutes': 1, 'seconds': 54}",5,17,PUNT,False,0,0,0,0
4017546063,401754606,Wake Forest,ACC,Delaware,Conference USA,2,True,1,16,84,"{'minutes': 13, 'seconds': 6}",1,92,8,"{'minutes': 7, 'seconds': 8}","{'minutes': 5, 'seconds': 58}",15,76,TD,True,0,0,7,0
4017546065,401754606,Delaware,Conference USA,Wake Forest,ACC,3,False,1,75,75,"{'minutes': 7, 'seconds': 8}",1,74,74,"{'minutes': 5, 'seconds': 42}","{'minutes': 1, 'seconds': 26}",3,1,PUNT,False,0,7,0,7
4017546066,401754606,Wake Forest,ACC,Delaware,Conference USA,4,True,1,41,59,"{'minutes': 5, 'seconds': 42}",1,97,3,"{'minutes': 2, 'seconds': 13}","{'minutes': 3, 'seconds': 29}",9,59,TD,True,7,0,15,0
4017546068,401754606,Delaware,Conference USA,Wake Forest,ACC,5,True,1,75,75,"{'minutes': 2, 'seconds': 13}",2,3,3,"{'minutes': 12, 'seconds': 47}","{'minutes': 4, 'seconds': 26}",10,75,TD,False,0,15,7,15
40175460610,401754606,Wake Forest,ACC,Delaware,Conference USA,6,True,2,25,75,"{'minutes': 12, 'seconds': 47}",2,73,27,"{'minutes': 9, 'seconds': 40}","{'minutes': 3, 'seconds': 7}",7,48,FG,True,15,7,18,7
40175460612,401754606,Delaware,Conference USA,Wake Forest,ACC,7,False,2,75,75,"{'minutes': 9, 'seconds': 40}",2,59,59,"{'minutes': 6, 'seconds': 4}","{'minutes': 3, 'seconds': 36}",6,16,PUNT,False,7,18,7,18
40175460613,401754606,Wake Forest,ACC,Delaware,Conference USA,8,True,2,12,88,"{'minutes': 6, 'seconds': 4}",2,97,3,"{'minutes': 4, 'seconds': 39}","{'minutes': 1, 'seconds': 25}",4,88,TD,True,18,7,25,7
40175460615,401754606,Wake Forest,ACC,Delaware,Conference USA,9,True,2,81,19,"{'minutes': 4, 'seconds': 34}",2,73,27,"{'minutes': 2, 'seconds': 15}","{'minutes': 2, 'seconds': 19}",5,-8,FG,True,25,7,28,7
40175460617,401754606,Delaware,Conference USA,Wake Forest,ACC,10,False,2,75,75,"{'minutes': 2, 'seconds': 15}",2,78,78,"{'minutes': 1, 'seconds': 34}","{'minutes': 0, 'seconds': 41}",3,-3,PUNT,False,7,28,7,28
40175460618,401754606,Wake Forest,ACC,Delaware,Conference USA,11,False,2,43,57,"{'minutes': 1, 'seconds': 26}",2,46,54,"{'minutes': 1, 'seconds': 26}","{'minutes': 0, 'seconds': 8}",1,0,INT,True,28,7,28,7
40175460619,401754606,Delaware,Conference USA,Wake Forest,ACC,12,False,2,46,46,"{'minutes': 1, 'seconds': 26}",2,16,16,"{'minutes': 0, 'seconds': 29}","{'minutes': 0, 'seconds': 57}",4,25,FUMBLE,False,7,28,7,28
40175460620,401754606,Wake Forest,ACC,Delaware,Conference USA,13,True,2,21,79,"{'minutes': 0, 'seconds': 19}",2,60,40,"{'minutes': 0, 'seconds': 19}","{'minutes': 0, 'seconds': 10}",1,79,TD,True,35,7,35,7
40175460622,401754606,Delaware,Conference USA,Wake Forest,ACC,14,False,2,75,75,"{'minutes': 0, 'seconds': 19}",2,77,77,"{'minutes': 0, 'seconds': 19}","{'minutes': 0, 'seconds': 19}",1,-2,END OF HALF,False,7,35,7,35
40175460624,401754606,Wake Forest,ACC,Delaware,Conference USA,15,True,3,20,80,"{'minutes': 14, 'seconds': 57}",3,97,3,"{'minutes': 10, 'seconds': 8}","{'minutes': 4, 'seconds': 49}",8,80,TD,True,35,7,42,7
40175460626,401754606,Delaware,Conference USA,Wake Forest,ACC,16,False,3,75,75,"{'minutes': 10, 'seconds': 8}",3,42,42,"{'minutes': 4, 'seconds': 21}","{'minutes': 5, 'seconds': 47}",13,33,PUNT,False,7,42,7,42
40175460627,401754606,Wake Forest,ACC,Delaware,Conference USA,17,True,3,8,92,"{'minutes': 4, 'seconds': 21}",3,97,3,"{'minutes': 3, 'seconds': 37}","{'minutes': 0, 'seconds': 44}",2,92,TD,True,42,7,49,7
40175460629,401754606,Delaware,Conference USA,Wake Forest,ACC,18,False,3,75,75,"{'minutes': 3, 'seconds': 37}",4,38,38,"{'minutes': 11, 'seconds': 54}","{'minutes': 6, 'seconds': 43}",14,37,DOWNS,False,7,49,7,49
40175460630,401754606,Wake Forest,ACC,Delaware,Conference USA,19,True,4,38,62,"{'minutes': 11, 'seconds': 54}",4,71,29,"{'minutes': 8, 'seconds': 44}","{'minutes': 3, 'seconds': 10}",8,33,FG,True,49,7,52,7
40175460632,401754606,Delaware,Conference USA,Wake Forest,ACC,20,True,4,82,82,"{'minutes': 8, 'seconds': 40}",4,3,3,"{'minutes': 1, 'seconds': 59}","{'minutes': 6, 'seconds': 41}",13,82,TD,False,7,52,14,52
40175460634,401754606,Wake Forest,ACC,Delaware,Conference USA,21,False,4,25,75,"{'minutes': 1, 'seconds': 59}",4,26,74,"{'minutes': 0, 'seconds': 29}","{'minutes': 1, 'seconds': 30}",3,7,INT,True,52,14,52,14
40175460635,401754606,Delaware,Conference USA,Wake Forest,ACC,22,False,4,26,26,"{'minutes': 0, 'seconds': 29}",4,5,5,"{'minutes': 0, 'seconds': 29}","{'minutes': 0, 'seconds': 29}",4,21,END OF GAME,False,14,52,14,52
4017568811,401756881,Delaware,Conference USA,Colorado,Big 12,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,50,50,"{'minutes': 11, 'seconds': 39}","{'minutes': 3, 'seconds': 21}",8,25,PUNT,False,0,0,0,0
4017568812,401756881,Colorado,Big 12,Delaware,Conference USA,2,True,1,13,87,"{'minutes': 11, 'seconds': 39}",1,100,0,"{'minutes': 5, 'seconds': 33}","{'minutes': 6, 'seconds': 6}",12,87,TD,True,0,0,7,0
4017568813,401756881,Delaware,Conference USA,Colorado,Big 12,3,False,1,75,75,"{'minutes': 5, 'seconds': 33}",1,47,47,"{'minutes': 2, 'seconds': 2}","{'minutes': 3, 'seconds': 31}",8,28,DOWNS,False,0,7,0,7
4017568814,401756881,Colorado,Big 12,Delaware,Conference USA,4,True,1,47,53,"{'minutes': 2, 'seconds': 2}",2,90,10,"{'minutes': 13, 'seconds': 3}","{'minutes': 3, 'seconds': 59}",12,43,FG,True,7,0,10,0
4017568815,401756881,Delaware,Conference USA,Colorado,Big 12,5,False,2,75,75,"{'minutes': 13, 'seconds': 3}",2,74,74,"{'minutes': 11, 'seconds': 50}","{'minutes': 1, 'seconds': 13}",3,1,PUNT,False,0,10,0,10
4017568816,401756881,Colorado,Big 12,Delaware,Conference USA,6,False,2,30,70,"{'minutes': 11, 'seconds': 50}",2,56,44,"{'minutes': 7, 'seconds': 36}","{'minutes': 4, 'seconds': 14}",8,26,PUNT,True,10,0,10,0
4017568817,401756881,Delaware,Conference USA,Colorado,Big 12,7,False,2,94,94,"{'minutes': 7, 'seconds': 36}",2,65,65,"{'minutes': 5, 'seconds': 1}","{'minutes': 2, 'seconds': 35}",5,29,PUNT,False,0,10,0,10
4017568818,401756881,Colorado,Big 12,Delaware,Conference USA,8,False,2,37,63,"{'minutes': 5, 'seconds': 1}",2,41,59,"{'minutes': 3, 'seconds': 39}","{'minutes': 1, 'seconds': 22}",3,4,PUNT,True,10,0,10,0
4017568819,401756881,Delaware,Conference USA,Colorado,Big 12,9,True,2,80,80,"{'minutes': 3, 'seconds': 39}",2,0,0,"{'minutes': 0, 'seconds': 45}","{'minutes': 2, 'seconds': 54}",7,80,TD,False,0,10,7,10
40175688110,401756881,Colorado,Big 12,Delaware,Conference USA,10,True,2,25,75,"{'minutes': 0, 'seconds': 45}",2,100,0,"{'minutes': 0, 'seconds': 9}","{'minutes': 0, 'seconds': 36}",6,75,TD,True,10,7,17,7
40175688111,401756881,Delaware,Conference USA,Colorado,Big 12,11,False,2,75,75,"{'minutes': 0, 'seconds': 9}",2,76,76,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 9}",1,-1,END OF HALF,False,7,17,7,17
40175688112,401756881,Colorado,Big 12,Delaware,Conference USA,12,True,3,25,75,"{'minutes': 15, 'seconds': 0}",3,100,0,"{'minutes': 13, 'seconds': 46}","{'minutes': 1, 'seconds': 14}",3,75,TD,True,17,7,24,7
40175688113,401756881,Delaware,Conference USA,Colorado,Big 12,13,False,3,75,75,"{'minutes': 13, 'seconds': 46}",3,6,6,"{'minutes': 7, 'seconds': 54}","{'minutes': 5, 'seconds': 52}",11,69,DOWNS,False,7,24,7,24
40175688114,401756881,Colorado,Big 12,Delaware,Conference USA,14,False,3,6,94,"{'minutes': 7, 'seconds': 54}",3,55,45,"{'minutes': 3, 'seconds': 41}","{'minutes': 4, 'seconds': 13}",8,49,PUNT,True,24,7,24,7
40175688115,401756881,Delaware,Conference USA,Colorado,Big 12,15,False,3,99,99,"{'minutes': 3, 'seconds': 41}",3,83,83,"{'minutes': 1, 'seconds': 36}","{'minutes': 2, 'seconds': 5}",4,16,PUNT,False,7,24,7,24
40175688116,401756881,Colorado,Big 12,Delaware,Conference USA,16,True,3,76,24,"{'minutes': 1, 'seconds': 36}",4,100,0,"{'minutes': 14, 'seconds': 13}","{'minutes': 2, 'seconds': 23}",5,24,TD,True,24,7,31,7
40175688117,401756881,Delaware,Conference USA,Colorado,Big 12,17,False,4,75,75,"{'minutes': 14, 'seconds': 13}",4,8,8,"{'minutes': 13, 'seconds': 52}","{'minutes': 0, 'seconds': 21}",2,67,FUMBLE,False,7,31,7,31
40175688118,401756881,Colorado,Big 12,Delaware,Conference USA,18,False,4,8,92,"{'minutes': 13, 'seconds': 52}",4,20,80,"{'minutes': 9, 'seconds': 42}","{'minutes': 4, 'seconds': 10}",6,12,PUNT,True,31,7,31,7
40175688119,401756881,Delaware,Conference USA,Colorado,Big 12,19,False,4,74,74,"{'minutes': 9, 'seconds': 42}",4,46,46,"{'minutes': 8, 'seconds': 21}","{'minutes': 1, 'seconds': 21}",6,28,INT,False,7,31,7,31
40175688120,401756881,Colorado,Big 12,Delaware,Conference USA,20,False,4,35,65,"{'minutes': 8, 'seconds': 21}",4,37,63,"{'minutes': 6, 'seconds': 14}","{'minutes': 2, 'seconds': 7}",3,2,PUNT,True,31,7,31,7
40175688121,401756881,Delaware,Conference USA,Colorado,Big 12,21,False,4,80,80,"{'minutes': 6, 'seconds': 14}",4,11,11,"{'minutes': 2, 'seconds': 33}","{'minutes': 3, 'seconds': 41}",12,69,MISSED FG,False,7,31,7,31
40175688122,401756881,Colorado,Big 12,Delaware,Conference USA,22,False,4,20,80,"{'minutes': 2, 'seconds': 33}",4,27,73,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 33}",5,7,END OF GAME,True,31,7,31,7
4017571681,401757168,UConn,FBS Independents,Delaware,Conference USA,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,72,72,"{'minutes': 13, 'seconds': 47}","{'minutes': 1, 'seconds': 13}",3,3,PUNT,False,0,0,0,0
4017571682,401757168,Delaware,Conference USA,UConn,FBS Independents,2,True,1,27,73,"{'minutes': 13, 'seconds': 47}",1,100,0,"{'minutes': 11, 'seconds': 13}","{'minutes': 2, 'seconds': 34}",7,73,TD,True,0,0,7,0
4017571683,401757168,UConn,FBS Independents,Delaware,Conference USA,3,True,1,75,75,"{'minutes': 11, 'seconds': 13}",1,0,0,"{'minutes': 8, 'seconds': 48}","{'minutes': 2, 'seconds': 25}",6,75,TD,False,0,7,7,7
4017571684,401757168,Delaware,Conference USA,UConn,FBS Independents,4,True,1,25,75,"{'minutes': 8, 'seconds': 48}",1,100,0,"{'minutes': 8, 'seconds': 6}","{'minutes': 0, 'seconds': 42}",2,75,TD,True,7,7,14,7
4017571685,401757168,UConn,FBS Independents,Delaware,Conference USA,5,True,1,75,75,"{'minutes': 8, 'seconds': 6}",1,10,10,"{'minutes': 4, 'seconds': 48}","{'minutes': 3, 'seconds': 18}",8,65,FG,False,7,14,10,14
4017571686,401757168,Delaware,Conference USA,UConn,FBS Independents,6,True,1,21,79,"{'minutes': 4, 'seconds': 41}",2,100,0,"{'minutes': 12, 'seconds': 54}","{'minutes': 6, 'seconds': 47}",12,79,TD,True,14,10,21,10
4017571687,401757168,UConn,FBS Independents,Delaware,Conference USA,7,True,2,73,73,"{'minutes': 12, 'seconds': 45}",2,0,0,"{'minutes': 10, 'seconds': 8}","{'minutes': 2, 'seconds': 37}",7,73,TD,False,10,21,17,21
4017571688,401757168,Delaware,Conference USA,UConn,FBS Independents,8,False,2,35,65,"{'minutes': 10, 'seconds': 2}",2,49,51,"{'minutes': 8, 'seconds': 40}","{'minutes': 1, 'seconds': 22}",4,14,PUNT,True,21,17,21,17
4017571689,401757168,UConn,FBS Independents,Delaware,Conference USA,9,True,2,83,83,"{'minutes': 8, 'seconds': 40}",2,0,0,"{'minutes': 7, 'seconds': 17}","{'minutes': 1, 'seconds': 23}",7,83,TD,False,17,21,24,21
40175716810,401757168,Delaware,Conference USA,UConn,FBS Independents,10,True,2,25,75,"{'minutes': 7, 'seconds': 17}",2,100,0,"{'minutes': 5, 'seconds': 55}","{'minutes': 1, 'seconds': 22}",3,75,TD,True,21,24,28,24
40175716811,401757168,UConn,FBS Independents,Delaware,Conference USA,11,False,2,75,75,"{'minutes': 5, 'seconds': 49}",2,58,58,"{'minutes': 3, 'seconds': 53}","{'minutes': 1, 'seconds': 56}",4,17,PUNT,False,24,28,24,28
40175716812,401757168,Delaware,Conference USA,UConn,FBS Independents,12,False,2,17,83,"{'minutes': 3, 'seconds': 53}",2,38,62,"{'minutes': 0, 'seconds': 15}","{'minutes': 3, 'seconds': 38}",7,21,PUNT,True,28,24,28,24
40175716813,401757168,UConn,FBS Independents,Delaware,Conference USA,13,False,2,66,66,"{'minutes': 0, 'seconds': 15}",2,57,57,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 15}",3,9,END OF HALF,False,24,28,24,28
40175716814,401757168,Delaware,Conference USA,UConn,FBS Independents,14,False,3,25,75,"{'minutes': 15, 'seconds': 0}",3,56,44,"{'minutes': 11, 'seconds': 1}","{'minutes': 3, 'seconds': 59}",8,31,PUNT,True,28,24,28,24
40175716815,401757168,UConn,FBS Independents,Delaware,Conference USA,15,False,3,96,96,"{'minutes': 11, 'seconds': 1}",3,90,90,"{'minutes': 9, 'seconds': 21}","{'minutes': 1, 'seconds': 40}",3,6,PUNT,False,24,28,24,28
40175716816,401757168,Delaware,Conference USA,UConn,FBS Independents,16,False,3,46,54,"{'minutes': 9, 'seconds': 21}",3,46,54,"{'minutes': 7, 'seconds': 52}","{'minutes': 1, 'seconds': 29}",3,0,PUNT,True,28,24,28,24
40175716817,401757168,UConn,FBS Independents,Delaware,Conference USA,17,True,3,79,79,"{'minutes': 7, 'seconds': 52}",3,0,0,"{'minutes': 5, 'seconds': 5}","{'minutes': 2, 'seconds': 47}",7,79,TD,False,24,28,31,28
40175716818,401757168,Delaware,Conference USA,UConn,FBS Independents,18,True,3,25,75,"{'minutes': 5, 'seconds': 5}",3,100,0,"{'minutes': 0, 'seconds': 0}","{'minutes': 5, 'seconds': 5}",11,75,TD,True,28,31,35,31
40175716819,401757168,UConn,FBS Independents,Delaware,Conference USA,19,True,4,75,75,"{'minutes': 15, 'seconds': 0}",4,0,0,"{'minutes': 9, 'seconds': 54}","{'minutes': 5, 'seconds': 6}",10,75,TD,False,31,35,38,35
40175716820,401757168,Delaware,Conference USA,UConn,FBS Independents,20,False,4,25,75,"{'minutes': 9, 'seconds': 54}",4,70,30,"{'minutes': 6, 'seconds': 50}","{'minutes': 3, 'seconds': 4}",9,45,MISSED FG,True,35,38,35,38
40175716821,401757168,UConn,FBS Independents,Delaware,Conference USA,21,False,4,70,70,"{'minutes': 6, 'seconds': 50}",4,22,22,"{'minutes': 2, 'seconds': 10}","{'minutes': 4, 'seconds': 40}",9,48,DOWNS,False,38,35,38,35
40175716822,401757168,Delaware,Conference USA,UConn,FBS Independents,22,True,4,22,78,"{'minutes': 2, 'seconds': 10}",4,74,26,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 10}",11,52,FG,True,35,38,38,38
