id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017528251,401752825,Duke,ACC,Illinois,Big Ten,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,77,23,"{'minutes': 10, 'seconds': 26}","{'minutes': 4, 'seconds': 34}",9,52,FG,True,0,0,3,0
4017528252,401752825,Illinois,Big Ten,Duke,ACC,2,False,1,75,75,"{'minutes': 10, 'seconds': 26}",1,60,60,"{'minutes': 8, 'seconds': 6}","{'minutes': 2, 'seconds': 20}",5,15,PUNT,False,0,3,0,3
4017528253,401752825,Duke,ACC,Illinois,Big Ten,3,False,1,20,80,"{'minutes': 8, 'seconds': 6}",1,28,72,"{'minutes': 6, 'seconds': 41}","{'minutes': 1, 'seconds': 25}",3,8,PUNT,True,3,0,3,0
4017528254,401752825,Illinois,Big Ten,Duke,ACC,4,False,1,73,73,"{'minutes': 6, 'seconds': 41}",1,62,62,"{'minutes': 4, 'seconds': 5}","{'minutes': 2, 'seconds': 36}",5,11,FUMBLE,False,0,3,0,3
4017528255,401752825,Illinois,Big Ten,Duke,ACC,5,True,1,18,18,"{'minutes': 4, 'seconds': 5}",1,0,0,"{'minutes': 1, 'seconds': 51}","{'minutes': 2, 'seconds': 14}",5,18,TD,False,0,3,7,3
4017528256,401752825,Duke,ACC,Illinois,Big Ten,6,True,1,25,75,"{'minutes': 1, 'seconds': 51}",2,77,23,"{'minutes': 11, 'seconds': 8}","{'minutes': 5, 'seconds': 43}",14,52,FG,True,3,7,6,7
4017528257,401752825,Illinois,Big Ten,Duke,ACC,7,True,2,75,75,"{'minutes': 11, 'seconds': 8}",2,0,0,"{'minutes': 5, 'seconds': 1}","{'minutes': 6, 'seconds': 7}",12,75,TD,False,7,6,14,6
4017528258,401752825,Duke,ACC,Illinois,Big Ten,8,False,2,25,75,"{'minutes': 5, 'seconds': 1}",2,87,13,"{'minutes': 3, 'seconds': 55}","{'minutes': 1, 'seconds': 6}",4,57,FUMBLE,True,6,14,6,14
4017528259,401752825,Illinois,Big Ten,Duke,ACC,9,False,2,82,82,"{'minutes': 3, 'seconds': 55}",2,59,59,"{'minutes': 1, 'seconds': 11}","{'minutes': 2, 'seconds': 44}",6,23,PUNT,False,14,6,14,6
40175282510,401752825,Duke,ACC,Illinois,Big Ten,10,True,2,23,77,"{'minutes': 1, 'seconds': 11}",2,100,0,"{'minutes': 0, 'seconds': 8}","{'minutes': 1, 'seconds': 3}",9,77,TD,True,6,14,13,14
40175282511,401752825,Illinois,Big Ten,Duke,ACC,11,False,2,75,75,"{'minutes': 0, 'seconds': 8}",2,76,76,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 8}",1,-1,END OF HALF,False,14,13,14,13
40175282512,401752825,Illinois,Big Ten,Duke,ACC,12,True,3,75,75,"{'minutes': 15, 'seconds': 0}",3,0,0,"{'minutes': 9, 'seconds': 34}","{'minutes': 5, 'seconds': 26}",11,75,TD,False,14,13,21,13
40175282513,401752825,Duke,ACC,Illinois,Big Ten,13,False,3,25,75,"{'minutes': 9, 'seconds': 34}",3,37,63,"{'minutes': 8, 'seconds': 0}","{'minutes': 1, 'seconds': 34}",4,36,FUMBLE,True,13,21,13,21
40175282514,401752825,Illinois,Big Ten,Duke,ACC,14,True,3,61,61,"{'minutes': 8, 'seconds': 0}",3,0,0,"{'minutes': 6, 'seconds': 54}","{'minutes': 1, 'seconds': 6}",4,61,TD,False,21,13,28,13
40175282515,401752825,Duke,ACC,Illinois,Big Ten,15,True,3,25,75,"{'minutes': 6, 'seconds': 54}",3,100,0,"{'minutes': 4, 'seconds': 0}","{'minutes': 2, 'seconds': 54}",7,75,TD,True,13,28,19,28
40175282516,401752825,Illinois,Big Ten,Duke,ACC,16,True,3,74,74,"{'minutes': 4, 'seconds': 0}",4,17,17,"{'minutes': 14, 'seconds': 4}","{'minutes': 4, 'seconds': 56}",9,57,FG,False,28,19,31,19
40175282517,401752825,Duke,ACC,Illinois,Big Ten,17,False,4,25,75,"{'minutes': 14, 'seconds': 4}",4,71,29,"{'minutes': 10, 'seconds': 59}","{'minutes': 3, 'seconds': 5}",7,46,INT,True,19,31,19,31
40175282518,401752825,Illinois,Big Ten,Duke,ACC,18,True,4,89,89,"{'minutes': 10, 'seconds': 59}",4,0,0,"{'minutes': 4, 'seconds': 14}","{'minutes': 6, 'seconds': 45}",12,89,TD,False,31,19,38,19
40175282519,401752825,Duke,ACC,Illinois,Big Ten,19,False,4,25,75,"{'minutes': 4, 'seconds': 14}",4,25,75,"{'minutes': 4, 'seconds': 4}","{'minutes': 0, 'seconds': 10}",1,-2,FUMBLE,True,19,38,19,38
40175282520,401752825,Illinois,Big Ten,Duke,ACC,20,True,4,23,23,"{'minutes': 4, 'seconds': 4}",4,0,0,"{'minutes': 3, 'seconds': 58}","{'minutes': 0, 'seconds': 6}",1,23,TD,False,45,19,45,19
40175282521,401752825,Duke,ACC,Illinois,Big Ten,21,False,4,25,75,"{'minutes': 3, 'seconds': 58}",4,68,32,"{'minutes': 1, 'seconds': 45}","{'minutes': 2, 'seconds': 13}",7,43,DOWNS,True,19,45,19,45
40175282522,401752825,Illinois,Big Ten,Duke,ACC,22,False,4,68,68,"{'minutes': 1, 'seconds': 45}",4,71,71,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 45}",3,-3,END OF GAME,False,45,19,45,19
4017545171,401754517,Elon,CAA,Duke,ACC,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,81,81,"{'minutes': 13, 'seconds': 19}","{'minutes': 1, 'seconds': 41}",3,-6,PUNT,False,0,0,0,0
4017545172,401754517,Duke,ACC,Elon,CAA,2,False,1,38,62,"{'minutes': 13, 'seconds': 19}",1,73,27,"{'minutes': 11, 'seconds': 47}","{'minutes': 1, 'seconds': 32}",5,35,MISSED FG,True,0,0,0,0
4017545173,401754517,Elon,CAA,Duke,ACC,3,False,1,73,73,"{'minutes': 11, 'seconds': 47}",1,75,75,"{'minutes': 9, 'seconds': 59}","{'minutes': 1, 'seconds': 48}",3,-2,PUNT,False,0,0,0,0
4017545174,401754517,Duke,ACC,Elon,CAA,4,False,1,29,71,"{'minutes': 9, 'seconds': 59}",1,35,65,"{'minutes': 8, 'seconds': 43}","{'minutes': 1, 'seconds': 16}",3,6,PUNT,True,0,0,0,0
4017545175,401754517,Elon,CAA,Duke,ACC,5,False,1,81,81,"{'minutes': 8, 'seconds': 43}",1,62,62,"{'minutes': 6, 'seconds': 3}","{'minutes': 2, 'seconds': 40}",5,19,PUNT,False,0,0,0,0
4017545176,401754517,Duke,ACC,Elon,CAA,6,True,1,5,95,"{'minutes': 6, 'seconds': 3}",1,77,23,"{'minutes': 1, 'seconds': 31}","{'minutes': 4, 'seconds': 32}",13,72,FG,True,0,0,3,0
4017545177,401754517,Elon,CAA,Duke,ACC,7,True,1,75,75,"{'minutes': 1, 'seconds': 31}",2,17,17,"{'minutes': 9, 'seconds': 50}","{'minutes': 6, 'seconds': 41}",13,58,FG,False,0,3,3,3
4017545178,401754517,Duke,ACC,Elon,CAA,8,True,2,25,75,"{'minutes': 9, 'seconds': 50}",2,100,0,"{'minutes': 8, 'seconds': 1}","{'minutes': 1, 'seconds': 49}",4,75,TD,True,3,3,10,3
4017545179,401754517,Elon,CAA,Duke,ACC,9,True,2,75,75,"{'minutes': 8, 'seconds': 1}",2,0,0,"{'minutes': 3, 'seconds': 43}","{'minutes': 4, 'seconds': 18}",9,75,TD,False,3,10,10,10
40175451710,401754517,Duke,ACC,Elon,CAA,10,False,2,25,75,"{'minutes': 3, 'seconds': 37}",2,81,19,"{'minutes': 1, 'seconds': 55}","{'minutes': 1, 'seconds': 42}",5,56,FUMBLE,True,10,10,10,10
40175451711,401754517,Elon,CAA,Duke,ACC,11,False,2,81,81,"{'minutes': 1, 'seconds': 55}",2,85,85,"{'minutes': 0, 'seconds': 49}","{'minutes': 1, 'seconds': 6}",3,-4,PUNT,False,10,10,10,10
40175451712,401754517,Duke,ACC,Elon,CAA,12,False,2,63,37,"{'minutes': 0, 'seconds': 49}",2,64,36,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 49}",3,1,END OF HALF,True,10,10,10,10
40175451713,401754517,Duke,ACC,Elon,CAA,13,True,3,17,83,"{'minutes': 14, 'seconds': 56}",3,100,0,"{'minutes': 10, 'seconds': 59}","{'minutes': 3, 'seconds': 57}",8,83,TD,True,10,10,17,10
40175451714,401754517,Elon,CAA,Duke,ACC,14,False,3,54,54,"{'minutes': 10, 'seconds': 51}",3,59,59,"{'minutes': 9, 'seconds': 22}","{'minutes': 1, 'seconds': 29}",3,-5,PUNT,False,10,17,10,17
40175451715,401754517,Duke,ACC,Elon,CAA,15,True,3,12,88,"{'minutes': 9, 'seconds': 22}",3,100,0,"{'minutes': 5, 'seconds': 46}","{'minutes': 3, 'seconds': 36}",8,88,TD,True,17,10,24,10
40175451716,401754517,Elon,CAA,Duke,ACC,16,True,3,75,75,"{'minutes': 5, 'seconds': 46}",4,0,0,"{'minutes': 14, 'seconds': 12}","{'minutes': 6, 'seconds': 34}",12,75,TD,False,10,24,17,24
40175451717,401754517,Duke,ACC,Elon,CAA,17,True,4,20,80,"{'minutes': 14, 'seconds': 7}",4,100,0,"{'minutes': 11, 'seconds': 28}","{'minutes': 2, 'seconds': 39}",5,80,TD,True,24,17,31,17
40175451718,401754517,Elon,CAA,Duke,ACC,18,True,4,75,75,"{'minutes': 11, 'seconds': 28}",4,74,74,"{'minutes': 9, 'seconds': 18}","{'minutes': 2, 'seconds': 10}",3,1,PUNT RETURN TD,False,17,31,17,38
40175451719,401754517,Elon,CAA,Duke,ACC,19,False,4,75,75,"{'minutes': 9, 'seconds': 18}",4,53,53,"{'minutes': 6, 'seconds': 55}","{'minutes': 2, 'seconds': 23}",6,22,DOWNS,False,17,38,17,38
40175451720,401754517,Duke,ACC,Elon,CAA,20,True,4,53,47,"{'minutes': 6, 'seconds': 55}",4,100,0,"{'minutes': 1, 'seconds': 55}","{'minutes': 5, 'seconds': 0}",7,47,TD,True,38,17,45,17
40175451721,401754517,Elon,CAA,Duke,ACC,21,False,4,75,75,"{'minutes': 1, 'seconds': 55}",4,65,65,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 55}",3,10,END OF GAME,False,17,45,17,45
4017545341,401754534,Duke,ACC,Tulane,American Athletic,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,74,74,"{'minutes': 14, 'seconds': 4}","{'minutes': 0, 'seconds': 56}",3,1,PUNT,False,0,0,0,0
4017545342,401754534,Tulane,American Athletic,Duke,ACC,2,True,1,36,64,"{'minutes': 14, 'seconds': 4}",1,100,0,"{'minutes': 10, 'seconds': 50}","{'minutes': 3, 'seconds': 14}",6,64,TD,True,0,0,7,0
4017545343,401754534,Duke,ACC,Tulane,American Athletic,3,False,1,60,60,"{'minutes': 10, 'seconds': 50}",1,26,26,"{'minutes': 8, 'seconds': 35}","{'minutes': 2, 'seconds': 15}",6,34,MISSED FG,False,0,7,0,7
