gameId,driveId,id,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,defenseConference,defenseScore,home,away,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
401754373,4017543731,401754373101849903,1,1,East Carolina,American Athletic,0,NC State,ACC,0,NC State,East Carolina,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,0,False,Kickoff,Everett Scott kickoff for 65 yds for a touchback,,2025-08-28T23:02:49.000Z
401754373,4017543731,401754373101908102,1,15,NC State,ACC,0,East Carolina,American Athletic,0,NC State,East Carolina,1,"{'minutes': 9, 'seconds': 18}",2,3,93,7,2,7,-15,False,Penalty,"NC State Penalty, Personal Foul (-15 Yards) to the ECU 22",,2025-08-28T23:12:35.000Z
401754373,4017543731,401754373101907502,1,14,NC State,ACC,0,East Carolina,American Athletic,0,NC State,East Carolina,1,"{'minutes': 9, 'seconds': 24}",2,3,93,7,2,7,0,False,Timeout,"Timeout NC State, clock 09:24",,2025-08-28T23:11:07.000Z
401754373,4017543731,401754373101916501,1,17,NC State,ACC,3,East Carolina,American Athletic,0,NC State,East Carolina,1,"{'minutes': 8, 'seconds': 34}",2,3,89,11,4,11,29,True,Field Goal Good,Nick Konieczynski 29 Yd Field Goal ,,2025-08-28T23:17:03.000Z
401754373,4017543731,401754373101854501,1,2,NC State,ACC,0,East Carolina,American Athletic,0,NC State,East Carolina,1,"{'minutes': 14, 'seconds': 54}",3,3,25,75,1,10,6,False,Rush,Hollywood Smothers run for 6 yds to the NCSU 31,0.3333748010525683,2025-08-28T23:03:31.000Z
401754373,4017543731,401754373101857301,1,3,NC State,ACC,0,East Carolina,American Athletic,0,NC State,East Carolina,1,"{'minutes': 14, 'seconds': 26}",3,3,31,69,2,4,11,False,Pass Reception,CJ Bailey pass complete to Keenan Jackson for 11 yds to the NCSU 42 for a 1ST down,1.1826771066294377,2025-08-28T23:03:58.000Z
401754373,4017543731,401754373101864501,1,4,NC State,ACC,0,East Carolina,American Athletic,0,NC State,East Carolina,1,"{'minutes': 13, 'seconds': 54}",3,3,42,58,1,10,0,False,Pass Incompletion,CJ Bailey pass incomplete to Wesley Grimes,-1.1496266880203319,2025-08-28T23:04:26.000Z
401754373,4017543731,401754373101865502,1,5,NC State,ACC,0,East Carolina,American Athletic,0,NC State,East Carolina,1,"{'minutes': 13, 'seconds': 44}",3,3,42,58,2,10,9,False,Rush,"Hollywood Smothers run for 19 yds to the ECU 39 NC State Penalty, Offensive Holding (Noah Rogers) to the ECU 49",1.0934486196579274,2025-08-28T23:05:14.000Z
401754373,4017543731,401754373101868001,1,6,NC State,ACC,0,East Carolina,American Athletic,0,NC State,East Carolina,1,"{'minutes': 13, 'seconds': 19}",3,3,51,49,2,1,0,False,Rush,Jayden Scott run for no gain to the ECU 49,-1.358542151054889,2025-08-28T23:06:26.000Z
401754373,4017543731,401754373101876001,1,7,NC State,ACC,0,East Carolina,American Athletic,0,NC State,East Carolina,1,"{'minutes': 12, 'seconds': 39}",3,3,51,49,3,1,3,False,Rush,CJ Bailey run for 3 yds to the ECU 46 for a 1ST down,1.0745938722672557,2025-08-28T23:07:10.000Z
