id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017526981,401752698,Eastern Michigan,Mid-American,Kentucky,SEC,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,75,75,"{'minutes': 14, 'seconds': 50}","{'minutes': 0, 'seconds': 10}",1,0,INT,False,0,0,0,0
4017526982,401752698,Kentucky,SEC,Eastern Michigan,Mid-American,2,True,1,90,10,"{'minutes': 14, 'seconds': 50}",1,100,0,"{'minutes': 14, 'seconds': 11}","{'minutes': 0, 'seconds': 39}",2,10,TD,True,0,0,7,0
4017526983,401752698,Eastern Michigan,Mid-American,Kentucky,SEC,3,False,1,75,75,"{'minutes': 14, 'seconds': 11}",1,21,21,"{'minutes': 10, 'seconds': 41}","{'minutes': 3, 'seconds': 30}",8,54,DOWNS,False,0,7,0,7
4017526984,401752698,Kentucky,SEC,Eastern Michigan,Mid-American,4,True,1,21,79,"{'minutes': 10, 'seconds': 41}",1,100,0,"{'minutes': 5, 'seconds': 32}","{'minutes': 5, 'seconds': 9}",11,79,TD,True,7,0,14,0
4017526985,401752698,Eastern Michigan,Mid-American,Kentucky,SEC,5,True,1,75,75,"{'minutes': 5, 'seconds': 32}",1,20,20,"{'minutes': 2, 'seconds': 20}","{'minutes': 3, 'seconds': 12}",8,55,FG,False,0,14,3,14
4017526986,401752698,Kentucky,SEC,Eastern Michigan,Mid-American,6,False,1,25,75,"{'minutes': 2, 'seconds': 20}",1,42,58,"{'minutes': 0, 'seconds': 32}","{'minutes': 1, 'seconds': 48}",5,17,PUNT,True,14,3,14,3
4017526987,401752698,Eastern Michigan,Mid-American,Kentucky,SEC,7,False,1,93,93,"{'minutes': 0, 'seconds': 32}",2,62,62,"{'minutes': 12, 'seconds': 10}","{'minutes': 3, 'seconds': 22}",7,31,PUNT,False,3,14,3,14
4017526988,401752698,Kentucky,SEC,Eastern Michigan,Mid-American,8,True,2,46,54,"{'minutes': 12, 'seconds': 10}",2,100,0,"{'minutes': 10, 'seconds': 18}","{'minutes': 1, 'seconds': 52}",5,54,TD,True,14,3,21,3
4017526989,401752698,Eastern Michigan,Mid-American,Kentucky,SEC,9,True,2,75,75,"{'minutes': 10, 'seconds': 18}",2,19,19,"{'minutes': 5, 'seconds': 19}","{'minutes': 4, 'seconds': 59}",10,56,FG,False,3,21,6,21
40175269810,401752698,Kentucky,SEC,Eastern Michigan,Mid-American,10,True,2,25,75,"{'minutes': 5, 'seconds': 18}",2,100,0,"{'minutes': 1, 'seconds': 55}","{'minutes': 3, 'seconds': 23}",7,75,TD,True,21,6,28,6
40175269811,401752698,Eastern Michigan,Mid-American,Kentucky,SEC,11,True,2,75,75,"{'minutes': 1, 'seconds': 55}",2,0,0,"{'minutes': 1, 'seconds': 36}","{'minutes': 0, 'seconds': 19}",3,75,TD,False,6,28,13,28
40175269812,401752698,Kentucky,SEC,Eastern Michigan,Mid-American,12,False,2,25,75,"{'minutes': 1, 'seconds': 35}",2,34,66,"{'minutes': 0, 'seconds': 50}","{'minutes': 0, 'seconds': 45}",3,9,PUNT,True,28,13,28,13
40175269813,401752698,Eastern Michigan,Mid-American,Kentucky,SEC,13,True,2,66,66,"{'minutes': 0, 'seconds': 50}",2,32,32,"{'minutes': 0, 'seconds': 3}","{'minutes': 0, 'seconds': 47}",5,34,FG,False,13,28,16,28
40175269814,401752698,Kentucky,SEC,Eastern Michigan,Mid-American,14,False,2,25,75,"{'minutes': 0, 'seconds': 3}",2,24,76,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 3}",1,-1,END OF HALF,True,28,16,28,16
40175269815,401752698,Kentucky,SEC,Eastern Michigan,Mid-American,15,False,3,9,91,"{'minutes': 14, 'seconds': 56}",3,46,54,"{'minutes': 12, 'seconds': 40}","{'minutes': 2, 'seconds': 16}",5,37,PUNT,True,28,16,28,16
40175269816,401752698,Eastern Michigan,Mid-American,Kentucky,SEC,16,False,3,80,80,"{'minutes': 12, 'seconds': 40}",3,76,76,"{'minutes': 10, 'seconds': 51}","{'minutes': 1, 'seconds': 49}",3,4,PUNT,False,16,28,16,28
40175269817,401752698,Kentucky,SEC,Eastern Michigan,Mid-American,17,True,3,37,63,"{'minutes': 10, 'seconds': 51}",3,67,33,"{'minutes': 8, 'seconds': 13}","{'minutes': 2, 'seconds': 38}",7,30,FG,True,28,16,31,16
40175269818,401752698,Eastern Michigan,Mid-American,Kentucky,SEC,18,False,3,75,75,"{'minutes': 8, 'seconds': 13}",3,73,73,"{'minutes': 6, 'seconds': 36}","{'minutes': 1, 'seconds': 37}",4,2,DOWNS,False,16,31,16,31
40175269819,401752698,Kentucky,SEC,Eastern Michigan,Mid-American,19,True,3,73,27,"{'minutes': 6, 'seconds': 36}",3,100,0,"{'minutes': 5, 'seconds': 15}","{'minutes': 1, 'seconds': 21}",4,27,TD,True,31,16,38,16
40175269820,401752698,Eastern Michigan,Mid-American,Kentucky,SEC,20,False,3,75,75,"{'minutes': 5, 'seconds': 15}",3,43,43,"{'minutes': 1, 'seconds': 54}","{'minutes': 3, 'seconds': 21}",7,32,DOWNS,False,16,38,16,38
40175269821,401752698,Kentucky,SEC,Eastern Michigan,Mid-American,21,True,3,43,57,"{'minutes': 1, 'seconds': 54}",4,94,6,"{'minutes': 13, 'seconds': 16}","{'minutes': 3, 'seconds': 38}",7,51,FG,True,38,16,41,16
