id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527971,401752797,Florida Atlantic,American Athletic,Maryland,Big Ten,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,2,2,"{'minutes': 10, 'seconds': 48}","{'minutes': 4, 'seconds': 12}",12,73,DOWNS,False,0,0,0,0
4017527972,401752797,Maryland,Big Ten,Florida Atlantic,American Athletic,2,False,1,2,98,"{'minutes': 10, 'seconds': 48}",1,14,86,"{'minutes': 9, 'seconds': 40}","{'minutes': 1, 'seconds': 8}",5,12,PUNT,True,0,0,0,0
4017527973,401752797,Florida Atlantic,American Athletic,Maryland,Big Ten,3,False,1,70,70,"{'minutes': 9, 'seconds': 40}",1,67,67,"{'minutes': 8, 'seconds': 39}","{'minutes': 1, 'seconds': 1}",3,3,PUNT,False,0,0,0,0
4017527974,401752797,Maryland,Big Ten,Florida Atlantic,American Athletic,4,False,1,21,79,"{'minutes': 8, 'seconds': 39}",1,40,60,"{'minutes': 6, 'seconds': 44}","{'minutes': 1, 'seconds': 55}",4,19,PUNT,True,0,0,0,0
4017527975,401752797,Florida Atlantic,American Athletic,Maryland,Big Ten,5,True,1,80,80,"{'minutes': 6, 'seconds': 44}",1,80,80,"{'minutes': 6, 'seconds': 38}","{'minutes': 0, 'seconds': 6}",1,0,INT TD,False,0,7,0,7
4017527976,401752797,Florida Atlantic,American Athletic,Maryland,Big Ten,6,True,1,58,58,"{'minutes': 6, 'seconds': 31}",1,0,0,"{'minutes': 4, 'seconds': 59}","{'minutes': 1, 'seconds': 32}",5,58,TD,False,0,7,7,7
4017527977,401752797,Maryland,Big Ten,Florida Atlantic,American Athletic,7,False,1,14,86,"{'minutes': 4, 'seconds': 52}",1,18,82,"{'minutes': 3, 'seconds': 55}","{'minutes': 0, 'seconds': 57}",3,4,PUNT,True,7,7,7,7
4017527978,401752797,Florida Atlantic,American Athletic,Maryland,Big Ten,8,False,1,65,65,"{'minutes': 3, 'seconds': 55}",1,45,45,"{'minutes': 0, 'seconds': 30}","{'minutes': 3, 'seconds': 25}",8,20,DOWNS,False,7,7,7,7
4017527979,401752797,Maryland,Big Ten,Florida Atlantic,American Athletic,9,True,1,45,55,"{'minutes': 0, 'seconds': 30}",2,69,31,"{'minutes': 14, 'seconds': 1}","{'minutes': 1, 'seconds': 29}",6,24,FG,True,7,7,10,7
40175279710,401752797,Florida Atlantic,American Athletic,Maryland,Big Ten,10,False,2,73,73,"{'minutes': 14, 'seconds': 1}",2,61,61,"{'minutes': 13, 'seconds': 6}","{'minutes': 0, 'seconds': 55}",4,12,INT,False,7,10,7,10
40175279711,401752797,Maryland,Big Ten,Florida Atlantic,American Athletic,11,False,2,51,49,"{'minutes': 13, 'seconds': 6}",2,63,37,"{'minutes': 11, 'seconds': 18}","{'minutes': 1, 'seconds': 48}",5,12,PUNT,True,10,7,10,7
40175279712,401752797,Florida Atlantic,American Athletic,Maryland,Big Ten,12,False,2,96,96,"{'minutes': 11, 'seconds': 18}",2,100,100,"{'minutes': 10, 'seconds': 42}","{'minutes': 0, 'seconds': 36}",3,-4,SF,False,7,10,7,10
40175279713,401752797,Maryland,Big Ten,Florida Atlantic,American Athletic,13,True,2,50,50,"{'minutes': 10, 'seconds': 42}",2,100,0,"{'minutes': 7, 'seconds': 51}","{'minutes': 2, 'seconds': 51}",6,50,TD,True,12,7,21,7
40175279714,401752797,Florida Atlantic,American Athletic,Maryland,Big Ten,14,False,2,63,63,"{'minutes': 7, 'seconds': 46}",2,43,43,"{'minutes': 6, 'seconds': 22}","{'minutes': 1, 'seconds': 24}",5,20,DOWNS,False,7,21,7,21
40175279715,401752797,Maryland,Big Ten,Florida Atlantic,American Athletic,15,True,2,43,57,"{'minutes': 6, 'seconds': 22}",2,100,0,"{'minutes': 3, 'seconds': 17}","{'minutes': 3, 'seconds': 5}",7,57,TD,True,21,7,28,7
40175279716,401752797,Florida Atlantic,American Athletic,Maryland,Big Ten,16,False,2,79,79,"{'minutes': 3, 'seconds': 13}",2,75,75,"{'minutes': 1, 'seconds': 51}","{'minutes': 1, 'seconds': 22}",3,4,PUNT,False,7,28,7,28
40175279717,401752797,Maryland,Big Ten,Florida Atlantic,American Athletic,17,True,2,33,67,"{'minutes': 1, 'seconds': 51}",2,100,0,"{'minutes': 0, 'seconds': 37}","{'minutes': 1, 'seconds': 14}",8,67,TD,True,28,7,35,7
40175279718,401752797,Florida Atlantic,American Athletic,Maryland,Big Ten,18,False,2,64,64,"{'minutes': 0, 'seconds': 32}",2,42,42,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 32}",3,22,END OF HALF,False,7,35,7,35
40175279719,401752797,Maryland,Big Ten,Florida Atlantic,American Athletic,19,True,3,25,75,"{'minutes': 14, 'seconds': 56}",3,94,6,"{'minutes': 11, 'seconds': 13}","{'minutes': 3, 'seconds': 43}",9,69,FG,True,35,7,38,7
40175279720,401752797,Florida Atlantic,American Athletic,Maryland,Big Ten,20,False,3,68,68,"{'minutes': 11, 'seconds': 9}",3,60,60,"{'minutes': 10, 'seconds': 2}","{'minutes': 1, 'seconds': 7}",4,8,DOWNS,False,7,38,7,38
40175279721,401752797,Maryland,Big Ten,Florida Atlantic,American Athletic,21,True,3,60,40,"{'minutes': 10, 'seconds': 2}",3,76,24,"{'minutes': 8, 'seconds': 30}","{'minutes': 1, 'seconds': 32}",5,16,FG,True,38,7,41,7
40175279722,401752797,Florida Atlantic,American Athletic,Maryland,Big Ten,22,False,3,75,75,"{'minutes': 8, 'seconds': 30}",3,21,21,"{'minutes': 5, 'seconds': 38}","{'minutes': 2, 'seconds': 52}",7,54,INT,False,7,41,7,41
40175279723,401752797,Maryland,Big Ten,Florida Atlantic,American Athletic,23,False,3,4,96,"{'minutes': 5, 'seconds': 38}",3,8,92,"{'minutes': 4, 'seconds': 41}","{'minutes': 0, 'seconds': 57}",3,4,PUNT,True,41,7,41,7
40175279724,401752797,Florida Atlantic,American Athletic,Maryland,Big Ten,24,False,3,55,55,"{'minutes': 4, 'seconds': 41}",3,53,53,"{'minutes': 0, 'seconds': 57}","{'minutes': 3, 'seconds': 44}",8,2,DOWNS,False,7,41,7,41
40175279725,401752797,Maryland,Big Ten,Florida Atlantic,American Athletic,25,False,3,53,47,"{'minutes': 0, 'seconds': 57}",4,60,40,"{'minutes': 14, 'seconds': 19}","{'minutes': 1, 'seconds': 38}",4,7,DOWNS,True,41,7,41,7
40175279726,401752797,Florida Atlantic,American Athletic,Maryland,Big Ten,26,False,4,60,60,"{'minutes': 14, 'seconds': 19}",4,18,18,"{'minutes': 12, 'seconds': 10}","{'minutes': 2, 'seconds': 9}",8,42,INT,False,7,41,7,41
40175279727,401752797,Maryland,Big Ten,Florida Atlantic,American Athletic,27,False,4,20,80,"{'minutes': 12, 'seconds': 10}",4,40,60,"{'minutes': 9, 'seconds': 32}","{'minutes': 2, 'seconds': 38}",5,20,PUNT,True,41,7,41,7
40175279728,401752797,Florida Atlantic,American Athletic,Maryland,Big Ten,28,False,4,85,85,"{'minutes': 9, 'seconds': 32}",4,41,41,"{'minutes': 6, 'seconds': 54}","{'minutes': 2, 'seconds': 38}",11,44,INT,False,7,41,7,41
40175279729,401752797,Maryland,Big Ten,Florida Atlantic,American Athletic,29,False,4,8,92,"{'minutes': 6, 'seconds': 54}",4,38,62,"{'minutes': 3, 'seconds': 30}","{'minutes': 3, 'seconds': 24}",6,30,PUNT,True,41,7,41,7
40175279730,401752797,Florida Atlantic,American Athletic,Maryland,Big Ten,30,False,4,80,80,"{'minutes': 3, 'seconds': 30}",4,64,64,"{'minutes': 2, 'seconds': 4}","{'minutes': 1, 'seconds': 26}",5,16,INT,False,7,41,7,41
