gameId,driveId,id,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,defenseConference,defenseScore,home,away,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
401752797,4017527972,401752797101904702,2,6,Maryland,Big Ten,0,Florida Atlantic,American Athletic,0,Maryland,Florida Atlantic,1,"{'minutes': 9, 'seconds': 52}",3,3,19,81,4,10,-5,False,Penalty,"(09:52) PENALTY UMD Delay Of Game (McFerson,Bryce) 5 yards from UMD19 to UMD14. NO PLAY.",,2025-08-30T16:17:43.000Z
401752797,4017527972,401752797101905901,2,7,Maryland,Big Ten,0,Florida Atlantic,American Athletic,0,Maryland,Florida Atlantic,1,"{'minutes': 9, 'seconds': 40}",3,3,14,86,4,15,0,False,Punt,Bryce McFerson punt for 56 yds,,2025-08-30T16:18:57.000Z
401752797,4017527972,401752797101895901,2,1,Maryland,Big Ten,0,Florida Atlantic,American Athletic,0,Maryland,Florida Atlantic,1,"{'minutes': 10, 'seconds': 40}",3,3,2,98,1,10,2,False,Rush,Nolan Ray run for 2 yds to the MD 4,-0.16108107873912214,2025-08-30T16:15:37.000Z
401752797,4017527972,401752797101898101,2,2,Maryland,Big Ten,0,Florida Atlantic,American Athletic,0,Maryland,Florida Atlantic,1,"{'minutes': 10, 'seconds': 18}",3,3,4,96,2,8,15,False,Pass Reception,Malik Washington pass complete to Dorian Fleming for 15 yds to the MD 19 for a 1ST down,0.6976438586370524,2025-08-30T16:49:06.000Z
401752797,4017527972,401752797101904101,2,3,Maryland,Big Ten,0,Florida Atlantic,American Athletic,0,Maryland,Florida Atlantic,1,"{'minutes': 9, 'seconds': 58}",3,3,19,81,1,10,0,False,Pass Incompletion,Malik Washington pass incomplete to Leon Haughton Jr.,-0.5327945515514214,2025-08-30T16:49:06.000Z
401752797,4017527972,401752797101904301,2,4,Maryland,Big Ten,0,Florida Atlantic,American Athletic,0,Maryland,Florida Atlantic,1,"{'minutes': 9, 'seconds': 56}",3,3,19,81,2,10,0,False,Pass Incompletion,Malik Washington pass incomplete to Jalil Farooq,-0.24649544676527402,2025-08-30T16:49:06.000Z
401752797,4017527972,401752797101904701,2,5,Maryland,Big Ten,0,Florida Atlantic,American Athletic,0,Maryland,Florida Atlantic,1,"{'minutes': 9, 'seconds': 52}",3,3,19,81,3,10,0,False,Pass Incompletion,Malik Washington pass incomplete to Jalil Farooq,-0.10907493765085707,2025-08-30T16:17:43.000Z
401752797,4017527971,401752797101849903,1,1,Maryland,Big Ten,0,Florida Atlantic,American Athletic,0,Maryland,Florida Atlantic,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,0,False,Kickoff,Philip Noyes kickoff for 65 yds for a touchback,,2025-08-30T16:08:19.000Z
401752797,4017527971,401752797101856001,1,3,Florida Atlantic,American Athletic,0,Maryland,Big Ten,0,Maryland,Florida Atlantic,1,"{'minutes': 14, 'seconds': 39}",3,3,65,65,1,10,15,False,Penalty,"Maryland Penalty, Face Mask (15 yards) (Daniel Wingate) to the MD 46 for a 1ST down",,2025-08-30T16:49:06.000Z
401752797,4017527971,401752797101865401,1,6,Florida Atlantic,American Athletic,0,Maryland,Big Ten,0,Maryland,Florida Atlantic,1,"{'minutes': 13, 'seconds': 45}",3,3,46,46,3,10,5,False,Penalty,"(13:45) No Huddle-Shotgun Veltkamp,Caden pass intercepted by Wingate,Daniel at UMD30, End Of Play PENALTY UMD Encroachment 5 yards from UMD46 to UMD41. NO PLAY.",,2025-08-30T16:49:06.000Z
401752797,4017527971,401752797101869601,1,8,Florida Atlantic,American Athletic,0,Maryland,Big Ten,0,Maryland,Florida Atlantic,1,"{'minutes': 13, 'seconds': 3}",3,3,31,31,1,10,5,False,Penalty,"PENALTY UMD Delay Of Game (Wingate,Daniel) 5 yards from UMD31 to UMD26. NO PLAY.",,2025-08-30T16:49:06.000Z
401752797,4017527971,401752797101878901,1,11,Florida Atlantic,American Athletic,0,Maryland,Big Ten,0,Maryland,Florida Atlantic,1,"{'minutes': 12, 'seconds': 10}",3,3,25,25,3,4,5,False,Penalty,"(12:14) No Huddle-Shotgun Sands,Gemari rush middle for 1 yard loss to the UMD26 (Fontus,Dillan) PENALTY UMD Offside (Fontus,Dillan) 5 yards from UMD25 to UMD20, 1ST DOWN. NO PLAY.",,2025-08-30T16:08:19.000Z
401752797,4017527971,401752797101894202,1,15,Florida Atlantic,American Athletic,0,Maryland,Big Ten,0,Maryland,Florida Atlantic,1,"{'minutes': 10, 'seconds': 57}",3,3,9,9,3,9,5,False,Penalty,"(10:57) PENALTY UMD Offside (Stewart,Sidney) 5 yards from UMD09 to UMD04. NO PLAY.",,2025-08-30T16:10:55.000Z
401752797,4017527971,401752797101854901,1,2,Florida Atlantic,American Athletic,0,Maryland,Big Ten,0,Maryland,Florida Atlantic,1,"{'minutes': 14, 'seconds': 50}",3,3,75,75,1,10,10,False,Pass Reception,Caden Veltkamp pass complete to Easton Messer for 10 yds to the FAU 35 for a 1ST down,0.8350381090299867,2025-08-30T16:49:06.000Z
401752797,4017527971,401752797101858501,1,4,Florida Atlantic,American Athletic,0,Maryland,Big Ten,0,Maryland,Florida Atlantic,1,"{'minutes': 14, 'seconds': 14}",3,3,46,46,1,10,0,False,Pass Incompletion,Caden Veltkamp pass incomplete to Easton Messer,-1.0250974847844603,2025-08-30T16:49:06.000Z
401752797,4017527971,401752797101859701,1,5,Florida Atlantic,American Athletic,0,Maryland,Big Ten,0,Maryland,Florida Atlantic,1,"{'minutes': 14, 'seconds': 2}",3,3,46,46,2,10,0,False,Pass Reception,Caden Veltkamp pass complete to Gemari Sands for no gain to the MD 46,-1.0652839330421227,2025-08-30T16:49:06.000Z
401752797,4017527971,401752797101868001,1,7,Florida Atlantic,American Athletic,0,Maryland,Big Ten,0,Maryland,Florida Atlantic,1,"{'minutes': 13, 'seconds': 19}",3,3,41,41,3,5,10,False,Rush,Gemari Sands run for 10 yds to the MD 31 for a 1ST down,1.653450070112802,2025-08-30T16:49:06.000Z
401752797,4017527971,401752797101874701,1,9,Florida Atlantic,American Athletic,0,Maryland,Big Ten,0,Maryland,Florida Atlantic,1,"{'minutes': 12, 'seconds': 52}",3,3,26,26,1,5,2,False,Pass Reception,Caden Veltkamp pass complete to Easton Messer for 2 yds to the MD 24,-0.36843473557497,2025-08-30T16:49:06.000Z
401752797,4017527971,401752797101876601,1,10,Florida Atlantic,American Athletic,0,Maryland,Big Ten,0,Maryland,Florida Atlantic,1,"{'minutes': 12, 'seconds': 33}",3,3,24,24,2,3,-1,False,Rush,Gemari Sands run for a loss of 1 yard to the MD 25,-0.746698920392845,2025-08-30T16:49:06.000Z
401752797,4017527971,401752797101885101,1,12,Florida Atlantic,American Athletic,0,Maryland,Big Ten,0,Maryland,Florida Atlantic,1,"{'minutes': 11, 'seconds': 48}",3,3,20,20,1,10,11,False,Pass Reception,Caden Veltkamp pass complete to Martavious Collins for 11 yds to the MD 9 for a 1ST down,0.193689905385231,2025-08-30T16:49:06.000Z
401752797,4017527971,401752797101887501,1,13,Florida Atlantic,American Athletic,0,Maryland,Big Ten,0,Maryland,Florida Atlantic,1,"{'minutes': 11, 'seconds': 24}",3,3,9,9,1,9,0,False,Rush,Caden Veltkamp run for no gain to the MD 9,-0.315798379566314,2025-08-30T16:49:06.000Z
401752797,4017527971,401752797101894201,1,14,Florida Atlantic,American Athletic,0,Maryland,Big Ten,0,Maryland,Florida Atlantic,1,"{'minutes': 10, 'seconds': 57}",3,3,9,9,2,9,0,False,Pass Incompletion,Caden Veltkamp pass incomplete to Michael Kirch,-0.270076451519454,2025-08-30T16:10:55.000Z
401752797,4017527971,401752797101894601,1,16,Florida Atlantic,American Athletic,0,Maryland,Big Ten,0,Maryland,Florida Atlantic,1,"{'minutes': 10, 'seconds': 53}",3,3,4,4,3,4,0,False,Pass Incompletion,Caden Veltkamp pass incomplete to Michael Kirch,-0.2868087912016805,2025-08-30T16:49:06.000Z
401752797,4017527971,401752797101895101,1,17,Florida Atlantic,American Athletic,0,Maryland,Big Ten,0,Maryland,Florida Atlantic,1,"{'minutes': 10, 'seconds': 48}",3,3,4,4,4,4,2,False,Rush,Caden Veltkamp run for 2 yds to the MD 2,-4.017218287321738,2025-08-30T16:49:06.000Z
401752797,4017527973,401752797101916001,3,4,Florida Atlantic,American Athletic,0,Maryland,Big Ten,0,Maryland,Florida Atlantic,1,"{'minutes': 8, 'seconds': 39}",3,3,67,67,4,7,2,False,Punt,"Logan Lupo punt for 36 yds , Ricardo Cooper Jr. returns for 2 yds to the MD 21",,2025-08-30T16:23:57.000Z
401752797,4017527973,401752797101906301,3,1,Florida Atlantic,American Athletic,0,Maryland,Big Ten,0,Maryland,Florida Atlantic,1,"{'minutes': 9, 'seconds': 36}",3,3,70,70,1,10,0,False,Pass Incompletion,Caden Veltkamp pass incomplete to Easton Messer,-0.8627910327708888,2025-08-30T16:49:06.000Z
401752797,4017527973,401752797101906701,3,2,Florida Atlantic,American Athletic,0,Maryland,Big Ten,0,Maryland,Florida Atlantic,1,"{'minutes': 9, 'seconds': 32}",3,3,70,70,2,10,0,False,Pass Incompletion,Caden Veltkamp pass incomplete to JR Wilson Jr.,-0.4604691796083076,2025-08-30T16:49:06.000Z
401752797,4017527973,401752797101907801,3,3,Florida Atlantic,American Athletic,0,Maryland,Big Ten,0,Maryland,Florida Atlantic,1,"{'minutes': 9, 'seconds': 21}",3,3,70,70,3,10,3,False,Pass Reception,Caden Veltkamp pass complete to Dominique Henry for 3 yds to the FAU 33,-0.09854346546334813,2025-08-30T16:49:06.000Z
401752797,4017527974,401752797101935501,4,5,Maryland,Big Ten,0,Florida Atlantic,American Athletic,0,Maryland,Florida Atlantic,1,"{'minutes': 6, 'seconds': 44}",3,3,40,60,4,6,0,False,Punt,Bryce McFerson punt for 60 yds for a touchback,,2025-08-30T16:27:53.000Z
401752797,4017527974,401752797101916901,4,1,Maryland,Big Ten,0,Florida Atlantic,American Athletic,0,Maryland,Florida Atlantic,1,"{'minutes': 8, 'seconds': 30}",3,3,21,79,1,10,15,False,Rush,DeJuan Williams run for 15 yds to the MD 36 for a 1ST down,1.1833421820418248,2025-08-30T16:49:06.000Z
401752797,4017527974,401752797101919201,4,2,Maryland,Big Ten,0,Florida Atlantic,American Athletic,0,Maryland,Florida Atlantic,1,"{'minutes': 8, 'seconds': 7}",3,3,36,64,1,10,0,False,Pass Incompletion,Malik Washington pass incomplete to Shaleak Knotts,-1.041155320344064,2025-08-30T16:25:34.000Z
401752797,4017527974,401752797101924301,4,3,Maryland,Big Ten,0,Florida Atlantic,American Athletic,0,Maryland,Florida Atlantic,1,"{'minutes': 7, 'seconds': 56}",3,3,36,64,2,10,2,False,Pass Reception,Malik Washington pass complete to Dorian Fleming for 2 yds to the MD 34,-0.4083322546240318,2025-08-30T16:49:06.000Z
401752797,4017527974,401752797101927801,4,4,Maryland,Big Ten,0,Florida Atlantic,American Athletic,0,Maryland,Florida Atlantic,1,"{'minutes': 7, 'seconds': 21}",3,3,34,66,3,12,6,False,Pass Reception,Malik Washington pass complete to Dorian Fleming for 6 yds to the MD 40,0.10185273810873063,2025-08-30T16:49:06.000Z
401752797,4017527975,401752797101936101,5,1,Florida Atlantic,American Athletic,0,Maryland,Big Ten,7,Maryland,Florida Atlantic,1,"{'minutes': 6, 'seconds': 38}",3,3,80,80,1,10,20,True,Interception Return Touchdown,Caden Veltkamp pass intercepted Daniel Wingate return for 20 yds for a TD (Sean O'Haire KICK),-7.613942204394897,2025-08-30T16:31:10.000Z
401752797,4017527976,401752797101936801,6,1,Maryland,Big Ten,7,Florida Atlantic,American Athletic,0,Maryland,Florida Atlantic,1,"{'minutes': 6, 'seconds': 31}",3,3,35,65,1,10,35,False,Kickoff,"Philip Noyes kickoff for 58 yds , Jayshon Platt return for 35 yds to the FAU 42",,2025-08-30T16:49:06.000Z
401752797,4017527976,401752797101938301,6,2,Florida Atlantic,American Athletic,0,Maryland,Big Ten,7,Maryland,Florida Atlantic,1,"{'minutes': 6, 'seconds': 16}",3,3,58,58,1,10,-7,False,Rush,Asaad Waseem run for a loss of 7 yards to the FAU 35,-2.230545584976997,2025-08-30T16:49:06.000Z
401752797,4017527976,401752797101944401,6,3,Florida Atlantic,American Athletic,0,Maryland,Big Ten,7,Maryland,Florida Atlantic,1,"{'minutes': 5, 'seconds': 55}",3,3,65,65,2,17,0,False,Pass Incompletion,Caden Veltkamp pass incomplete to Dominique Henry,-0.33408648638124827,2025-08-30T16:49:06.000Z
401752797,4017527976,401752797101945101,6,4,Florida Atlantic,American Athletic,0,Maryland,Big Ten,7,Maryland,Florida Atlantic,1,"{'minutes': 5, 'seconds': 48}",3,3,65,65,3,17,18,False,Pass Reception,Caden Veltkamp pass complete to Gemari Sands for 18 yds to the MD 47 for a 1ST down,3.5131330421311304,2025-08-30T16:49:06.000Z
401752797,4017527976,401752797101948801,6,5,Florida Atlantic,American Athletic,0,Maryland,Big Ten,7,Maryland,Florida Atlantic,1,"{'minutes': 5, 'seconds': 11}",3,3,47,47,1,10,20,False,Pass Reception,Caden Veltkamp pass complete to Easton Messer for 20 yds to the MD 27 for a 1ST down,0.871921399874944,2025-08-30T16:36:23.000Z
401752797,4017527976,401752797101954001,6,6,Florida Atlantic,American Athletic,7,Maryland,Big Ten,7,Maryland,Florida Atlantic,1,"{'minutes': 4, 'seconds': 59}",3,3,27,27,1,10,27,True,Passing Touchdown,Caden Veltkamp pass complete to Asaad Waseem for 27 yds for a TD (Garrison Smith KICK),2.741280841391486,2025-08-30T16:36:23.000Z
