id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017528141,401752814,USC,Big Ten,Georgia Southern,Sun Belt,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,41,59,"{'minutes': 13, 'seconds': 42}","{'minutes': 1, 'seconds': 18}",3,16,FUMBLE,True,0,0,0,0
4017528142,401752814,Georgia Southern,Sun Belt,USC,Big Ten,2,True,1,41,41,"{'minutes': 13, 'seconds': 42}",1,0,0,"{'minutes': 13, 'seconds': 1}","{'minutes': 0, 'seconds': 41}",3,41,TD,False,0,0,6,0
4017528143,401752814,USC,Big Ten,Georgia Southern,Sun Belt,3,True,1,25,75,"{'minutes': 13, 'seconds': 1}",1,100,0,"{'minutes': 8, 'seconds': 50}","{'minutes': 4, 'seconds': 11}",8,75,TD,True,0,6,7,6
4017528144,401752814,Georgia Southern,Sun Belt,USC,Big Ten,4,False,1,75,75,"{'minutes': 8, 'seconds': 50}",1,70,70,"{'minutes': 7, 'seconds': 41}","{'minutes': 1, 'seconds': 9}",3,5,PUNT,False,6,7,6,7
4017528145,401752814,USC,Big Ten,Georgia Southern,Sun Belt,5,True,1,20,80,"{'minutes': 7, 'seconds': 41}",1,100,0,"{'minutes': 6, 'seconds': 53}","{'minutes': 0, 'seconds': 48}",2,80,TD,True,7,6,14,6
4017528146,401752814,Georgia Southern,Sun Belt,USC,Big Ten,6,False,1,75,75,"{'minutes': 6, 'seconds': 53}",1,46,46,"{'minutes': 3, 'seconds': 17}","{'minutes': 3, 'seconds': 36}",7,29,PUNT,False,6,14,6,14
4017528147,401752814,USC,Big Ten,Georgia Southern,Sun Belt,7,True,1,15,85,"{'minutes': 3, 'seconds': 17}",1,100,0,"{'minutes': 2, 'seconds': 14}","{'minutes': 1, 'seconds': 3}",3,85,TD,True,14,6,21,6
4017528148,401752814,Georgia Southern,Sun Belt,USC,Big Ten,8,False,1,75,75,"{'minutes': 2, 'seconds': 14}",1,45,45,"{'minutes': 1, 'seconds': 15}","{'minutes': 0, 'seconds': 59}",4,30,INT,False,6,21,6,21
4017528149,401752814,USC,Big Ten,Georgia Southern,Sun Belt,9,False,1,15,85,"{'minutes': 1, 'seconds': 15}",2,29,71,"{'minutes': 14, 'seconds': 51}","{'minutes': 1, 'seconds': 24}",4,14,PUNT,True,21,6,21,6
40175281410,401752814,Georgia Southern,Sun Belt,USC,Big Ten,10,True,2,75,75,"{'minutes': 14, 'seconds': 51}",2,0,0,"{'minutes': 11, 'seconds': 32}","{'minutes': 3, 'seconds': 19}",7,75,TD,False,6,21,13,21
40175281411,401752814,USC,Big Ten,Georgia Southern,Sun Belt,11,True,2,26,74,"{'minutes': 11, 'seconds': 26}",2,92,8,"{'minutes': 8, 'seconds': 52}","{'minutes': 2, 'seconds': 34}",7,66,FG,True,21,13,24,13
40175281412,401752814,Georgia Southern,Sun Belt,USC,Big Ten,12,False,2,75,75,"{'minutes': 8, 'seconds': 52}",2,23,23,"{'minutes': 5, 'seconds': 26}","{'minutes': 3, 'seconds': 26}",8,52,DOWNS,False,13,24,13,24
40175281413,401752814,USC,Big Ten,Georgia Southern,Sun Belt,13,True,2,23,77,"{'minutes': 5, 'seconds': 26}",2,100,0,"{'minutes': 3, 'seconds': 31}","{'minutes': 1, 'seconds': 55}",4,77,TD,True,24,13,31,13
