id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527862,401752786,Georgia Tech,ACC,Georgia,SEC,1,False,1,3,97,"{'minutes': 14, 'seconds': 57}",1,43,57,"{'minutes': 10, 'seconds': 17}","{'minutes': 4, 'seconds': 40}",8,40,PUNT,True,0,0,0,0
4017527863,401752786,Georgia,SEC,Georgia Tech,ACC,2,False,1,88,88,"{'minutes': 10, 'seconds': 10}",1,63,63,"{'minutes': 5, 'seconds': 47}","{'minutes': 4, 'seconds': 30}",8,22,INT,False,0,0,0,0
4017527864,401752786,Georgia Tech,ACC,Georgia,SEC,3,True,1,63,37,"{'minutes': 5, 'seconds': 30}",1,87,13,"{'minutes': 1, 'seconds': 20}","{'minutes': 4, 'seconds': 27}",7,24,FG,True,0,0,3,0
4017527866,401752786,Georgia,SEC,Georgia Tech,ACC,4,True,1,75,75,"{'minutes': 1, 'seconds': 20}",2,4,4,"{'minutes': 9, 'seconds': 42}","{'minutes': 6, 'seconds': 38}",13,71,FG,False,0,3,3,3
4017527868,401752786,Georgia Tech,ACC,Georgia,SEC,5,False,2,25,75,"{'minutes': 9, 'seconds': 42}",2,33,67,"{'minutes': 8, 'seconds': 25}","{'minutes': 1, 'seconds': 17}",3,8,PUNT,True,3,3,3,3
4017527869,401752786,Georgia,SEC,Georgia Tech,ACC,6,True,2,55,55,"{'minutes': 8, 'seconds': 11}",2,3,3,"{'minutes': 4, 'seconds': 35}","{'minutes': 3, 'seconds': 50}",9,55,TD,False,3,3,10,3
40175278611,401752786,Georgia Tech,ACC,Georgia,SEC,7,False,2,25,75,"{'minutes': 4, 'seconds': 35}",2,27,73,"{'minutes': 3, 'seconds': 15}","{'minutes': 1, 'seconds': 20}",3,2,PUNT,True,3,10,3,10
40175278612,401752786,Georgia,SEC,Georgia Tech,ACC,8,True,2,67,67,"{'minutes': 3, 'seconds': 8}",2,12,12,"{'minutes': 0, 'seconds': 1}","{'minutes': 3, 'seconds': 14}",9,55,FG,False,10,3,13,3
40175278614,401752786,Georgia Tech,ACC,Georgia,SEC,9,False,2,25,75,"{'minutes': 0, 'seconds': 1}",2,24,76,"{'minutes': 0, 'seconds': 1}","{'minutes': 0, 'seconds': 1}",1,-1,END OF HALF,True,3,13,3,13
40175278616,401752786,Georgia,SEC,Georgia Tech,ACC,10,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,79,79,"{'minutes': 13, 'seconds': 30}","{'minutes': 1, 'seconds': 30}",3,-4,PUNT,False,13,3,13,3
40175278617,401752786,Georgia Tech,ACC,Georgia,SEC,11,False,3,25,75,"{'minutes': 13, 'seconds': 20}",3,96,4,"{'minutes': 10, 'seconds': 16}","{'minutes': 3, 'seconds': 14}",7,31,INT,True,3,13,3,13
