id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017529392,401752939,Oregon State,Pac-12,Houston,Big 12,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,53,47,"{'minutes': 11, 'seconds': 9}","{'minutes': 3, 'seconds': 56}",8,28,PUNT,True,0,0,0,0
4017529391,401752939,Oregon State,Pac-12,Houston,Big 12,2,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,53,47,"{'minutes': 11, 'seconds': 4}","{'minutes': 3, 'seconds': 56}",8,28,PUNT,True,0,0,0,0
4017529393,401752939,Houston,Big 12,Oregon State,Pac-12,3,False,1,86,86,"{'minutes': 11, 'seconds': 4}",1,87,87,"{'minutes': 9, 'seconds': 57}","{'minutes': 1, 'seconds': 15}",3,-1,PUNT,False,0,0,0,0
4017529394,401752939,Oregon State,Pac-12,Houston,Big 12,4,False,1,55,45,"{'minutes': 9, 'seconds': 49}",1,55,45,"{'minutes': 8, 'seconds': 55}","{'minutes': 1, 'seconds': 0}",3,0,PUNT,True,0,0,0,0
4017529395,401752939,Houston,Big 12,Oregon State,Pac-12,5,False,1,88,88,"{'minutes': 8, 'seconds': 49}",1,88,88,"{'minutes': 8, 'seconds': 49}","{'minutes': 0, 'seconds': 10}",1,0,INT,False,0,0,0,0
4017529396,401752939,Oregon State,Pac-12,Houston,Big 12,6,True,1,93,7,"{'minutes': 8, 'seconds': 39}",1,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 27}",2,7,TD,True,0,0,7,0
4017529398,401752939,Houston,Big 12,Oregon State,Pac-12,7,False,1,72,72,"{'minutes': 8, 'seconds': 7}",1,63,63,"{'minutes': 5, 'seconds': 10}","{'minutes': 3, 'seconds': 4}",7,9,PUNT,False,0,7,0,7
4017529399,401752939,Oregon State,Pac-12,Houston,Big 12,8,True,1,30,70,"{'minutes': 5, 'seconds': 3}",2,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 6, 'seconds': 20}",11,70,TD,True,7,0,14,0
40175293911,401752939,Houston,Big 12,Oregon State,Pac-12,9,True,2,85,85,"{'minutes': 13, 'seconds': 34}",2,50,50,"{'minutes': 10, 'seconds': 15}","{'minutes': 7, 'seconds': 47}",21,85,TD,False,0,14,10,14
40175293919,401752939,Houston,Big 12,Oregon State,Pac-12,10,False,3,78,78,"{'minutes': 14, 'seconds': 54}",3,80,80,"{'minutes': 13, 'seconds': 5}","{'minutes': 1, 'seconds': 58}",3,-2,PUNT,False,10,14,10,14
