gameId,driveId,id,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,defenseConference,defenseScore,home,away,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
401752799,4017527991,401752799101914801,1,14,Iowa,Big Ten,3,UAlbany,CAA,0,Iowa,UAlbany,1,"{'minutes': 8, 'seconds': 51}",3,3,90,10,4,7,28,True,Field Goal Good,Drew Stevens 28 yd FG GOOD,,2025-08-30T22:25:07.000Z
401752799,4017527991,401752799101849903,1,1,UAlbany,CAA,0,Iowa,Big Ten,0,Iowa,UAlbany,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,0,False,Kickoff,James Bozek kickoff for 50 yds,,2025-08-30T22:18:34.000Z
401752799,4017527991,401752799101854701,1,2,Iowa,Big Ten,0,UAlbany,CAA,0,Iowa,UAlbany,1,"{'minutes': 14, 'seconds': 52}",3,3,35,65,1,10,10,False,Rush,Kamari Moulton run for 10 yds to the IOWA 45 for a 1ST down,0.9661037733749698,2025-08-30T22:18:34.000Z
401752799,4017527991,401752799101859301,1,3,Iowa,Big Ten,0,UAlbany,CAA,0,Iowa,UAlbany,1,"{'minutes': 14, 'seconds': 6}",3,3,45,55,1,10,8,False,Pass Reception,Mark Gronowski pass complete to Addison Ostrenga for 8 yds to the UALB 47,0.9420759997342945,2025-08-30T22:18:34.000Z
401752799,4017527991,401752799101865501,1,4,Iowa,Big Ten,0,UAlbany,CAA,0,Iowa,UAlbany,1,"{'minutes': 13, 'seconds': 44}",3,3,53,47,2,2,0,False,Pass Incompletion,Mark Gronowski pass incomplete to Seth Anderson,-1.267471633082744,2025-08-30T22:18:34.000Z
401752799,4017527991,401752799101866201,1,5,Iowa,Big Ten,0,UAlbany,CAA,0,Iowa,UAlbany,1,"{'minutes': 13, 'seconds': 37}",3,3,53,47,3,2,3,False,Rush,Kamari Moulton run for 3 yds to the UALB 44 for a 1ST down,1.1891265131547932,2025-08-30T22:19:28.000Z
401752799,4017527991,401752799101874201,1,6,Iowa,Big Ten,0,UAlbany,CAA,0,Iowa,UAlbany,1,"{'minutes': 12, 'seconds': 57}",3,3,56,44,1,10,5,False,Rush,Mark Gronowski run for 5 yds to the UALB 39,0.0928537506515159,2025-08-30T22:19:51.000Z
401752799,4017527991,401752799101878101,1,7,Iowa,Big Ten,0,UAlbany,CAA,0,Iowa,UAlbany,1,"{'minutes': 12, 'seconds': 18}",3,3,61,39,2,5,3,False,Rush,Terrell Washington Jr. run for 3 yds to the UALB 36,-0.3236338355316926,2025-08-30T22:20:44.000Z
401752799,4017527991,401752799101887001,1,8,Iowa,Big Ten,0,UAlbany,CAA,0,Iowa,UAlbany,1,"{'minutes': 11, 'seconds': 29}",3,3,64,36,3,2,6,False,Pass Reception,Mark Gronowski pass complete to Hayden Large for 6 yds to the UALB 30 for a 1ST down,0.829419309467427,2025-08-30T22:21:32.000Z
401752799,4017527991,401752799101894401,1,9,Iowa,Big Ten,0,UAlbany,CAA,0,Iowa,UAlbany,1,"{'minutes': 10, 'seconds': 55}",3,3,70,30,1,10,8,False,Rush,Mark Gronowski run for 8 yds to the UALB 22,0.512285959651141,2025-08-30T22:22:01.000Z
401752799,4017527991,401752799101898501,1,10,Iowa,Big Ten,0,UAlbany,CAA,0,Iowa,UAlbany,1,"{'minutes': 10, 'seconds': 14}",3,3,78,22,2,2,9,False,Rush,Kamari Moulton run for 9 yds to the UALB 13 for a 1ST down,-0.236972041774217,2025-08-30T22:22:35.000Z
401752799,4017527991,401752799101906001,1,11,Iowa,Big Ten,0,UAlbany,CAA,0,Iowa,UAlbany,1,"{'minutes': 9, 'seconds': 39}",3,3,87,13,1,10,0,False,Pass Incompletion,Mark Gronowski pass incomplete to Sam Phillips,-0.3048472994988835,2025-08-30T22:23:07.000Z
401752799,4017527991,401752799101906701,1,12,Iowa,Big Ten,0,UAlbany,CAA,0,Iowa,UAlbany,1,"{'minutes': 9, 'seconds': 32}",3,3,87,13,2,10,3,False,Rush,Terrell Washington Jr. run for 3 yds to the UALB 10,-0.0989376011541161,2025-08-30T22:24:07.000Z
401752799,4017527991,401752799101914501,1,13,Iowa,Big Ten,0,UAlbany,CAA,0,Iowa,UAlbany,1,"{'minutes': 8, 'seconds': 54}",3,3,90,10,3,7,0,False,Pass Incompletion,Mark Gronowski pass incomplete to Terrell Washington Jr.,-0.3837503518444549,2025-08-30T22:24:40.000Z
401752799,4017527992,401752799101935701,2,5,UAlbany,CAA,0,Iowa,Big Ten,3,Iowa,UAlbany,1,"{'minutes': 6, 'seconds': 42}",3,3,67,67,4,2,0,False,Punt,Owen Lawson punt for 42 yds,,2025-08-30T22:31:28.000Z
401752799,4017527992,401752799101914802,2,1,Iowa,Big Ten,3,UAlbany,CAA,0,Iowa,UAlbany,1,"{'minutes': 8, 'seconds': 51}",3,3,35,65,1,10,0,False,Kickoff,Drew Stevens kickoff for 65 yds for a touchback,,2025-08-30T22:28:36.000Z
