id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017528221,401752822,Iowa,Big Ten,Iowa State,Big 12,1,False,1,87,87,"{'minutes': 14, 'seconds': 55}",1,78,78,"{'minutes': 12, 'seconds': 41}","{'minutes': 2, 'seconds': 14}",3,9,PUNT,False,0,0,0,0
4017528222,401752822,Iowa State,Big 12,Iowa,Big Ten,2,True,1,45,55,"{'minutes': 12, 'seconds': 41}",1,74,26,"{'minutes': 8, 'seconds': 42}","{'minutes': 3, 'seconds': 59}",8,29,FG,True,0,0,3,0
4017528223,401752822,Iowa,Big Ten,Iowa State,Big 12,3,False,1,75,75,"{'minutes': 8, 'seconds': 42}",1,78,78,"{'minutes': 7, 'seconds': 9}","{'minutes': 1, 'seconds': 33}",3,-3,PUNT,False,0,3,0,3
4017528224,401752822,Iowa State,Big 12,Iowa,Big Ten,4,True,1,24,76,"{'minutes': 7, 'seconds': 9}",1,91,9,"{'minutes': 3, 'seconds': 18}","{'minutes': 3, 'seconds': 51}",10,67,FG,True,3,0,6,0
4017528225,401752822,Iowa,Big Ten,Iowa State,Big 12,5,False,1,75,75,"{'minutes': 3, 'seconds': 18}",1,76,76,"{'minutes': 0, 'seconds': 3}","{'minutes': 3, 'seconds': 15}",6,-1,PUNT,False,0,6,0,6
4017528226,401752822,Iowa,Big Ten,Iowa State,Big 12,6,True,1,33,33,"{'minutes': 0, 'seconds': 3}",2,12,12,"{'minutes': 12, 'seconds': 53}","{'minutes': 2, 'seconds': 10}",5,21,FG,False,0,6,3,6
4017528227,401752822,Iowa State,Big 12,Iowa,Big Ten,7,False,2,25,75,"{'minutes': 12, 'seconds': 53}",2,30,70,"{'minutes': 10, 'seconds': 53}","{'minutes': 2, 'seconds': 0}",3,5,PUNT,True,6,3,6,3
4017528228,401752822,Iowa,Big Ten,Iowa State,Big 12,8,False,2,70,70,"{'minutes': 10, 'seconds': 53}",2,65,65,"{'minutes': 9, 'seconds': 41}","{'minutes': 1, 'seconds': 12}",3,15,PUNT,False,3,6,3,6
4017528229,401752822,Iowa State,Big 12,Iowa,Big Ten,9,False,2,10,90,"{'minutes': 9, 'seconds': 41}",2,18,82,"{'minutes': 8, 'seconds': 14}","{'minutes': 1, 'seconds': 27}",3,8,PUNT,True,6,3,6,3
40175282210,401752822,Iowa,Big Ten,Iowa State,Big 12,10,False,2,65,65,"{'minutes': 8, 'seconds': 14}",2,67,67,"{'minutes': 7, 'seconds': 35}","{'minutes': 0, 'seconds': 39}",2,-2,INT,False,3,6,3,6
40175282211,401752822,Iowa State,Big 12,Iowa,Big Ten,11,True,2,82,18,"{'minutes': 7, 'seconds': 35}",2,100,0,"{'minutes': 4, 'seconds': 50}","{'minutes': 2, 'seconds': 45}",5,18,TD,True,6,3,13,3
40175282212,401752822,Iowa,Big Ten,Iowa State,Big 12,12,True,2,85,85,"{'minutes': 4, 'seconds': 43}",2,0,0,"{'minutes': 0, 'seconds': 27}","{'minutes': 4, 'seconds': 16}",16,85,TD,False,3,13,10,13
40175282213,401752822,Iowa State,Big 12,Iowa,Big Ten,13,False,2,25,75,"{'minutes': 0, 'seconds': 27}",2,35,65,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 27}",1,10,END OF HALF,True,13,10,13,10
40175282214,401752822,Iowa State,Big 12,Iowa,Big Ten,14,False,3,25,75,"{'minutes': 15, 'seconds': 0}",3,23,77,"{'minutes': 13, 'seconds': 56}","{'minutes': 1, 'seconds': 4}",3,-2,PUNT,True,13,10,13,10
40175282215,401752822,Iowa,Big Ten,Iowa State,Big 12,15,True,3,95,95,"{'minutes': 13, 'seconds': 56}",3,18,18,"{'minutes': 4, 'seconds': 28}","{'minutes': 9, 'seconds': 28}",16,77,FG,False,10,13,13,13
40175282216,401752822,Iowa State,Big 12,Iowa,Big Ten,16,False,3,3,97,"{'minutes': 4, 'seconds': 27}",4,56,44,"{'minutes': 13, 'seconds': 27}","{'minutes': 6, 'seconds': 0}",12,53,PUNT,True,13,13,13,13
40175282217,401752822,Iowa,Big Ten,Iowa State,Big 12,17,False,4,89,89,"{'minutes': 13, 'seconds': 27}",4,49,49,"{'minutes': 8, 'seconds': 21}","{'minutes': 5, 'seconds': 6}",7,40,PUNT,False,13,13,13,13
40175282218,401752822,Iowa State,Big 12,Iowa,Big Ten,18,True,4,10,90,"{'minutes': 8, 'seconds': 21}",4,65,35,"{'minutes': 1, 'seconds': 52}","{'minutes': 6, 'seconds': 29}",13,55,FG,True,13,13,16,13
40175282219,401752822,Iowa,Big Ten,Iowa State,Big 12,19,False,4,76,76,"{'minutes': 1, 'seconds': 48}",4,81,81,"{'minutes': 0, 'seconds': 49}","{'minutes': 0, 'seconds': 59}",4,-5,DOWNS,False,13,16,13,16
40175282220,401752822,Iowa State,Big 12,Iowa,Big Ten,20,False,4,81,19,"{'minutes': 0, 'seconds': 49}",4,81,19,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 49}",2,0,END OF GAME,True,16,13,16,13
4017568461,401756846,Iowa State,Big 12,Kansas State,Big 12,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,61,61,"{'minutes': 12, 'seconds': 1}","{'minutes': 2, 'seconds': 59}",6,14,FUMBLE,False,0,0,0,0
4017568462,401756846,Iowa State,Big 12,Kansas State,Big 12,2,False,1,8,8,"{'minutes': 12, 'seconds': 1}",1,1,1,"{'minutes': 9, 'seconds': 51}","{'minutes': 2, 'seconds': 10}",4,1,FUMBLE,False,0,0,0,0
4017568463,401756846,Kansas State,Big 12,Iowa State,Big 12,3,False,1,7,93,"{'minutes': 9, 'seconds': 51}",1,10,90,"{'minutes': 8, 'seconds': 29}","{'minutes': 1, 'seconds': 22}",3,3,PUNT,True,0,0,0,0
4017568464,401756846,Iowa State,Big 12,Kansas State,Big 12,4,False,1,56,56,"{'minutes': 8, 'seconds': 29}",1,49,49,"{'minutes': 7, 'seconds': 5}","{'minutes': 1, 'seconds': 24}",3,7,PUNT,False,0,0,0,0
4017568465,401756846,Kansas State,Big 12,Iowa State,Big 12,5,False,1,16,84,"{'minutes': 7, 'seconds': 5}",1,18,82,"{'minutes': 5, 'seconds': 10}","{'minutes': 1, 'seconds': 55}",3,2,PUNT,True,0,0,0,0
4017568466,401756846,Iowa State,Big 12,Kansas State,Big 12,6,True,1,49,49,"{'minutes': 5, 'seconds': 10}",1,0,0,"{'minutes': 3, 'seconds': 26}","{'minutes': 1, 'seconds': 44}",4,49,TD,False,0,0,7,0
4017568467,401756846,Kansas State,Big 12,Iowa State,Big 12,7,True,1,35,65,"{'minutes': 3, 'seconds': 26}",2,100,0,"{'minutes': 14, 'seconds': 55}","{'minutes': 3, 'seconds': 31}",8,65,TD,True,0,7,7,7
4017568468,401756846,Iowa State,Big 12,Kansas State,Big 12,8,False,2,75,75,"{'minutes': 14, 'seconds': 55}",2,74,74,"{'minutes': 13, 'seconds': 59}","{'minutes': 0, 'seconds': 56}",3,-9,FUMBLE,False,7,7,7,7
4017568469,401756846,Kansas State,Big 12,Iowa State,Big 12,9,False,2,84,16,"{'minutes': 13, 'seconds': 59}",2,93,7,"{'minutes': 11, 'seconds': 58}","{'minutes': 2, 'seconds': 1}",4,9,DOWNS,True,7,7,7,7
40175684610,401756846,Iowa State,Big 12,Kansas State,Big 12,10,False,2,93,93,"{'minutes': 11, 'seconds': 58}",2,89,89,"{'minutes': 10, 'seconds': 59}","{'minutes': 0, 'seconds': 59}",3,4,PUNT,False,7,7,7,7
40175684611,401756846,Kansas State,Big 12,Iowa State,Big 12,11,False,2,41,59,"{'minutes': 10, 'seconds': 59}",2,62,38,"{'minutes': 8, 'seconds': 9}","{'minutes': 2, 'seconds': 50}",5,38,FUMBLE,True,7,7,7,7
40175684612,401756846,Iowa State,Big 12,Kansas State,Big 12,12,False,2,79,79,"{'minutes': 8, 'seconds': 9}",2,31,31,"{'minutes': 4, 'seconds': 13}","{'minutes': 3, 'seconds': 56}",12,48,MISSED FG,False,7,7,7,7
40175684613,401756846,Kansas State,Big 12,Iowa State,Big 12,13,False,2,31,69,"{'minutes': 4, 'seconds': 13}",2,58,42,"{'minutes': 0, 'seconds': 2}","{'minutes': 4, 'seconds': 11}",12,27,PUNT,True,7,7,7,7
40175684614,401756846,Iowa State,Big 12,Kansas State,Big 12,14,False,2,96,96,"{'minutes': 0, 'seconds': 2}",2,96,96,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 2}",1,0,END OF HALF,False,7,7,7,7
40175684615,401756846,Kansas State,Big 12,Iowa State,Big 12,15,False,3,19,81,"{'minutes': 15, 'seconds': 0}",3,28,72,"{'minutes': 13, 'seconds': 25}","{'minutes': 1, 'seconds': 35}",3,9,PUNT,True,7,7,7,7
40175684616,401756846,Iowa State,Big 12,Kansas State,Big 12,16,False,3,58,58,"{'minutes': 13, 'seconds': 25}",3,60,60,"{'minutes': 11, 'seconds': 51}","{'minutes': 1, 'seconds': 34}",3,-2,PUNT,False,7,7,7,7
40175684617,401756846,Kansas State,Big 12,Iowa State,Big 12,17,False,3,16,84,"{'minutes': 11, 'seconds': 51}",3,67,33,"{'minutes': 7, 'seconds': 6}","{'minutes': 4, 'seconds': 45}",9,51,DOWNS,True,7,7,7,7
40175684618,401756846,Iowa State,Big 12,Kansas State,Big 12,18,True,3,67,67,"{'minutes': 7, 'seconds': 6}",3,0,0,"{'minutes': 1, 'seconds': 7}","{'minutes': 5, 'seconds': 59}",11,67,TD,False,7,7,14,7
