id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017568481,401756848,UCF,Big 12,Jacksonville State,Conference USA,1,False,1,19,81,"{'minutes': 14, 'seconds': 54}",1,51,49,"{'minutes': 9, 'seconds': 33}","{'minutes': 5, 'seconds': 21}",13,32,PUNT,True,0,0,0,0
4017568482,401756848,Jacksonville State,Conference USA,UCF,Big 12,2,False,1,81,81,"{'minutes': 9, 'seconds': 33}",1,44,44,"{'minutes': 3, 'seconds': 43}","{'minutes': 5, 'seconds': 50}",11,37,PUNT,False,0,0,0,0
4017568483,401756848,UCF,Big 12,Jacksonville State,Conference USA,3,False,1,3,97,"{'minutes': 3, 'seconds': 43}",1,51,49,"{'minutes': 0, 'seconds': 49}","{'minutes': 2, 'seconds': 54}",6,48,FUMBLE,True,0,0,0,0
4017568484,401756848,Jacksonville State,Conference USA,UCF,Big 12,4,False,1,51,51,"{'minutes': 0, 'seconds': 49}",2,47,47,"{'minutes': 14, 'seconds': 25}","{'minutes': 1, 'seconds': 24}",3,4,PUNT,False,0,0,0,0
4017568485,401756848,UCF,Big 12,Jacksonville State,Conference USA,5,False,2,12,88,"{'minutes': 14, 'seconds': 25}",2,62,38,"{'minutes': 4, 'seconds': 50}","{'minutes': 9, 'seconds': 35}",17,50,PUNT,True,0,0,0,0
4017568486,401756848,Jacksonville State,Conference USA,UCF,Big 12,6,False,2,80,80,"{'minutes': 4, 'seconds': 50}",2,75,75,"{'minutes': 2, 'seconds': 54}","{'minutes': 1, 'seconds': 56}",3,5,PUNT,False,0,0,0,0
4017568487,401756848,UCF,Big 12,Jacksonville State,Conference USA,7,False,2,54,46,"{'minutes': 2, 'seconds': 54}",2,60,40,"{'minutes': 1, 'seconds': 45}","{'minutes': 1, 'seconds': 9}",3,6,PUNT,True,0,0,0,0
4017568488,401756848,Jacksonville State,Conference USA,UCF,Big 12,8,False,2,94,94,"{'minutes': 1, 'seconds': 45}",2,17,17,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 45}",11,77,MISSED FG,False,0,0,0,0
4017568489,401756848,Jacksonville State,Conference USA,UCF,Big 12,9,False,3,79,79,"{'minutes': 14, 'seconds': 56}",3,63,63,"{'minutes': 11, 'seconds': 9}","{'minutes': 3, 'seconds': 47}",7,16,PUNT,False,0,0,0,0
40175684810,401756848,UCF,Big 12,Jacksonville State,Conference USA,10,True,3,21,79,"{'minutes': 11, 'seconds': 9}",3,94,6,"{'minutes': 8, 'seconds': 3}","{'minutes': 3, 'seconds': 6}",7,73,FG,True,0,0,3,0
