id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017529542,401752954,Washington State,Pac-12,James Madison,Sun Belt,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,57,57,"{'minutes': 12, 'seconds': 10}","{'minutes': 2, 'seconds': 50}",5,18,PUNT,False,0,0,0,0
4017529543,401752954,James Madison,Sun Belt,Washington State,Pac-12,2,False,1,20,80,"{'minutes': 12, 'seconds': 10}",1,24,76,"{'minutes': 11, 'seconds': 33}","{'minutes': 0, 'seconds': 37}",2,4,INT,True,0,0,0,0
4017529544,401752954,Washington State,Pac-12,James Madison,Sun Belt,3,True,1,31,31,"{'minutes': 11, 'seconds': 33}",1,11,11,"{'minutes': 8, 'seconds': 6}","{'minutes': 3, 'seconds': 27}",10,20,FG,False,0,0,3,0
4017529546,401752954,James Madison,Sun Belt,Washington State,Pac-12,4,True,1,35,65,"{'minutes': 8, 'seconds': 6}",1,73,27,"{'minutes': 5, 'seconds': 10}","{'minutes': 2, 'seconds': 56}",7,38,FG,True,0,3,3,3
4017529548,401752954,Washington State,Pac-12,James Madison,Sun Belt,5,False,1,75,75,"{'minutes': 5, 'seconds': 10}",1,54,54,"{'minutes': 2, 'seconds': 28}","{'minutes': 2, 'seconds': 42}",6,21,PUNT,False,3,3,3,3
4017529549,401752954,James Madison,Sun Belt,Washington State,Pac-12,6,False,1,11,89,"{'minutes': 2, 'seconds': 28}",1,41,59,"{'minutes': 0, 'seconds': 8}","{'minutes': 2, 'seconds': 20}",5,30,PUNT,True,3,3,3,3
40175295410,401752954,Washington State,Pac-12,James Madison,Sun Belt,7,True,1,86,86,"{'minutes': 0, 'seconds': 8}",2,73,73,"{'minutes': 13, 'seconds': 27}","{'minutes': 1, 'seconds': 41}",4,13,INT TD,False,3,3,3,10
40175295412,401752954,Washington State,Pac-12,James Madison,Sun Belt,8,False,2,65,65,"{'minutes': 13, 'seconds': 27}",2,49,49,"{'minutes': 10, 'seconds': 22}","{'minutes': 3, 'seconds': 5}",5,16,PUNT,False,3,10,3,10
40175295413,401752954,James Madison,Sun Belt,Washington State,Pac-12,9,False,2,4,96,"{'minutes': 10, 'seconds': 22}",2,8,92,"{'minutes': 8, 'seconds': 11}","{'minutes': 2, 'seconds': 11}",3,4,PUNT,True,10,3,10,3
40175295414,401752954,Washington State,Pac-12,James Madison,Sun Belt,10,True,2,50,50,"{'minutes': 8, 'seconds': 11}",2,0,0,"{'minutes': 7, 'seconds': 26}","{'minutes': 0, 'seconds': 45}",2,50,TD,False,3,10,10,10
40175295416,401752954,James Madison,Sun Belt,Washington State,Pac-12,11,False,2,25,75,"{'minutes': 7, 'seconds': 26}",2,16,84,"{'minutes': 5, 'seconds': 42}","{'minutes': 1, 'seconds': 44}",3,-9,PUNT,True,10,10,10,10
40175295417,401752954,Washington State,Pac-12,James Madison,Sun Belt,12,True,2,67,67,"{'minutes': 5, 'seconds': 42}",2,0,0,"{'minutes': 0, 'seconds': 48}","{'minutes': 4, 'seconds': 54}",11,67,TD,False,10,10,17,10
40175295419,401752954,James Madison,Sun Belt,Washington State,Pac-12,13,False,2,14,86,"{'minutes': 0, 'seconds': 42}",2,22,78,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 42}",3,8,PUNT,True,10,17,10,17
