gameId,driveId,id,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,defenseConference,defenseScore,home,away,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
401756854,4017568541,401756854101849903,1,1,Kansas,Big 12,0,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 15, 'seconds': 0}",3.0,3.0,35,65,1,10,0,False,Kickoff,Laith Marjan kickoff for 65 yds for a touchback,,2025-08-29T23:32:56.000Z
401756854,4017568541,401756854101874002,1,5,Wagner,NEC,0,Kansas,Big 12,0,Kansas,Wagner,1,"{'minutes': 12, 'seconds': 59}",3.0,3.0,70,70,4,5,20,False,Punt,"Joshua Brown punt for 45 yds , Tate Nagy returns for 20 yds to the 50 yard line",,2025-08-29T23:36:17.000Z
401756854,4017568541,401756854101854301,1,2,Wagner,NEC,0,Kansas,Big 12,0,Kansas,Wagner,1,"{'minutes': 14, 'seconds': 56}",3.0,3.0,75,75,1,10,0,False,Rush,Andre Hines Jr run for no gain to the WAG 25,-0.7029700220436519,2025-08-29T23:33:41.000Z
401756854,4017568541,401756854101857201,1,3,Wagner,NEC,0,Kansas,Big 12,0,Kansas,Wagner,1,"{'minutes': 14, 'seconds': 27}",3.0,3.0,75,75,2,10,5,False,Pass Reception,Jack Stevens pass complete to Derek Burrell for 5 yds to the WAG 30,0.04378266651122598,2025-08-29T23:34:22.000Z
401756854,4017568541,401756854101864801,1,4,Wagner,NEC,0,Kansas,Big 12,0,Kansas,Wagner,1,"{'minutes': 13, 'seconds': 51}",3.0,3.0,70,70,3,5,0,False,Rush,Jack Stevens run for no gain to the WAG 30,-0.3716239049161505,2025-08-29T23:34:57.000Z
401756854,4017568542,401756854101874901,2,1,Kansas,Big 12,0,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 12, 'seconds': 50}",3.0,3.0,50,50,1,10,6,False,Pass Reception,Jalon Daniels pass complete to Emmanuel Henderson Jr. for 6 yds to the WAG 44,0.345257937612164,2025-08-29T23:36:45.000Z
401756854,4017568542,401756854101876801,2,2,Kansas,Big 12,0,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 12, 'seconds': 31}",3.0,3.0,56,44,2,4,5,False,Rush,Daniel Hishaw Jr. run for 5 yds to the WAG 39 for a 1ST down,0.355715439577658,2025-08-29T23:37:13.000Z
401756854,4017568542,401756854101878801,2,3,Kansas,Big 12,0,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 12, 'seconds': 11}",3.0,3.0,61,39,1,10,7,False,Pass Reception,Jalon Daniels pass complete to Levi Wentz for 7 yds to the WAG 32,0.435345095661706,2025-08-29T23:37:18.000Z
401756854,4017568542,401756854101885401,2,4,Kansas,Big 12,0,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 11, 'seconds': 45}",3.0,3.0,68,32,2,3,21,False,Pass Reception,Jalon Daniels pass complete to Emmanuel Henderson Jr. for 21 yds to the WAG 11 for a 1ST down,0.18335404590192,2025-08-29T23:37:57.000Z
401756854,4017568542,401756854101886701,2,5,Kansas,Big 12,0,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 11, 'seconds': 32}",3.0,3.0,89,11,1,10,7,False,Rush,Daniel Hishaw Jr. run for 7 yds to the WAG 4,0.30254910822179,2025-08-29T23:38:00.000Z
401756854,4017568542,401756854101888501,2,6,Kansas,Big 12,7,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 11, 'seconds': 14}",3.0,3.0,96,4,2,3,4,True,Passing Touchdown,Jalon Daniels pass complete to DeShawn Hanika for 4 yds for a TD (Laith Marjan KICK),2.219190305146135,2025-08-29T23:38:25.000Z
401756854,4017568543,401756854101888503,3,1,Kansas,Big 12,7,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 11, 'seconds': 14}",3.0,3.0,35,65,1,10,0,False,Kickoff,Laith Marjan kickoff for 65 yds for a touchback,,2025-08-29T23:38:25.000Z
401756854,4017568543,401756854101899601,3,4,Wagner,NEC,0,Kansas,Big 12,7,Kansas,Wagner,1,"{'minutes': 10, 'seconds': 3}",3.0,3.0,70,70,3,5,-5,False,Penalty,"PENALTY WAG Delay Of Game (Stevens,Jack) 5 yards from WAG30 to WAG25. NO PLAY.",,2025-08-29T23:44:46.000Z
401756854,4017568543,401756854101906301,3,5,Wagner,NEC,0,Kansas,Big 12,7,Kansas,Wagner,1,"{'minutes': 9, 'seconds': 36}",3.0,3.0,75,75,3,10,-5,False,Penalty,"PENALTY WAG Delay Of Game (Stevens,Jack) 5 yards from WAG25 to WAG20. NO PLAY.",,2025-08-29T23:45:26.000Z
401756854,4017568543,401756854101917301,3,7,Wagner,NEC,0,Kansas,Big 12,7,Kansas,Wagner,1,"{'minutes': 8, 'seconds': 26}",3.0,3.0,76,76,4,11,10,False,Punt,"Joshua Brown punt for 45 yds, punt out-of-bounds at the KU 41 , Tate Nagy returns for 10 yds to the KU 34 Kansas Penalty, (Yards) to the KU 41",,2025-08-29T23:47:02.000Z
401756854,4017568543,401756854101917302,3,8,Wagner,NEC,0,Kansas,Big 12,7,Kansas,Wagner,1,"{'minutes': 8, 'seconds': 26}",3.0,3.0,76,76,4,11,10,False,Punt,"Joshua Brown punt for 45 yds, punt out-of-bounds at the KU 22 , Tate Nagy returns for 10 yds to the KU 34 Kansas Penalty, (10 Yards) to the KU 22",,2025-08-29T23:47:56.000Z
401756854,4017568543,401756854101889301,3,2,Wagner,NEC,0,Kansas,Big 12,7,Kansas,Wagner,1,"{'minutes': 11, 'seconds': 6}",3.0,3.0,75,75,1,10,4,False,Rush,Andre Hines Jr run for 4 yds to the WAG 29,-0.1142886249388964,2025-08-29T23:43:33.000Z
401756854,4017568543,401756854101895501,3,3,Wagner,NEC,0,Kansas,Big 12,7,Kansas,Wagner,1,"{'minutes': 10, 'seconds': 44}",3.0,3.0,71,71,2,6,1,False,Rush,Andre Hines Jr run for 1 yd to the WAG 30,-0.5448987305935296,2025-08-29T23:43:46.000Z
401756854,4017568543,401756854101908201,3,6,Wagner,NEC,0,Kansas,Big 12,7,Kansas,Wagner,1,"{'minutes': 9, 'seconds': 17}",3.0,3.0,80,80,3,15,4,False,Rush,Andre Hines Jr run for 4 yds to the WAG 24,-0.01294467478243444,2025-08-29T23:45:54.000Z
401756854,4017568544,401756854101926501,4,4,Kansas,Big 12,7,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 7, 'seconds': 34}",3.0,3.0,27,73,4,5,0,False,Punt,"Grayden Addison punt for 49 yds, fair catch by Derek Burrell at the WAG 24",,2025-08-29T23:50:09.000Z
401756854,4017568544,401756854101917801,4,1,Kansas,Big 12,7,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 8, 'seconds': 21}",3.0,3.0,22,78,1,10,0,False,Pass Incompletion,Jalon Daniels pass incomplete to Doug Emilien,-0.6135902757979226,2025-08-29T23:47:58.000Z
401756854,4017568544,401756854101918501,4,2,Kansas,Big 12,7,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 8, 'seconds': 14}",3.0,3.0,22,78,2,10,5,False,Rush,Daniel Hishaw Jr. run for 5 yds to the KU 27,0.04003568259681422,2025-08-29T23:48:54.000Z
401756854,4017568544,401756854101925901,4,3,Kansas,Big 12,7,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 7, 'seconds': 40}",3.0,3.0,27,73,3,5,0,False,Pass Incompletion,Jalon Daniels pass incomplete to Keaton Kubecka,-0.3149969292534509,2025-08-29T23:49:14.000Z
401756854,4017568545,401756854101935501,5,4,Wagner,NEC,0,Kansas,Big 12,7,Kansas,Wagner,1,"{'minutes': 6, 'seconds': 44}",3.0,3.0,76,76,4,10,7,False,Punt,"Joshua Brown punt for 46 yds , Tate Nagy returns for 7 yds to the KU 37",,2025-08-29T23:55:10.000Z
401756854,4017568545,401756854101927101,5,1,Wagner,NEC,0,Kansas,Big 12,7,Kansas,Wagner,1,"{'minutes': 7, 'seconds': 28}",3.0,3.0,76,76,1,10,0,False,Rush,Sekou Kamau run for no gain to the WAG 24,-0.6723571521309859,2025-08-29T23:52:57.000Z
401756854,4017568545,401756854101929901,5,2,Wagner,NEC,0,Kansas,Big 12,7,Kansas,Wagner,1,"{'minutes': 7, 'seconds': 0}",3.0,3.0,76,76,2,10,0,False,Pass Incompletion,Jack Stevens pass incomplete to Damien Mazil,-0.3277685291678001,2025-08-29T23:53:45.000Z
401756854,4017568545,401756854101934201,5,3,Wagner,NEC,0,Kansas,Big 12,7,Kansas,Wagner,1,"{'minutes': 6, 'seconds': 57}",3.0,3.0,76,76,3,10,0,False,Pass Incompletion,Jack Stevens pass incomplete to Sekou Kamau,-0.1489064149822221,2025-08-29T23:54:17.000Z
401756854,4017568546,401756854101958502,6,5,Kansas,Big 12,7,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 4, 'seconds': 14}",3.0,3.0,63,37,1,10,-10,False,Penalty,"Kansas Penalty, (-10 Yards) to the WAG 43",,2025-08-29T23:58:00.000Z
401756854,4017568546,401756854101936401,6,1,Kansas,Big 12,7,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 6, 'seconds': 35}",3.0,3.0,37,63,1,10,4,False,Rush,Jalon Daniels run for 4 yds to the KU 41,-0.1644248613169578,2025-08-29T23:55:46.000Z
401756854,4017568546,401756854101944801,6,2,Kansas,Big 12,7,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 5, 'seconds': 51}",3.0,3.0,41,59,2,6,5,False,Pass Reception,Jalon Daniels pass complete to Levi Wentz for 5 yds to the KU 46,0.1088246479092484,2025-08-29T23:56:25.000Z
401756854,4017568546,401756854101948501,6,3,Kansas,Big 12,7,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 5, 'seconds': 14}",3.0,3.0,46,54,3,1,6,False,Rush,Daniel Hishaw Jr. run for 6 yds to the WAG 48 for a 1ST down,1.4198771707055027,2025-08-29T23:57:18.000Z
401756854,4017568546,401756854101955101,6,4,Kansas,Big 12,7,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 4, 'seconds': 48}",3.0,3.0,52,48,1,10,11,False,Pass Reception,Jalon Daniels pass complete to Levi Wentz for 11 yds to the WAG 37 for a 1ST down,0.6348252048032138,2025-08-29T23:57:39.000Z
401756854,4017568546,401756854101965101,6,6,Kansas,Big 12,7,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 3, 'seconds': 48}",3.0,3.0,57,43,1,16,27,False,Pass Reception,Jalon Daniels pass complete to Boden Groen for 27 yds to the WAG 16 for a 1ST down,1.4793994114437865,2025-08-29T23:59:05.000Z
401756854,4017568546,401756854101966901,6,7,Kansas,Big 12,7,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 3, 'seconds': 30}",3.0,3.0,84,16,1,10,7,False,Rush,Daniel Hishaw Jr. run for 7 yds to the WAG 9,0.3060293004171264,2025-08-29T23:59:23.000Z
401756854,4017568546,401756854101968701,6,8,Kansas,Big 12,14,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 3, 'seconds': 12}",3.0,3.0,91,9,2,3,9,True,Passing Touchdown,Jalon Daniels pass complete to Emmanuel Henderson Jr. for 9 yds for a TD (Laith Marjan KICK),2.262693420875248,2025-08-29T23:59:47.000Z
401756854,4017568547,401756854101995001,7,5,Wagner,NEC,0,Kansas,Big 12,14,Kansas,Wagner,1,"{'minutes': 0, 'seconds': 49}",3.0,3.0,56,56,4,8,0,False,Punt,Joshua Brown punt for 34 yds,,2025-08-30T00:09:05.000Z
401756854,4017568547,401756854101968703,7,1,Kansas,Big 12,14,Wagner,NEC,0,Kansas,Wagner,1,"{'minutes': 3, 'seconds': 12}",3.0,3.0,35,65,1,10,0,False,Kickoff,Laith Marjan kickoff for 65 yds for a touchback,,2025-08-30T00:03:53.000Z
