id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017568461,401756846,Iowa State,Big 12,Kansas State,Big 12,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,61,61,"{'minutes': 12, 'seconds': 1}","{'minutes': 2, 'seconds': 59}",6,14,FUMBLE,False,0,0,0,0
4017568462,401756846,Iowa State,Big 12,Kansas State,Big 12,2,False,1,8,8,"{'minutes': 12, 'seconds': 1}",1,1,1,"{'minutes': 9, 'seconds': 51}","{'minutes': 2, 'seconds': 10}",4,1,FUMBLE,False,0,0,0,0
4017568463,401756846,Kansas State,Big 12,Iowa State,Big 12,3,False,1,7,93,"{'minutes': 9, 'seconds': 51}",1,10,90,"{'minutes': 8, 'seconds': 29}","{'minutes': 1, 'seconds': 22}",3,3,PUNT,True,0,0,0,0
4017568464,401756846,Iowa State,Big 12,Kansas State,Big 12,4,False,1,56,56,"{'minutes': 8, 'seconds': 29}",1,49,49,"{'minutes': 7, 'seconds': 5}","{'minutes': 1, 'seconds': 24}",3,7,PUNT,False,0,0,0,0
4017568465,401756846,Kansas State,Big 12,Iowa State,Big 12,5,False,1,16,84,"{'minutes': 7, 'seconds': 5}",1,18,82,"{'minutes': 5, 'seconds': 10}","{'minutes': 1, 'seconds': 55}",3,2,PUNT,True,0,0,0,0
4017568466,401756846,Iowa State,Big 12,Kansas State,Big 12,6,True,1,49,49,"{'minutes': 5, 'seconds': 10}",1,0,0,"{'minutes': 3, 'seconds': 26}","{'minutes': 1, 'seconds': 44}",4,49,TD,False,0,0,7,0
4017568467,401756846,Kansas State,Big 12,Iowa State,Big 12,7,True,1,35,65,"{'minutes': 3, 'seconds': 26}",2,100,0,"{'minutes': 14, 'seconds': 55}","{'minutes': 3, 'seconds': 31}",8,65,TD,True,0,7,7,7
4017568468,401756846,Iowa State,Big 12,Kansas State,Big 12,8,False,2,75,75,"{'minutes': 14, 'seconds': 55}",2,74,74,"{'minutes': 13, 'seconds': 59}","{'minutes': 0, 'seconds': 56}",3,-9,FUMBLE,False,7,7,7,7
4017568469,401756846,Kansas State,Big 12,Iowa State,Big 12,9,False,2,84,16,"{'minutes': 13, 'seconds': 59}",2,93,7,"{'minutes': 11, 'seconds': 58}","{'minutes': 2, 'seconds': 1}",4,9,DOWNS,True,7,7,7,7
40175684610,401756846,Iowa State,Big 12,Kansas State,Big 12,10,False,2,93,93,"{'minutes': 11, 'seconds': 58}",2,89,89,"{'minutes': 10, 'seconds': 59}","{'minutes': 0, 'seconds': 59}",3,4,PUNT,False,7,7,7,7
40175684611,401756846,Kansas State,Big 12,Iowa State,Big 12,11,False,2,41,59,"{'minutes': 10, 'seconds': 59}",2,62,38,"{'minutes': 8, 'seconds': 9}","{'minutes': 2, 'seconds': 50}",5,38,FUMBLE,True,7,7,7,7
40175684612,401756846,Iowa State,Big 12,Kansas State,Big 12,12,False,2,79,79,"{'minutes': 8, 'seconds': 9}",2,31,31,"{'minutes': 4, 'seconds': 13}","{'minutes': 3, 'seconds': 56}",12,48,MISSED FG,False,7,7,7,7
40175684613,401756846,Kansas State,Big 12,Iowa State,Big 12,13,False,2,31,69,"{'minutes': 4, 'seconds': 13}",2,58,42,"{'minutes': 0, 'seconds': 2}","{'minutes': 4, 'seconds': 11}",12,27,PUNT,True,7,7,7,7
40175684614,401756846,Iowa State,Big 12,Kansas State,Big 12,14,False,2,96,96,"{'minutes': 0, 'seconds': 2}",2,96,96,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 2}",1,0,END OF HALF,False,7,7,7,7
40175684615,401756846,Kansas State,Big 12,Iowa State,Big 12,15,False,3,19,81,"{'minutes': 15, 'seconds': 0}",3,28,72,"{'minutes': 13, 'seconds': 25}","{'minutes': 1, 'seconds': 35}",3,9,PUNT,True,7,7,7,7
40175684616,401756846,Iowa State,Big 12,Kansas State,Big 12,16,False,3,58,58,"{'minutes': 13, 'seconds': 25}",3,60,60,"{'minutes': 11, 'seconds': 51}","{'minutes': 1, 'seconds': 34}",3,-2,PUNT,False,7,7,7,7
40175684617,401756846,Kansas State,Big 12,Iowa State,Big 12,17,False,3,16,84,"{'minutes': 11, 'seconds': 51}",3,67,33,"{'minutes': 7, 'seconds': 6}","{'minutes': 4, 'seconds': 45}",9,51,DOWNS,True,7,7,7,7
40175684618,401756846,Iowa State,Big 12,Kansas State,Big 12,18,True,3,67,67,"{'minutes': 7, 'seconds': 6}",3,0,0,"{'minutes': 1, 'seconds': 7}","{'minutes': 5, 'seconds': 59}",11,67,TD,False,7,7,14,7
40175684619,401756846,Kansas State,Big 12,Iowa State,Big 12,19,True,3,25,75,"{'minutes': 1, 'seconds': 7}",4,100,0,"{'minutes': 14, 'seconds': 9}","{'minutes': 1, 'seconds': 58}",5,75,TD,True,7,14,14,14
40175684620,401756846,Iowa State,Big 12,Kansas State,Big 12,20,True,4,73,73,"{'minutes': 14, 'seconds': 9}",4,16,16,"{'minutes': 10, 'seconds': 4}","{'minutes': 4, 'seconds': 5}",10,57,FG,False,14,14,17,14
40175684621,401756846,Kansas State,Big 12,Iowa State,Big 12,21,False,4,21,79,"{'minutes': 10, 'seconds': 4}",4,30,70,"{'minutes': 8, 'seconds': 19}","{'minutes': 1, 'seconds': 45}",4,9,DOWNS,True,14,17,14,17
40175684622,401756846,Iowa State,Big 12,Kansas State,Big 12,22,True,4,30,30,"{'minutes': 8, 'seconds': 19}",4,0,0,"{'minutes': 6, 'seconds': 38}","{'minutes': 1, 'seconds': 41}",4,30,TD,False,17,14,24,14
40175684623,401756846,Kansas State,Big 12,Iowa State,Big 12,23,True,4,35,65,"{'minutes': 6, 'seconds': 38}",4,100,0,"{'minutes': 6, 'seconds': 23}","{'minutes': 0, 'seconds': 15}",1,65,TD,True,14,24,21,24
40175684624,401756846,Iowa State,Big 12,Kansas State,Big 12,24,False,4,63,63,"{'minutes': 6, 'seconds': 23}",4,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 6, 'seconds': 23}",12,60,END OF GAME,False,24,21,24,21
4017568551,401756855,Kansas State,Big 12,North Dakota,MVFC,1,False,1,23,77,"{'minutes': 14, 'seconds': 56}",1,32,68,"{'minutes': 13, 'seconds': 27}","{'minutes': 1, 'seconds': 29}",3,9,PUNT,True,0,0,0,0
4017568552,401756855,North Dakota,MVFC,Kansas State,Big 12,2,False,1,75,75,"{'minutes': 13, 'seconds': 27}",1,66,66,"{'minutes': 11, 'seconds': 37}","{'minutes': 1, 'seconds': 50}",3,9,PUNT,False,0,0,0,0
4017568553,401756855,Kansas State,Big 12,North Dakota,MVFC,3,True,1,21,79,"{'minutes': 11, 'seconds': 37}",1,88,12,"{'minutes': 5, 'seconds': 26}","{'minutes': 6, 'seconds': 11}",12,67,FG,True,0,0,3,0
