id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527291,401752729,Kent State,Mid-American,Oklahoma,SEC,1,False,1,85,85,"{'minutes': 14, 'seconds': 56}",1,63,63,"{'minutes': 11, 'seconds': 24}","{'minutes': 3, 'seconds': 32}",6,22,PUNT,False,0,0,0,0
4017527292,401752729,Oklahoma,SEC,Kent State,Mid-American,2,True,1,58,42,"{'minutes': 11, 'seconds': 24}",1,100,0,"{'minutes': 9, 'seconds': 55}","{'minutes': 1, 'seconds': 29}",4,42,TD,True,0,0,7,0
4017527293,401752729,Kent State,Mid-American,Oklahoma,SEC,3,False,1,79,79,"{'minutes': 9, 'seconds': 51}",1,75,75,"{'minutes': 8, 'seconds': 19}","{'minutes': 1, 'seconds': 32}",3,4,PUNT,False,0,7,0,7
4017527294,401752729,Oklahoma,SEC,Kent State,Mid-American,4,True,1,45,55,"{'minutes': 8, 'seconds': 19}",1,69,31,"{'minutes': 5, 'seconds': 41}","{'minutes': 2, 'seconds': 38}",6,24,FG,True,7,0,10,0
4017527295,401752729,Kent State,Mid-American,Oklahoma,SEC,5,False,1,75,75,"{'minutes': 5, 'seconds': 41}",1,73,73,"{'minutes': 3, 'seconds': 39}","{'minutes': 2, 'seconds': 2}",3,2,PUNT,False,0,10,0,10
4017527296,401752729,Oklahoma,SEC,Kent State,Mid-American,6,True,1,26,74,"{'minutes': 3, 'seconds': 39}",2,100,0,"{'minutes': 14, 'seconds': 28}","{'minutes': 4, 'seconds': 11}",9,74,TD,True,10,0,17,0
4017527297,401752729,Kent State,Mid-American,Oklahoma,SEC,7,False,2,75,75,"{'minutes': 14, 'seconds': 28}",2,83,83,"{'minutes': 12, 'seconds': 49}","{'minutes': 1, 'seconds': 39}",3,-8,PUNT,False,0,17,0,17
4017527298,401752729,Oklahoma,SEC,Kent State,Mid-American,8,True,2,47,53,"{'minutes': 12, 'seconds': 49}",2,79,21,"{'minutes': 9, 'seconds': 9}","{'minutes': 3, 'seconds': 40}",7,32,FG,True,17,0,20,0
4017527299,401752729,Kent State,Mid-American,Oklahoma,SEC,9,False,2,75,75,"{'minutes': 9, 'seconds': 9}",2,21,21,"{'minutes': 4, 'seconds': 55}","{'minutes': 4, 'seconds': 14}",9,54,DOWNS,False,0,20,0,20
40175272910,401752729,Oklahoma,SEC,Kent State,Mid-American,10,True,2,21,79,"{'minutes': 4, 'seconds': 55}",2,63,37,"{'minutes': 0, 'seconds': 56}","{'minutes': 3, 'seconds': 59}",10,42,FG,True,20,0,23,0
40175272911,401752729,Kent State,Mid-American,Oklahoma,SEC,11,False,2,75,75,"{'minutes': 0, 'seconds': 56}",2,72,72,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 56}",2,3,END OF HALF,False,0,23,0,23
40175272912,401752729,Oklahoma,SEC,Kent State,Mid-American,12,False,3,13,87,"{'minutes': 15, 'seconds': 0}",3,54,46,"{'minutes': 11, 'seconds': 25}","{'minutes': 3, 'seconds': 35}",9,41,PUNT,True,23,0,23,0
