id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017526711,401752671,LSU,SEC,Clemson,ACC,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,39,39,"{'minutes': 11, 'seconds': 48}","{'minutes': 3, 'seconds': 12}",6,36,PUNT,False,0,0,0,0
4017526712,401752671,Clemson,ACC,LSU,SEC,2,False,1,20,80,"{'minutes': 11, 'seconds': 48}",1,10,90,"{'minutes': 10, 'seconds': 30}","{'minutes': 1, 'seconds': 18}",3,-10,PUNT,True,0,0,0,0
4017526713,401752671,LSU,SEC,Clemson,ACC,3,False,1,63,63,"{'minutes': 10, 'seconds': 30}",1,60,60,"{'minutes': 9, 'seconds': 51}","{'minutes': 0, 'seconds': 39}",2,11,FUMBLE,False,0,0,0,0
4017526714,401752671,Clemson,ACC,LSU,SEC,4,True,1,76,24,"{'minutes': 9, 'seconds': 51}",1,76,24,"{'minutes': 8, 'seconds': 57}","{'minutes': 0, 'seconds': 54}",4,0,FG,True,0,0,3,0
4017526715,401752671,LSU,SEC,Clemson,ACC,5,False,1,75,75,"{'minutes': 8, 'seconds': 57}",1,51,51,"{'minutes': 5, 'seconds': 25}","{'minutes': 3, 'seconds': 32}",5,24,PUNT,False,0,3,0,3
4017526716,401752671,Clemson,ACC,LSU,SEC,6,False,1,15,85,"{'minutes': 5, 'seconds': 25}",1,56,44,"{'minutes': 0, 'seconds': 40}","{'minutes': 4, 'seconds': 45}",8,41,PUNT,True,3,0,3,0
4017526717,401752671,LSU,SEC,Clemson,ACC,7,True,1,84,84,"{'minutes': 0, 'seconds': 40}",2,35,35,"{'minutes': 10, 'seconds': 53}","{'minutes': 4, 'seconds': 47}",8,49,FG,False,0,3,3,3
4017526718,401752671,Clemson,ACC,LSU,SEC,8,True,2,25,75,"{'minutes': 10, 'seconds': 53}",2,100,0,"{'minutes': 4, 'seconds': 36}","{'minutes': 6, 'seconds': 17}",13,75,TD,True,3,3,10,3
4017526719,401752671,LSU,SEC,Clemson,ACC,9,False,2,75,75,"{'minutes': 4, 'seconds': 36}",2,12,12,"{'minutes': 0, 'seconds': 9}","{'minutes': 4, 'seconds': 27}",12,62,FUMBLE,False,3,10,3,10
40175267110,401752671,Clemson,ACC,LSU,SEC,10,False,2,13,87,"{'minutes': 0, 'seconds': 9}",2,12,88,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 9}",1,-1,END OF HALF,True,10,3,10,3
40175267111,401752671,Clemson,ACC,LSU,SEC,11,False,3,25,75,"{'minutes': 15, 'seconds': 0}",3,70,30,"{'minutes': 12, 'seconds': 47}","{'minutes': 2, 'seconds': 13}",8,45,MISSED FG,True,10,3,10,3
40175267112,401752671,LSU,SEC,Clemson,ACC,12,True,3,70,70,"{'minutes': 12, 'seconds': 47}",3,0,0,"{'minutes': 8, 'seconds': 59}","{'minutes': 3, 'seconds': 48}",8,69,TD,False,3,10,10,10
40175267113,401752671,Clemson,ACC,LSU,SEC,13,False,3,25,75,"{'minutes': 8, 'seconds': 59}",3,35,65,"{'minutes': 8, 'seconds': 15}","{'minutes': 0, 'seconds': 44}",2,10,INT,True,10,10,10,10
40175267114,401752671,LSU,SEC,Clemson,ACC,14,False,3,54,54,"{'minutes': 8, 'seconds': 15}",3,29,29,"{'minutes': 4, 'seconds': 32}","{'minutes': 3, 'seconds': 43}",8,25,MISSED FG,False,10,10,10,10
40175267115,401752671,Clemson,ACC,LSU,SEC,15,False,3,29,71,"{'minutes': 4, 'seconds': 32}",3,34,66,"{'minutes': 3, 'seconds': 9}","{'minutes': 1, 'seconds': 23}",3,5,PUNT,True,10,10,10,10
40175267116,401752671,LSU,SEC,Clemson,ACC,16,True,3,73,73,"{'minutes': 3, 'seconds': 9}",4,0,0,"{'minutes': 12, 'seconds': 18}","{'minutes': 5, 'seconds': 51}",11,73,TD,False,10,10,17,10
40175267117,401752671,Clemson,ACC,LSU,SEC,17,False,4,25,75,"{'minutes': 12, 'seconds': 18}",4,67,33,"{'minutes': 9, 'seconds': 2}","{'minutes': 3, 'seconds': 16}",8,42,DOWNS,True,10,17,10,17
40175267118,401752671,LSU,SEC,Clemson,ACC,18,False,4,67,67,"{'minutes': 9, 'seconds': 2}",4,40,40,"{'minutes': 4, 'seconds': 26}","{'minutes': 4, 'seconds': 36}",7,26,PUNT,False,17,10,17,10
40175267119,401752671,Clemson,ACC,LSU,SEC,19,False,4,20,80,"{'minutes': 4, 'seconds': 26}",4,22,78,"{'minutes': 3, 'seconds': 22}","{'minutes': 1, 'seconds': 4}",3,2,PUNT,True,10,17,10,17
