id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017572201,401757220,Liberty,Conference USA,Maine,CAA,1,False,1,34,66,"{'minutes': 14, 'seconds': 54}",1,81,19,"{'minutes': 6, 'seconds': 16}","{'minutes': 8, 'seconds': 38}",18,47,MISSED FG,True,0,0,0,0
4017572202,401757220,Maine,CAA,Liberty,Conference USA,2,False,1,80,80,"{'minutes': 6, 'seconds': 16}",1,38,38,"{'minutes': 0, 'seconds': 22}","{'minutes': 5, 'seconds': 54}",11,42,DOWNS,False,0,0,0,0
4017572203,401757220,Liberty,Conference USA,Maine,CAA,3,False,1,38,62,"{'minutes': 0, 'seconds': 22}",2,44,56,"{'minutes': 14, 'seconds': 11}","{'minutes': 1, 'seconds': 11}",3,6,PUNT,True,0,0,0,0
4017572204,401757220,Maine,CAA,Liberty,Conference USA,4,True,2,77,77,"{'minutes': 14, 'seconds': 11}",2,0,0,"{'minutes': 13, 'seconds': 58}","{'minutes': 0, 'seconds': 13}",1,77,TD,False,0,0,7,0
4017572205,401757220,Liberty,Conference USA,Maine,CAA,5,False,2,30,70,"{'minutes': 13, 'seconds': 51}",2,35,65,"{'minutes': 12, 'seconds': 21}","{'minutes': 1, 'seconds': 30}",3,5,PUNT,True,0,7,0,7
4017572206,401757220,Maine,CAA,Liberty,Conference USA,6,False,2,81,81,"{'minutes': 12, 'seconds': 21}",2,64,64,"{'minutes': 6, 'seconds': 57}","{'minutes': 5, 'seconds': 24}",8,17,PUNT,False,7,0,7,0
4017572207,401757220,Liberty,Conference USA,Maine,CAA,7,False,2,23,77,"{'minutes': 6, 'seconds': 57}",2,58,42,"{'minutes': 3, 'seconds': 53}","{'minutes': 3, 'seconds': 4}",6,35,PUNT,True,0,7,0,7
4017572208,401757220,Maine,CAA,Liberty,Conference USA,8,False,2,86,86,"{'minutes': 3, 'seconds': 53}",2,85,85,"{'minutes': 2, 'seconds': 51}","{'minutes': 1, 'seconds': 2}",3,1,PUNT,False,7,0,7,0
4017572209,401757220,Liberty,Conference USA,Maine,CAA,9,False,2,38,62,"{'minutes': 2, 'seconds': 51}",2,53,47,"{'minutes': 1, 'seconds': 39}","{'minutes': 1, 'seconds': 12}",4,15,PUNT,True,0,7,0,7
40175722010,401757220,Maine,CAA,Liberty,Conference USA,10,False,2,84,84,"{'minutes': 1, 'seconds': 39}",2,62,62,"{'minutes': 0, 'seconds': 24}","{'minutes': 1, 'seconds': 15}",6,22,FUMBLE,False,7,0,7,0
40175722011,401757220,Liberty,Conference USA,Maine,CAA,11,True,2,62,38,"{'minutes': 0, 'seconds': 24}",2,100,0,"{'minutes': 0, 'seconds': 7}","{'minutes': 0, 'seconds': 17}",3,38,TD,True,0,7,7,7
40175722012,401757220,Maine,CAA,Liberty,Conference USA,12,False,2,86,86,"{'minutes': 0, 'seconds': 3}",2,87,87,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 3}",1,-1,END OF HALF,False,7,7,7,7
40175722013,401757220,Maine,CAA,Liberty,Conference USA,13,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,38,38,"{'minutes': 11, 'seconds': 59}","{'minutes': 3, 'seconds': 1}",7,37,PUNT,False,7,7,7,7
40175722014,401757220,Liberty,Conference USA,Maine,CAA,14,False,3,2,98,"{'minutes': 11, 'seconds': 59}",3,36,64,"{'minutes': 9, 'seconds': 16}","{'minutes': 2, 'seconds': 43}",5,34,PUNT,True,7,7,7,7
40175722015,401757220,Maine,CAA,Liberty,Conference USA,15,False,3,82,82,"{'minutes': 9, 'seconds': 16}",3,43,43,"{'minutes': 5, 'seconds': 38}","{'minutes': 3, 'seconds': 38}",7,39,PUNT,False,7,7,7,7
40175722016,401757220,Liberty,Conference USA,Maine,CAA,16,False,3,6,94,"{'minutes': 5, 'seconds': 38}",4,70,30,"{'minutes': 13, 'seconds': 36}","{'minutes': 7, 'seconds': 2}",12,64,DOWNS,True,7,7,7,7
40175722017,401757220,Maine,CAA,Liberty,Conference USA,17,False,4,70,70,"{'minutes': 13, 'seconds': 36}",4,38,38,"{'minutes': 12, 'seconds': 3}","{'minutes': 1, 'seconds': 33}",5,32,DOWNS,False,7,7,7,7
40175722018,401757220,Liberty,Conference USA,Maine,CAA,18,True,4,38,62,"{'minutes': 12, 'seconds': 3}",4,100,0,"{'minutes': 10, 'seconds': 24}","{'minutes': 1, 'seconds': 39}",6,62,TD,True,7,7,14,7
40175722019,401757220,Maine,CAA,Liberty,Conference USA,19,False,4,60,60,"{'minutes': 10, 'seconds': 24}",4,60,60,"{'minutes': 9, 'seconds': 36}","{'minutes': 0, 'seconds': 48}",2,0,INT,False,7,14,7,14
40175722020,401757220,Liberty,Conference USA,Maine,CAA,20,True,4,52,48,"{'minutes': 9, 'seconds': 36}",4,100,0,"{'minutes': 4, 'seconds': 33}","{'minutes': 5, 'seconds': 3}",10,48,TD,True,14,7,21,7
40175722021,401757220,Maine,CAA,Liberty,Conference USA,21,False,4,75,75,"{'minutes': 4, 'seconds': 33}",4,68,68,"{'minutes': 3, 'seconds': 40}","{'minutes': 0, 'seconds': 53}",4,7,DOWNS,False,7,21,7,21
40175722022,401757220,Liberty,Conference USA,Maine,CAA,22,True,4,68,32,"{'minutes': 3, 'seconds': 40}",4,100,0,"{'minutes': 2, 'seconds': 38}","{'minutes': 1, 'seconds': 2}",4,32,TD,True,21,7,28,7
40175722023,401757220,Maine,CAA,Liberty,Conference USA,23,False,4,75,75,"{'minutes': 2, 'seconds': 38}",4,32,32,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 38}",8,43,END OF GAME,False,7,28,7,28
4017572271,401757227,Jacksonville State,Conference USA,Liberty,Conference USA,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,45,55,"{'minutes': 12, 'seconds': 28}","{'minutes': 2, 'seconds': 32}",5,20,PUNT,True,0,0,0,0
4017572272,401757227,Liberty,Conference USA,Jacksonville State,Conference USA,2,False,1,63,63,"{'minutes': 12, 'seconds': 28}",1,55,55,"{'minutes': 11, 'seconds': 41}","{'minutes': 0, 'seconds': 47}",2,8,FUMBLE,False,0,0,0,0
4017572273,401757227,Jacksonville State,Conference USA,Liberty,Conference USA,3,True,1,60,40,"{'minutes': 11, 'seconds': 41}",1,100,0,"{'minutes': 9, 'seconds': 58}","{'minutes': 1, 'seconds': 43}",4,40,TD,True,0,0,7,0
4017572274,401757227,Liberty,Conference USA,Jacksonville State,Conference USA,4,False,1,95,95,"{'minutes': 9, 'seconds': 50}",1,94,94,"{'minutes': 8, 'seconds': 56}","{'minutes': 0, 'seconds': 54}",3,1,PUNT,False,0,7,0,7
4017572275,401757227,Jacksonville State,Conference USA,Liberty,Conference USA,5,False,1,52,48,"{'minutes': 8, 'seconds': 56}",1,55,45,"{'minutes': 6, 'seconds': 56}","{'minutes': 2, 'seconds': 0}",3,3,PUNT,True,7,0,7,0
4017572276,401757227,Liberty,Conference USA,Jacksonville State,Conference USA,6,True,1,95,95,"{'minutes': 6, 'seconds': 56}",1,0,0,"{'minutes': 4, 'seconds': 9}","{'minutes': 2, 'seconds': 47}",5,95,TD,False,0,7,7,7
4017572277,401757227,Jacksonville State,Conference USA,Liberty,Conference USA,7,False,1,22,78,"{'minutes': 4, 'seconds': 5}",1,27,73,"{'minutes': 2, 'seconds': 4}","{'minutes': 2, 'seconds': 1}",3,5,PUNT,True,7,7,7,7
