id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527021,401752702,Louisiana,Sun Belt,Missouri,SEC,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,70,70,"{'minutes': 13, 'seconds': 43}","{'minutes': 1, 'seconds': 17}",3,5,PUNT,False,0,0,0,0
4017527022,401752702,Missouri,SEC,Louisiana,Sun Belt,2,True,1,27,73,"{'minutes': 13, 'seconds': 43}",1,100,0,"{'minutes': 8, 'seconds': 26}","{'minutes': 5, 'seconds': 17}",10,73,TD,True,0,0,7,0
4017527023,401752702,Louisiana,Sun Belt,Missouri,SEC,3,False,1,76,76,"{'minutes': 8, 'seconds': 21}",1,78,78,"{'minutes': 7, 'seconds': 8}","{'minutes': 1, 'seconds': 13}",3,-2,PUNT,False,0,7,0,7
4017527024,401752702,Missouri,SEC,Louisiana,Sun Belt,4,True,1,40,60,"{'minutes': 7, 'seconds': 8}",1,100,0,"{'minutes': 2, 'seconds': 38}","{'minutes': 4, 'seconds': 30}",8,60,TD,True,7,0,14,0
4017527025,401752702,Louisiana,Sun Belt,Missouri,SEC,5,False,1,86,86,"{'minutes': 2, 'seconds': 33}",1,77,77,"{'minutes': 0, 'seconds': 39}","{'minutes': 1, 'seconds': 54}",3,9,PUNT,False,0,14,0,14
4017527026,401752702,Missouri,SEC,Louisiana,Sun Belt,6,True,1,41,59,"{'minutes': 0, 'seconds': 39}",2,100,0,"{'minutes': 14, 'seconds': 18}","{'minutes': 1, 'seconds': 21}",4,59,TD,True,14,0,21,0
4017527027,401752702,Louisiana,Sun Belt,Missouri,SEC,7,False,2,75,75,"{'minutes': 14, 'seconds': 18}",2,68,68,"{'minutes': 12, 'seconds': 35}","{'minutes': 1, 'seconds': 43}",4,7,PUNT,False,0,21,0,21
4017527028,401752702,Missouri,SEC,Louisiana,Sun Belt,8,True,2,26,74,"{'minutes': 12, 'seconds': 35}",2,100,0,"{'minutes': 10, 'seconds': 31}","{'minutes': 2, 'seconds': 4}",5,74,TD,True,21,0,28,0
4017527029,401752702,Louisiana,Sun Belt,Missouri,SEC,9,False,2,75,75,"{'minutes': 10, 'seconds': 31}",2,59,59,"{'minutes': 9, 'seconds': 51}","{'minutes': 0, 'seconds': 40}",4,16,PUNT,False,0,28,0,28
40175270210,401752702,Missouri,SEC,Louisiana,Sun Belt,10,False,2,17,83,"{'minutes': 9, 'seconds': 51}",2,15,85,"{'minutes': 8, 'seconds': 21}","{'minutes': 1, 'seconds': 30}",3,-2,INT,True,28,0,28,0
