id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017526871,401752687,LSU,SEC,Louisiana Tech,Conference USA,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,36,64,"{'minutes': 13, 'seconds': 35}","{'minutes': 1, 'seconds': 25}",4,11,INT,True,0,0,0,0
4017526872,401752687,Louisiana Tech,Conference USA,LSU,SEC,2,False,1,71,71,"{'minutes': 13, 'seconds': 35}",1,62,62,"{'minutes': 12, 'seconds': 32}","{'minutes': 1, 'seconds': 3}",3,9,PUNT,False,0,0,0,0
4017526873,401752687,LSU,SEC,Louisiana Tech,Conference USA,3,False,1,41,59,"{'minutes': 12, 'seconds': 32}",1,66,34,"{'minutes': 8, 'seconds': 6}","{'minutes': 4, 'seconds': 26}",8,25,MISSED FG,True,0,0,0,0
4017526874,401752687,Louisiana Tech,Conference USA,LSU,SEC,4,False,1,66,66,"{'minutes': 8, 'seconds': 6}",1,44,44,"{'minutes': 5, 'seconds': 49}","{'minutes': 2, 'seconds': 17}",4,22,PUNT,False,0,0,0,0
4017526875,401752687,LSU,SEC,Louisiana Tech,Conference USA,5,True,1,2,98,"{'minutes': 5, 'seconds': 49}",1,100,0,"{'minutes': 0, 'seconds': 12}","{'minutes': 5, 'seconds': 37}",11,98,TD,True,0,0,7,0
4017526876,401752687,Louisiana Tech,Conference USA,LSU,SEC,6,False,1,67,67,"{'minutes': 0, 'seconds': 9}",2,41,41,"{'minutes': 11, 'seconds': 31}","{'minutes': 3, 'seconds': 38}",8,26,PUNT,False,0,14,0,14
4017526877,401752687,LSU,SEC,Louisiana Tech,Conference USA,7,True,2,9,91,"{'minutes': 11, 'seconds': 31}",2,94,6,"{'minutes': 6, 'seconds': 24}","{'minutes': 5, 'seconds': 7}",13,85,FG,True,10,0,14,0
4017526878,401752687,Louisiana Tech,Conference USA,LSU,SEC,8,False,2,75,75,"{'minutes': 6, 'seconds': 24}",2,58,58,"{'minutes': 3, 'seconds': 42}","{'minutes': 2, 'seconds': 42}",5,17,PUNT,False,0,10,0,10
4017526879,401752687,LSU,SEC,Louisiana Tech,Conference USA,9,False,2,9,91,"{'minutes': 3, 'seconds': 42}",2,37,63,"{'minutes': 0, 'seconds': 32}","{'minutes': 3, 'seconds': 10}",7,28,PUNT,True,10,0,10,0
40175268710,401752687,Louisiana Tech,Conference USA,LSU,SEC,10,False,2,90,90,"{'minutes': 0, 'seconds': 32}",2,93,93,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 32}",1,-3,END OF HALF,False,0,10,0,10
40175268711,401752687,Louisiana Tech,Conference USA,LSU,SEC,11,False,3,82,82,"{'minutes': 14, 'seconds': 54}",3,48,48,"{'minutes': 11, 'seconds': 33}","{'minutes': 3, 'seconds': 21}",7,34,PUNT,False,0,10,0,10
40175268712,401752687,LSU,SEC,Louisiana Tech,Conference USA,12,False,3,10,90,"{'minutes': 11, 'seconds': 33}",3,59,41,"{'minutes': 6, 'seconds': 39}","{'minutes': 4, 'seconds': 54}",9,49,PUNT,True,10,0,10,0
40175268713,401752687,Louisiana Tech,Conference USA,LSU,SEC,13,False,3,89,89,"{'minutes': 6, 'seconds': 39}",3,92,92,"{'minutes': 5, 'seconds': 14}","{'minutes': 1, 'seconds': 25}",3,-3,PUNT,False,0,10,0,10
40175268714,401752687,LSU,SEC,Louisiana Tech,Conference USA,14,True,3,67,33,"{'minutes': 5, 'seconds': 14}",3,100,0,"{'minutes': 1, 'seconds': 58}","{'minutes': 3, 'seconds': 16}",6,33,TD,True,10,0,17,0
40175268715,401752687,Louisiana Tech,Conference USA,LSU,SEC,15,False,3,75,75,"{'minutes': 1, 'seconds': 58}",3,71,71,"{'minutes': 0, 'seconds': 50}","{'minutes': 1, 'seconds': 8}",3,4,PUNT,False,0,17,0,17
40175268716,401752687,LSU,SEC,Louisiana Tech,Conference USA,16,True,3,33,67,"{'minutes': 0, 'seconds': 50}",4,71,29,"{'minutes': 11, 'seconds': 14}","{'minutes': 4, 'seconds': 36}",11,38,FG,True,17,0,20,0
40175268717,401752687,Louisiana Tech,Conference USA,LSU,SEC,17,False,4,75,75,"{'minutes': 11, 'seconds': 14}",4,83,83,"{'minutes': 10, 'seconds': 26}","{'minutes': 0, 'seconds': 48}",3,-8,PUNT,False,0,20,0,20
40175268718,401752687,LSU,SEC,Louisiana Tech,Conference USA,18,False,4,52,48,"{'minutes': 10, 'seconds': 26}",4,38,62,"{'minutes': 8, 'seconds': 48}","{'minutes': 1, 'seconds': 38}",3,-14,PUNT,True,20,0,20,0
40175268719,401752687,Louisiana Tech,Conference USA,LSU,SEC,19,True,4,74,74,"{'minutes': 8, 'seconds': 48}",4,0,0,"{'minutes': 4, 'seconds': 2}","{'minutes': 4, 'seconds': 46}",13,74,TD,False,0,20,7,20
