id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527872,401752787,Kentucky,SEC,Louisville,ACC,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,59,59,"{'minutes': 12, 'seconds': 26}","{'minutes': 2, 'seconds': 34}",6,16,PUNT,False,0,0,0,0
4017527873,401752787,Louisville,ACC,Kentucky,SEC,2,False,1,25,75,"{'minutes': 12, 'seconds': 16}",1,47,53,"{'minutes': 10, 'seconds': 27}","{'minutes': 1, 'seconds': 59}",4,22,PUNT,True,0,0,0,0
4017527874,401752787,Kentucky,SEC,Louisville,ACC,3,False,1,89,89,"{'minutes': 10, 'seconds': 22}",1,68,68,"{'minutes': 6, 'seconds': 39}","{'minutes': 3, 'seconds': 48}",8,21,PUNT,False,0,0,0,0
4017527875,401752787,Louisville,ACC,Kentucky,SEC,4,True,1,90,10,"{'minutes': 6, 'seconds': 33}",1,97,3,"{'minutes': 4, 'seconds': 44}","{'minutes': 1, 'seconds': 55}",4,10,TD,True,0,0,7,0
4017527877,401752787,Kentucky,SEC,Louisville,ACC,5,False,1,75,75,"{'minutes': 4, 'seconds': 44}",1,34,34,"{'minutes': 2, 'seconds': 7}","{'minutes': 2, 'seconds': 37}",8,41,MISSED FG,False,0,7,0,7
4017527878,401752787,Louisville,ACC,Kentucky,SEC,6,True,1,34,66,"{'minutes': 1, 'seconds': 47}",2,84,16,"{'minutes': 14, 'seconds': 56}","{'minutes': 2, 'seconds': 11}",6,50,FG,True,7,0,10,0
40175278710,401752787,Kentucky,SEC,Louisville,ACC,7,False,2,90,90,"{'minutes': 14, 'seconds': 47}",2,86,86,"{'minutes': 12, 'seconds': 42}","{'minutes': 2, 'seconds': 5}",3,4,PUNT,False,0,10,0,10
40175278711,401752787,Louisville,ACC,Kentucky,SEC,8,True,2,20,80,"{'minutes': 12, 'seconds': 31}",2,97,3,"{'minutes': 8, 'seconds': 18}","{'minutes': 4, 'seconds': 24}",8,80,TD,True,10,0,17,0
40175278713,401752787,Kentucky,SEC,Louisville,ACC,9,False,2,79,79,"{'minutes': 8, 'seconds': 11}",2,85,85,"{'minutes': 6, 'seconds': 0}","{'minutes': 2, 'seconds': 11}",4,-6,PUNT,False,0,17,0,17
40175278714,401752787,Louisville,ACC,Kentucky,SEC,10,True,2,46,54,"{'minutes': 5, 'seconds': 55}",2,94,6,"{'minutes': 1, 'seconds': 45}","{'minutes': 4, 'seconds': 15}",10,48,FG,True,17,0,20,0
