id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017526691,401752669,Marshall,Sun Belt,Georgia,SEC,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,76,76,"{'minutes': 13, 'seconds': 39}","{'minutes': 1, 'seconds': 21}",3,-1,PUNT,False,0,0,0,0
4017526692,401752669,Georgia,SEC,Marshall,Sun Belt,2,True,1,30,70,"{'minutes': 13, 'seconds': 39}",1,100,0,"{'minutes': 9, 'seconds': 22}","{'minutes': 4, 'seconds': 17}",8,70,TD,True,0,0,7,0
4017526693,401752669,Marshall,Sun Belt,Georgia,SEC,3,False,1,75,75,"{'minutes': 9, 'seconds': 22}",1,68,68,"{'minutes': 7, 'seconds': 54}","{'minutes': 1, 'seconds': 28}",3,7,PUNT,False,0,7,0,7
4017526694,401752669,Georgia,SEC,Marshall,Sun Belt,4,True,1,28,72,"{'minutes': 7, 'seconds': 54}",1,100,0,"{'minutes': 2, 'seconds': 21}","{'minutes': 5, 'seconds': 33}",11,72,TD,True,7,0,14,0
4017526695,401752669,Marshall,Sun Belt,Georgia,SEC,5,False,1,75,75,"{'minutes': 2, 'seconds': 22}",2,59,59,"{'minutes': 14, 'seconds': 18}","{'minutes': 3, 'seconds': 4}",5,16,PUNT,False,0,14,0,14
4017526696,401752669,Georgia,SEC,Marshall,Sun Belt,6,False,2,19,81,"{'minutes': 14, 'seconds': 18}",2,48,52,"{'minutes': 11, 'seconds': 49}","{'minutes': 2, 'seconds': 29}",4,29,PUNT,True,14,0,14,0
4017526697,401752669,Marshall,Sun Belt,Georgia,SEC,7,False,2,80,80,"{'minutes': 11, 'seconds': 49}",2,78,78,"{'minutes': 10, 'seconds': 15}","{'minutes': 1, 'seconds': 34}",3,2,PUNT,False,0,14,0,14
4017526698,401752669,Georgia,SEC,Marshall,Sun Belt,8,True,2,80,20,"{'minutes': 10, 'seconds': 15}",2,100,0,"{'minutes': 9, 'seconds': 7}","{'minutes': 1, 'seconds': 8}",3,20,TD,True,14,0,21,0
4017526699,401752669,Marshall,Sun Belt,Georgia,SEC,9,False,2,80,80,"{'minutes': 9, 'seconds': 2}",2,85,85,"{'minutes': 7, 'seconds': 0}","{'minutes': 2, 'seconds': 2}",3,-5,PUNT,False,0,21,0,21
40175266910,401752669,Georgia,SEC,Marshall,Sun Belt,10,False,2,30,70,"{'minutes': 7, 'seconds': 0}",2,26,74,"{'minutes': 5, 'seconds': 39}","{'minutes': 1, 'seconds': 21}",3,-4,PUNT,True,21,0,21,0
40175266911,401752669,Marshall,Sun Belt,Georgia,SEC,11,False,2,77,77,"{'minutes': 5, 'seconds': 39}",2,69,69,"{'minutes': 4, 'seconds': 4}","{'minutes': 1, 'seconds': 35}",3,8,PUNT,False,0,21,0,21
40175266912,401752669,Georgia,SEC,Marshall,Sun Belt,12,False,2,30,70,"{'minutes': 4, 'seconds': 4}",2,43,57,"{'minutes': 1, 'seconds': 59}","{'minutes': 2, 'seconds': 5}",4,13,PUNT,True,21,0,21,0
40175266913,401752669,Marshall,Sun Belt,Georgia,SEC,13,False,2,85,85,"{'minutes': 1, 'seconds': 59}",2,76,76,"{'minutes': 1, 'seconds': 27}","{'minutes': 0, 'seconds': 32}",3,9,PUNT,False,0,21,0,21
40175266914,401752669,Georgia,SEC,Marshall,Sun Belt,14,True,2,31,69,"{'minutes': 1, 'seconds': 27}",2,75,25,"{'minutes': 0, 'seconds': 24}","{'minutes': 1, 'seconds': 3}",9,44,FG,True,21,0,24,0
40175266915,401752669,Marshall,Sun Belt,Georgia,SEC,15,False,2,84,84,"{'minutes': 0, 'seconds': 20}",2,83,83,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 20}",1,-1,Uncategorized,False,0,24,0,24
40175266916,401752669,Georgia,SEC,Marshall,Sun Belt,16,True,3,25,75,"{'minutes': 15, 'seconds': 0}",3,100,0,"{'minutes': 13, 'seconds': 13}","{'minutes': 1, 'seconds': 47}",4,75,TD,True,24,0,31,0
40175266917,401752669,Marshall,Sun Belt,Georgia,SEC,17,False,3,75,75,"{'minutes': 13, 'seconds': 13}",3,69,69,"{'minutes': 11, 'seconds': 14}","{'minutes': 1, 'seconds': 59}",4,6,PUNT,False,0,31,0,31
40175266918,401752669,Georgia,SEC,Marshall,Sun Belt,18,False,3,27,73,"{'minutes': 11, 'seconds': 14}",3,32,68,"{'minutes': 9, 'seconds': 52}","{'minutes': 1, 'seconds': 22}",3,5,PUNT,True,31,0,31,0
40175266919,401752669,Marshall,Sun Belt,Georgia,SEC,19,False,3,82,82,"{'minutes': 9, 'seconds': 52}",3,79,79,"{'minutes': 8, 'seconds': 14}","{'minutes': 1, 'seconds': 38}",3,3,PUNT,False,0,31,0,31
40175266920,401752669,Georgia,SEC,Marshall,Sun Belt,20,True,3,45,55,"{'minutes': 8, 'seconds': 14}",3,100,0,"{'minutes': 3, 'seconds': 51}","{'minutes': 4, 'seconds': 23}",8,55,TD,True,31,0,38,0
40175266921,401752669,Marshall,Sun Belt,Georgia,SEC,21,False,3,75,75,"{'minutes': 3, 'seconds': 51}",3,62,62,"{'minutes': 2, 'seconds': 41}","{'minutes': 1, 'seconds': 10}",4,13,PUNT,False,0,38,0,38
40175266922,401752669,Georgia,SEC,Marshall,Sun Belt,22,True,3,20,80,"{'minutes': 2, 'seconds': 41}",4,100,0,"{'minutes': 14, 'seconds': 18}","{'minutes': 3, 'seconds': 23}",8,80,TD,True,38,0,45,0
40175266923,401752669,Marshall,Sun Belt,Georgia,SEC,23,True,4,84,84,"{'minutes': 14, 'seconds': 13}",4,0,0,"{'minutes': 10, 'seconds': 27}","{'minutes': 3, 'seconds': 46}",7,84,TD,False,0,45,7,45
40175266924,401752669,Georgia,SEC,Marshall,Sun Belt,24,False,4,25,75,"{'minutes': 10, 'seconds': 27}",4,41,59,"{'minutes': 7, 'seconds': 24}","{'minutes': 3, 'seconds': 3}",6,16,PUNT,True,45,7,45,7
40175266925,401752669,Marshall,Sun Belt,Georgia,SEC,25,False,4,92,92,"{'minutes': 7, 'seconds': 24}",4,56,56,"{'minutes': 3, 'seconds': 48}","{'minutes': 3, 'seconds': 36}",7,36,PUNT,False,7,45,7,45
40175266926,401752669,Georgia,SEC,Marshall,Sun Belt,26,False,4,14,86,"{'minutes': 3, 'seconds': 48}",4,32,68,"{'minutes': 1, 'seconds': 13}","{'minutes': 2, 'seconds': 35}",6,18,PUNT,True,45,7,45,7
40175266927,401752669,Marshall,Sun Belt,Georgia,SEC,27,False,4,78,78,"{'minutes': 1, 'seconds': 13}",4,73,73,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 13}",3,5,END OF GAME,False,7,45,7,45
4017572281,401757228,Missouri State,Conference USA,Marshall,Sun Belt,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,58,58,"{'minutes': 12, 'seconds': 54}","{'minutes': 2, 'seconds': 6}",5,17,PUNT,False,0,0,0,0
4017572282,401757228,Marshall,Sun Belt,Missouri State,Conference USA,2,False,1,19,81,"{'minutes': 12, 'seconds': 54}",1,18,82,"{'minutes': 10, 'seconds': 56}","{'minutes': 1, 'seconds': 58}",3,-1,PUNT,True,0,0,0,0
4017572283,401757228,Missouri State,Conference USA,Marshall,Sun Belt,3,False,1,54,54,"{'minutes': 10, 'seconds': 56}",1,41,41,"{'minutes': 7, 'seconds': 36}","{'minutes': 3, 'seconds': 20}",6,13,PUNT,False,0,0,0,0
4017572284,401757228,Marshall,Sun Belt,Missouri State,Conference USA,4,False,1,7,93,"{'minutes': 7, 'seconds': 36}",1,14,86,"{'minutes': 6, 'seconds': 20}","{'minutes': 1, 'seconds': 16}",3,7,PUNT,True,0,0,0,0
4017572285,401757228,Missouri State,Conference USA,Marshall,Sun Belt,5,False,1,52,52,"{'minutes': 6, 'seconds': 20}",1,37,37,"{'minutes': 4, 'seconds': 1}","{'minutes': 2, 'seconds': 19}",5,15,MISSED FG,False,0,0,0,0
4017572286,401757228,Marshall,Sun Belt,Missouri State,Conference USA,6,False,1,37,63,"{'minutes': 4, 'seconds': 1}",1,33,67,"{'minutes': 2, 'seconds': 5}","{'minutes': 1, 'seconds': 56}",3,6,PUNT,True,0,0,0,0
4017572287,401757228,Missouri State,Conference USA,Marshall,Sun Belt,7,True,1,88,88,"{'minutes': 2, 'seconds': 5}",2,0,0,"{'minutes': 13, 'seconds': 57}","{'minutes': 3, 'seconds': 8}",8,88,TD,False,0,0,7,0
4017572288,401757228,Marshall,Sun Belt,Missouri State,Conference USA,8,True,2,25,75,"{'minutes': 13, 'seconds': 57}",2,100,0,"{'minutes': 11, 'seconds': 7}","{'minutes': 2, 'seconds': 50}",7,75,TD,True,0,0,7,7
40175722815,401757228,Missouri State,Conference USA,Marshall,Sun Belt,9,False,3,80,80,"{'minutes': 14, 'seconds': 7}",3,76,76,"{'minutes': 11, 'seconds': 12}","{'minutes': 2, 'seconds': 55}",4,4,PUNT,False,7,14,7,17
40175722816,401757228,Marshall,Sun Belt,Missouri State,Conference USA,10,True,3,81,19,"{'minutes': 11, 'seconds': 12}",3,85,15,"{'minutes': 9, 'seconds': 8}","{'minutes': 2, 'seconds': 4}",4,4,FG,True,14,7,20,7
40175722818,401757228,Marshall,Sun Belt,Missouri State,Conference USA,11,False,3,25,75,"{'minutes': 7, 'seconds': 59}",3,34,66,"{'minutes': 6, 'seconds': 13}","{'minutes': 1, 'seconds': 46}",4,9,DOWNS,True,17,7,20,14
40175722814,401757228,Marshall,Sun Belt,Missouri State,Conference USA,12,False,3,23,77,"{'minutes': 14, 'seconds': 52}",3,28,72,"{'minutes': 14, 'seconds': 7}","{'minutes': 0, 'seconds': 45}",3,5,PUNT,True,17,7,17,7
40175722821,401757228,Missouri State,Conference USA,Marshall,Sun Belt,13,False,4,84,84,"{'minutes': 14, 'seconds': 52}",4,49,49,"{'minutes': 11, 'seconds': 19}","{'minutes': 3, 'seconds': 33}",7,35,PUNT,False,7,17,14,20
40175722822,401757228,Marshall,Sun Belt,Missouri State,Conference USA,14,False,4,19,81,"{'minutes': 11, 'seconds': 19}",4,92,8,"{'minutes': 7, 'seconds': 37}","{'minutes': 3, 'seconds': 42}",9,73,MISSED FG,True,17,7,20,14
40175722817,401757228,Missouri State,Conference USA,Marshall,Sun Belt,15,True,3,74,74,"{'minutes': 9, 'seconds': 2}",3,0,0,"{'minutes': 7, 'seconds': 59}","{'minutes': 1, 'seconds': 3}",3,74,TD,False,7,20,14,20
40175722824,401757228,Marshall,Sun Belt,Missouri State,Conference USA,16,False,4,35,65,"{'minutes': 2, 'seconds': 12}",4,38,62,"{'minutes': 1, 'seconds': 48}","{'minutes': 0, 'seconds': 24}",4,3,INT,True,20,7,20,21
40175722823,401757228,Missouri State,Conference USA,Marshall,Sun Belt,17,True,4,80,80,"{'minutes': 7, 'seconds': 37}",4,0,0,"{'minutes': 2, 'seconds': 12}","{'minutes': 5, 'seconds': 25}",9,80,TD,False,14,20,21,20
40175722825,401757228,Missouri State,Conference USA,Marshall,Sun Belt,18,False,4,30,30,"{'minutes': 1, 'seconds': 48}",4,10,10,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 48}",5,20,END OF GAME,False,21,20,21,20
4017572641,401757264,Marshall,Sun Belt,Middle Tennessee,Conference USA,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,72,72,"{'minutes': 13, 'seconds': 1}","{'minutes': 1, 'seconds': 59}",3,3,PUNT,False,0,0,0,0
4017572642,401757264,Middle Tennessee,Conference USA,Marshall,Sun Belt,2,False,1,30,70,"{'minutes': 13, 'seconds': 1}",1,35,65,"{'minutes': 12, 'seconds': 2}","{'minutes': 0, 'seconds': 59}",2,5,INT,True,0,0,0,0
4017572643,401757264,Marshall,Sun Belt,Middle Tennessee,Conference USA,3,True,1,40,40,"{'minutes': 12, 'seconds': 2}",1,0,0,"{'minutes': 8, 'seconds': 47}","{'minutes': 3, 'seconds': 15}",7,40,TD,False,0,0,7,0
4017572644,401757264,Middle Tennessee,Conference USA,Marshall,Sun Belt,4,True,1,25,75,"{'minutes': 8, 'seconds': 47}",1,100,0,"{'minutes': 7, 'seconds': 57}","{'minutes': 0, 'seconds': 50}",2,75,TD,True,0,7,7,7
4017572645,401757264,Marshall,Sun Belt,Middle Tennessee,Conference USA,5,True,1,75,75,"{'minutes': 7, 'seconds': 57}",1,0,0,"{'minutes': 6, 'seconds': 51}","{'minutes': 1, 'seconds': 6}",3,75,TD,False,7,7,14,7
4017572646,401757264,Middle Tennessee,Conference USA,Marshall,Sun Belt,6,True,1,25,75,"{'minutes': 6, 'seconds': 51}",1,100,0,"{'minutes': 6, 'seconds': 3}","{'minutes': 0, 'seconds': 48}",2,75,TD,True,7,7,14,14
4017572647,401757264,Marshall,Sun Belt,Middle Tennessee,Conference USA,7,True,1,75,75,"{'minutes': 6, 'seconds': 3}",1,0,0,"{'minutes': 1, 'seconds': 5}","{'minutes': 4, 'seconds': 58}",9,75,TD,False,14,14,21,14
