id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527211,401752721,Massachusetts,Mid-American,Missouri,SEC,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,71,71,"{'minutes': 13, 'seconds': 36}","{'minutes': 1, 'seconds': 24}",3,4,PUNT,False,0,0,0,0
4017527212,401752721,Missouri,SEC,Massachusetts,Mid-American,2,True,1,32,68,"{'minutes': 13, 'seconds': 36}",1,100,0,"{'minutes': 10, 'seconds': 12}","{'minutes': 3, 'seconds': 24}",7,68,TD,True,0,0,7,0
4017527213,401752721,Massachusetts,Mid-American,Missouri,SEC,3,False,1,75,75,"{'minutes': 10, 'seconds': 12}",1,73,73,"{'minutes': 9, 'seconds': 11}","{'minutes': 1, 'seconds': 1}",3,2,PUNT,False,0,7,0,7
4017527214,401752721,Missouri,SEC,Massachusetts,Mid-American,4,False,1,40,60,"{'minutes': 9, 'seconds': 11}",1,79,21,"{'minutes': 6, 'seconds': 24}","{'minutes': 2, 'seconds': 47}",7,39,INT,True,7,0,7,0
4017527215,401752721,Massachusetts,Mid-American,Missouri,SEC,5,True,1,21,21,"{'minutes': 6, 'seconds': 24}",1,0,0,"{'minutes': 4, 'seconds': 31}","{'minutes': 1, 'seconds': 53}",6,21,TD,False,0,7,6,7
4017527216,401752721,Missouri,SEC,Massachusetts,Mid-American,6,True,1,44,56,"{'minutes': 4, 'seconds': 22}",1,100,0,"{'minutes': 0, 'seconds': 35}","{'minutes': 3, 'seconds': 47}",8,56,TD,True,7,6,14,6
4017527217,401752721,Massachusetts,Mid-American,Missouri,SEC,7,False,1,75,75,"{'minutes': 0, 'seconds': 35}",2,46,46,"{'minutes': 12, 'seconds': 16}","{'minutes': 3, 'seconds': 19}",7,29,PUNT,False,6,14,6,14
4017527218,401752721,Missouri,SEC,Massachusetts,Mid-American,8,True,2,11,89,"{'minutes': 12, 'seconds': 16}",2,100,0,"{'minutes': 4, 'seconds': 45}","{'minutes': 7, 'seconds': 31}",14,89,TD,True,14,6,21,6
4017527219,401752721,Massachusetts,Mid-American,Missouri,SEC,9,False,2,75,75,"{'minutes': 4, 'seconds': 45}",2,70,70,"{'minutes': 2, 'seconds': 1}","{'minutes': 2, 'seconds': 44}",6,5,PUNT,False,6,21,6,21
40175272110,401752721,Missouri,SEC,Massachusetts,Mid-American,10,False,2,21,79,"{'minutes': 2, 'seconds': 1}",2,25,75,"{'minutes': 1, 'seconds': 19}","{'minutes': 0, 'seconds': 42}",3,4,PUNT,True,21,6,21,6
