id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527081,401752708,Arkansas,SEC,Memphis,American Athletic,1,True,1,75,75,"{'minutes': 15, 'seconds': 0}",1,0,0,"{'minutes': 13, 'seconds': 50}","{'minutes': 1, 'seconds': 10}",3,75,TD,False,0,0,7,0
4017527082,401752708,Memphis,American Athletic,Arkansas,SEC,2,True,1,25,75,"{'minutes': 13, 'seconds': 50}",1,80,20,"{'minutes': 8, 'seconds': 57}","{'minutes': 4, 'seconds': 53}",13,55,FG,True,0,7,3,7
4017527083,401752708,Arkansas,SEC,Memphis,American Athletic,3,False,1,53,53,"{'minutes': 8, 'seconds': 57}",1,48,48,"{'minutes': 7, 'seconds': 33}","{'minutes': 1, 'seconds': 24}",3,5,PUNT,False,7,3,7,3
4017527084,401752708,Memphis,American Athletic,Arkansas,SEC,4,False,1,11,89,"{'minutes': 7, 'seconds': 33}",1,11,89,"{'minutes': 6, 'seconds': 30}","{'minutes': 1, 'seconds': 3}",3,0,PUNT,True,3,7,3,7
4017527085,401752708,Arkansas,SEC,Memphis,American Athletic,5,False,1,63,63,"{'minutes': 6, 'seconds': 30}",1,63,63,"{'minutes': 6, 'seconds': 22}","{'minutes': 0, 'seconds': 8}",1,0,INT,False,7,3,7,3
4017527086,401752708,Memphis,American Athletic,Arkansas,SEC,6,True,1,29,71,"{'minutes': 6, 'seconds': 22}",1,100,0,"{'minutes': 0, 'seconds': 20}","{'minutes': 6, 'seconds': 2}",11,71,TD,True,3,7,10,7
4017527087,401752708,Arkansas,SEC,Memphis,American Athletic,7,True,1,77,77,"{'minutes': 0, 'seconds': 20}",2,0,0,"{'minutes': 12, 'seconds': 37}","{'minutes': 2, 'seconds': 43}",6,77,TD,False,7,10,14,10
4017527088,401752708,Memphis,American Athletic,Arkansas,SEC,8,False,2,25,75,"{'minutes': 12, 'seconds': 37}",2,25,75,"{'minutes': 11, 'seconds': 8}","{'minutes': 1, 'seconds': 29}",3,0,PUNT,True,10,14,10,14
4017527089,401752708,Arkansas,SEC,Memphis,American Athletic,9,True,2,66,66,"{'minutes': 11, 'seconds': 8}",2,0,0,"{'minutes': 7, 'seconds': 41}","{'minutes': 3, 'seconds': 27}",7,66,TD,False,14,10,21,10
40175270810,401752708,Memphis,American Athletic,Arkansas,SEC,10,False,2,25,75,"{'minutes': 7, 'seconds': 41}",2,72,28,"{'minutes': 4, 'seconds': 29}","{'minutes': 3, 'seconds': 12}",7,47,MISSED FG,True,10,21,10,21
