id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527091,401752709,Florida,SEC,Miami,ACC,1,False,1,81,81,"{'minutes': 15, 'seconds': 0}",1,86,86,"{'minutes': 12, 'seconds': 56}","{'minutes': 2, 'seconds': 4}",3,-5,PUNT,False,0,0,0,0
4017527092,401752709,Miami,ACC,Florida,SEC,2,True,1,44,56,"{'minutes': 12, 'seconds': 56}",1,100,0,"{'minutes': 9, 'seconds': 25}","{'minutes': 3, 'seconds': 31}",7,56,TD,True,0,0,7,0
4017527093,401752709,Florida,SEC,Miami,ACC,3,False,1,75,75,"{'minutes': 9, 'seconds': 25}",1,70,70,"{'minutes': 7, 'seconds': 23}","{'minutes': 2, 'seconds': 2}",3,5,PUNT,False,0,7,0,7
4017527094,401752709,Miami,ACC,Florida,SEC,4,True,1,28,72,"{'minutes': 7, 'seconds': 23}",2,65,35,"{'minutes': 14, 'seconds': 4}","{'minutes': 8, 'seconds': 19}",16,37,FG,True,7,0,10,0
4017527095,401752709,Florida,SEC,Miami,ACC,5,False,2,75,75,"{'minutes': 14, 'seconds': 4}",2,57,57,"{'minutes': 10, 'seconds': 53}","{'minutes': 3, 'seconds': 11}",7,18,PUNT,False,0,10,0,10
4017527096,401752709,Miami,ACC,Florida,SEC,6,False,2,20,80,"{'minutes': 10, 'seconds': 53}",2,54,46,"{'minutes': 8, 'seconds': 7}","{'minutes': 2, 'seconds': 46}",6,34,PUNT,True,10,0,10,0
4017527097,401752709,Florida,SEC,Miami,ACC,7,False,2,92,92,"{'minutes': 8, 'seconds': 7}",2,90,90,"{'minutes': 7, 'seconds': 14}","{'minutes': 0, 'seconds': 53}",3,2,PUNT,False,0,10,0,10
4017527098,401752709,Miami,ACC,Florida,SEC,8,False,2,57,43,"{'minutes': 7, 'seconds': 14}",2,53,47,"{'minutes': 6, 'seconds': 14}","{'minutes': 1, 'seconds': 0}",3,-4,PUNT,True,10,0,10,0
4017527099,401752709,Florida,SEC,Miami,ACC,9,False,2,80,80,"{'minutes': 6, 'seconds': 14}",2,80,80,"{'minutes': 4, 'seconds': 51}","{'minutes': 1, 'seconds': 23}",3,0,PUNT,False,0,10,0,10
40175270910,401752709,Miami,ACC,Florida,SEC,10,True,2,38,62,"{'minutes': 4, 'seconds': 51}",2,90,10,"{'minutes': 1, 'seconds': 29}","{'minutes': 3, 'seconds': 22}",10,52,FG,True,10,0,13,0
40175270911,401752709,Florida,SEC,Miami,ACC,11,False,2,75,75,"{'minutes': 1, 'seconds': 29}",2,73,73,"{'minutes': 0, 'seconds': 43}","{'minutes': 0, 'seconds': 46}",3,2,PUNT,False,0,13,0,13
40175270912,401752709,Miami,ACC,Florida,SEC,12,False,2,25,75,"{'minutes': 0, 'seconds': 43}",2,28,72,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 43}",1,3,END OF HALF,True,13,0,13,0
40175270913,401752709,Miami,ACC,Florida,SEC,13,False,3,19,81,"{'minutes': 15, 'seconds': 0}",3,61,39,"{'minutes': 9, 'seconds': 36}","{'minutes': 5, 'seconds': 24}",11,42,PUNT,True,13,0,13,0
40175270914,401752709,Florida,SEC,Miami,ACC,14,True,3,80,80,"{'minutes': 9, 'seconds': 36}",3,0,0,"{'minutes': 3, 'seconds': 24}","{'minutes': 6, 'seconds': 12}",11,80,TD,False,0,13,7,13
40175270915,401752709,Miami,ACC,Florida,SEC,15,False,3,25,75,"{'minutes': 3, 'seconds': 24}",3,25,75,"{'minutes': 3, 'seconds': 16}","{'minutes': 0, 'seconds': 8}",1,0,INT,True,13,7,13,7
40175270916,401752709,Florida,SEC,Miami,ACC,16,False,3,52,52,"{'minutes': 3, 'seconds': 16}",4,33,33,"{'minutes': 14, 'seconds': 50}","{'minutes': 3, 'seconds': 26}",8,21,DOWNS,False,7,13,7,13
40175270917,401752709,Miami,ACC,Florida,SEC,17,False,4,31,69,"{'minutes': 14, 'seconds': 50}",4,32,68,"{'minutes': 13, 'seconds': 20}","{'minutes': 1, 'seconds': 30}",3,1,PUNT,True,13,7,13,7
40175270918,401752709,Florida,SEC,Miami,ACC,18,False,4,82,82,"{'minutes': 13, 'seconds': 20}",4,74,74,"{'minutes': 11, 'seconds': 20}","{'minutes': 2, 'seconds': 0}",3,8,PUNT,False,7,13,7,13
40175270919,401752709,Miami,ACC,Florida,SEC,19,True,4,20,80,"{'minutes': 11, 'seconds': 20}",4,100,0,"{'minutes': 4, 'seconds': 8}","{'minutes': 7, 'seconds': 12}",13,80,TD,True,13,7,19,7
40175270920,401752709,Florida,SEC,Miami,ACC,20,False,4,75,75,"{'minutes': 4, 'seconds': 8}",4,77,77,"{'minutes': 2, 'seconds': 58}","{'minutes': 1, 'seconds': 10}",4,-2,DOWNS,False,7,19,7,19
40175270921,401752709,Miami,ACC,Florida,SEC,21,True,4,77,23,"{'minutes': 2, 'seconds': 58}",4,100,0,"{'minutes': 1, 'seconds': 56}","{'minutes': 1, 'seconds': 2}",4,22,TD,True,19,7,26,7
40175270922,401752709,Florida,SEC,Miami,ACC,22,False,4,75,75,"{'minutes': 1, 'seconds': 56}",4,73,73,"{'minutes': 1, 'seconds': 34}","{'minutes': 0, 'seconds': 22}",4,2,DOWNS,False,7,26,7,26
40175270923,401752709,Miami,ACC,Florida,SEC,23,False,4,73,27,"{'minutes': 1, 'seconds': 34}",4,74,26,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 34}",3,1,END OF GAME,True,26,7,26,7
