id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017528181,401752818,Miami (OH),Mid-American,Rutgers,Big Ten,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,69,69,"{'minutes': 13, 'seconds': 34}","{'minutes': 1, 'seconds': 26}",3,6,PUNT,False,0,0,0,0
4017528182,401752818,Rutgers,Big Ten,Miami (OH),Mid-American,2,True,1,25,75,"{'minutes': 13, 'seconds': 34}",1,100,0,"{'minutes': 7, 'seconds': 25}","{'minutes': 6, 'seconds': 9}",11,75,TD,True,0,0,7,0
4017528183,401752818,Miami (OH),Mid-American,Rutgers,Big Ten,3,True,1,75,75,"{'minutes': 7, 'seconds': 25}",1,0,0,"{'minutes': 5, 'seconds': 11}","{'minutes': 2, 'seconds': 14}",4,75,TD,False,0,7,7,7
4017528184,401752818,Rutgers,Big Ten,Miami (OH),Mid-American,4,True,1,25,75,"{'minutes': 5, 'seconds': 11}",2,79,21,"{'minutes': 12, 'seconds': 34}","{'minutes': 7, 'seconds': 37}",16,54,FG,True,7,7,10,7
4017528185,401752818,Miami (OH),Mid-American,Rutgers,Big Ten,5,False,2,75,75,"{'minutes': 12, 'seconds': 34}",2,25,25,"{'minutes': 9, 'seconds': 17}","{'minutes': 3, 'seconds': 17}",5,50,INT,False,7,10,7,10
4017528186,401752818,Rutgers,Big Ten,Miami (OH),Mid-American,6,True,2,88,12,"{'minutes': 9, 'seconds': 17}",2,100,0,"{'minutes': 8, 'seconds': 18}","{'minutes': 0, 'seconds': 59}",3,12,TD,True,10,7,17,7
4017528187,401752818,Miami (OH),Mid-American,Rutgers,Big Ten,7,False,2,75,75,"{'minutes': 8, 'seconds': 18}",2,73,73,"{'minutes': 5, 'seconds': 55}","{'minutes': 2, 'seconds': 23}",3,2,PUNT,False,7,17,7,17
4017528188,401752818,Rutgers,Big Ten,Miami (OH),Mid-American,8,True,2,30,70,"{'minutes': 5, 'seconds': 55}",2,100,0,"{'minutes': 1, 'seconds': 20}","{'minutes': 4, 'seconds': 35}",10,70,TD,True,17,7,24,7
4017528189,401752818,Miami (OH),Mid-American,Rutgers,Big Ten,9,True,2,75,75,"{'minutes': 1, 'seconds': 20}",2,22,22,"{'minutes': 0, 'seconds': 2}","{'minutes': 1, 'seconds': 18}",8,53,FG,False,7,24,10,24
40175281810,401752818,Rutgers,Big Ten,Miami (OH),Mid-American,10,False,3,25,75,"{'minutes': 15, 'seconds': 0}",3,42,58,"{'minutes': 11, 'seconds': 57}","{'minutes': 3, 'seconds': 3}",6,17,PUNT,True,24,10,24,10
