id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017528201,401752820,Wisconsin,Big Ten,Middle Tennessee,Conference USA,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,59,41,"{'minutes': 9, 'seconds': 52}","{'minutes': 5, 'seconds': 8}",8,34,PUNT,True,0,0,0,0
4017528202,401752820,Middle Tennessee,Conference USA,Wisconsin,Big Ten,2,True,1,77,77,"{'minutes': 9, 'seconds': 52}",1,9,9,"{'minutes': 4, 'seconds': 13}","{'minutes': 5, 'seconds': 39}",12,68,FG,False,0,0,3,0
4017528203,401752820,Wisconsin,Big Ten,Middle Tennessee,Conference USA,3,False,1,25,75,"{'minutes': 4, 'seconds': 13}",1,33,67,"{'minutes': 2, 'seconds': 24}","{'minutes': 1, 'seconds': 49}",3,8,PUNT,True,0,0,0,3
4017528205,401752820,Wisconsin,Big Ten,Middle Tennessee,Conference USA,4,True,2,20,80,"{'minutes': 14, 'seconds': 0}",2,100,0,"{'minutes': 8, 'seconds': 16}","{'minutes': 5, 'seconds': 44}",11,80,TD,True,0,3,7,3
4017528204,401752820,Middle Tennessee,Conference USA,Wisconsin,Big Ten,5,False,1,79,79,"{'minutes': 2, 'seconds': 24}",2,48,48,"{'minutes': 14, 'seconds': 0}","{'minutes': 3, 'seconds': 24}",7,31,PUNT,False,3,0,3,0
4017528206,401752820,Middle Tennessee,Conference USA,Wisconsin,Big Ten,6,False,2,75,75,"{'minutes': 8, 'seconds': 16}",2,62,62,"{'minutes': 7, 'seconds': 4}","{'minutes': 1, 'seconds': 12}",4,13,INT,False,3,0,10,35
40175282012,401752820,Middle Tennessee,Conference USA,Wisconsin,Big Ten,7,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,25,25,"{'minutes': 8, 'seconds': 18}","{'minutes': 6, 'seconds': 42}",12,50,DOWNS,False,3,14,10,14
40175282013,401752820,Wisconsin,Big Ten,Middle Tennessee,Conference USA,8,True,3,25,75,"{'minutes': 8, 'seconds': 18}",3,100,0,"{'minutes': 7, 'seconds': 26}","{'minutes': 0, 'seconds': 52}",2,75,TD,True,14,3,21,10
40175282014,401752820,Middle Tennessee,Conference USA,Wisconsin,Big Ten,9,False,3,75,75,"{'minutes': 7, 'seconds': 26}",3,83,83,"{'minutes': 5, 'seconds': 18}","{'minutes': 2, 'seconds': 8}",3,-8,PUNT,False,3,14,10,21
40175282016,401752820,Middle Tennessee,Conference USA,Wisconsin,Big Ten,10,False,3,75,75,"{'minutes': 2, 'seconds': 44}",4,55,55,"{'minutes': 14, 'seconds': 5}","{'minutes': 3, 'seconds': 39}",5,20,PUNT,False,10,14,10,28
40175282018,401752820,Middle Tennessee,Conference USA,Wisconsin,Big Ten,11,False,4,75,75,"{'minutes': 10, 'seconds': 24}",4,70,70,"{'minutes': 9, 'seconds': 21}","{'minutes': 1, 'seconds': 3}",3,5,PUNT,False,10,14,10,35
40175282019,401752820,Wisconsin,Big Ten,Middle Tennessee,Conference USA,12,True,4,47,53,"{'minutes': 9, 'seconds': 21}",4,100,0,"{'minutes': 5, 'seconds': 48}","{'minutes': 3, 'seconds': 33}",7,53,TD,True,14,10,42,10
40175282021,401752820,Wisconsin,Big Ten,Middle Tennessee,Conference USA,13,False,4,41,59,"{'minutes': 2, 'seconds': 26}",4,46,54,"{'minutes': 1, 'seconds': 15}","{'minutes': 1, 'seconds': 11}",3,5,FUMBLE,True,21,10,42,10
40175282015,401752820,Wisconsin,Big Ten,Middle Tennessee,Conference USA,14,True,3,50,50,"{'minutes': 5, 'seconds': 18}",3,100,0,"{'minutes': 2, 'seconds': 44}","{'minutes': 2, 'seconds': 34}",5,50,TD,True,21,10,28,10
40175282022,401752820,Middle Tennessee,Conference USA,Wisconsin,Big Ten,15,False,4,44,44,"{'minutes': 1, 'seconds': 15}",4,42,42,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 15}",4,2,END OF GAME,False,10,21,10,42
40175282017,401752820,Wisconsin,Big Ten,Middle Tennessee,Conference USA,16,True,4,1,99,"{'minutes': 14, 'seconds': 5}",4,100,0,"{'minutes': 10, 'seconds': 24}","{'minutes': 3, 'seconds': 41}",7,99,TD,True,28,10,35,10
40175282020,401752820,Middle Tennessee,Conference USA,Wisconsin,Big Ten,17,False,4,75,75,"{'minutes': 5, 'seconds': 48}",4,54,54,"{'minutes': 2, 'seconds': 26}","{'minutes': 3, 'seconds': 22}",5,21,PUNT,False,10,42,10,42
4017572221,401757222,Middle Tennessee,Conference USA,Austin Peay,UAC,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,30,70,"{'minutes': 13, 'seconds': 36}","{'minutes': 1, 'seconds': 24}",3,5,PUNT,True,0,0,0,0
4017572222,401757222,Austin Peay,UAC,Middle Tennessee,Conference USA,2,True,1,63,63,"{'minutes': 13, 'seconds': 36}",1,0,0,"{'minutes': 9, 'seconds': 45}","{'minutes': 3, 'seconds': 51}",7,63,TD,False,0,0,7,0
4017572223,401757222,Middle Tennessee,Conference USA,Austin Peay,UAC,3,False,1,25,75,"{'minutes': 9, 'seconds': 45}",1,42,58,"{'minutes': 8, 'seconds': 11}","{'minutes': 1, 'seconds': 34}",5,17,PUNT,True,0,7,0,7
4017572224,401757222,Austin Peay,UAC,Middle Tennessee,Conference USA,4,False,1,92,92,"{'minutes': 8, 'seconds': 11}",1,91,91,"{'minutes': 6, 'seconds': 29}","{'minutes': 1, 'seconds': 42}",3,1,PUNT,False,7,0,7,0
4017572225,401757222,Middle Tennessee,Conference USA,Austin Peay,UAC,5,False,1,47,53,"{'minutes': 6, 'seconds': 29}",1,53,47,"{'minutes': 5, 'seconds': 44}","{'minutes': 0, 'seconds': 45}",4,6,DOWNS,True,0,7,0,7
4017572226,401757222,Austin Peay,UAC,Middle Tennessee,Conference USA,6,True,1,53,53,"{'minutes': 5, 'seconds': 44}",1,0,0,"{'minutes': 2, 'seconds': 38}","{'minutes': 3, 'seconds': 6}",8,53,TD,False,7,0,14,0
4017572227,401757222,Middle Tennessee,Conference USA,Austin Peay,UAC,7,False,1,25,75,"{'minutes': 2, 'seconds': 38}",1,46,54,"{'minutes': 0, 'seconds': 33}","{'minutes': 2, 'seconds': 5}",4,21,PUNT,True,0,14,0,14
4017572228,401757222,Austin Peay,UAC,Middle Tennessee,Conference USA,8,True,1,89,89,"{'minutes': 0, 'seconds': 33}",2,0,0,"{'minutes': 6, 'seconds': 3}","{'minutes': 9, 'seconds': 30}",17,89,TD,False,14,0,21,0
4017572229,401757222,Middle Tennessee,Conference USA,Austin Peay,UAC,9,False,2,25,75,"{'minutes': 6, 'seconds': 3}",2,29,71,"{'minutes': 3, 'seconds': 46}","{'minutes': 2, 'seconds': 17}",5,4,PUNT,True,0,21,0,22
40175722210,401757222,Austin Peay,UAC,Middle Tennessee,Conference USA,10,False,2,70,70,"{'minutes': 3, 'seconds': 46}",2,69,69,"{'minutes': 2, 'seconds': 19}","{'minutes': 1, 'seconds': 27}",3,1,PUNT,False,22,0,22,0
