gameId,driveId,id,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,defenseConference,defenseScore,home,away,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
401752673,4017526731,401752673101849903,1,1,Southern Miss,Sun Belt,0,Mississippi State,SEC,0,Southern Miss,Mississippi State,1,"{'minutes': 15, 'seconds': 0}",3.0,3.0,35,65,1,10,0,False,Kickoff,Reed Harradine kickoff for 65 yds for a touchback,,2025-08-30T16:05:37.000Z
401752673,4017526731,401752673101855401,1,2,Mississippi State,SEC,0,Southern Miss,Sun Belt,0,Southern Miss,Mississippi State,1,"{'minutes': 14, 'seconds': 45}",3.0,3.0,75,75,1,10,3,False,Rush,Blake Shapen run for 3 yds to the MSST 28,-0.2957674139440157,2025-08-30T16:05:37.000Z
401752673,4017526731,401752673101859201,1,3,Mississippi State,SEC,0,Southern Miss,Sun Belt,0,Southern Miss,Mississippi State,1,"{'minutes': 14, 'seconds': 7}",3.0,3.0,72,72,2,7,3,False,Rush,Blake Shapen run for 3 yds to the MSST 31,-0.2389648696117614,2025-08-30T16:05:37.000Z
401752673,4017526731,401752673101865501,1,4,Mississippi State,SEC,0,Southern Miss,Sun Belt,0,Southern Miss,Mississippi State,1,"{'minutes': 13, 'seconds': 44}",3.0,3.0,69,69,3,4,12,False,Pass Reception,Blake Shapen pass complete to Seydou Traore for 12 yds to the MSST 43 for a 1ST down,2.147170705765772,2025-08-30T16:06:11.000Z
401752673,4017526731,401752673101866401,1,5,Mississippi State,SEC,0,Southern Miss,Sun Belt,0,Southern Miss,Mississippi State,1,"{'minutes': 13, 'seconds': 35}",3.0,3.0,57,57,1,10,2,False,Rush,Davon Booth run for 2 yds to the MSST 45,-0.6861929923492786,2025-08-30T16:07:24.000Z
401752673,4017526731,401752673101866402,1,6,Mississippi State,SEC,0,Southern Miss,Sun Belt,0,Southern Miss,Mississippi State,1,"{'minutes': 13, 'seconds': 35}",3.0,3.0,55,55,2,8,0,False,Pass Incompletion,Blake Shapen pass incomplete to Brenen Thompson,-1.0078767954001808,2025-08-30T16:07:24.000Z
401752673,4017526731,401752673101866403,1,7,Mississippi State,SEC,7,Southern Miss,Sun Belt,0,Southern Miss,Mississippi State,1,"{'minutes': 13, 'seconds': 35}",3.0,3.0,55,55,3,8,55,True,Passing Touchdown,Blake Shapen pass complete to Seydou Traore for 55 yds for a TD (Kyle Ferrie KICK),6.159386485260786,2025-08-30T16:07:24.000Z
401752673,4017526732,401752673101866405,2,1,Mississippi State,SEC,7,Southern Miss,Sun Belt,0,Southern Miss,Mississippi State,1,"{'minutes': 13, 'seconds': 35}",3.0,3.0,65,65,1,10,0,False,Kickoff,Marlon Hauck kickoff for 65 yds for a touchback,,2025-08-30T16:07:24.000Z
401752673,4017526732,401752673101905601,2,10,Southern Miss,Sun Belt,0,Mississippi State,SEC,7,Southern Miss,Mississippi State,1,"{'minutes': 9, 'seconds': 43}",3.0,3.0,55,45,4,3,-5,False,Penalty,"PENALTY USM Delay Of Game (Braxton,Braylon) 5 yards from MSU45 to MSU50. NO PLAY.",,2025-08-30T16:13:22.000Z
401752673,4017526732,401752673101905602,2,11,Southern Miss,Sun Belt,0,Mississippi State,SEC,7,Southern Miss,Mississippi State,1,"{'minutes': 9, 'seconds': 43}",2.0,3.0,50,50,4,8,0,False,Timeout,"Timeout Southern Miss, clock 09:43",,2025-08-30T16:13:22.000Z
401752673,4017526732,401752673101906201,2,12,Southern Miss,Sun Belt,0,Mississippi State,SEC,7,Southern Miss,Mississippi State,1,"{'minutes': 9, 'seconds': 37}",2.0,3.0,50,50,4,8,0,False,Punt,"Jack Murley punt for 44 yds, fair catch by Anthony Evans III at the MSST 6",,2025-08-30T16:05:37.000Z
401752673,4017526732,401752673101867701,2,2,Southern Miss,Sun Belt,0,Mississippi State,SEC,7,Southern Miss,Mississippi State,1,"{'minutes': 13, 'seconds': 22}",3.0,3.0,25,75,1,10,9,False,Pass Reception,Braylon Braxton pass complete to Carl Chester for 9 yds to the USM 34,1.252308359788624,2025-08-30T16:48:32.000Z
