id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017526741,401752674,Central Arkansas,UAC,Missouri,SEC,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,68,68,"{'minutes': 13, 'seconds': 18}","{'minutes': 1, 'seconds': 42}",4,7,PUNT,False,0,0,0,0
4017526742,401752674,Missouri,SEC,Central Arkansas,UAC,2,True,0,36,64,"{'minutes': 0, 'seconds': 0}",0,100,0,"{'minutes': 11, 'seconds': 6}","{'minutes': 0, 'seconds': 0}",4,64,TD,True,0,0,6,0
4017526743,401752674,Central Arkansas,UAC,Missouri,SEC,3,False,1,75,75,"{'minutes': 10, 'seconds': 58}",1,50,50,"{'minutes': 6, 'seconds': 51}","{'minutes': 4, 'seconds': 7}",7,25,PUNT,False,0,6,0,6
4017526744,401752674,Missouri,SEC,Central Arkansas,UAC,4,True,1,18,82,"{'minutes': 6, 'seconds': 51}",1,68,32,"{'minutes': 2, 'seconds': 22}","{'minutes': 4, 'seconds': 29}",10,50,FG,True,6,0,9,0
4017526745,401752674,Central Arkansas,UAC,Missouri,SEC,5,False,1,75,75,"{'minutes': 2, 'seconds': 22}",1,68,68,"{'minutes': 0, 'seconds': 38}","{'minutes': 1, 'seconds': 44}",3,7,PUNT,False,0,9,0,9
4017526746,401752674,Missouri,SEC,Central Arkansas,UAC,6,True,1,27,73,"{'minutes': 0, 'seconds': 38}",2,62,38,"{'minutes': 9, 'seconds': 33}","{'minutes': 6, 'seconds': 5}",14,35,FG,True,9,0,12,0
4017526747,401752674,Central Arkansas,UAC,Missouri,SEC,7,False,2,80,80,"{'minutes': 9, 'seconds': 28}",2,76,76,"{'minutes': 7, 'seconds': 41}","{'minutes': 1, 'seconds': 47}",3,4,PUNT,False,0,12,0,12
4017526748,401752674,Missouri,SEC,Central Arkansas,UAC,8,True,2,67,33,"{'minutes': 7, 'seconds': 41}",2,100,0,"{'minutes': 6, 'seconds': 48}","{'minutes': 0, 'seconds': 53}",2,33,TD,True,12,0,19,0
4017526749,401752674,Central Arkansas,UAC,Missouri,SEC,9,False,2,75,75,"{'minutes': 6, 'seconds': 48}",2,55,55,"{'minutes': 3, 'seconds': 38}","{'minutes': 3, 'seconds': 10}",5,20,PUNT,False,0,19,0,19
40175267410,401752674,Missouri,SEC,Central Arkansas,UAC,10,True,2,1,99,"{'minutes': 3, 'seconds': 38}",2,100,0,"{'minutes': 0, 'seconds': 8}","{'minutes': 3, 'seconds': 30}",15,99,TD,True,19,0,26,0
40175267411,401752674,Central Arkansas,UAC,Missouri,SEC,11,False,2,67,67,"{'minutes': 0, 'seconds': 2}",2,68,68,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 2}",1,-1,END OF HALF,False,0,26,0,26
40175267412,401752674,Missouri,SEC,Central Arkansas,UAC,12,True,3,15,85,"{'minutes': 14, 'seconds': 50}",3,100,0,"{'minutes': 11, 'seconds': 23}","{'minutes': 3, 'seconds': 27}",7,85,TD,True,26,0,33,0
40175267413,401752674,Central Arkansas,UAC,Missouri,SEC,13,False,3,85,85,"{'minutes': 11, 'seconds': 18}",3,55,55,"{'minutes': 8, 'seconds': 3}","{'minutes': 3, 'seconds': 15}",6,30,PUNT,False,0,33,0,33
40175267414,401752674,Missouri,SEC,Central Arkansas,UAC,14,True,3,1,99,"{'minutes': 8, 'seconds': 3}",3,100,0,"{'minutes': 4, 'seconds': 54}","{'minutes': 3, 'seconds': 9}",7,99,TD,True,33,0,40,0
40175267415,401752674,Central Arkansas,UAC,Missouri,SEC,15,False,3,84,84,"{'minutes': 4, 'seconds': 48}",3,68,68,"{'minutes': 1, 'seconds': 21}","{'minutes': 3, 'seconds': 27}",5,16,PUNT,False,0,40,0,40
40175267416,401752674,Missouri,SEC,Central Arkansas,UAC,16,False,3,34,66,"{'minutes': 1, 'seconds': 21}",4,41,59,"{'minutes': 14, 'seconds': 20}","{'minutes': 2, 'seconds': 1}",3,7,PUNT,True,40,0,40,0
40175267417,401752674,Central Arkansas,UAC,Missouri,SEC,17,False,4,89,89,"{'minutes': 14, 'seconds': 20}",4,83,83,"{'minutes': 12, 'seconds': 56}","{'minutes': 1, 'seconds': 24}",3,6,PUNT,False,0,40,0,40
40175267418,401752674,Missouri,SEC,Central Arkansas,UAC,18,True,4,46,54,"{'minutes': 12, 'seconds': 56}",4,100,0,"{'minutes': 11, 'seconds': 5}","{'minutes': 1, 'seconds': 51}",4,54,TD,True,40,0,47,0
40175267419,401752674,Central Arkansas,UAC,Missouri,SEC,19,False,4,85,85,"{'minutes': 11, 'seconds': 0}",4,86,86,"{'minutes': 9, 'seconds': 32}","{'minutes': 1, 'seconds': 28}",3,-1,FUMBLE,False,0,47,0,47
40175267420,401752674,Missouri,SEC,Central Arkansas,UAC,20,True,4,86,14,"{'minutes': 9, 'seconds': 32}",4,100,0,"{'minutes': 7, 'seconds': 32}","{'minutes': 2, 'seconds': 0}",4,14,TD,True,47,0,54,0
40175267421,401752674,Central Arkansas,UAC,Missouri,SEC,21,True,4,71,71,"{'minutes': 7, 'seconds': 26}",4,22,22,"{'minutes': 2, 'seconds': 48}","{'minutes': 4, 'seconds': 38}",12,49,INT TD,False,0,54,0,61
40175267422,401752674,Central Arkansas,UAC,Missouri,SEC,22,True,4,63,63,"{'minutes': 2, 'seconds': 43}",4,0,0,"{'minutes': 0, 'seconds': 22}","{'minutes': 2, 'seconds': 21}",10,63,TD,False,0,61,6,61
40175267423,401752674,Missouri,SEC,Central Arkansas,UAC,23,False,4,25,75,"{'minutes': 0, 'seconds': 22}",4,23,77,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 22}",1,-2,END OF GAME,True,61,6,61,6
4017526891,401752689,Kansas,Big 12,Missouri,SEC,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,67,67,"{'minutes': 13, 'seconds': 2}","{'minutes': 1, 'seconds': 58}",3,8,PUNT,False,0,0,0,0
4017526892,401752689,Missouri,SEC,Kansas,Big 12,2,True,1,29,71,"{'minutes': 13, 'seconds': 2}",1,100,0,"{'minutes': 10, 'seconds': 53}","{'minutes': 2, 'seconds': 9}",5,71,TD,True,0,0,6,0
4017526893,401752689,Kansas,Big 12,Missouri,SEC,3,True,1,62,62,"{'minutes': 10, 'seconds': 50}",1,0,0,"{'minutes': 8, 'seconds': 9}","{'minutes': 2, 'seconds': 41}",7,62,TD,False,0,6,7,6
4017526894,401752689,Missouri,SEC,Kansas,Big 12,4,True,1,18,82,"{'minutes': 8, 'seconds': 4}",1,28,72,"{'minutes': 6, 'seconds': 53}","{'minutes': 1, 'seconds': 11}",3,10,FUMBLE RETURN TD,True,6,7,6,14
