id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017543731,401754373,NC State,ACC,East Carolina,American Athletic,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,89,11,"{'minutes': 8, 'seconds': 34}","{'minutes': 6, 'seconds': 26}",15,64,FG,True,0,0,3,0
4017543732,401754373,East Carolina,American Athletic,NC State,ACC,2,False,1,75,75,"{'minutes': 8, 'seconds': 34}",1,74,74,"{'minutes': 7, 'seconds': 31}","{'minutes': 1, 'seconds': 3}",3,1,PUNT,False,0,3,0,3
4017543733,401754373,NC State,ACC,East Carolina,American Athletic,3,False,1,27,73,"{'minutes': 7, 'seconds': 31}",1,39,61,"{'minutes': 3, 'seconds': 54}","{'minutes': 3, 'seconds': 37}",6,12,PUNT,True,3,0,3,0
4017543734,401754373,East Carolina,American Athletic,NC State,ACC,4,False,1,79,79,"{'minutes': 3, 'seconds': 54}",1,82,82,"{'minutes': 2, 'seconds': 4}","{'minutes': 1, 'seconds': 50}",3,-3,PUNT,False,0,3,0,3
4017543735,401754373,NC State,ACC,East Carolina,American Athletic,5,True,1,39,61,"{'minutes': 2, 'seconds': 4}",2,100,0,"{'minutes': 13, 'seconds': 33}","{'minutes': 3, 'seconds': 31}",7,61,TD,True,3,0,10,0
4017543736,401754373,East Carolina,American Athletic,NC State,ACC,6,False,2,66,66,"{'minutes': 13, 'seconds': 27}",2,89,89,"{'minutes': 11, 'seconds': 45}","{'minutes': 1, 'seconds': 42}",3,-23,PUNT,False,0,10,0,10
4017543737,401754373,NC State,ACC,East Carolina,American Athletic,7,True,2,52,48,"{'minutes': 11, 'seconds': 45}",2,100,0,"{'minutes': 11, 'seconds': 3}","{'minutes': 0, 'seconds': 42}",2,48,TD,True,10,0,17,0
4017543738,401754373,East Carolina,American Athletic,NC State,ACC,8,False,2,75,75,"{'minutes': 11, 'seconds': 3}",2,78,78,"{'minutes': 9, 'seconds': 46}","{'minutes': 1, 'seconds': 17}",3,-3,PUNT,False,0,17,0,17
4017543739,401754373,NC State,ACC,East Carolina,American Athletic,9,False,2,40,60,"{'minutes': 9, 'seconds': 46}",2,41,59,"{'minutes': 8, 'seconds': 13}","{'minutes': 1, 'seconds': 33}",3,1,PUNT,True,17,0,17,0
40175437310,401754373,East Carolina,American Athletic,NC State,ACC,10,False,2,80,80,"{'minutes': 8, 'seconds': 13}",2,29,29,"{'minutes': 6, 'seconds': 14}","{'minutes': 1, 'seconds': 59}",8,51,DOWNS,False,0,17,0,17
