id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017571662,401757166,Navy,American Athletic,Notre Dame,FBS Independents,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,58,58,"{'minutes': 11, 'seconds': 37}","{'minutes': 3, 'seconds': 23}",5,17,PUNT,False,0,0,0,0
4017571663,401757166,Notre Dame,FBS Independents,Navy,American Athletic,2,True,1,6,94,"{'minutes': 11, 'seconds': 37}",1,100,0,"{'minutes': 7, 'seconds': 31}","{'minutes': 4, 'seconds': 6}",7,94,TD,True,0,0,7,0
4017571665,401757166,Navy,American Athletic,Notre Dame,FBS Independents,3,False,1,75,75,"{'minutes': 7, 'seconds': 31}",1,42,42,"{'minutes': 1, 'seconds': 48}","{'minutes': 5, 'seconds': 43}",9,33,PUNT,False,0,7,0,7
4017571666,401757166,Notre Dame,FBS Independents,Navy,American Athletic,4,False,1,20,80,"{'minutes': 1, 'seconds': 48}",1,25,75,"{'minutes': 0, 'seconds': 21}","{'minutes': 1, 'seconds': 27}",3,5,PUNT,True,7,0,7,0
4017571667,401757166,Navy,American Athletic,Notre Dame,FBS Independents,5,True,1,53,53,"{'minutes': 0, 'seconds': 21}",2,0,0,"{'minutes': 11, 'seconds': 2}","{'minutes': 4, 'seconds': 19}",8,53,TD,False,0,7,7,7
4017571669,401757166,Notre Dame,FBS Independents,Navy,American Athletic,6,True,2,29,71,"{'minutes': 10, 'seconds': 59}",2,100,0,"{'minutes': 5, 'seconds': 57}","{'minutes': 5, 'seconds': 2}",9,71,TD,True,7,7,14,7
40175716611,401757166,Navy,American Athletic,Notre Dame,FBS Independents,7,False,2,75,75,"{'minutes': 5, 'seconds': 57}",2,74,74,"{'minutes': 4, 'seconds': 25}","{'minutes': 1, 'seconds': 32}",3,1,PUNT,False,7,14,7,14
40175716612,401757166,Notre Dame,FBS Independents,Navy,American Athletic,8,True,2,32,68,"{'minutes': 4, 'seconds': 25}",2,100,0,"{'minutes': 1, 'seconds': 42}","{'minutes': 2, 'seconds': 43}",7,68,TD,True,14,7,21,7
40175716614,401757166,Navy,American Athletic,Notre Dame,FBS Independents,9,True,2,75,75,"{'minutes': 1, 'seconds': 42}",2,16,16,"{'minutes': 0, 'seconds': 15}","{'minutes': 1, 'seconds': 27}",9,59,FG,False,7,21,10,21
40175716616,401757166,Notre Dame,FBS Independents,Navy,American Athletic,10,False,2,38,62,"{'minutes': 0, 'seconds': 12}",2,37,63,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 12}",1,-1,END OF HALF,True,21,10,21,10
40175716618,401757166,Notre Dame,FBS Independents,Navy,American Athletic,11,True,3,35,65,"{'minutes': 15, 'seconds': 0}",3,100,0,"{'minutes': 13, 'seconds': 27}","{'minutes': 1, 'seconds': 33}",4,65,TD,True,21,10,28,10
40175716620,401757166,Navy,American Athletic,Notre Dame,FBS Independents,12,False,3,75,75,"{'minutes': 13, 'seconds': 27}",3,66,66,"{'minutes': 11, 'seconds': 34}","{'minutes': 1, 'seconds': 53}",4,9,DOWNS,False,10,28,10,28
40175716621,401757166,Notre Dame,FBS Independents,Navy,American Athletic,13,True,3,66,34,"{'minutes': 11, 'seconds': 34}",3,100,0,"{'minutes': 11, 'seconds': 27}","{'minutes': 0, 'seconds': 7}",1,0,TD,True,28,10,35,10
40175716623,401757166,Navy,American Athletic,Notre Dame,FBS Independents,14,False,3,75,75,"{'minutes': 11, 'seconds': 27}",3,87,87,"{'minutes': 9, 'seconds': 48}","{'minutes': 1, 'seconds': 39}",3,-12,PUNT,False,10,35,10,35
40175716624,401757166,Notre Dame,FBS Independents,Navy,American Athletic,15,True,3,51,49,"{'minutes': 9, 'seconds': 48}",3,100,0,"{'minutes': 6, 'seconds': 27}","{'minutes': 3, 'seconds': 21}",6,49,TD,True,35,10,42,10
40175716626,401757166,Navy,American Athletic,Notre Dame,FBS Independents,16,False,3,75,75,"{'minutes': 6, 'seconds': 27}",3,48,48,"{'minutes': 1, 'seconds': 40}","{'minutes': 4, 'seconds': 47}",8,27,PUNT,False,10,42,10,42
40175716627,401757166,Notre Dame,FBS Independents,Navy,American Athletic,17,True,3,7,93,"{'minutes': 1, 'seconds': 40}",4,100,0,"{'minutes': 11, 'seconds': 27}","{'minutes': 5, 'seconds': 13}",9,93,TD,True,42,10,49,10
40175716629,401757166,Navy,American Athletic,Notre Dame,FBS Independents,18,False,4,75,75,"{'minutes': 11, 'seconds': 27}",4,49,49,"{'minutes': 6, 'seconds': 47}","{'minutes': 4, 'seconds': 40}",7,26,PUNT,False,10,49,10,49
40175716630,401757166,Notre Dame,FBS Independents,Navy,American Athletic,19,False,4,20,80,"{'minutes': 6, 'seconds': 47}",4,86,14,"{'minutes': 0, 'seconds': 0}","{'minutes': 6, 'seconds': 47}",10,66,END OF GAME,True,49,10,49,10
4017603811,401760381,Navy,American Athletic,Air Force,Mountain West,1,True,1,25,75,"{'minutes': 14, 'seconds': 54}",1,79,21,"{'minutes': 11, 'seconds': 22}","{'minutes': 3, 'seconds': 32}",7,54,FG,True,0,0,3,0
4017603812,401760381,Air Force,Mountain West,Navy,American Athletic,2,True,1,75,75,"{'minutes': 11, 'seconds': 22}",1,0,0,"{'minutes': 9, 'seconds': 14}","{'minutes': 2, 'seconds': 8}",4,75,TD,False,0,3,7,3
4017603813,401760381,Navy,American Athletic,Air Force,Mountain West,3,False,1,21,79,"{'minutes': 9, 'seconds': 13}",1,38,62,"{'minutes': 8, 'seconds': 24}","{'minutes': 0, 'seconds': 49}",2,17,FUMBLE,True,3,7,3,7
4017603814,401760381,Air Force,Mountain West,Navy,American Athletic,4,False,1,38,38,"{'minutes': 8, 'seconds': 24}",1,18,18,"{'minutes': 6, 'seconds': 24}","{'minutes': 2, 'seconds': 0}",5,20,MISSED FG,False,7,3,7,3
4017603815,401760381,Navy,American Athletic,Air Force,Mountain West,5,False,1,20,80,"{'minutes': 6, 'seconds': 24}",1,61,39,"{'minutes': 0, 'seconds': 8}","{'minutes': 6, 'seconds': 16}",10,41,PUNT,True,3,7,3,7
4017603816,401760381,Air Force,Mountain West,Navy,American Athletic,6,True,1,94,94,"{'minutes': 0, 'seconds': 8}",2,7,7,"{'minutes': 10, 'seconds': 29}","{'minutes': 4, 'seconds': 39}",9,87,FG,False,7,3,10,3
4017603817,401760381,Navy,American Athletic,Air Force,Mountain West,7,True,2,47,53,"{'minutes': 10, 'seconds': 21}",2,100,0,"{'minutes': 8, 'seconds': 46}","{'minutes': 1, 'seconds': 35}",4,53,TD,True,3,10,10,10
4017603818,401760381,Air Force,Mountain West,Navy,American Athletic,8,False,2,75,75,"{'minutes': 8, 'seconds': 46}",2,48,48,"{'minutes': 4, 'seconds': 48}","{'minutes': 3, 'seconds': 58}",9,27,PUNT,False,10,10,10,10
4017603819,401760381,Navy,American Athletic,Air Force,Mountain West,9,True,2,19,81,"{'minutes': 4, 'seconds': 48}",2,100,0,"{'minutes': 4, 'seconds': 2}","{'minutes': 0, 'seconds': 46}",2,81,TD,True,10,10,17,10
