id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017528071,401752807,Nevada,Mountain West,Penn State,Big Ten,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,31,31,"{'minutes': 9, 'seconds': 46}","{'minutes': 5, 'seconds': 14}",8,44,FUMBLE,False,0,0,0,0
4017528072,401752807,Penn State,Big Ten,Nevada,Mountain West,2,True,1,31,69,"{'minutes': 9, 'seconds': 46}",1,100,0,"{'minutes': 3, 'seconds': 5}","{'minutes': 6, 'seconds': 41}",13,69,TD,True,0,0,7,0
4017528073,401752807,Nevada,Mountain West,Penn State,Big Ten,3,False,1,75,75,"{'minutes': 3, 'seconds': 5}",1,75,75,"{'minutes': 2, 'seconds': 57}","{'minutes': 0, 'seconds': 8}",1,0,INT,False,0,7,0,7
4017528074,401752807,Penn State,Big Ten,Nevada,Mountain West,4,True,1,94,6,"{'minutes': 2, 'seconds': 57}",1,90,10,"{'minutes': 1, 'seconds': 41}","{'minutes': 1, 'seconds': 16}",4,-4,FG,True,7,0,10,0
4017528075,401752807,Nevada,Mountain West,Penn State,Big Ten,5,False,1,75,75,"{'minutes': 1, 'seconds': 41}",2,70,70,"{'minutes': 14, 'seconds': 20}","{'minutes': 2, 'seconds': 21}",3,5,PUNT,False,0,10,0,10
4017528076,401752807,Penn State,Big Ten,Nevada,Mountain West,6,True,2,28,72,"{'minutes': 14, 'seconds': 20}",2,100,0,"{'minutes': 10, 'seconds': 2}","{'minutes': 4, 'seconds': 18}",8,72,TD,True,10,0,17,0
4017528077,401752807,Nevada,Mountain West,Penn State,Big Ten,7,True,2,70,70,"{'minutes': 9, 'seconds': 57}",2,11,11,"{'minutes': 4, 'seconds': 52}","{'minutes': 5, 'seconds': 5}",9,59,FG,False,0,17,3,17
4017528078,401752807,Penn State,Big Ten,Nevada,Mountain West,8,True,2,82,18,"{'minutes': 4, 'seconds': 40}",2,89,11,"{'minutes': 2, 'seconds': 22}","{'minutes': 2, 'seconds': 18}",4,7,FG,True,17,3,20,3
4017528079,401752807,Nevada,Mountain West,Penn State,Big Ten,9,False,2,73,73,"{'minutes': 2, 'seconds': 16}",2,72,72,"{'minutes': 1, 'seconds': 38}","{'minutes': 0, 'seconds': 38}",3,1,PUNT,False,3,20,3,20
40175280710,401752807,Penn State,Big Ten,Nevada,Mountain West,10,True,2,36,64,"{'minutes': 1, 'seconds': 38}",2,100,0,"{'minutes': 0, 'seconds': 23}","{'minutes': 1, 'seconds': 15}",8,64,TD,True,20,3,27,3
40175280711,401752807,Nevada,Mountain West,Penn State,Big Ten,11,False,2,75,75,"{'minutes': 0, 'seconds': 23}",2,84,84,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 23}",2,-9,END OF HALF,False,3,27,3,27
40175280712,401752807,Penn State,Big Ten,Nevada,Mountain West,12,True,3,25,75,"{'minutes': 14, 'seconds': 55}",3,85,15,"{'minutes': 9, 'seconds': 23}","{'minutes': 5, 'seconds': 32}",9,60,FG,True,27,3,30,3
40175280713,401752807,Nevada,Mountain West,Penn State,Big Ten,13,False,3,84,84,"{'minutes': 9, 'seconds': 19}",3,84,84,"{'minutes': 7, 'seconds': 36}","{'minutes': 1, 'seconds': 43}",3,0,FUMBLE,False,3,30,3,30
40175280714,401752807,Penn State,Big Ten,Nevada,Mountain West,14,True,3,84,16,"{'minutes': 7, 'seconds': 36}",3,100,0,"{'minutes': 7, 'seconds': 15}","{'minutes': 0, 'seconds': 21}",2,16,TD,True,30,3,36,3
40175280715,401752807,Nevada,Mountain West,Penn State,Big Ten,15,False,3,75,75,"{'minutes': 7, 'seconds': 15}",3,85,85,"{'minutes': 4, 'seconds': 47}","{'minutes': 2, 'seconds': 28}",3,-10,PUNT,False,3,36,3,36
40175280716,401752807,Penn State,Big Ten,Nevada,Mountain West,16,True,3,55,45,"{'minutes': 4, 'seconds': 47}",3,78,22,"{'minutes': 3, 'seconds': 21}","{'minutes': 1, 'seconds': 26}",5,23,FG,True,36,3,39,3
40175280717,401752807,Nevada,Mountain West,Penn State,Big Ten,17,False,3,75,75,"{'minutes': 3, 'seconds': 21}",4,6,6,"{'minutes': 14, 'seconds': 47}","{'minutes': 3, 'seconds': 34}",10,69,DOWNS,False,3,39,3,39
40175280718,401752807,Penn State,Big Ten,Nevada,Mountain West,18,True,4,6,94,"{'minutes': 14, 'seconds': 47}",4,100,0,"{'minutes': 7, 'seconds': 37}","{'minutes': 7, 'seconds': 10}",15,94,TD,True,39,3,46,3
40175280719,401752807,Nevada,Mountain West,Penn State,Big Ten,19,False,4,77,77,"{'minutes': 7, 'seconds': 31}",4,72,72,"{'minutes': 4, 'seconds': 35}","{'minutes': 2, 'seconds': 56}",3,5,PUNT,False,3,46,3,46
40175280720,401752807,Penn State,Big Ten,Nevada,Mountain West,20,False,4,30,70,"{'minutes': 4, 'seconds': 35}",4,50,50,"{'minutes': 1, 'seconds': 54}","{'minutes': 2, 'seconds': 41}",6,20,DOWNS,True,46,3,46,3
40175280721,401752807,Nevada,Mountain West,Penn State,Big Ten,21,True,4,50,50,"{'minutes': 1, 'seconds': 54}",4,0,0,"{'minutes': 0, 'seconds': 25}","{'minutes': 1, 'seconds': 29}",8,50,TD,False,3,46,11,46
40175280722,401752807,Penn State,Big Ten,Nevada,Mountain West,22,False,4,32,68,"{'minutes': 0, 'seconds': 25}",4,29,71,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 25}",1,-3,END OF GAME,True,46,11,46,11
4017572581,401757258,Middle Tennessee,Conference USA,Nevada,Mountain West,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,45,45,"{'minutes': 9, 'seconds': 41}","{'minutes': 5, 'seconds': 19}",8,30,PUNT,False,0,0,0,0
4017572582,401757258,Nevada,Mountain West,Middle Tennessee,Conference USA,2,False,1,7,93,"{'minutes': 9, 'seconds': 41}",1,25,75,"{'minutes': 6, 'seconds': 11}","{'minutes': 3, 'seconds': 30}",6,18,PUNT,True,0,0,0,0
4017572583,401757258,Middle Tennessee,Conference USA,Nevada,Mountain West,3,False,1,68,68,"{'minutes': 6, 'seconds': 11}",1,66,66,"{'minutes': 4, 'seconds': 15}","{'minutes': 1, 'seconds': 56}",3,2,PUNT,False,0,0,0,0
4017572584,401757258,Nevada,Mountain West,Middle Tennessee,Conference USA,4,False,1,17,83,"{'minutes': 4, 'seconds': 15}",1,47,53,"{'minutes': 1, 'seconds': 13}","{'minutes': 3, 'seconds': 2}",7,30,PUNT,True,0,0,0,0
4017572585,401757258,Middle Tennessee,Conference USA,Nevada,Mountain West,5,False,1,99,99,"{'minutes': 1, 'seconds': 13}",2,97,97,"{'minutes': 14, 'seconds': 50}","{'minutes': 1, 'seconds': 23}",3,2,PUNT,False,0,0,0,0
4017572586,401757258,Nevada,Mountain West,Middle Tennessee,Conference USA,6,True,2,53,47,"{'minutes': 14, 'seconds': 50}",2,100,0,"{'minutes': 14, 'seconds': 42}","{'minutes': 0, 'seconds': 8}",1,47,TD,True,7,0,7,0
4017572587,401757258,Middle Tennessee,Conference USA,Nevada,Mountain West,7,False,2,75,75,"{'minutes': 14, 'seconds': 42}",2,26,26,"{'minutes': 11, 'seconds': 35}","{'minutes': 3, 'seconds': 7}",7,49,MISSED FG,False,0,7,0,7
4017572588,401757258,Nevada,Mountain West,Middle Tennessee,Conference USA,8,True,2,26,74,"{'minutes': 11, 'seconds': 35}",2,72,28,"{'minutes': 8, 'seconds': 59}","{'minutes': 2, 'seconds': 36}",6,46,FG,True,7,0,10,0
4017572589,401757258,Middle Tennessee,Conference USA,Nevada,Mountain West,9,False,2,75,75,"{'minutes': 8, 'seconds': 59}",2,74,74,"{'minutes': 8, 'seconds': 1}","{'minutes': 0, 'seconds': 58}",3,1,PUNT,False,0,10,0,10
40175725810,401757258,Nevada,Mountain West,Middle Tennessee,Conference USA,10,False,2,25,75,"{'minutes': 8, 'seconds': 1}",2,58,42,"{'minutes': 5, 'seconds': 18}","{'minutes': 2, 'seconds': 43}",5,33,PUNT,True,10,0,10,0
40175725811,401757258,Middle Tennessee,Conference USA,Nevada,Mountain West,11,False,2,96,96,"{'minutes': 5, 'seconds': 18}",2,60,60,"{'minutes': 3, 'seconds': 46}","{'minutes': 1, 'seconds': 32}",6,36,INT,False,0,10,0,10
