id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527712,401752771,New Mexico State,Conference USA,Tennessee,SEC,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,42,42,"{'minutes': 11, 'seconds': 45}","{'minutes': 3, 'seconds': 15}",7,33,PUNT,False,0,0,0,0
4017527713,401752771,Tennessee,SEC,New Mexico State,Conference USA,2,False,1,20,80,"{'minutes': 11, 'seconds': 32}",1,50,50,"{'minutes': 10, 'seconds': 12}","{'minutes': 1, 'seconds': 33}",5,27,INT,True,0,0,0,0
4017527714,401752771,New Mexico State,Conference USA,Tennessee,SEC,3,False,1,50,50,"{'minutes': 10, 'seconds': 3}",1,41,41,"{'minutes': 8, 'seconds': 59}","{'minutes': 1, 'seconds': 13}",4,9,DOWNS,False,0,0,0,0
4017527715,401752771,Tennessee,SEC,New Mexico State,Conference USA,4,True,1,41,59,"{'minutes': 8, 'seconds': 50}",1,97,3,"{'minutes': 7, 'seconds': 54}","{'minutes': 1, 'seconds': 5}",4,59,TD,True,0,0,7,0
4017527717,401752771,New Mexico State,Conference USA,Tennessee,SEC,5,False,1,90,90,"{'minutes': 7, 'seconds': 47}",1,64,64,"{'minutes': 6, 'seconds': 16}","{'minutes': 1, 'seconds': 31}",4,29,INT,False,0,7,0,7
4017527718,401752771,Tennessee,SEC,New Mexico State,Conference USA,6,True,1,64,36,"{'minutes': 6, 'seconds': 8}",1,97,3,"{'minutes': 5, 'seconds': 43}","{'minutes': 0, 'seconds': 33}",3,36,TD,True,7,0,14,0
40175277110,401752771,New Mexico State,Conference USA,Tennessee,SEC,7,False,1,35,35,"{'minutes': 5, 'seconds': 43}",1,41,41,"{'minutes': 1, 'seconds': 10}","{'minutes': 4, 'seconds': 28}",9,34,PUNT,False,0,14,0,14
40175277111,401752771,Tennessee,SEC,New Mexico State,Conference USA,8,True,1,1,99,"{'minutes': 1, 'seconds': 0}",2,97,3,"{'minutes': 11, 'seconds': 24}","{'minutes': 4, 'seconds': 46}",13,99,TD,True,14,0,21,0
40175277113,401752771,New Mexico State,Conference USA,Tennessee,SEC,9,False,2,75,75,"{'minutes': 11, 'seconds': 24}",2,87,87,"{'minutes': 8, 'seconds': 49}","{'minutes': 2, 'seconds': 35}",4,-12,PUNT,False,0,21,0,21
40175277114,401752771,Tennessee,SEC,New Mexico State,Conference USA,10,False,2,32,68,"{'minutes': 8, 'seconds': 40}",2,63,37,"{'minutes': 8, 'seconds': 20}","{'minutes': 0, 'seconds': 29}",2,12,INT,True,21,0,21,0
