id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017543711,401754371,North Carolina,ACC,California,ACC,1,False,1,82,82,"{'minutes': 15, 'seconds': 0}",1,82,82,"{'minutes': 14, 'seconds': 38}","{'minutes': 0, 'seconds': 22}",1,7,FUMBLE,False,0,0,0,0
4017543712,401754371,California,ACC,North Carolina,ACC,2,True,1,75,25,"{'minutes': 14, 'seconds': 38}",1,100,0,"{'minutes': 12, 'seconds': 48}","{'minutes': 1, 'seconds': 50}",4,25,TD,True,0,0,7,0
4017543713,401754371,North Carolina,ACC,California,ACC,3,False,1,66,66,"{'minutes': 12, 'seconds': 48}",1,57,57,"{'minutes': 10, 'seconds': 43}","{'minutes': 2, 'seconds': 5}",3,9,PUNT,False,0,7,0,7
4017543714,401754371,California,ACC,North Carolina,ACC,4,False,1,10,90,"{'minutes': 10, 'seconds': 43}",1,12,88,"{'minutes': 9, 'seconds': 51}","{'minutes': 0, 'seconds': 52}",3,2,PUNT,True,7,0,7,0
4017543715,401754371,North Carolina,ACC,California,ACC,5,False,1,42,42,"{'minutes': 9, 'seconds': 51}",1,42,42,"{'minutes': 8, 'seconds': 21}","{'minutes': 1, 'seconds': 30}",3,0,PUNT,False,0,7,0,7
4017543716,401754371,California,ACC,North Carolina,ACC,6,False,1,13,87,"{'minutes': 8, 'seconds': 21}",1,36,64,"{'minutes': 6, 'seconds': 3}","{'minutes': 2, 'seconds': 18}",6,23,PUNT,True,7,0,7,0
4017543717,401754371,North Carolina,ACC,California,ACC,7,True,1,70,70,"{'minutes': 6, 'seconds': 3}",1,0,0,"{'minutes': 4, 'seconds': 48}","{'minutes': 1, 'seconds': 15}",4,70,TD,False,0,7,7,7
4017543718,401754371,California,ACC,North Carolina,ACC,8,True,1,25,75,"{'minutes': 4, 'seconds': 48}",1,100,0,"{'minutes': 0, 'seconds': 42}","{'minutes': 4, 'seconds': 6}",12,75,TD,True,7,7,14,7
4017543719,401754371,North Carolina,ACC,California,ACC,9,False,1,79,79,"{'minutes': 0, 'seconds': 42}",2,64,64,"{'minutes': 13, 'seconds': 35}","{'minutes': 2, 'seconds': 7}",4,15,PUNT,False,7,14,7,14
40175437110,401754371,California,ACC,North Carolina,ACC,10,False,2,24,76,"{'minutes': 13, 'seconds': 35}",2,36,64,"{'minutes': 11, 'seconds': 51}","{'minutes': 1, 'seconds': 44}",4,12,PUNT,True,14,7,14,7
40175437111,401754371,North Carolina,ACC,California,ACC,11,True,2,68,68,"{'minutes': 11, 'seconds': 51}",2,23,23,"{'minutes': 6, 'seconds': 14}","{'minutes': 5, 'seconds': 37}",11,45,FG,False,7,14,10,14
40175437112,401754371,California,ACC,North Carolina,ACC,12,False,2,25,75,"{'minutes': 6, 'seconds': 14}",2,56,44,"{'minutes': 3, 'seconds': 15}","{'minutes': 2, 'seconds': 59}",8,31,PUNT,True,14,10,14,10
