id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017529491,401752949,North Texas,American Athletic,Washington State,Pac-12,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 10, 'seconds': 33}","{'minutes': 4, 'seconds': 27}",10,75,TD,True,0,0,7,0
4017529492,401752949,Washington State,Pac-12,North Texas,American Athletic,2,False,1,73,73,"{'minutes': 10, 'seconds': 28}",1,52,52,"{'minutes': 7, 'seconds': 41}","{'minutes': 2, 'seconds': 47}",5,21,INT,False,0,7,0,7
4017529493,401752949,North Texas,American Athletic,Washington State,Pac-12,3,True,1,88,12,"{'minutes': 7, 'seconds': 41}",1,100,0,"{'minutes': 7, 'seconds': 33}","{'minutes': 0, 'seconds': 8}",1,12,TD,True,7,0,14,0
4017529494,401752949,Washington State,Pac-12,North Texas,American Athletic,4,True,1,91,91,"{'minutes': 7, 'seconds': 28}",1,9,9,"{'minutes': 1, 'seconds': 27}","{'minutes': 6, 'seconds': 1}",14,82,FG,False,0,14,3,14
4017529495,401752949,North Texas,American Athletic,Washington State,Pac-12,5,False,1,25,75,"{'minutes': 1, 'seconds': 27}",2,43,57,"{'minutes': 13, 'seconds': 53}","{'minutes': 2, 'seconds': 34}",5,18,PUNT,True,14,3,14,3
4017529496,401752949,Washington State,Pac-12,North Texas,American Athletic,6,False,2,87,87,"{'minutes': 13, 'seconds': 53}",2,46,46,"{'minutes': 9, 'seconds': 32}","{'minutes': 4, 'seconds': 21}",8,41,INT,False,3,14,3,14
4017529497,401752949,North Texas,American Athletic,Washington State,Pac-12,7,False,2,30,70,"{'minutes': 9, 'seconds': 32}",2,34,66,"{'minutes': 8, 'seconds': 30}","{'minutes': 1, 'seconds': 2}",3,4,PUNT,True,14,3,14,3
4017529498,401752949,Washington State,Pac-12,North Texas,American Athletic,8,False,2,85,85,"{'minutes': 8, 'seconds': 30}",2,81,81,"{'minutes': 8, 'seconds': 25}","{'minutes': 0, 'seconds': 5}",1,4,FUMBLE,False,3,14,3,14
4017529499,401752949,North Texas,American Athletic,Washington State,Pac-12,9,True,2,81,19,"{'minutes': 8, 'seconds': 25}",2,100,0,"{'minutes': 7, 'seconds': 7}","{'minutes': 1, 'seconds': 18}",3,19,TD,True,14,3,21,3
40175294910,401752949,Washington State,Pac-12,North Texas,American Athletic,10,False,2,75,75,"{'minutes': 7, 'seconds': 7}",2,81,81,"{'minutes': 5, 'seconds': 3}","{'minutes': 2, 'seconds': 4}",3,-6,PUNT,False,3,21,3,21
40175294911,401752949,North Texas,American Athletic,Washington State,Pac-12,11,True,2,70,30,"{'minutes': 5, 'seconds': 3}",2,100,0,"{'minutes': 3, 'seconds': 24}","{'minutes': 1, 'seconds': 39}",6,30,TD,True,21,3,28,3
40175294912,401752949,Washington State,Pac-12,North Texas,American Athletic,12,False,2,82,82,"{'minutes': 3, 'seconds': 20}",2,67,67,"{'minutes': 1, 'seconds': 54}","{'minutes': 1, 'seconds': 26}",4,15,INT,False,3,28,3,28
40175294913,401752949,North Texas,American Athletic,Washington State,Pac-12,13,True,2,88,12,"{'minutes': 1, 'seconds': 54}",2,100,0,"{'minutes': 1, 'seconds': 39}","{'minutes': 0, 'seconds': 15}",1,12,TD,True,35,3,35,3
