id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527121,401752712,Northern Illinois,Mid-American,Mississippi State,SEC,1,True,1,75,75,"{'minutes': 15, 'seconds': 0}",1,12,12,"{'minutes': 9, 'seconds': 41}","{'minutes': 5, 'seconds': 19}",10,63,FG,False,0,0,3,0
4017527122,401752712,Mississippi State,SEC,Northern Illinois,Mid-American,2,True,1,25,75,"{'minutes': 9, 'seconds': 41}",1,100,0,"{'minutes': 3, 'seconds': 48}","{'minutes': 5, 'seconds': 53}",13,75,TD,True,0,3,7,3
4017527123,401752712,Northern Illinois,Mid-American,Mississippi State,SEC,3,False,1,75,75,"{'minutes': 3, 'seconds': 48}",1,53,53,"{'minutes': 0, 'seconds': 57}","{'minutes': 2, 'seconds': 51}",5,22,PUNT,False,3,7,3,7
4017527124,401752712,Mississippi State,SEC,Northern Illinois,Mid-American,4,False,1,4,96,"{'minutes': 0, 'seconds': 57}",1,6,94,"{'minutes': 0, 'seconds': 21}","{'minutes': 0, 'seconds': 36}",3,2,PUNT,True,7,3,7,3
4017527125,401752712,Northern Illinois,Mid-American,Mississippi State,SEC,5,True,1,27,27,"{'minutes': 0, 'seconds': 21}",2,0,0,"{'minutes': 14, 'seconds': 53}","{'minutes': 0, 'seconds': 28}",2,27,TD,False,3,7,10,7
4017527126,401752712,Mississippi State,SEC,Northern Illinois,Mid-American,6,True,2,52,48,"{'minutes': 14, 'seconds': 51}",2,100,0,"{'minutes': 11, 'seconds': 31}","{'minutes': 3, 'seconds': 20}",8,48,TD,True,7,10,14,10
4017527127,401752712,Northern Illinois,Mid-American,Mississippi State,SEC,7,False,2,65,65,"{'minutes': 11, 'seconds': 31}",2,60,60,"{'minutes': 9, 'seconds': 53}","{'minutes': 1, 'seconds': 38}",3,5,PUNT,False,10,14,10,14
4017527128,401752712,Mississippi State,SEC,Northern Illinois,Mid-American,8,False,2,13,87,"{'minutes': 9, 'seconds': 53}",2,35,65,"{'minutes': 8, 'seconds': 51}","{'minutes': 1, 'seconds': 2}",4,22,PUNT,True,14,10,14,10
4017527129,401752712,Northern Illinois,Mid-American,Mississippi State,SEC,9,False,2,85,85,"{'minutes': 8, 'seconds': 51}",2,46,46,"{'minutes': 1, 'seconds': 58}","{'minutes': 6, 'seconds': 53}",9,54,PUNT,False,10,14,10,14
40175271210,401752712,Mississippi State,SEC,Northern Illinois,Mid-American,10,False,2,26,74,"{'minutes': 1, 'seconds': 58}",2,32,68,"{'minutes': 0, 'seconds': 35}","{'minutes': 1, 'seconds': 23}",3,6,PUNT,True,14,10,14,10
40175271211,401752712,Northern Illinois,Mid-American,Mississippi State,SEC,11,False,2,83,83,"{'minutes': 0, 'seconds': 35}",2,84,84,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 35}",1,-1,END OF HALF,False,10,14,10,14
