id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017528031,401752803,Northwestern,Big Ten,Tulane,American Athletic,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,76,76,"{'minutes': 13, 'seconds': 21}","{'minutes': 1, 'seconds': 39}",3,-1,INT,False,0,0,0,0
4017528032,401752803,Tulane,American Athletic,Northwestern,Big Ten,2,True,1,48,52,"{'minutes': 13, 'seconds': 21}",1,100,0,"{'minutes': 10, 'seconds': 27}","{'minutes': 2, 'seconds': 54}",8,51,TD,True,0,0,7,0
4017528033,401752803,Northwestern,Big Ten,Tulane,American Athletic,3,False,1,75,75,"{'minutes': 10, 'seconds': 27}",1,71,71,"{'minutes': 8, 'seconds': 57}","{'minutes': 1, 'seconds': 30}",3,4,PUNT,False,0,7,0,7
4017528034,401752803,Tulane,American Athletic,Northwestern,Big Ten,4,False,1,26,74,"{'minutes': 8, 'seconds': 57}",1,33,67,"{'minutes': 8, 'seconds': 15}","{'minutes': 0, 'seconds': 42}",3,7,PUNT,True,7,0,7,0
4017528035,401752803,Northwestern,Big Ten,Tulane,American Athletic,5,True,1,72,72,"{'minutes': 8, 'seconds': 15}",1,3,3,"{'minutes': 0, 'seconds': 40}","{'minutes': 7, 'seconds': 35}",13,69,FG,False,0,7,3,7
4017528036,401752803,Tulane,American Athletic,Northwestern,Big Ten,6,True,1,19,81,"{'minutes': 0, 'seconds': 35}",2,96,4,"{'minutes': 11, 'seconds': 7}","{'minutes': 4, 'seconds': 28}",11,77,FG,True,7,3,10,3
4017528037,401752803,Northwestern,Big Ten,Tulane,American Athletic,7,False,2,75,75,"{'minutes': 11, 'seconds': 7}",2,71,71,"{'minutes': 10, 'seconds': 21}","{'minutes': 0, 'seconds': 46}",2,4,INT,False,3,10,3,10
4017528038,401752803,Tulane,American Athletic,Northwestern,Big Ten,8,True,2,59,41,"{'minutes': 10, 'seconds': 21}",2,77,23,"{'minutes': 5, 'seconds': 18}","{'minutes': 5, 'seconds': 3}",11,18,FG,True,10,3,13,3
4017528039,401752803,Northwestern,Big Ten,Tulane,American Athletic,9,False,2,75,75,"{'minutes': 5, 'seconds': 18}",2,39,39,"{'minutes': 1, 'seconds': 52}","{'minutes': 3, 'seconds': 26}",7,36,INT,False,3,13,3,13
40175280310,401752803,Tulane,American Athletic,Northwestern,Big Ten,10,True,2,13,87,"{'minutes': 1, 'seconds': 52}",2,100,0,"{'minutes': 1, 'seconds': 28}","{'minutes': 0, 'seconds': 24}",2,87,TD,True,13,3,20,3
40175280311,401752803,Northwestern,Big Ten,Tulane,American Athletic,11,False,2,70,70,"{'minutes': 1, 'seconds': 28}",2,75,75,"{'minutes': 1, 'seconds': 0}","{'minutes': 0, 'seconds': 28}",3,-5,PUNT,False,3,20,3,20
40175280312,401752803,Tulane,American Athletic,Northwestern,Big Ten,12,False,2,24,76,"{'minutes': 1, 'seconds': 0}",2,84,16,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 0}",5,60,END OF HALF,True,20,3,20,3
40175280313,401752803,Tulane,American Athletic,Northwestern,Big Ten,13,True,3,25,75,"{'minutes': 15, 'seconds': 0}",3,87,13,"{'minutes': 7, 'seconds': 22}","{'minutes': 7, 'seconds': 38}",16,62,FG,True,20,3,23,3
40175280314,401752803,Northwestern,Big Ten,Tulane,American Athletic,14,False,3,75,75,"{'minutes': 7, 'seconds': 22}",3,47,47,"{'minutes': 5, 'seconds': 52}","{'minutes': 1, 'seconds': 30}",5,28,DOWNS,False,3,23,3,23
40175280315,401752803,Tulane,American Athletic,Northwestern,Big Ten,15,False,3,47,53,"{'minutes': 5, 'seconds': 52}",3,53,47,"{'minutes': 4, 'seconds': 25}","{'minutes': 1, 'seconds': 27}",3,6,PUNT,True,23,3,23,3
40175280316,401752803,Northwestern,Big Ten,Tulane,American Athletic,16,False,3,80,80,"{'minutes': 4, 'seconds': 25}",3,35,35,"{'minutes': 2, 'seconds': 18}","{'minutes': 2, 'seconds': 7}",7,45,DOWNS,False,3,23,3,23
40175280317,401752803,Tulane,American Athletic,Northwestern,Big Ten,17,False,3,35,65,"{'minutes': 2, 'seconds': 18}",3,43,57,"{'minutes': 0, 'seconds': 54}","{'minutes': 1, 'seconds': 24}",3,8,PUNT,True,23,3,23,3
40175280318,401752803,Northwestern,Big Ten,Tulane,American Athletic,18,False,3,86,86,"{'minutes': 0, 'seconds': 54}",4,33,33,"{'minutes': 12, 'seconds': 54}","{'minutes': 3, 'seconds': 0}",9,53,INT,False,3,23,3,23
40175280319,401752803,Tulane,American Athletic,Northwestern,Big Ten,19,False,4,2,98,"{'minutes': 12, 'seconds': 54}",4,30,70,"{'minutes': 9, 'seconds': 26}","{'minutes': 3, 'seconds': 28}",8,28,PUNT,True,23,3,23,3
40175280320,401752803,Northwestern,Big Ten,Tulane,American Athletic,20,False,4,80,80,"{'minutes': 9, 'seconds': 26}",4,92,92,"{'minutes': 8, 'seconds': 35}","{'minutes': 0, 'seconds': 51}",3,-12,PUNT,False,3,23,3,23
40175280321,401752803,Tulane,American Athletic,Northwestern,Big Ten,21,False,4,48,52,"{'minutes': 8, 'seconds': 35}",4,54,46,"{'minutes': 6, 'seconds': 15}","{'minutes': 2, 'seconds': 20}",3,6,PUNT,True,23,3,23,3
40175280322,401752803,Northwestern,Big Ten,Tulane,American Athletic,22,False,4,99,99,"{'minutes': 6, 'seconds': 15}",4,58,58,"{'minutes': 2, 'seconds': 28}","{'minutes': 3, 'seconds': 47}",9,41,FUMBLE,False,3,23,3,23
40175280323,401752803,Tulane,American Athletic,Northwestern,Big Ten,23,False,4,58,42,"{'minutes': 2, 'seconds': 28}",4,73,27,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 28}",4,15,END OF GAME,True,23,3,23,3
4017528172,401752817,Northwestern,Big Ten,Western Illinois,Big South-OVC,1,True,1,27,73,"{'minutes': 14, 'seconds': 11}",1,57,43,"{'minutes': 12, 'seconds': 3}","{'minutes': 3, 'seconds': 2}",6,30,DOWNS,True,0,0,7,0
4017528174,401752817,Western Illinois,Big South-OVC,Northwestern,Big Ten,2,False,1,73,73,"{'minutes': 11, 'seconds': 54}",1,67,67,"{'minutes': 9, 'seconds': 53}","{'minutes': 2, 'seconds': 1}",4,6,PUNT,False,0,7,0,7
4017528175,401752817,Northwestern,Big Ten,Western Illinois,Big South-OVC,3,True,1,22,78,"{'minutes': 9, 'seconds': 39}",1,95,5,"{'minutes': 7, 'seconds': 21}","{'minutes': 3, 'seconds': 9}",5,73,DOWNS,True,7,0,15,0
4017528177,401752817,Western Illinois,Big South-OVC,Northwestern,Big Ten,4,False,1,75,75,"{'minutes': 6, 'seconds': 44}",1,56,56,"{'minutes': 3, 'seconds': 37}","{'minutes': 3, 'seconds': 7}",6,19,INT,False,0,23,0,23
4017528178,401752817,Northwestern,Big Ten,Western Illinois,Big South-OVC,5,False,1,53,47,"{'minutes': 3, 'seconds': 19}",1,69,31,"{'minutes': 2, 'seconds': 51}","{'minutes': 0, 'seconds': 47}",2,16,DOWNS,True,23,0,23,0
4017528179,401752817,Western Illinois,Big South-OVC,Northwestern,Big Ten,6,False,1,66,66,"{'minutes': 2, 'seconds': 42}",1,64,64,"{'minutes': 1, 'seconds': 8}","{'minutes': 1, 'seconds': 42}",4,2,PUNT,False,0,23,0,23
40175281710,401752817,Northwestern,Big Ten,Western Illinois,Big South-OVC,7,False,1,20,80,"{'minutes': 0, 'seconds': 52}",2,41,59,"{'minutes': 13, 'seconds': 53}","{'minutes': 2, 'seconds': 15}",6,21,PUNT,True,23,0,23,0
40175281711,401752817,Western Illinois,Big South-OVC,Northwestern,Big Ten,8,False,2,85,85,"{'minutes': 13, 'seconds': 47}",2,85,85,"{'minutes': 13, 'seconds': 30}","{'minutes': 0, 'seconds': 23}",4,0,PUNT,False,0,23,0,23
40175281712,401752817,Northwestern,Big Ten,Western Illinois,Big South-OVC,9,False,2,52,48,"{'minutes': 13, 'seconds': 25}",2,44,56,"{'minutes': 10, 'seconds': 47}","{'minutes': 2, 'seconds': 43}",7,32,PUNT,True,23,0,23,0
40175281713,401752817,Western Illinois,Big South-OVC,Northwestern,Big Ten,10,False,2,85,85,"{'minutes': 10, 'seconds': 40}",2,45,45,"{'minutes': 7, 'seconds': 46}","{'minutes': 3, 'seconds': 1}",10,50,PUNT,False,0,23,0,23
40175281714,401752817,Northwestern,Big Ten,Western Illinois,Big South-OVC,11,False,2,10,90,"{'minutes': 7, 'seconds': 36}",2,10,90,"{'minutes': 5, 'seconds': 38}","{'minutes': 2, 'seconds': 8}",4,0,PUNT,True,23,0,23,0
