id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527071,401752707,Texas A&M,SEC,Notre Dame,FBS Independents,1,True,1,75,75,"{'minutes': 15, 'seconds': 0}",1,63,63,"{'minutes': 13, 'seconds': 6}","{'minutes': 1, 'seconds': 54}",4,12,PUNT TD,False,0,0,0,7
4017527072,401752707,Texas A&M,SEC,Notre Dame,FBS Independents,2,False,1,65,65,"{'minutes': 13, 'seconds': 6}",1,65,65,"{'minutes': 12, 'seconds': 13}","{'minutes': 0, 'seconds': 53}",3,0,PUNT,False,0,7,0,7
4017527073,401752707,Notre Dame,FBS Independents,Texas A&M,SEC,3,False,1,28,72,"{'minutes': 12, 'seconds': 13}",1,45,55,"{'minutes': 10, 'seconds': 20}","{'minutes': 1, 'seconds': 53}",4,17,PUNT,True,7,0,7,0
4017527074,401752707,Texas A&M,SEC,Notre Dame,FBS Independents,4,True,1,90,90,"{'minutes': 10, 'seconds': 20}",1,0,0,"{'minutes': 9, 'seconds': 33}","{'minutes': 0, 'seconds': 47}",2,90,TD,False,0,7,7,7
4017527075,401752707,Notre Dame,FBS Independents,Texas A&M,SEC,5,True,1,25,75,"{'minutes': 9, 'seconds': 33}",1,100,0,"{'minutes': 6, 'seconds': 30}","{'minutes': 3, 'seconds': 3}",7,75,TD,True,7,7,14,7
4017527076,401752707,Texas A&M,SEC,Notre Dame,FBS Independents,6,False,1,80,80,"{'minutes': 6, 'seconds': 30}",1,81,81,"{'minutes': 5, 'seconds': 49}","{'minutes': 0, 'seconds': 41}",2,-1,INT,False,7,14,7,14
4017527077,401752707,Notre Dame,FBS Independents,Texas A&M,SEC,7,True,1,58,42,"{'minutes': 5, 'seconds': 49}",2,96,4,"{'minutes': 14, 'seconds': 54}","{'minutes': 5, 'seconds': 55}",11,38,FG,True,14,7,17,7
4017527078,401752707,Texas A&M,SEC,Notre Dame,FBS Independents,8,True,2,75,75,"{'minutes': 14, 'seconds': 54}",2,0,0,"{'minutes': 12, 'seconds': 23}","{'minutes': 2, 'seconds': 31}",5,75,TD,False,7,17,14,17
4017527079,401752707,Notre Dame,FBS Independents,Texas A&M,SEC,9,True,2,25,75,"{'minutes': 12, 'seconds': 23}",2,100,0,"{'minutes': 9, 'seconds': 43}","{'minutes': 2, 'seconds': 40}",6,75,TD,True,17,14,24,14
40175270710,401752707,Texas A&M,SEC,Notre Dame,FBS Independents,10,True,2,75,75,"{'minutes': 9, 'seconds': 43}",2,0,0,"{'minutes': 5, 'seconds': 32}","{'minutes': 4, 'seconds': 11}",9,75,TD,False,14,24,21,24
40175270711,401752707,Notre Dame,FBS Independents,Texas A&M,SEC,11,False,2,25,75,"{'minutes': 5, 'seconds': 32}",2,42,58,"{'minutes': 3, 'seconds': 31}","{'minutes': 2, 'seconds': 1}",4,17,INT,True,24,21,24,21
40175270712,401752707,Texas A&M,SEC,Notre Dame,FBS Independents,12,True,2,47,47,"{'minutes': 3, 'seconds': 31}",2,0,0,"{'minutes': 1, 'seconds': 11}","{'minutes': 2, 'seconds': 20}",7,47,TD,False,21,24,28,24
40175270713,401752707,Notre Dame,FBS Independents,Texas A&M,SEC,13,False,2,25,75,"{'minutes': 1, 'seconds': 11}",2,46,54,"{'minutes': 0, 'seconds': 5}","{'minutes': 1, 'seconds': 6}",5,21,FUMBLE,True,24,28,24,28
40175270714,401752707,Texas A&M,SEC,Notre Dame,FBS Independents,14,False,2,46,46,"{'minutes': 0, 'seconds': 5}",2,35,35,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 5}",2,11,DOWNS,False,28,24,28,24
40175270716,401752707,Notre Dame,FBS Independents,Texas A&M,SEC,15,False,3,25,75,"{'minutes': 15, 'seconds': 0}",3,52,48,"{'minutes': 11, 'seconds': 30}","{'minutes': 3, 'seconds': 30}",6,27,PUNT,True,24,28,24,28
40175270717,401752707,Texas A&M,SEC,Notre Dame,FBS Independents,16,False,3,98,98,"{'minutes': 11, 'seconds': 30}",3,97,97,"{'minutes': 10, 'seconds': 32}","{'minutes': 0, 'seconds': 58}",3,1,PUNT,False,28,24,28,24
40175270718,401752707,Notre Dame,FBS Independents,Texas A&M,SEC,17,True,3,71,29,"{'minutes': 10, 'seconds': 32}",3,100,0,"{'minutes': 8, 'seconds': 17}","{'minutes': 2, 'seconds': 15}",5,29,TD,True,24,28,31,28
40175270719,401752707,Texas A&M,SEC,Notre Dame,FBS Independents,18,False,3,75,75,"{'minutes': 8, 'seconds': 17}",3,63,63,"{'minutes': 6, 'seconds': 11}","{'minutes': 2, 'seconds': 6}",5,12,PUNT,False,28,31,28,31
40175270720,401752707,Notre Dame,FBS Independents,Texas A&M,SEC,19,False,3,29,71,"{'minutes': 6, 'seconds': 11}",3,51,49,"{'minutes': 3, 'seconds': 34}","{'minutes': 2, 'seconds': 37}",5,22,DOWNS,True,31,28,31,28
40175270721,401752707,Texas A&M,SEC,Notre Dame,FBS Independents,20,True,3,51,51,"{'minutes': 3, 'seconds': 34}",3,26,26,"{'minutes': 0, 'seconds': 44}","{'minutes': 2, 'seconds': 50}",6,25,FG,False,28,31,31,31
40175270722,401752707,Notre Dame,FBS Independents,Texas A&M,SEC,21,True,3,35,65,"{'minutes': 0, 'seconds': 44}",4,79,21,"{'minutes': 14, 'seconds': 1}","{'minutes': 1, 'seconds': 43}",6,44,FG,True,31,31,34,31
40175270723,401752707,Texas A&M,SEC,Notre Dame,FBS Independents,22,True,4,75,75,"{'minutes': 14, 'seconds': 1}",4,28,28,"{'minutes': 9, 'seconds': 6}","{'minutes': 4, 'seconds': 55}",11,47,FG,False,31,34,34,34
40175270724,401752707,Notre Dame,FBS Independents,Texas A&M,SEC,23,True,4,25,75,"{'minutes': 9, 'seconds': 6}",4,100,0,"{'minutes': 2, 'seconds': 53}","{'minutes': 6, 'seconds': 13}",12,75,TD,True,34,34,40,34
40175270725,401752707,Texas A&M,SEC,Notre Dame,FBS Independents,24,True,4,74,74,"{'minutes': 2, 'seconds': 53}",4,0,0,"{'minutes': 0, 'seconds': 13}","{'minutes': 2, 'seconds': 40}",13,74,TD,False,34,40,41,40
40175270726,401752707,Notre Dame,FBS Independents,Texas A&M,SEC,25,False,4,31,69,"{'minutes': 0, 'seconds': 13}",4,40,60,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 13}",2,9,Uncategorized,True,40,41,40,41
4017527171,401752717,Arkansas,SEC,Notre Dame,FBS Independents,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,79,21,"{'minutes': 12, 'seconds': 55}","{'minutes': 2, 'seconds': 5}",7,54,FG,True,0,0,3,0
4017527172,401752717,Notre Dame,FBS Independents,Arkansas,SEC,2,True,1,75,75,"{'minutes': 12, 'seconds': 55}",1,0,0,"{'minutes': 8, 'seconds': 16}","{'minutes': 4, 'seconds': 39}",10,75,TD,False,0,3,7,3
4017527173,401752717,Arkansas,SEC,Notre Dame,FBS Independents,3,False,1,25,75,"{'minutes': 8, 'seconds': 16}",1,30,70,"{'minutes': 7, 'seconds': 28}","{'minutes': 0, 'seconds': 48}",3,5,PUNT,True,3,7,3,7
4017527174,401752717,Notre Dame,FBS Independents,Arkansas,SEC,4,True,1,73,73,"{'minutes': 7, 'seconds': 28}",1,0,0,"{'minutes': 4, 'seconds': 14}","{'minutes': 3, 'seconds': 14}",6,73,TD,False,7,3,14,3
4017527175,401752717,Arkansas,SEC,Notre Dame,FBS Independents,5,True,1,25,75,"{'minutes': 4, 'seconds': 14}",2,100,0,"{'minutes': 11, 'seconds': 19}","{'minutes': 7, 'seconds': 55}",14,75,TD,True,3,14,10,14
4017527176,401752717,Notre Dame,FBS Independents,Arkansas,SEC,6,True,2,75,75,"{'minutes': 11, 'seconds': 19}",2,0,0,"{'minutes': 8, 'seconds': 26}","{'minutes': 2, 'seconds': 53}",6,75,TD,False,14,10,21,10
