id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527941,401752794,Rutgers,Big Ten,Ohio,Mid-American,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 9, 'seconds': 52}","{'minutes': 5, 'seconds': 8}",12,75,TD,True,0,0,0,0
4017527942,401752794,Rutgers,Big Ten,Ohio,Mid-American,2,False,1,25,75,"{'minutes': 14, 'seconds': 59}",1,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 5, 'seconds': 8}",12,75,TD,True,0,0,7,0
4017527944,401752794,Ohio,Mid-American,Rutgers,Big Ten,3,True,1,65,65,"{'minutes': 9, 'seconds': 41}",1,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 4, 'seconds': 54}",10,65,TD,False,0,7,7,10
4017527946,401752794,Rutgers,Big Ten,Ohio,Mid-American,4,True,1,42,58,"{'minutes': 4, 'seconds': 47}",2,95,5,"{'minutes': 14, 'seconds': 52}","{'minutes': 5, 'seconds': 1}",10,53,FG,True,7,7,17,7
4017527943,401752794,Rutgers,Big Ten,Ohio,Mid-American,5,False,1,42,58,"{'minutes': 4, 'seconds': 53}",2,95,5,"{'minutes': 14, 'seconds': 52}","{'minutes': 5, 'seconds': 1}",10,53,FG,True,7,7,7,7
4017527948,401752794,Ohio,Mid-American,Rutgers,Big Ten,6,False,2,75,75,"{'minutes': 14, 'seconds': 52}",2,73,73,"{'minutes': 13, 'seconds': 59}","{'minutes': 0, 'seconds': 53}",3,2,PUNT,False,7,10,14,24
4017527949,401752794,Rutgers,Big Ten,Ohio,Mid-American,7,False,2,46,54,"{'minutes': 13, 'seconds': 52}",2,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 7}",1,54,TD,True,17,7,31,14
40175279411,401752794,Ohio,Mid-American,Rutgers,Big Ten,8,False,2,75,75,"{'minutes': 0, 'seconds': 0}",3,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 5, 'seconds': 18}",10,75,TD,False,7,17,17,31
4017527947,401752794,Rutgers,Big Ten,Ohio,Mid-American,9,False,2,25,75,"{'minutes': 8, 'seconds': 34}",2,100,0,"{'minutes': 5, 'seconds': 20}","{'minutes': 3, 'seconds': 14}",6,75,TD,True,17,14,17,14
40175279413,401752794,Rutgers,Big Ten,Ohio,Mid-American,10,True,2,25,75,"{'minutes': 0, 'seconds': 0}",3,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 3, 'seconds': 14}",6,75,TD,True,17,14,24,14
40175279415,401752794,Ohio,Mid-American,Rutgers,Big Ten,11,True,2,87,87,"{'minutes': 0, 'seconds': 0}",3,97,97,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 55}",4,87,TD,False,14,24,14,31
40175279417,401752794,Ohio,Mid-American,Rutgers,Big Ten,12,True,2,95,95,"{'minutes': 0, 'seconds': 0}",3,13,13,"{'minutes': 0, 'seconds': 8}","{'minutes': 3, 'seconds': 14}",13,82,FG,False,14,31,17,31
