id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017526771,401752677,Texas,SEC,Ohio State,Big Ten,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,42,42,"{'minutes': 10, 'seconds': 32}","{'minutes': 4, 'seconds': 28}",9,33,DOWNS,False,0,0,0,0
4017526772,401752677,Ohio State,Big Ten,Texas,SEC,2,False,1,42,58,"{'minutes': 10, 'seconds': 32}",1,51,49,"{'minutes': 8, 'seconds': 29}","{'minutes': 2, 'seconds': 3}",4,9,DOWNS,True,0,0,0,0
4017526773,401752677,Texas,SEC,Ohio State,Big Ten,3,False,1,51,51,"{'minutes': 8, 'seconds': 29}",1,47,47,"{'minutes': 6, 'seconds': 34}","{'minutes': 1, 'seconds': 55}",3,4,PUNT,False,0,0,0,0
4017526774,401752677,Ohio State,Big Ten,Texas,SEC,4,False,1,8,92,"{'minutes': 6, 'seconds': 34}",1,25,75,"{'minutes': 3, 'seconds': 35}","{'minutes': 2, 'seconds': 59}",6,17,PUNT,True,0,0,0,0
4017526775,401752677,Texas,SEC,Ohio State,Big Ten,5,False,1,75,75,"{'minutes': 3, 'seconds': 35}",1,72,72,"{'minutes': 1, 'seconds': 58}","{'minutes': 1, 'seconds': 37}",3,3,PUNT,False,0,0,0,0
4017526776,401752677,Ohio State,Big Ten,Texas,SEC,6,True,1,20,80,"{'minutes': 1, 'seconds': 58}",2,100,0,"{'minutes': 8, 'seconds': 57}","{'minutes': 8, 'seconds': 1}",13,80,TD,True,0,0,7,0
4017526777,401752677,Texas,SEC,Ohio State,Big Ten,7,False,2,75,75,"{'minutes': 8, 'seconds': 57}",2,54,54,"{'minutes': 5, 'seconds': 5}","{'minutes': 3, 'seconds': 52}",8,21,PUNT,False,0,7,0,7
4017526778,401752677,Ohio State,Big Ten,Texas,SEC,8,False,2,2,98,"{'minutes': 5, 'seconds': 5}",2,23,77,"{'minutes': 1, 'seconds': 54}","{'minutes': 3, 'seconds': 11}",6,21,PUNT,True,7,0,7,0
4017526779,401752677,Texas,SEC,Ohio State,Big Ten,9,False,2,53,53,"{'minutes': 1, 'seconds': 54}",2,45,45,"{'minutes': 0, 'seconds': 35}","{'minutes': 1, 'seconds': 19}",3,8,PUNT,False,0,7,0,7
40175267710,401752677,Ohio State,Big Ten,Texas,SEC,10,False,2,3,97,"{'minutes': 0, 'seconds': 35}",2,4,96,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 35}",1,1,END OF HALF,True,7,0,7,0
40175267711,401752677,Ohio State,Big Ten,Texas,SEC,11,False,3,25,75,"{'minutes': 15, 'seconds': 0}",3,31,69,"{'minutes': 13, 'seconds': 34}","{'minutes': 1, 'seconds': 26}",3,6,PUNT,True,7,0,7,0
40175267712,401752677,Texas,SEC,Ohio State,Big Ten,12,False,3,71,71,"{'minutes': 13, 'seconds': 34}",3,1,1,"{'minutes': 6, 'seconds': 40}","{'minutes': 6, 'seconds': 54}",15,70,DOWNS,False,0,7,0,7
40175267713,401752677,Ohio State,Big Ten,Texas,SEC,13,False,3,1,99,"{'minutes': 6, 'seconds': 40}",3,8,92,"{'minutes': 3, 'seconds': 58}","{'minutes': 2, 'seconds': 42}",3,7,PUNT,True,7,0,7,0
40175267714,401752677,Texas,SEC,Ohio State,Big Ten,14,False,3,50,50,"{'minutes': 3, 'seconds': 58}",3,52,52,"{'minutes': 3, 'seconds': 1}","{'minutes': 0, 'seconds': 57}",3,-2,INT,False,0,7,0,7
40175267715,401752677,Ohio State,Big Ten,Texas,SEC,15,True,3,32,68,"{'minutes': 3, 'seconds': 1}",4,100,0,"{'minutes': 13, 'seconds': 8}","{'minutes': 4, 'seconds': 53}",7,68,TD,True,7,0,14,0
40175267716,401752677,Texas,SEC,Ohio State,Big Ten,16,False,4,85,85,"{'minutes': 13, 'seconds': 2}",4,9,9,"{'minutes': 7, 'seconds': 56}","{'minutes': 5, 'seconds': 6}",13,76,DOWNS,False,0,14,0,14
40175267717,401752677,Ohio State,Big Ten,Texas,SEC,17,False,4,9,91,"{'minutes': 7, 'seconds': 56}",4,20,80,"{'minutes': 4, 'seconds': 10}","{'minutes': 3, 'seconds': 46}",5,11,PUNT,True,14,0,14,0
40175267718,401752677,Texas,SEC,Ohio State,Big Ten,18,True,4,60,60,"{'minutes': 4, 'seconds': 10}",4,0,0,"{'minutes': 3, 'seconds': 28}","{'minutes': 0, 'seconds': 42}",4,60,TD,False,0,14,7,14
40175267719,401752677,Ohio State,Big Ten,Texas,SEC,19,False,4,25,75,"{'minutes': 3, 'seconds': 28}",4,30,70,"{'minutes': 2, 'seconds': 26}","{'minutes': 1, 'seconds': 2}",3,5,PUNT,True,14,7,14,7
40175267720,401752677,Texas,SEC,Ohio State,Big Ten,20,False,4,85,85,"{'minutes': 2, 'seconds': 26}",4,47,47,"{'minutes': 1, 'seconds': 27}","{'minutes': 0, 'seconds': 59}",6,38,DOWNS,False,7,14,7,14
40175267721,401752677,Ohio State,Big Ten,Texas,SEC,21,False,4,47,53,"{'minutes': 1, 'seconds': 27}",4,35,65,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 27}",3,-12,END OF GAME,True,14,7,14,7
4017528151,401752815,Ohio State,Big Ten,Grambling,SWAC,1,True,1,17,83,"{'minutes': 14, 'seconds': 55}",1,100,0,"{'minutes': 12, 'seconds': 39}","{'minutes': 2, 'seconds': 16}",6,83,TD,True,0,0,7,0
4017528152,401752815,Grambling,SWAC,Ohio State,Big Ten,2,False,1,75,75,"{'minutes': 12, 'seconds': 39}",1,58,58,"{'minutes': 9, 'seconds': 6}","{'minutes': 3, 'seconds': 33}",5,17,PUNT,False,0,7,0,7
4017528153,401752815,Ohio State,Big Ten,Grambling,SWAC,3,True,1,13,87,"{'minutes': 9, 'seconds': 6}",1,100,0,"{'minutes': 8, 'seconds': 54}","{'minutes': 0, 'seconds': 12}",1,87,TD,True,14,0,14,0
4017528154,401752815,Grambling,SWAC,Ohio State,Big Ten,4,False,1,75,75,"{'minutes': 8, 'seconds': 54}",1,74,74,"{'minutes': 7, 'seconds': 29}","{'minutes': 1, 'seconds': 25}",3,1,PUNT,False,0,14,0,14
4017528155,401752815,Ohio State,Big Ten,Grambling,SWAC,5,True,1,35,65,"{'minutes': 7, 'seconds': 29}",1,100,0,"{'minutes': 4, 'seconds': 10}","{'minutes': 3, 'seconds': 19}",7,65,TD,True,14,0,21,0
4017528156,401752815,Grambling,SWAC,Ohio State,Big Ten,6,False,1,75,75,"{'minutes': 4, 'seconds': 10}",2,19,19,"{'minutes': 14, 'seconds': 24}","{'minutes': 4, 'seconds': 46}",12,56,MISSED FG,False,0,21,0,21
4017528157,401752815,Ohio State,Big Ten,Grambling,SWAC,7,True,2,20,80,"{'minutes': 14, 'seconds': 24}",2,100,0,"{'minutes': 11, 'seconds': 38}","{'minutes': 2, 'seconds': 46}",6,80,TD,True,21,0,28,0
4017528158,401752815,Grambling,SWAC,Ohio State,Big Ten,8,False,2,84,84,"{'minutes': 11, 'seconds': 32}",2,82,82,"{'minutes': 9, 'seconds': 59}","{'minutes': 1, 'seconds': 33}",3,2,INT,False,0,28,0,28
4017528159,401752815,Ohio State,Big Ten,Grambling,SWAC,9,False,2,79,21,"{'minutes': 9, 'seconds': 59}",2,95,5,"{'minutes': 8, 'seconds': 1}","{'minutes': 1, 'seconds': 58}",4,16,INT,True,28,0,28,0
40175281510,401752815,Grambling,SWAC,Ohio State,Big Ten,10,False,2,99,99,"{'minutes': 8, 'seconds': 1}",2,69,69,"{'minutes': 4, 'seconds': 16}","{'minutes': 3, 'seconds': 45}",6,30,PUNT,False,0,28,0,28
40175281511,401752815,Ohio State,Big Ten,Grambling,SWAC,11,True,2,38,62,"{'minutes': 4, 'seconds': 16}",2,100,0,"{'minutes': 0, 'seconds': 57}","{'minutes': 3, 'seconds': 19}",8,62,TD,True,28,0,35,0
40175281512,401752815,Grambling,SWAC,Ohio State,Big Ten,12,False,2,75,75,"{'minutes': 0, 'seconds': 57}",2,73,73,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 57}",3,2,END OF HALF,False,0,35,0,35
40175281513,401752815,Grambling,SWAC,Ohio State,Big Ten,13,True,3,75,75,"{'minutes': 15, 'seconds': 0}",3,77,77,"{'minutes': 14, 'seconds': 50}","{'minutes': 0, 'seconds': 10}",1,-2,FUMBLE RETURN TD,False,0,35,0,42
40175281514,401752815,Grambling,SWAC,Ohio State,Big Ten,14,False,3,75,75,"{'minutes': 14, 'seconds': 50}",3,59,59,"{'minutes': 12, 'seconds': 4}","{'minutes': 2, 'seconds': 46}",6,16,PUNT,False,0,42,0,42
40175281515,401752815,Ohio State,Big Ten,Grambling,SWAC,15,True,3,24,76,"{'minutes': 12, 'seconds': 4}",3,100,0,"{'minutes': 8, 'seconds': 24}","{'minutes': 3, 'seconds': 40}",9,76,TD,True,42,0,49,0
40175281516,401752815,Grambling,SWAC,Ohio State,Big Ten,16,False,3,75,75,"{'minutes': 8, 'seconds': 24}",3,59,59,"{'minutes': 7, 'seconds': 31}","{'minutes': 0, 'seconds': 53}",2,16,FUMBLE,False,0,49,0,49
40175281517,401752815,Ohio State,Big Ten,Grambling,SWAC,17,True,3,59,41,"{'minutes': 7, 'seconds': 31}",3,100,0,"{'minutes': 6, 'seconds': 16}","{'minutes': 1, 'seconds': 15}",3,41,TD,True,49,0,56,0
40175281518,401752815,Grambling,SWAC,Ohio State,Big Ten,18,False,3,75,75,"{'minutes': 6, 'seconds': 16}",3,85,85,"{'minutes': 4, 'seconds': 19}","{'minutes': 1, 'seconds': 57}",3,-10,PUNT,False,0,56,0,56
40175281519,401752815,Ohio State,Big Ten,Grambling,SWAC,19,True,3,47,53,"{'minutes': 4, 'seconds': 19}",4,100,0,"{'minutes': 14, 'seconds': 55}","{'minutes': 4, 'seconds': 24}",8,53,TD,True,56,0,63,0
40175281520,401752815,Grambling,SWAC,Ohio State,Big Ten,20,False,4,75,75,"{'minutes': 14, 'seconds': 55}",4,63,63,"{'minutes': 10, 'seconds': 39}","{'minutes': 4, 'seconds': 16}",6,12,PUNT,False,0,63,0,63
40175281521,401752815,Ohio State,Big Ten,Grambling,SWAC,21,False,4,13,87,"{'minutes': 10, 'seconds': 39}",4,32,68,"{'minutes': 7, 'seconds': 44}","{'minutes': 2, 'seconds': 55}",5,19,PUNT,True,63,0,63,0
40175281522,401752815,Grambling,SWAC,Ohio State,Big Ten,22,False,4,77,77,"{'minutes': 7, 'seconds': 44}",4,62,62,"{'minutes': 5, 'seconds': 17}","{'minutes': 2, 'seconds': 27}",5,15,PUNT,False,0,63,0,63
40175281523,401752815,Ohio State,Big Ten,Grambling,SWAC,23,True,4,16,84,"{'minutes': 5, 'seconds': 17}",4,100,0,"{'minutes': 0, 'seconds': 31}","{'minutes': 4, 'seconds': 46}",9,84,TD,True,63,0,70,0
40175281524,401752815,Grambling,SWAC,Ohio State,Big Ten,24,False,4,75,75,"{'minutes': 0, 'seconds': 31}",4,74,74,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 31}",1,1,END OF GAME,False,0,70,0,70
4017528271,401752827,Ohio State,Big Ten,Ohio,Mid-American,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,91,9,"{'minutes': 11, 'seconds': 20}","{'minutes': 3, 'seconds': 40}",8,66,DOWNS,True,0,0,0,0
4017528272,401752827,Ohio,Mid-American,Ohio State,Big Ten,2,False,1,91,91,"{'minutes': 11, 'seconds': 20}",1,78,78,"{'minutes': 8, 'seconds': 13}","{'minutes': 3, 'seconds': 7}",5,13,PUNT,False,0,0,0,0
4017528273,401752827,Ohio State,Big Ten,Ohio,Mid-American,3,True,1,28,72,"{'minutes': 8, 'seconds': 13}",1,80,20,"{'minutes': 1, 'seconds': 54}","{'minutes': 6, 'seconds': 19}",10,52,FG,True,0,0,3,0
4017528274,401752827,Ohio,Mid-American,Ohio State,Big Ten,4,False,1,75,75,"{'minutes': 1, 'seconds': 54}",1,72,72,"{'minutes': 0, 'seconds': 15}","{'minutes': 1, 'seconds': 39}",3,3,PUNT,False,0,3,0,3
4017528275,401752827,Ohio State,Big Ten,Ohio,Mid-American,5,True,1,35,65,"{'minutes': 0, 'seconds': 15}",2,98,2,"{'minutes': 9, 'seconds': 58}","{'minutes': 5, 'seconds': 17}",11,63,FG,True,3,0,6,0
4017528276,401752827,Ohio,Mid-American,Ohio State,Big Ten,6,False,2,75,75,"{'minutes': 9, 'seconds': 58}",2,56,56,"{'minutes': 6, 'seconds': 5}","{'minutes': 3, 'seconds': 53}",7,19,PUNT,False,0,6,0,6
4017528277,401752827,Ohio State,Big Ten,Ohio,Mid-American,7,True,2,23,77,"{'minutes': 6, 'seconds': 5}",2,100,0,"{'minutes': 2, 'seconds': 29}","{'minutes': 3, 'seconds': 36}",8,77,TD,True,6,0,13,0
4017528278,401752827,Ohio,Mid-American,Ohio State,Big Ten,8,False,2,75,75,"{'minutes': 2, 'seconds': 29}",2,91,91,"{'minutes': 1, 'seconds': 46}","{'minutes': 0, 'seconds': 43}",3,-16,PUNT,False,0,13,0,13
