id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017526751,401752675,Oklahoma,SEC,Illinois State,MVFC,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,32,68,"{'minutes': 13, 'seconds': 12}","{'minutes': 1, 'seconds': 48}",3,7,PUNT,True,0,0,0,0
4017526752,401752675,Illinois State,MVFC,Oklahoma,SEC,2,False,1,86,86,"{'minutes': 13, 'seconds': 12}",1,62,62,"{'minutes': 9, 'seconds': 47}","{'minutes': 3, 'seconds': 25}",6,24,PUNT,False,0,0,0,0
4017526753,401752675,Oklahoma,SEC,Illinois State,MVFC,3,False,1,37,63,"{'minutes': 9, 'seconds': 47}",1,60,40,"{'minutes': 9, 'seconds': 0}","{'minutes': 0, 'seconds': 47}",3,23,FUMBLE,True,0,0,0,0
4017526754,401752675,Illinois State,MVFC,Oklahoma,SEC,4,False,1,60,60,"{'minutes': 9, 'seconds': 0}",1,41,41,"{'minutes': 5, 'seconds': 43}","{'minutes': 3, 'seconds': 17}",4,19,PUNT,False,0,0,0,0
4017526755,401752675,Oklahoma,SEC,Illinois State,MVFC,5,True,1,6,94,"{'minutes': 5, 'seconds': 43}",1,100,0,"{'minutes': 0, 'seconds': 39}","{'minutes': 5, 'seconds': 4}",10,94,TD,True,0,0,7,0
4017526756,401752675,Illinois State,MVFC,Oklahoma,SEC,6,False,1,75,75,"{'minutes': 0, 'seconds': 39}",2,54,54,"{'minutes': 12, 'seconds': 58}","{'minutes': 2, 'seconds': 41}",7,21,PUNT,False,0,7,0,7
4017526757,401752675,Oklahoma,SEC,Illinois State,MVFC,7,True,2,23,77,"{'minutes': 12, 'seconds': 58}",2,100,0,"{'minutes': 11, 'seconds': 50}","{'minutes': 1, 'seconds': 8}",4,77,TD,True,7,0,14,0
4017526758,401752675,Illinois State,MVFC,Oklahoma,SEC,8,False,2,82,82,"{'minutes': 11, 'seconds': 49}",2,65,65,"{'minutes': 8, 'seconds': 18}","{'minutes': 3, 'seconds': 31}",5,17,PUNT,False,0,14,0,14
4017526759,401752675,Oklahoma,SEC,Illinois State,MVFC,9,True,2,19,81,"{'minutes': 8, 'seconds': 18}",2,100,0,"{'minutes': 0, 'seconds': 51}","{'minutes': 7, 'seconds': 27}",15,81,TD,True,14,0,21,0
40175267510,401752675,Illinois State,MVFC,Oklahoma,SEC,10,False,2,75,75,"{'minutes': 0, 'seconds': 51}",2,68,68,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 51}",2,7,END OF HALF,False,0,21,0,21
40175267511,401752675,Illinois State,MVFC,Oklahoma,SEC,11,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,51,51,"{'minutes': 12, 'seconds': 4}","{'minutes': 2, 'seconds': 56}",5,24,PUNT,False,0,21,0,21
40175267512,401752675,Oklahoma,SEC,Illinois State,MVFC,12,False,3,12,88,"{'minutes': 12, 'seconds': 4}",3,15,85,"{'minutes': 10, 'seconds': 27}","{'minutes': 1, 'seconds': 37}",3,3,PUNT,True,21,0,21,0
40175267513,401752675,Illinois State,MVFC,Oklahoma,SEC,13,False,3,50,50,"{'minutes': 10, 'seconds': 27}",3,48,48,"{'minutes': 9, 'seconds': 24}","{'minutes': 1, 'seconds': 3}",3,2,PUNT,False,0,21,0,21
