id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017528061,401752806,Old Dominion,Sun Belt,Indiana,Big Ten,1,True,1,75,75,"{'minutes': 15, 'seconds': 0}",1,0,0,"{'minutes': 14, 'seconds': 49}","{'minutes': 0, 'seconds': 11}",1,75,TD,False,0,0,7,0
4017528062,401752806,Indiana,Big Ten,Old Dominion,Sun Belt,2,False,1,30,70,"{'minutes': 14, 'seconds': 41}",1,99,1,"{'minutes': 9, 'seconds': 44}","{'minutes': 4, 'seconds': 57}",11,69,DOWNS,True,0,7,0,7
4017528063,401752806,Old Dominion,Sun Belt,Indiana,Big Ten,3,False,1,99,99,"{'minutes': 9, 'seconds': 44}",1,65,65,"{'minutes': 5, 'seconds': 48}","{'minutes': 3, 'seconds': 56}",7,34,PUNT,False,7,0,7,0
4017528064,401752806,Indiana,Big Ten,Old Dominion,Sun Belt,4,False,1,14,86,"{'minutes': 5, 'seconds': 48}",1,80,20,"{'minutes': 2, 'seconds': 9}","{'minutes': 3, 'seconds': 39}",7,66,FUMBLE,True,0,7,0,7
4017528065,401752806,Old Dominion,Sun Belt,Indiana,Big Ten,5,True,1,80,80,"{'minutes': 2, 'seconds': 9}",1,65,65,"{'minutes': 0, 'seconds': 9}","{'minutes': 2, 'seconds': 0}",4,15,PUNT RETURN TD,False,7,0,7,7
4017528066,401752806,Old Dominion,Sun Belt,Indiana,Big Ten,6,False,1,75,75,"{'minutes': 0, 'seconds': 9}",2,63,63,"{'minutes': 13, 'seconds': 38}","{'minutes': 1, 'seconds': 31}",5,12,INT,False,7,7,7,7
4017528067,401752806,Indiana,Big Ten,Old Dominion,Sun Belt,7,True,2,45,55,"{'minutes': 13, 'seconds': 38}",2,96,4,"{'minutes': 10, 'seconds': 3}","{'minutes': 3, 'seconds': 35}",8,51,FG,True,7,7,10,7
4017528068,401752806,Old Dominion,Sun Belt,Indiana,Big Ten,8,False,2,75,75,"{'minutes': 10, 'seconds': 3}",2,52,52,"{'minutes': 6, 'seconds': 46}","{'minutes': 3, 'seconds': 17}",6,23,PUNT,False,7,10,7,10
4017528069,401752806,Indiana,Big Ten,Old Dominion,Sun Belt,9,False,2,20,80,"{'minutes': 6, 'seconds': 46}",2,45,55,"{'minutes': 4, 'seconds': 19}","{'minutes': 2, 'seconds': 27}",5,25,PUNT,True,10,7,10,7
40175280610,401752806,Old Dominion,Sun Belt,Indiana,Big Ten,10,False,2,94,94,"{'minutes': 4, 'seconds': 19}",2,94,94,"{'minutes': 3, 'seconds': 51}","{'minutes': 0, 'seconds': 28}",2,0,INT,False,7,10,7,10
40175280611,401752806,Indiana,Big Ten,Old Dominion,Sun Belt,11,True,2,95,5,"{'minutes': 3, 'seconds': 51}",2,100,0,"{'minutes': 3, 'seconds': 36}","{'minutes': 0, 'seconds': 15}",3,5,TD,True,10,7,17,7
40175280612,401752806,Old Dominion,Sun Belt,Indiana,Big Ten,12,False,2,75,75,"{'minutes': 3, 'seconds': 36}",2,67,67,"{'minutes': 2, 'seconds': 15}","{'minutes': 1, 'seconds': 21}",3,8,PUNT,False,7,17,7,17
40175280613,401752806,Indiana,Big Ten,Old Dominion,Sun Belt,13,False,2,16,84,"{'minutes': 2, 'seconds': 15}",2,66,34,"{'minutes': 0, 'seconds': 2}","{'minutes': 2, 'seconds': 13}",13,50,MISSED FG,True,17,7,17,7
40175280614,401752806,Old Dominion,Sun Belt,Indiana,Big Ten,14,False,2,66,66,"{'minutes': 0, 'seconds': 2}",2,63,63,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 2}",1,3,END OF HALF,False,7,17,7,17
40175280615,401752806,Indiana,Big Ten,Old Dominion,Sun Belt,15,True,3,25,75,"{'minutes': 15, 'seconds': 0}",3,100,0,"{'minutes': 11, 'seconds': 9}","{'minutes': 3, 'seconds': 51}",8,75,TD,True,17,7,24,7
40175280616,401752806,Old Dominion,Sun Belt,Indiana,Big Ten,16,False,3,75,75,"{'minutes': 11, 'seconds': 9}",3,61,61,"{'minutes': 10, 'seconds': 0}","{'minutes': 1, 'seconds': 9}",4,14,PUNT,False,7,24,7,24
40175280617,401752806,Indiana,Big Ten,Old Dominion,Sun Belt,17,True,3,24,76,"{'minutes': 10, 'seconds': 0}",3,93,7,"{'minutes': 3, 'seconds': 2}","{'minutes': 6, 'seconds': 58}",13,69,FG,True,24,7,27,7
40175280618,401752806,Old Dominion,Sun Belt,Indiana,Big Ten,18,False,3,75,75,"{'minutes': 3, 'seconds': 2}",3,71,71,"{'minutes': 1, 'seconds': 6}","{'minutes': 1, 'seconds': 56}",3,4,PUNT,False,7,27,7,27
40175280619,401752806,Indiana,Big Ten,Old Dominion,Sun Belt,19,False,3,37,63,"{'minutes': 1, 'seconds': 6}",4,92,8,"{'minutes': 11, 'seconds': 52}","{'minutes': 4, 'seconds': 14}",9,55,DOWNS,True,27,7,27,7
40175280620,401752806,Old Dominion,Sun Belt,Indiana,Big Ten,20,False,4,92,92,"{'minutes': 11, 'seconds': 52}",4,73,73,"{'minutes': 10, 'seconds': 32}","{'minutes': 1, 'seconds': 20}",5,19,INT,False,7,27,7,27
40175280621,401752806,Indiana,Big Ten,Old Dominion,Sun Belt,21,False,4,56,44,"{'minutes': 10, 'seconds': 32}",4,59,41,"{'minutes': 8, 'seconds': 14}","{'minutes': 2, 'seconds': 18}",3,3,PUNT,True,27,7,27,7
40175280622,401752806,Old Dominion,Sun Belt,Indiana,Big Ten,22,True,4,97,97,"{'minutes': 8, 'seconds': 14}",4,0,0,"{'minutes': 6, 'seconds': 53}","{'minutes': 1, 'seconds': 21}",4,97,TD,False,7,27,14,27
40175280623,401752806,Indiana,Big Ten,Old Dominion,Sun Belt,23,False,4,25,75,"{'minutes': 6, 'seconds': 53}",4,89,11,"{'minutes': 0, 'seconds': 0}","{'minutes': 6, 'seconds': 53}",12,64,END OF GAME,True,27,14,27,14
4017545361,401754536,Old Dominion,Sun Belt,Virginia Tech,ACC,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,67,67,"{'minutes': 13, 'seconds': 4}","{'minutes': 1, 'seconds': 56}",3,8,PUNT,False,0,0,0,0
4017545362,401754536,Virginia Tech,ACC,Old Dominion,Sun Belt,2,False,1,33,67,"{'minutes': 13, 'seconds': 4}",1,32,68,"{'minutes': 12, 'seconds': 7}","{'minutes': 0, 'seconds': 57}",3,-1,PUNT,True,0,0,0,0
4017545363,401754536,Old Dominion,Sun Belt,Virginia Tech,ACC,3,False,1,74,74,"{'minutes': 12, 'seconds': 7}",1,52,52,"{'minutes': 10, 'seconds': 28}","{'minutes': 1, 'seconds': 39}",5,22,FUMBLE,False,0,0,0,0
4017545364,401754536,Virginia Tech,ACC,Old Dominion,Sun Belt,4,False,1,52,48,"{'minutes': 10, 'seconds': 28}",1,43,57,"{'minutes': 8, 'seconds': 54}","{'minutes': 1, 'seconds': 34}",3,-9,PUNT,True,0,0,0,0
4017545365,401754536,Old Dominion,Sun Belt,Virginia Tech,ACC,5,True,1,93,93,"{'minutes': 8, 'seconds': 54}",1,0,0,"{'minutes': 6, 'seconds': 30}","{'minutes': 2, 'seconds': 24}",5,93,TD,False,0,0,7,0
4017545366,401754536,Virginia Tech,ACC,Old Dominion,Sun Belt,6,False,1,8,92,"{'minutes': 6, 'seconds': 25}",1,97,3,"{'minutes': 1, 'seconds': 3}","{'minutes': 5, 'seconds': 22}",9,89,FUMBLE,True,0,7,0,7
4017545367,401754536,Old Dominion,Sun Belt,Virginia Tech,ACC,7,True,1,97,97,"{'minutes': 1, 'seconds': 3}",2,0,0,"{'minutes': 12, 'seconds': 38}","{'minutes': 3, 'seconds': 25}",7,97,TD,False,7,0,14,0
4017545368,401754536,Virginia Tech,ACC,Old Dominion,Sun Belt,8,False,2,20,80,"{'minutes': 12, 'seconds': 30}",2,46,54,"{'minutes': 10, 'seconds': 15}","{'minutes': 2, 'seconds': 15}",5,26,INT,True,0,14,0,14
4017545369,401754536,Old Dominion,Sun Belt,Virginia Tech,ACC,9,True,2,88,88,"{'minutes': 10, 'seconds': 15}",2,0,0,"{'minutes': 6, 'seconds': 44}","{'minutes': 3, 'seconds': 31}",9,88,TD,False,14,0,21,0
40175453610,401754536,Virginia Tech,ACC,Old Dominion,Sun Belt,10,False,2,10,90,"{'minutes': 6, 'seconds': 39}",2,37,63,"{'minutes': 2, 'seconds': 46}","{'minutes': 3, 'seconds': 53}",7,27,PUNT,True,0,21,0,21
40175453611,401754536,Old Dominion,Sun Belt,Virginia Tech,ACC,11,True,2,77,77,"{'minutes': 2, 'seconds': 46}",2,0,0,"{'minutes': 0, 'seconds': 53}","{'minutes': 1, 'seconds': 53}",8,77,TD,False,21,0,28,0
40175453612,401754536,Virginia Tech,ACC,Old Dominion,Sun Belt,12,False,2,25,75,"{'minutes': 0, 'seconds': 53}",2,40,60,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 53}",6,15,FUMBLE,True,0,28,0,28
40175453613,401754536,Virginia Tech,ACC,Old Dominion,Sun Belt,13,False,3,30,70,"{'minutes': 14, 'seconds': 55}",3,56,44,"{'minutes': 12, 'seconds': 59}","{'minutes': 1, 'seconds': 56}",5,26,DOWNS,True,0,28,0,28
