id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017528041,401752804,Oregon,Big Ten,Montana State,Big Sky,1,True,1,26,74,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 11, 'seconds': 57}","{'minutes': 3, 'seconds': 3}",6,74,TD,True,0,0,7,0
4017528042,401752804,Montana State,Big Sky,Oregon,Big Ten,2,False,1,79,79,"{'minutes': 11, 'seconds': 52}",1,73,73,"{'minutes': 10, 'seconds': 34}","{'minutes': 1, 'seconds': 18}",3,6,PUNT,False,0,7,0,7
4017528043,401752804,Oregon,Big Ten,Montana State,Big Sky,3,True,1,60,40,"{'minutes': 10, 'seconds': 34}",1,100,0,"{'minutes': 9, 'seconds': 16}","{'minutes': 1, 'seconds': 18}",3,40,TD,True,7,0,14,0
4017528044,401752804,Montana State,Big Sky,Oregon,Big Ten,4,False,1,75,75,"{'minutes': 9, 'seconds': 16}",1,73,73,"{'minutes': 7, 'seconds': 41}","{'minutes': 1, 'seconds': 35}",3,2,PUNT,False,0,14,0,14
4017528045,401752804,Oregon,Big Ten,Montana State,Big Sky,5,True,1,90,10,"{'minutes': 7, 'seconds': 41}",1,95,5,"{'minutes': 6, 'seconds': 16}","{'minutes': 1, 'seconds': 25}",4,5,FG,True,14,0,17,0
4017528046,401752804,Montana State,Big Sky,Oregon,Big Ten,6,False,1,75,75,"{'minutes': 6, 'seconds': 16}",1,41,41,"{'minutes': 1, 'seconds': 35}","{'minutes': 4, 'seconds': 41}",8,34,DOWNS,False,0,17,0,17
4017528047,401752804,Oregon,Big Ten,Montana State,Big Sky,7,True,1,41,59,"{'minutes': 1, 'seconds': 35}",2,100,0,"{'minutes': 11, 'seconds': 8}","{'minutes': 5, 'seconds': 27}",12,59,TD,True,17,0,24,0
4017528048,401752804,Montana State,Big Sky,Oregon,Big Ten,8,False,2,75,75,"{'minutes': 11, 'seconds': 8}",2,75,75,"{'minutes': 9, 'seconds': 44}","{'minutes': 1, 'seconds': 24}",3,0,PUNT,False,0,24,0,24
4017528049,401752804,Oregon,Big Ten,Montana State,Big Sky,9,True,2,48,52,"{'minutes': 9, 'seconds': 44}",2,100,0,"{'minutes': 4, 'seconds': 34}","{'minutes': 5, 'seconds': 10}",10,52,TD,True,24,0,31,0
40175280410,401752804,Montana State,Big Sky,Oregon,Big Ten,10,True,2,75,75,"{'minutes': 4, 'seconds': 34}",2,25,25,"{'minutes': 1, 'seconds': 3}","{'minutes': 3, 'seconds': 31}",13,50,FG,False,0,31,3,31
40175280411,401752804,Oregon,Big Ten,Montana State,Big Sky,11,True,2,33,67,"{'minutes': 1, 'seconds': 3}",2,100,0,"{'minutes': 0, 'seconds': 3}","{'minutes': 1, 'seconds': 0}",6,67,TD,True,31,3,38,3
40175280412,401752804,Montana State,Big Sky,Oregon,Big Ten,12,True,3,75,75,"{'minutes': 15, 'seconds': 0}",3,24,24,"{'minutes': 10, 'seconds': 14}","{'minutes': 4, 'seconds': 46}",9,51,FG,False,3,38,6,38
40175280413,401752804,Oregon,Big Ten,Montana State,Big Sky,13,True,3,30,70,"{'minutes': 10, 'seconds': 14}",3,100,0,"{'minutes': 6, 'seconds': 43}","{'minutes': 3, 'seconds': 31}",6,70,TD,True,38,6,45,6
40175280414,401752804,Montana State,Big Sky,Oregon,Big Ten,14,False,3,75,75,"{'minutes': 6, 'seconds': 43}",3,72,72,"{'minutes': 2, 'seconds': 28}","{'minutes': 4, 'seconds': 15}",6,3,PUNT,False,6,45,6,45
40175280415,401752804,Oregon,Big Ten,Montana State,Big Sky,15,True,3,35,65,"{'minutes': 2, 'seconds': 28}",3,100,0,"{'minutes': 0, 'seconds': 26}","{'minutes': 2, 'seconds': 2}",6,65,TD,True,45,6,52,6
40175280416,401752804,Montana State,Big Sky,Oregon,Big Ten,16,False,3,75,75,"{'minutes': 0, 'seconds': 26}",4,58,58,"{'minutes': 11, 'seconds': 37}","{'minutes': 3, 'seconds': 49}",6,17,PUNT,False,6,52,6,52
40175280417,401752804,Oregon,Big Ten,Montana State,Big Sky,17,True,4,20,80,"{'minutes': 11, 'seconds': 37}",4,100,0,"{'minutes': 6, 'seconds': 50}","{'minutes': 4, 'seconds': 47}",8,80,TD,True,52,6,59,6
40175280418,401752804,Montana State,Big Sky,Oregon,Big Ten,18,True,4,75,75,"{'minutes': 6, 'seconds': 50}",4,0,0,"{'minutes': 2, 'seconds': 22}","{'minutes': 4, 'seconds': 28}",9,75,TD,False,6,59,13,59
40175280419,401752804,Oregon,Big Ten,Montana State,Big Sky,19,False,4,24,76,"{'minutes': 2, 'seconds': 15}",4,37,63,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 15}",4,13,END OF GAME,True,59,13,59,13
4017528241,401752824,Oregon,Big Ten,Oklahoma State,Big 12,1,True,1,35,65,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 14, 'seconds': 20}","{'minutes': 0, 'seconds': 40}",2,65,TD,True,0,0,7,0
4017528242,401752824,Oklahoma State,Big 12,Oregon,Big Ten,2,False,1,75,75,"{'minutes': 14, 'seconds': 20}",1,71,71,"{'minutes': 13, 'seconds': 36}","{'minutes': 0, 'seconds': 44}",3,4,PUNT,False,0,7,0,7
4017528243,401752824,Oregon,Big Ten,Oklahoma State,Big 12,3,True,1,35,65,"{'minutes': 13, 'seconds': 36}",1,100,0,"{'minutes': 13, 'seconds': 24}","{'minutes': 0, 'seconds': 12}",1,65,TD,True,13,0,13,0
4017528244,401752824,Oklahoma State,Big 12,Oregon,Big Ten,4,False,1,75,75,"{'minutes': 13, 'seconds': 24}",1,74,74,"{'minutes': 11, 'seconds': 19}","{'minutes': 2, 'seconds': 5}",3,1,PUNT,False,0,13,0,13
4017528245,401752824,Oregon,Big Ten,Oklahoma State,Big 12,5,False,1,27,73,"{'minutes': 11, 'seconds': 19}",1,56,44,"{'minutes': 8, 'seconds': 29}","{'minutes': 2, 'seconds': 50}",7,29,DOWNS,True,13,0,13,0
4017528246,401752824,Oklahoma State,Big 12,Oregon,Big Ten,6,False,1,56,56,"{'minutes': 8, 'seconds': 29}",1,40,40,"{'minutes': 7, 'seconds': 15}","{'minutes': 1, 'seconds': 14}",4,16,PUNT,False,0,13,0,13
4017528247,401752824,Oregon,Big Ten,Oklahoma State,Big 12,7,True,1,20,80,"{'minutes': 7, 'seconds': 15}",1,100,0,"{'minutes': 5, 'seconds': 4}","{'minutes': 2, 'seconds': 11}",4,80,TD,True,13,0,20,0
4017528248,401752824,Oklahoma State,Big 12,Oregon,Big Ten,8,True,1,75,75,"{'minutes': 5, 'seconds': 4}",2,6,6,"{'minutes': 12, 'seconds': 8}","{'minutes': 7, 'seconds': 56}",16,69,FG,False,0,20,3,20
4017528249,401752824,Oregon,Big Ten,Oklahoma State,Big 12,9,True,2,25,75,"{'minutes': 12, 'seconds': 8}",2,100,0,"{'minutes': 9, 'seconds': 39}","{'minutes': 2, 'seconds': 29}",5,75,TD,True,20,3,27,3
