id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017528411,401752841,Oregon,Big Ten,Oregon State,Pac-12,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 12, 'seconds': 10}","{'minutes': 2, 'seconds': 50}",7,75,TD,True,0,0,7,0
4017528412,401752841,Oregon State,Pac-12,Oregon,Big Ten,2,False,1,75,75,"{'minutes': 12, 'seconds': 10}",1,73,73,"{'minutes': 11, 'seconds': 18}","{'minutes': 0, 'seconds': 52}",3,2,PUNT,False,0,7,0,7
4017528413,401752841,Oregon,Big Ten,Oregon State,Pac-12,3,False,1,33,67,"{'minutes': 11, 'seconds': 18}",1,64,36,"{'minutes': 9, 'seconds': 30}","{'minutes': 1, 'seconds': 48}",6,31,DOWNS,True,7,0,7,0
4017528414,401752841,Oregon State,Pac-12,Oregon,Big Ten,4,True,1,64,64,"{'minutes': 9, 'seconds': 30}",1,0,0,"{'minutes': 1, 'seconds': 50}","{'minutes': 7, 'seconds': 40}",13,64,TD,False,0,7,7,7
4017528415,401752841,Oregon,Big Ten,Oregon State,Pac-12,5,False,1,25,75,"{'minutes': 1, 'seconds': 50}",2,34,66,"{'minutes': 14, 'seconds': 48}","{'minutes': 2, 'seconds': 2}",4,9,PUNT,True,7,7,7,7
4017528416,401752841,Oregon State,Pac-12,Oregon,Big Ten,6,False,2,70,70,"{'minutes': 14, 'seconds': 48}",2,54,54,"{'minutes': 11, 'seconds': 50}","{'minutes': 2, 'seconds': 58}",5,16,PUNT,False,7,7,7,7
4017528417,401752841,Oregon,Big Ten,Oregon State,Pac-12,7,True,2,8,92,"{'minutes': 11, 'seconds': 50}",2,100,0,"{'minutes': 5, 'seconds': 40}","{'minutes': 6, 'seconds': 10}",12,92,TD,True,7,7,14,7
4017528418,401752841,Oregon State,Pac-12,Oregon,Big Ten,8,False,2,80,80,"{'minutes': 5, 'seconds': 35}",2,66,66,"{'minutes': 1, 'seconds': 48}","{'minutes': 3, 'seconds': 47}",6,14,PUNT,False,7,14,7,14
4017528419,401752841,Oregon,Big Ten,Oregon State,Pac-12,9,True,2,20,80,"{'minutes': 1, 'seconds': 48}",2,100,0,"{'minutes': 0, 'seconds': 21}","{'minutes': 1, 'seconds': 27}",8,80,TD,True,14,7,21,7
40175284110,401752841,Oregon State,Pac-12,Oregon,Big Ten,10,False,2,75,75,"{'minutes': 0, 'seconds': 21}",2,77,77,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 21}",1,-2,END OF HALF,False,7,21,7,21
40175284111,401752841,Oregon State,Pac-12,Oregon,Big Ten,11,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,69,69,"{'minutes': 13, 'seconds': 54}","{'minutes': 1, 'seconds': 6}",3,6,PUNT,False,7,21,7,21
40175284112,401752841,Oregon,Big Ten,Oregon State,Pac-12,12,True,3,28,72,"{'minutes': 13, 'seconds': 54}",3,100,0,"{'minutes': 8, 'seconds': 18}","{'minutes': 5, 'seconds': 36}",11,72,TD,True,21,7,28,7
40175284113,401752841,Oregon State,Pac-12,Oregon,Big Ten,13,False,3,75,75,"{'minutes': 8, 'seconds': 18}",3,73,73,"{'minutes': 7, 'seconds': 22}","{'minutes': 0, 'seconds': 56}",3,2,PUNT,False,7,28,7,28
40175284114,401752841,Oregon,Big Ten,Oregon State,Pac-12,14,True,3,35,65,"{'minutes': 7, 'seconds': 22}",3,94,6,"{'minutes': 1, 'seconds': 1}","{'minutes': 6, 'seconds': 21}",11,59,FG,True,28,7,31,7
40175284115,401752841,Oregon State,Pac-12,Oregon,Big Ten,15,False,3,75,75,"{'minutes': 1, 'seconds': 1}",3,69,69,"{'minutes': 0, 'seconds': 5}","{'minutes': 0, 'seconds': 56}",3,6,PUNT,False,7,31,7,31
40175284116,401752841,Oregon,Big Ten,Oregon State,Pac-12,16,True,3,26,74,"{'minutes': 0, 'seconds': 5}",4,100,0,"{'minutes': 14, 'seconds': 20}","{'minutes': 0, 'seconds': 45}",3,74,TD,True,31,7,38,7
40175284117,401752841,Oregon State,Pac-12,Oregon,Big Ten,17,False,4,75,75,"{'minutes': 14, 'seconds': 20}",4,70,70,"{'minutes': 13, 'seconds': 19}","{'minutes': 1, 'seconds': 1}",3,5,PUNT,False,7,38,7,38
40175284118,401752841,Oregon,Big Ten,Oregon State,Pac-12,18,False,4,40,60,"{'minutes': 13, 'seconds': 19}",4,45,55,"{'minutes': 10, 'seconds': 19}","{'minutes': 3, 'seconds': 0}",5,5,PUNT,True,38,7,38,7
40175284119,401752841,Oregon State,Pac-12,Oregon,Big Ten,19,False,4,96,96,"{'minutes': 10, 'seconds': 19}",4,72,72,"{'minutes': 7, 'seconds': 53}","{'minutes': 2, 'seconds': 26}",5,24,FUMBLE,False,7,38,7,38
40175284120,401752841,Oregon,Big Ten,Oregon State,Pac-12,20,True,4,72,28,"{'minutes': 7, 'seconds': 53}",4,90,10,"{'minutes': 5, 'seconds': 5}","{'minutes': 2, 'seconds': 48}",6,18,FG,True,38,7,41,7
40175284121,401752841,Oregon State,Pac-12,Oregon,Big Ten,21,False,4,75,75,"{'minutes': 5, 'seconds': 5}",4,75,75,"{'minutes': 4, 'seconds': 8}","{'minutes': 0, 'seconds': 57}",3,0,PUNT,False,7,41,7,41
40175284122,401752841,Oregon,Big Ten,Oregon State,Pac-12,22,False,4,22,78,"{'minutes': 4, 'seconds': 8}",4,52,48,"{'minutes': 0, 'seconds': 0}","{'minutes': 4, 'seconds': 8}",6,30,END OF GAME,True,41,7,41,7
4017529361,401752936,California,ACC,Oregon State,Pac-12,1,True,1,73,73,"{'minutes': 15, 'seconds': 0}",1,0,0,"{'minutes': 11, 'seconds': 23}","{'minutes': 3, 'seconds': 37}",8,73,TD,False,0,0,7,0
4017529362,401752936,Oregon State,Pac-12,California,ACC,2,False,1,25,75,"{'minutes': 11, 'seconds': 23}",1,19,81,"{'minutes': 11, 'seconds': 23}","{'minutes': 0, 'seconds': 0}",3,0,DOWNS,True,0,7,0,7
4017529363,401752936,Oregon State,Pac-12,California,ACC,3,True,1,77,23,"{'minutes': 10, 'seconds': 22}",1,32,68,"{'minutes': 7, 'seconds': 56}","{'minutes': 2, 'seconds': 26}",6,66,DOWNS TD,True,0,7,0,14
4017529364,401752936,Oregon State,Pac-12,California,ACC,4,False,1,25,75,"{'minutes': 7, 'seconds': 56}",1,32,68,"{'minutes': 7, 'seconds': 56}","{'minutes': 0, 'seconds': 0}",5,0,DOWNS,True,0,14,0,14
4017529365,401752936,Oregon State,Pac-12,California,ACC,5,False,1,62,38,"{'minutes': 5, 'seconds': 4}",1,32,68,"{'minutes': 7, 'seconds': 56}","{'minutes': 0, 'seconds': 0}",6,0,DOWNS,True,0,14,0,14
4017529366,401752936,California,ACC,Oregon State,Pac-12,6,False,1,38,38,"{'minutes': 2, 'seconds': 18}",1,0,0,"{'minutes': 7, 'seconds': 56}","{'minutes': 0, 'seconds': 0}",3,0,TD,False,14,0,14,0
4017529367,401752936,Oregon State,Pac-12,California,ACC,7,False,1,70,30,"{'minutes': 0, 'seconds': 0}",2,68,32,"{'minutes': 12, 'seconds': 25}","{'minutes': 2, 'seconds': 35}",5,4,PUNT,True,0,14,0,14
4017529368,401752936,Oregon State,Pac-12,California,ACC,8,True,2,22,78,"{'minutes': 12, 'seconds': 25}",2,65,35,"{'minutes': 9, 'seconds': 29}","{'minutes': 2, 'seconds': 56}",6,43,FG,True,0,14,3,14
4017529369,401752936,California,ACC,Oregon State,Pac-12,9,False,2,74,74,"{'minutes': 9, 'seconds': 29}",2,50,50,"{'minutes': 5, 'seconds': 52}","{'minutes': 3, 'seconds': 37}",7,24,PUNT,False,14,3,14,3
40175293610,401752936,Oregon State,Pac-12,California,ACC,10,False,2,10,90,"{'minutes': 5, 'seconds': 52}",2,26,74,"{'minutes': 3, 'seconds': 34}","{'minutes': 2, 'seconds': 18}",5,16,PUNT,True,3,14,3,14
40175293611,401752936,California,ACC,Oregon State,Pac-12,11,False,2,63,63,"{'minutes': 3, 'seconds': 34}",2,60,60,"{'minutes': 2, 'seconds': 9}","{'minutes': 1, 'seconds': 25}",3,3,PUNT,False,14,3,14,3
40175293612,401752936,Oregon State,Pac-12,California,ACC,12,False,2,27,73,"{'minutes': 2, 'seconds': 9}",2,59,41,"{'minutes': 0, 'seconds': 42}","{'minutes': 1, 'seconds': 27}",6,37,FUMBLE,True,3,14,3,14
40175293613,401752936,California,ACC,Oregon State,Pac-12,13,True,2,64,64,"{'minutes': 0, 'seconds': 42}",2,65,65,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 42}",5,34,END OF HALF,False,14,3,17,3
40175293614,401752936,Oregon State,Pac-12,California,ACC,14,False,3,23,77,"{'minutes': 15, 'seconds': 0}",3,18,82,"{'minutes': 13, 'seconds': 18}","{'minutes': 1, 'seconds': 42}",3,-5,PUNT,True,3,17,3,17
40175293615,401752936,California,ACC,Oregon State,Pac-12,15,True,3,40,40,"{'minutes': 13, 'seconds': 18}",3,0,0,"{'minutes': 11, 'seconds': 37}","{'minutes': 1, 'seconds': 41}",4,40,TD,False,17,3,24,3
40175293616,401752936,Oregon State,Pac-12,California,ACC,16,True,3,16,84,"{'minutes': 11, 'seconds': 37}",3,100,0,"{'minutes': 4, 'seconds': 16}","{'minutes': 7, 'seconds': 21}",11,84,TD,True,3,24,9,24
40175293617,401752936,California,ACC,Oregon State,Pac-12,17,False,3,68,68,"{'minutes': 4, 'seconds': 16}",3,54,54,"{'minutes': 0, 'seconds': 8}","{'minutes': 4, 'seconds': 8}",7,14,PUNT,False,24,9,24,9
40175293618,401752936,Oregon State,Pac-12,California,ACC,18,False,3,1,99,"{'minutes': 0, 'seconds': 8}",4,23,77,"{'minutes': 12, 'seconds': 8}","{'minutes': 3, 'seconds': 0}",6,22,INT,True,9,24,9,24
40175293619,401752936,California,ACC,Oregon State,Pac-12,19,True,4,2,2,"{'minutes': 12, 'seconds': 8}",4,0,0,"{'minutes': 12, 'seconds': 2}","{'minutes': 0, 'seconds': 6}",1,2,TD,False,31,9,31,9
40175293620,401752936,Oregon State,Pac-12,California,ACC,20,True,4,22,78,"{'minutes': 12, 'seconds': 2}",4,100,0,"{'minutes': 8, 'seconds': 16}","{'minutes': 3, 'seconds': 46}",10,78,TD,True,9,31,15,31
40175293621,401752936,California,ACC,Oregon State,Pac-12,21,False,4,100,100,"{'minutes': 8, 'seconds': 16}",4,45,45,"{'minutes': 6, 'seconds': 10}","{'minutes': 2, 'seconds': 6}",4,30,PUNT,False,31,15,31,15
40175293622,401752936,Oregon State,Pac-12,California,ACC,22,False,4,12,88,"{'minutes': 6, 'seconds': 10}",4,16,84,"{'minutes': 5, 'seconds': 18}","{'minutes': 0, 'seconds': 52}",3,4,PUNT,True,15,31,15,31
40175293623,401752936,California,ACC,Oregon State,Pac-12,23,True,4,34,34,"{'minutes': 5, 'seconds': 18}",4,5,5,"{'minutes': 0, 'seconds': 20}","{'minutes': 4, 'seconds': 58}",10,29,FG,False,31,15,34,15
40175293624,401752936,Oregon State,Pac-12,California,ACC,24,False,4,35,65,"{'minutes': 0, 'seconds': 20}",4,45,55,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 20}",1,10,END OF GAME,True,15,34,15,34
4017529371,401752937,Fresno State,Mountain West,Oregon State,Pac-12,1,True,1,68,68,"{'minutes': 14, 'seconds': 53}",1,0,0,"{'minutes': 12, 'seconds': 24}","{'minutes': 2, 'seconds': 29}",6,68,TD,False,0,0,7,0
4017529372,401752937,Oregon State,Pac-12,Fresno State,Mountain West,2,True,1,25,75,"{'minutes': 12, 'seconds': 24}",1,100,0,"{'minutes': 7, 'seconds': 24}","{'minutes': 5, 'seconds': 0}",11,75,TD,True,0,7,27,26
4017529374,401752937,Oregon State,Pac-12,Fresno State,Mountain West,3,False,1,36,64,"{'minutes': 5, 'seconds': 23}",1,57,43,"{'minutes': 3, 'seconds': 24}","{'minutes': 1, 'seconds': 59}",4,21,PUNT,True,0,7,6,7
4017529373,401752937,Fresno State,Mountain West,Oregon State,Pac-12,4,False,1,77,77,"{'minutes': 7, 'seconds': 17}",1,78,78,"{'minutes': 5, 'seconds': 23}","{'minutes': 1, 'seconds': 54}",3,-1,PUNT,False,7,6,7,6
4017529376,401752937,Oregon State,Pac-12,Fresno State,Mountain West,5,True,2,41,59,"{'minutes': 14, 'seconds': 46}",2,100,0,"{'minutes': 11, 'seconds': 27}","{'minutes': 3, 'seconds': 19}",7,59,TD,True,6,7,12,7
4017529377,401752937,Fresno State,Mountain West,Oregon State,Pac-12,6,True,2,72,72,"{'minutes': 11, 'seconds': 21}",2,0,0,"{'minutes': 8, 'seconds': 43}","{'minutes': 2, 'seconds': 38}",5,72,TD,False,7,6,14,15
4017529378,401752937,Oregon State,Pac-12,Fresno State,Mountain West,7,True,2,31,69,"{'minutes': 8, 'seconds': 35}",2,91,9,"{'minutes': 3, 'seconds': 23}","{'minutes': 5, 'seconds': 12}",11,60,FG,True,6,7,15,14
4017529375,401752937,Fresno State,Mountain West,Oregon State,Pac-12,8,False,1,80,80,"{'minutes': 3, 'seconds': 24}",2,43,43,"{'minutes': 14, 'seconds': 46}","{'minutes': 3, 'seconds': 38}",7,37,INT,False,7,6,7,6
40175293713,401752937,Oregon State,Pac-12,Fresno State,Mountain West,9,True,3,25,75,"{'minutes': 15, 'seconds': 0}",3,100,0,"{'minutes': 3, 'seconds': 44}","{'minutes': 11, 'seconds': 16}",18,68,TD,True,12,14,27,26
